Sexo y nivel de estudios;País;Indicador;periodo;Total
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2012;0,3
TOTAL;Bulgaria;En porcentaje del total de empleo de cada colectivo;2011;0,3
TOTAL;República Checa;Total (En miles);2023;29,6
TOTAL;República Checa;Total (En miles);2022;30,3
TOTAL;República Checa;Total (En miles);2021;29,8
TOTAL;República Checa;Total (En miles);2020;29,4
TOTAL;República Checa;Total (En miles);2019;35,8
TOTAL;República Checa;Total (En miles);2018;34,1
TOTAL;República Checa;Total (En miles);2017;33,1
TOTAL;República Checa;Total (En miles);2016;31,4
TOTAL;República Checa;Total (En miles);2015;27,4
TOTAL;República Checa;Total (En miles);2014;29,0
TOTAL;República Checa;Total (En miles);2013;25,1
TOTAL;República Checa;Total (En miles);2012;22,2
TOTAL;República Checa;Total (En miles);2011;26,0
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2023;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2021;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2020;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2019;0,7
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2017;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2016;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2015;0,5
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2013;0,5
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2012;0,5
TOTAL;República Checa;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Dinamarca;Total (En miles);2023;37,7
TOTAL;Dinamarca;Total (En miles);2022;34,6
TOTAL;Dinamarca;Total (En miles);2021;27,9
TOTAL;Dinamarca;Total (En miles);2020;26,6
TOTAL;Dinamarca;Total (En miles);2019;30,4
TOTAL;Dinamarca;Total (En miles);2018;28,0
TOTAL;Dinamarca;Total (En miles);2017;26,5
TOTAL;Dinamarca;Total (En miles);2016;28,6
TOTAL;Dinamarca;Total (En miles);2015;28,7
TOTAL;Dinamarca;Total (En miles);2014;27,1
TOTAL;Dinamarca;Total (En miles);2013;23,4
TOTAL;Dinamarca;Total (En miles);2012;25,4
TOTAL;Dinamarca;Total (En miles);2011;25,7
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2023;1,3
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2022;1,2
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2021;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2020;0,9
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2019;1,1
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2018;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2017;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2016;1,1
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2015;1,1
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2014;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2013;0,9
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2012;1,0
TOTAL;Dinamarca;En porcentaje del total de empleo de cada colectivo;2011;1,0
TOTAL;Alemania;Total (En miles);2023;239,2
TOTAL;Alemania;Total (En miles);2022;238,3
TOTAL;Alemania;Total (En miles);2021;222,5
TOTAL;Alemania;Total (En miles);2020;234,7
TOTAL;Alemania;Total (En miles);2019;262,2
TOTAL;Alemania;Total (En miles);2018;254,8
TOTAL;Alemania;Total (En miles);2017;253,3
TOTAL;Alemania;Total (En miles);2016;243,3
TOTAL;Alemania;Total (En miles);2015;224,2
TOTAL;Alemania;Total (En miles);2014;218,8
TOTAL;Alemania;Total (En miles);2013;218,2
TOTAL;Alemania;Total (En miles);2012;204,3
TOTAL;Alemania;Total (En miles);2011;173,3
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2023;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2021;0,5
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2020;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2019;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2017;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2016;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2015;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2013;0,6
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2012;0,5
TOTAL;Alemania;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Estonia;Total (En miles);2023;6,8
TOTAL;Estonia;Total (En miles);2022;7,0
TOTAL;Estonia;Total (En miles);2021;4,9
TOTAL;Estonia;Total (En miles);2020;4,5
TOTAL;Estonia;Total (En miles);2019;6,0
TOTAL;Estonia;Total (En miles);2018;5,3
TOTAL;Estonia;Total (En miles);2017;4,9
TOTAL;Estonia;Total (En miles);2016;5,4
TOTAL;Estonia;Total (En miles);2015;4,8
TOTAL;Estonia;Total (En miles);2014;6,3
TOTAL;Estonia;Total (En miles);2013;5,1
TOTAL;Estonia;Total (En miles);2012;4,0
TOTAL;Estonia;Total (En miles);2011;3,4
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2023;1,0
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2022;1,0
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2021;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2020;0,7
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2019;0,9
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2018;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2017;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2016;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2015;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2014;1,0
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2013;0,8
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2012;0,7
TOTAL;Estonia;En porcentaje del total de empleo de cada colectivo;2011;0,6
TOTAL;Irlanda;Total (En miles);2023;26,5
TOTAL;Irlanda;Total (En miles);2022;22,8
TOTAL;Irlanda;Total (En miles);2021;20,0
TOTAL;Irlanda;Total (En miles);2020;21,2
TOTAL;Irlanda;Total (En miles);2019;24,1
TOTAL;Irlanda;Total (En miles);2018;23,8
TOTAL;Irlanda;Total (En miles);2017;23,2
TOTAL;Irlanda;Total (En miles);2016;21,9
TOTAL;Irlanda;Total (En miles);2015;18,4
TOTAL;Irlanda;Total (En miles);2014;19,6
TOTAL;Irlanda;Total (En miles);2013;19,4
TOTAL;Irlanda;Total (En miles);2012;17,7
TOTAL;Irlanda;Total (En miles);2011;19,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2023;1,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2022;0,9
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2021;0,8
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2020;0,9
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2019;1,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2018;1,1
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2017;1,1
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2016;1,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2015;0,9
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2014;1,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2013;1,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2012;1,0
TOTAL;Irlanda;En porcentaje del total de empleo de cada colectivo;2011;1,0
TOTAL;Grecia;Total (En miles);2023;26,1
TOTAL;Grecia;Total (En miles);2022;33,5
TOTAL;Grecia;Total (En miles);2021;22,7
TOTAL;Grecia;Total (En miles);2020;25,5
TOTAL;Grecia;Total (En miles);2019;21,1
TOTAL;Grecia;Total (En miles);2018;21,3
TOTAL;Grecia;Total (En miles);2017;19,9
TOTAL;Grecia;Total (En miles);2016;17,3
TOTAL;Grecia;Total (En miles);2015;15,6
TOTAL;Grecia;Total (En miles);2014;14,2
TOTAL;Grecia;Total (En miles);2013;9,7
TOTAL;Grecia;Total (En miles);2012;8,2
TOTAL;Grecia;Total (En miles);2011;12,4
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2023;0,6
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2022;0,8
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2021;0,6
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2020;0,7
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2019;0,5
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2017;0,5
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2016;0,5
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2015;0,4
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2014;0,4
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2013;0,3
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2012;0,2
TOTAL;Grecia;En porcentaje del total de empleo de cada colectivo;2011;0,3
TOTAL;España;Total (En miles);2023;244,7
TOTAL;España;Total (En miles);2022;231,8
TOTAL;España;Total (En miles);2021;219,1
TOTAL;España;Total (En miles);2020;199,1
TOTAL;España;Total (En miles);2019;216,4
TOTAL;España;Total (En miles);2018;211,4
TOTAL;España;Total (En miles);2017;201,8
TOTAL;España;Total (En miles);2016;192,3
TOTAL;España;Total (En miles);2015;183,3
TOTAL;España;Total (En miles);2014;187,9
TOTAL;España;Total (En miles);2013;164,1
TOTAL;España;Total (En miles);2012;159,6
TOTAL;España;Total (En miles);2011;148,3
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2023;1,2
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2022;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2021;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2020;1,0
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2019;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2018;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2017;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2016;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2015;1,0
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2014;1,1
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2013;1,0
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2012;0,9
TOTAL;España;En porcentaje del total de empleo de cada colectivo;2011;0,8
TOTAL;Francia;Total (En miles);2023;288,7
TOTAL;Francia;Total (En miles);2022;313,3
TOTAL;Francia;Total (En miles);2021;279,2
TOTAL;Francia;Total (En miles);2020;185,4
TOTAL;Francia;Total (En miles);2019;180,9
TOTAL;Francia;Total (En miles);2018;186,6
TOTAL;Francia;Total (En miles);2017;171,1
TOTAL;Francia;Total (En miles);2016;181,0
TOTAL;Francia;Total (En miles);2015;177,9
TOTAL;Francia;Total (En miles);2014;167,9
TOTAL;Francia;Total (En miles);2013;212,8
TOTAL;Francia;Total (En miles);2012;277,5
TOTAL;Francia;Total (En miles);2011;279,2
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2023;1,0
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2022;1,1
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2021;1,1
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2020;0,7
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2019;0,7
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2018;0,7
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2017;0,7
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2016;0,7
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2015;0,7
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2013;0,8
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2012;1,1
TOTAL;Francia;En porcentaje del total de empleo de cada colectivo;2011;1,1
TOTAL;Croacia;Total (En miles);2023;8,3
TOTAL;Croacia;Total (En miles);2022;7,8
TOTAL;Croacia;Total (En miles);2021;7,6
TOTAL;Croacia;Total (En miles);2020;6,0
TOTAL;Croacia;Total (En miles);2019;10,9
TOTAL;Croacia;Total (En miles);2018;9,7
TOTAL;Croacia;Total (En miles);2017;6,4
TOTAL;Croacia;Total (En miles);2016;5,9
TOTAL;Croacia;Total (En miles);2015;4,8
TOTAL;Croacia;Total (En miles);2014;6,1
TOTAL;Croacia;Total (En miles);2013;4,6
TOTAL;Croacia;Total (En miles);2012;4,5
TOTAL;Croacia;Total (En miles);2011;4,1
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2023;0,5
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2022;0,5
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2021;0,5
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2020;0,4
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2019;0,7
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2017;0,4
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2016;0,4
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2015;0,3
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2014;0,4
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2013;0,3
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2012;0,3
TOTAL;Croacia;En porcentaje del total de empleo de cada colectivo;2011;0,3
TOTAL;Italia;Total (En miles);2023;161,8
TOTAL;Italia;Total (En miles);2022;135,4
TOTAL;Italia;Total (En miles);2021;103,9
TOTAL;Italia;Total (En miles);2020;137,6
TOTAL;Italia;Total (En miles);2019;133,7
TOTAL;Italia;Total (En miles);2018;116,6
TOTAL;Italia;Total (En miles);2017;130,3
TOTAL;Italia;Total (En miles);2016;119,4
TOTAL;Italia;Total (En miles);2015;117,5
TOTAL;Italia;Total (En miles);2014;120,2
TOTAL;Italia;Total (En miles);2013;103,9
TOTAL;Italia;Total (En miles);2012;99,9
TOTAL;Italia;Total (En miles);2011;104,8
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2023;0,7
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2021;0,5
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2020;0,6
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2019;0,6
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2018;0,5
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2017;0,6
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2016;0,5
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2015;0,5
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2014;0,5
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2013;0,5
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2012;0,4
TOTAL;Italia;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Chipre;Total (En miles);2023;3,1
TOTAL;Chipre;Total (En miles);2022;3,3
TOTAL;Chipre;Total (En miles);2021;3,8
TOTAL;Chipre;Total (En miles);2020;3,6
TOTAL;Chipre;Total (En miles);2019;3,0
TOTAL;Chipre;Total (En miles);2018;2,5
TOTAL;Chipre;Total (En miles);2017;2,9
TOTAL;Chipre;Total (En miles);2016;2,8
TOTAL;Chipre;Total (En miles);2015;1,9
TOTAL;Chipre;Total (En miles);2014;2,0
TOTAL;Chipre;Total (En miles);2013;1,9
TOTAL;Chipre;Total (En miles);2012;2,1
TOTAL;Chipre;Total (En miles);2011;3,2
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2023;0,7
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2022;0,7
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2021;0,9
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2020;0,9
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2019;0,7
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2017;0,8
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2016;0,8
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2015;0,5
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2014;0,6
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2013;0,5
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2012;0,6
TOTAL;Chipre;En porcentaje del total de empleo de cada colectivo;2011;0,8
TOTAL;Letonia;Total (En miles);2023;4,9
TOTAL;Letonia;Total (En miles);2022;5,2
TOTAL;Letonia;Total (En miles);2021;6,0
TOTAL;Letonia;Total (En miles);2020;6,8
TOTAL;Letonia;Total (En miles);2019;10,3
TOTAL;Letonia;Total (En miles);2018;8,3
TOTAL;Letonia;Total (En miles);2017;5,8
TOTAL;Letonia;Total (En miles);2016;5,8
TOTAL;Letonia;Total (En miles);2015;5,4
TOTAL;Letonia;Total (En miles);2014;5,7
TOTAL;Letonia;Total (En miles);2013;4,7
TOTAL;Letonia;Total (En miles);2012;5,8
TOTAL;Letonia;Total (En miles);2011;4,6
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2023;0,6
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2022;0,6
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2021;0,7
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2020;0,8
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2019;1,1
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2018;0,9
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2017;0,7
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2016;0,7
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2015;0,6
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2014;0,6
