Sexo y nivel de estudios;País;Indicador;periodo;Total
Mujeres;Bulgaria;En porcentaje del total de empleo de cada colectivo;2011;..
Mujeres;República Checa;Total (En miles);2023;11,3
Mujeres;República Checa;Total (En miles);2022;11,9
Mujeres;República Checa;Total (En miles);2021;10,4
Mujeres;República Checa;Total (En miles);2020;11,1
Mujeres;República Checa;Total (En miles);2019;12,9
Mujeres;República Checa;Total (En miles);2018;14,4
Mujeres;República Checa;Total (En miles);2017;17,1
Mujeres;República Checa;Total (En miles);2016;12,5
Mujeres;República Checa;Total (En miles);2015;10,6
Mujeres;República Checa;Total (En miles);2014;12,2
Mujeres;República Checa;Total (En miles);2013;11,2
Mujeres;República Checa;Total (En miles);2012;9,8
Mujeres;República Checa;Total (En miles);2011;9,7
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2023;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2022;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2021;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2020;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2019;0,6
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2018;0,6
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2017;0,7
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2016;0,6
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2015;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2014;0,6
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2013;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2012;0,5
Mujeres;República Checa;En porcentaje del total de empleo de cada colectivo;2011;0,5
Mujeres;Dinamarca;Total (En miles);2023;19,0
Mujeres;Dinamarca;Total (En miles);2022;16,5
Mujeres;Dinamarca;Total (En miles);2021;14,1
Mujeres;Dinamarca;Total (En miles);2020;12,2
Mujeres;Dinamarca;Total (En miles);2019;14,5
Mujeres;Dinamarca;Total (En miles);2018;14,1
Mujeres;Dinamarca;Total (En miles);2017;13,0
Mujeres;Dinamarca;Total (En miles);2016;13,9
Mujeres;Dinamarca;Total (En miles);2015;13,7
Mujeres;Dinamarca;Total (En miles);2014;13,3
Mujeres;Dinamarca;Total (En miles);2013;11,5
Mujeres;Dinamarca;Total (En miles);2012;12,2
Mujeres;Dinamarca;Total (En miles);2011;13,7
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2023;1,3
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2022;1,2
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2021;1,1
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2020;0,9
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2019;1,1
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2018;1,1
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2017;1,0
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2016;1,1
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2015;1,1
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2014;1,1
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2013;0,9
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2012;1,0
Mujeres;Dinamarca;En porcentaje del total de empleo de cada colectivo;2011;1,1
Mujeres;Alemania;Total (En miles);2023;117,6
Mujeres;Alemania;Total (En miles);2022;124,9
Mujeres;Alemania;Total (En miles);2021;107,9
Mujeres;Alemania;Total (En miles);2020;118,1
Mujeres;Alemania;Total (En miles);2019;137,2
Mujeres;Alemania;Total (En miles);2018;133,3
Mujeres;Alemania;Total (En miles);2017;133,4
Mujeres;Alemania;Total (En miles);2016;125,5
Mujeres;Alemania;Total (En miles);2015;111,8
Mujeres;Alemania;Total (En miles);2014;112,7
Mujeres;Alemania;Total (En miles);2013;114,3
Mujeres;Alemania;Total (En miles);2012;107,0
Mujeres;Alemania;Total (En miles);2011;92,0
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2023;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2022;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2021;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2020;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2019;0,7
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2018;0,7
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2017;0,7
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2016;0,7
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2015;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2014;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2013;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2012;0,6
Mujeres;Alemania;En porcentaje del total de empleo de cada colectivo;2011;0,5
Mujeres;Estonia;Total (En miles);2023;3,3
Mujeres;Estonia;Total (En miles);2022;3,3
Mujeres;Estonia;Total (En miles);2021;2,3
Mujeres;Estonia;Total (En miles);2020;2,0
Mujeres;Estonia;Total (En miles);2019;2,9
Mujeres;Estonia;Total (En miles);2018;2,5
Mujeres;Estonia;Total (En miles);2017;2,6
Mujeres;Estonia;Total (En miles);2016;2,4
Mujeres;Estonia;Total (En miles);2015;2,3
Mujeres;Estonia;Total (En miles);2014;2,9
Mujeres;Estonia;Total (En miles);2013;1,8
Mujeres;Estonia;Total (En miles);2012;1,9
Mujeres;Estonia;Total (En miles);2011;2,2
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2023;1,0
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2022;1,0
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2021;0,7
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2020;0,6
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2019;0,9
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2018;0,8
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2017;0,8
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2016;0,8
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2015;0,7
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2014;1,0
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2013;0,6
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2012;0,6
Mujeres;Estonia;En porcentaje del total de empleo de cada colectivo;2011;0,7
Mujeres;Irlanda;Total (En miles);2023;10,1
Mujeres;Irlanda;Total (En miles);2022;9,4
Mujeres;Irlanda;Total (En miles);2021;8,4
Mujeres;Irlanda;Total (En miles);2020;7,7
Mujeres;Irlanda;Total (En miles);2019;9,9
Mujeres;Irlanda;Total (En miles);2018;10,2
Mujeres;Irlanda;Total (En miles);2017;10,2
Mujeres;Irlanda;Total (En miles);2016;8,9
Mujeres;Irlanda;Total (En miles);2015;6,9
Mujeres;Irlanda;Total (En miles);2014;7,4
Mujeres;Irlanda;Total (En miles);2013;7,4
Mujeres;Irlanda;Total (En miles);2012;7,1
Mujeres;Irlanda;Total (En miles);2011;7,6
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2023;0,8
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2022;0,8
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2021;0,8
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2020;0,7
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2019;0,9
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2018;1,0
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2017;1,0
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2016;0,9
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2015;0,7
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2014;0,8
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2013;0,8
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2012;0,8
Mujeres;Irlanda;En porcentaje del total de empleo de cada colectivo;2011;0,9
Mujeres;Grecia;Total (En miles);2023;10,7
Mujeres;Grecia;Total (En miles);2022;9,7
Mujeres;Grecia;Total (En miles);2021;8,2
Mujeres;Grecia;Total (En miles);2020;11,0
Mujeres;Grecia;Total (En miles);2019;8,8
Mujeres;Grecia;Total (En miles);2018;9,4
Mujeres;Grecia;Total (En miles);2017;8,4
Mujeres;Grecia;Total (En miles);2016;5,5
Mujeres;Grecia;Total (En miles);2015;4,7
Mujeres;Grecia;Total (En miles);2014;5,3
Mujeres;Grecia;Total (En miles);2013;4,4
Mujeres;Grecia;Total (En miles);2012;2,9
Mujeres;Grecia;Total (En miles);2011;5,4
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2023;0,6
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2022;0,6
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2021;0,5
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2020;0,7
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2019;0,5
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2018;0,6
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2017;0,5
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2016;0,4
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2015;0,3
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2014;0,4
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2013;0,3
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2012;0,2
Mujeres;Grecia;En porcentaje del total de empleo de cada colectivo;2011;0,3
Mujeres;España;Total (En miles);2023;96,9
Mujeres;España;Total (En miles);2022;98,1
Mujeres;España;Total (En miles);2021;97,1
Mujeres;España;Total (En miles);2020;79,0
Mujeres;España;Total (En miles);2019;87,6
Mujeres;España;Total (En miles);2018;88,5
Mujeres;España;Total (En miles);2017;83,2
Mujeres;España;Total (En miles);2016;74,7
Mujeres;España;Total (En miles);2015;78,3
Mujeres;España;Total (En miles);2014;86,4
Mujeres;España;Total (En miles);2013;73,5
Mujeres;España;Total (En miles);2012;65,8
Mujeres;España;Total (En miles);2011;56,9
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2023;1,0
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2022;1,0
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2021;1,1
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2020;0,9
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2019;1,0
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2018;1,0
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2017;1,0
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2016;0,9
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2015;1,0
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2014;1,1
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2013;0,9
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2012;0,8
Mujeres;España;En porcentaje del total de empleo de cada colectivo;2011;0,7
Mujeres;Francia;Total (En miles);2023;129,9
Mujeres;Francia;Total (En miles);2022;145,5
Mujeres;Francia;Total (En miles);2021;127,4
Mujeres;Francia;Total (En miles);2020;66,0
Mujeres;Francia;Total (En miles);2019;73,9
Mujeres;Francia;Total (En miles);2018;72,4
Mujeres;Francia;Total (En miles);2017;69,8
Mujeres;Francia;Total (En miles);2016;73,3
Mujeres;Francia;Total (En miles);2015;77,9
Mujeres;Francia;Total (En miles);2014;71,4
Mujeres;Francia;Total (En miles);2013;95,5
Mujeres;Francia;Total (En miles);2012;152,7
Mujeres;Francia;Total (En miles);2011;158,1
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2023;0,9
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2022;1,1
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2021;1,0
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2020;0,5
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2019;0,6
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2018;0,6
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2017;0,6
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2016;0,6
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2015;0,6
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2014;0,6
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2013;0,8
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2012;1,3
Mujeres;Francia;En porcentaje del total de empleo de cada colectivo;2011;1,3
Mujeres;Croacia;Total (En miles);2023;2,5
Mujeres;Croacia;Total (En miles);2022;1,6
Mujeres;Croacia;Total (En miles);2021;2,4
Mujeres;Croacia;Total (En miles);2020;1,6
Mujeres;Croacia;Total (En miles);2019;4,5
Mujeres;Croacia;Total (En miles);2018;4,0
Mujeres;Croacia;Total (En miles);2017;2,3
Mujeres;Croacia;Total (En miles);2016;1,9
Mujeres;Croacia;Total (En miles);2015;1,7
Mujeres;Croacia;Total (En miles);2014;2,7
Mujeres;Croacia;Total (En miles);2013;2,1
Mujeres;Croacia;Total (En miles);2012;1,9
Mujeres;Croacia;Total (En miles);2011;1,9
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2023;0,3
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2022;0,2
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2021;0,3
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2020;0,2
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2019;0,6
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2018;0,5
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2017;0,3
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2016;0,3
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2015;0,2
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2014;0,4
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2013;0,3
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2012;0,3
Mujeres;Croacia;En porcentaje del total de empleo de cada colectivo;2011;0,3
Mujeres;Italia;Total (En miles);2023;73,5
Mujeres;Italia;Total (En miles);2022;62,0
Mujeres;Italia;Total (En miles);2021;42,6
Mujeres;Italia;Total (En miles);2020;58,1
Mujeres;Italia;Total (En miles);2019;58,3
Mujeres;Italia;Total (En miles);2018;47,6
Mujeres;Italia;Total (En miles);2017;53,2
Mujeres;Italia;Total (En miles);2016;53,5
Mujeres;Italia;Total (En miles);2015;55,5
Mujeres;Italia;Total (En miles);2014;53,6
Mujeres;Italia;Total (En miles);2013;43,0
Mujeres;Italia;Total (En miles);2012;40,5
Mujeres;Italia;Total (En miles);2011;40,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2023;0,7
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2022;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2021;0,5
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2020;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2019;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2018;0,5
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2017;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2016;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2015;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2014;0,6
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2013;0,5
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2012;0,4
Mujeres;Italia;En porcentaje del total de empleo de cada colectivo;2011;0,4
Mujeres;Chipre;Total (En miles);2023;1,2
Mujeres;Chipre;Total (En miles);2022;0,9
Mujeres;Chipre;Total (En miles);2021;1,2
Mujeres;Chipre;Total (En miles);2020;1,4
Mujeres;Chipre;Total (En miles);2019;1,2
Mujeres;Chipre;Total (En miles);2018;0,9
Mujeres;Chipre;Total (En miles);2017;1,2
Mujeres;Chipre;Total (En miles);2016;0,9
Mujeres;Chipre;Total (En miles);2015;0,6
Mujeres;Chipre;Total (En miles);2014;0,9
Mujeres;Chipre;Total (En miles);2013;..
Mujeres;Chipre;Total (En miles);2012;..
Mujeres;Chipre;Total (En miles);2011;1,0
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2023;0,6
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2022;0,4
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2021;0,6
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2020;0,7
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2019;0,6
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2018;0,5
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2017;0,7
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2016;0,5
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2015;0,3
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2014;0,5
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2013;..
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2012;..
Mujeres;Chipre;En porcentaje del total de empleo de cada colectivo;2011;0,5
Mujeres;Letonia;Total (En miles);2023;..
Mujeres;Letonia;Total (En miles);2022;2,5
Mujeres;Letonia;Total (En miles);2021;3,0
Mujeres;Letonia;Total (En miles);2020;3,0
Mujeres;Letonia;Total (En miles);2019;5,4
Mujeres;Letonia;Total (En miles);2018;4,5
Mujeres;Letonia;Total (En miles);2017;2,2
Mujeres;Letonia;Total (En miles);2016;3,5
Mujeres;Letonia;Total (En miles);2015;2,4
Mujeres;Letonia;Total (En miles);2014;2,8
Mujeres;Letonia;Total (En miles);2013;2,0
Mujeres;Letonia;Total (En miles);2012;2,4
Mujeres;Letonia;Total (En miles);2011;2,3
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2023;..
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2022;0,6
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2021;0,7
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2020;0,7
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2019;1,2
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2018;1,0
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2017;0,5
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2016;0,8
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2015;0,5
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2014;0,6
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2013;0,5
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2012;0,5
Mujeres;Letonia;En porcentaje del total de empleo de cada colectivo;2011;0,5
Mujeres;Lituania;Total (En miles);2023;3,3
Mujeres;Lituania;Total (En miles);2022;4,0
Mujeres;Lituania;Total (En miles);2021;3,0
Mujeres;Lituania;Total (En miles);2020;3,3
Mujeres;Lituania;Total (En miles);2019;2,8
Mujeres;Lituania;Total (En miles);2018;2,7
Mujeres;Lituania;Total (En miles);2017;3,5
Mujeres;Lituania;Total (En miles);2016;3,5
Mujeres;Lituania;Total (En miles);2015;3,2
Mujeres;Lituania;Total (En miles);2014;2,7
Mujeres;Lituania;Total (En miles);2013;2,7
Mujeres;Lituania;Total (En miles);2012;..
Mujeres;Lituania;Total (En miles);2011;..
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2023;0,5
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2022;0,6
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2021;0,4
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2020;0,5
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2019;0,4
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2018;0,4
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2017;0,5
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2016;0,5
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2015;0,5
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2014;0,4
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2013;0,4
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2012;..
Mujeres;Lituania;En porcentaje del total de empleo de cada colectivo;2011;..
Mujeres;Luxemburgo;Total (En miles);2023;..
Mujeres;Luxemburgo;Total (En miles);2022;0,7
Mujeres;Luxemburgo;Total (En miles);2021;0,7
Mujeres;Luxemburgo;Total (En miles);2020;0,9
Mujeres;Luxemburgo;Total (En miles);2019;0,7
Mujeres;Luxemburgo;Total (En miles);2018;0,8
Mujeres;Luxemburgo;Total (En miles);2017;0,8
Mujeres;Luxemburgo;Total (En miles);2016;1,3
Mujeres;Luxemburgo;Total (En miles);2015;0,7
Mujeres;Luxemburgo;Total (En miles);2014;..
Mujeres;Luxemburgo;Total (En miles);2013;0,8
Mujeres;Luxemburgo;Total (En miles);2012;0,5
Mujeres;Luxemburgo;Total (En miles);2011;..
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2023;..
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2022;0,5
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2021;0,6
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2020;0,7
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2019;0,6
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2018;0,7
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2017;0,8
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2016;1,2
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2015;0,7
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2014;..
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2013;0,7
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2012;0,5
Mujeres;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2011;..
Mujeres;Hungría;Total (En miles);2023;11,9
Mujeres;Hungría;Total (En miles);2022;13,3
Mujeres;Hungría;Total (En miles);2021;11,4
Mujeres;Hungría;Total (En miles);2020;10,3
Mujeres;Hungría;Total (En miles);2019;9,4
Mujeres;Hungría;Total (En miles);2018;9,9
Mujeres;Hungría;Total (En miles);2017;6,0
Mujeres;Hungría;Total (En miles);2016;5,6
Mujeres;Hungría;Total (En miles);2015;7,0
Mujeres;Hungría;Total (En miles);2014;5,5
Mujeres;Hungría;Total (En miles);2013;6,3
Mujeres;Hungría;Total (En miles);2012;4,6
Mujeres;Hungría;Total (En miles);2011;2,8
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2023;0,5
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2022;0,6
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2021;0,5
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2020;0,5
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2019;0,5
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2018;0,5
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2017;0,3
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2016;0,3
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2015;0,4
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2014;0,3
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2013;0,4
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2012;0,3
Mujeres;Hungría;En porcentaje del total de empleo de cada colectivo;2011;0,2
Mujeres;Malta;Total (En miles);2023;..
Mujeres;Malta;Total (En miles);2022;..
Mujeres;Malta;Total (En miles);2021;..
Mujeres;Malta;Total (En miles);2020;0,6
Mujeres;Malta;Total (En miles);2019;0,5
Mujeres;Malta;Total (En miles);2018;..
Mujeres;Malta;Total (En miles);2017;..
Mujeres;Malta;Total (En miles);2016;..
Mujeres;Malta;Total (En miles);2015;..
Mujeres;Malta;Total (En miles);2014;0,5
Mujeres;Malta;Total (En miles);2013;0,6
Mujeres;Malta;Total (En miles);2012;..
Mujeres;Malta;Total (En miles);2011;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2023;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2022;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2021;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2020;0,6
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2019;0,5
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2018;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2017;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2016;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2015;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2014;0,6
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2013;0,8
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2012;..
Mujeres;Malta;En porcentaje del total de empleo de cada colectivo;2011;..
Mujeres;Países Bajos;Total (En miles);2023;48,0
Mujeres;Países Bajos;Total (En miles);2022;43,2
Mujeres;Países Bajos;Total (En miles);2021;49,2
Mujeres;Países Bajos;Total (En miles);2020;40,0
Mujeres;Países Bajos;Total (En miles);2019;40,8
Mujeres;Países Bajos;Total (En miles);2018;38,4
Mujeres;Países Bajos;Total (En miles);2017;35,0
Mujeres;Países Bajos;Total (En miles);2016;37,9
Mujeres;Países Bajos;Total (En miles);2015;36,0
Mujeres;Países Bajos;Total (En miles);2014;33,7
Mujeres;Países Bajos;Total (En miles);2013;32,9
Mujeres;Países Bajos;Total (En miles);2012;33,0
Mujeres;Países Bajos;Total (En miles);2011;32,1
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2023;1,0
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2022;1,0
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2021;1,2
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2020;1,1
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2019;1,1
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2018;1,1
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2017;1,0
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2016;1,1
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2015;1,0
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2014;1,0
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2013;1,0
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2012;0,9
Mujeres;Países Bajos;En porcentaje del total de empleo de cada colectivo;2011;0,9
Mujeres;Austria;Total (En miles);2023;13,7
