Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Asturias (Principado de);En porcentaje de la población total;Abonados o socios de gimnasios: Privados;5,4
Asturias (Principado de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;14,0
Asturias (Principado de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;8,2
Asturias (Principado de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,8
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Total;100
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;49,6
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;29,7
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;21,0
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;25,9
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;15,3
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;10,6
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;26,3
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;15,2
Asturias (Principado de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;11,1
Balears (Illes);En porcentaje de la población total;Total;100
Balears (Illes);En porcentaje de la población total;Abonados o socios: Total;29,8
Balears (Illes);En porcentaje de la población total;Abonados o socios: Públicos;21,6
Balears (Illes);En porcentaje de la población total;Abonados o socios: Privados;11,1
Balears (Illes);En porcentaje de la población total;Abonados o socios de gimnasios: Total;20,5
Balears (Illes);En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;14,9
Balears (Illes);En porcentaje de la población total;Abonados o socios de gimnasios: Privados;6,6
Balears (Illes);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;12,7
