Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;15,9
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;14,6
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Total;100
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;63,7
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;30,6
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;37,8
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;31,8
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;11,1
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;20,7
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;40,8
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;22,2
Navarra (Comunidad Foral de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;20,4
País Vasco;En porcentaje de la población total;Total;100
País Vasco;En porcentaje de la población total;Abonados o socios: Total;39,4
País Vasco;En porcentaje de la población total;Abonados o socios: Públicos;14,7
País Vasco;En porcentaje de la población total;Abonados o socios: Privados;28,3
País Vasco;En porcentaje de la población total;Abonados o socios de gimnasios: Total;17,6
País Vasco;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;6,4
País Vasco;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;11,9
País Vasco;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;26,3
País Vasco;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;8,8
País Vasco;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;18,4
País Vasco;En porcentaje de la población que practicó deporte en el último año;Total;100
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;61,4
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;24,2
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;43,7
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;29,2
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;10,7
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;19,8
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;40,3
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;14,4
País Vasco;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;27,6
Rioja (La);En porcentaje de la población total;Total;100
Rioja (La);En porcentaje de la población total;Abonados o socios: Total;32,0
Rioja (La);En porcentaje de la población total;Abonados o socios: Públicos;12,8
Rioja (La);En porcentaje de la población total;Abonados o socios: Privados;21,9
Rioja (La);En porcentaje de la población total;Abonados o socios de gimnasios: Total;15,4
Rioja (La);En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;5,9
Rioja (La);En porcentaje de la población total;Abonados o socios de gimnasios: Privados;10,5
Rioja (La);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;19,0
Rioja (La);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;7,8
Rioja (La);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;12,1
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Total;100
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;56,3
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;22,9
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;38,5
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;27,9
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;10,8
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;18,9
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;32,9
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;13,8
Rioja (La);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;21,0
Ceuta y Melilla;En porcentaje de la población total;Total;100
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios: Total;26,2
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios: Públicos;13,7
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios: Privados;14,1
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios de gimnasios: Total;16,2
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;7,6
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;9,2
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;12,0
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;7,1
Ceuta y Melilla;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,3
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Total;100
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;44,7
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;22,6
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;24,5
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;29,2
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;13,5
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;16,2
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;19,6
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;11,1
Ceuta y Melilla;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;9,3
Capitales de provincia;En porcentaje de la población total;Total;100
Capitales de provincia;En porcentaje de la población total;Abonados o socios: Total;31,7
Capitales de provincia;En porcentaje de la población total;Abonados o socios: Públicos;21,4
Capitales de provincia;En porcentaje de la población total;Abonados o socios: Privados;11,9
Capitales de provincia;En porcentaje de la población total;Abonados o socios de gimnasios: Total;20,9
Capitales de provincia;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;14,9
Capitales de provincia;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;6,6
Capitales de provincia;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;13,5
Capitales de provincia;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;8,3
Capitales de provincia;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,8
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Total;100
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;52,7
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;35,9
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;19,6
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;35,5
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;25,4
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;11,1
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;22,0
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;13,7
Capitales de provincia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;9,3
De más de 50.000 habitantes;En porcentaje de la población total;Total;100
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios: Total;28,9
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios: Públicos;18,1
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios: Privados;11,6
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios: Total;20,5
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;13,4
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;7,4
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;9,8
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;5,5
De más de 50.000 habitantes;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;4,6
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Total;100
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;47,6
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;30,0
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;19,1
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;34,5
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;22,7
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;12,4
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;15,6
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;8,7
De más de 50.000 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;7,4
De menos de 50.001 habitantes;En porcentaje de la población total;Total;100
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios: Total;25,3
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios: Públicos;15,1
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios: Privados;11,8
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios: Total;14,2
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;8,5
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;6,0
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;13,4
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;7,4
De menos de 50.001 habitantes;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;6,5
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Total;100
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;45,3
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;27,4
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;20,8
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;26,4
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;16,0
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;11,0
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;23,2
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;12,8
De menos de 50.001 habitantes;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;11,2
