Comunidad autónoma-tamaño de municipio;Causa;Total
Extremadura;Incompatibilidad horaria con las instalaciones;4,5
Extremadura;Falta de instalaciones adecuadas;5,8
Extremadura;No tener con quien practicarlo;3,3
Galicia;TOTAL;100,0
Galicia;Falta de tiempo;24,9
Galicia;Falta de interés;14,0
Galicia;Por edad;11,9
Galicia;Ya considera practicar suficiente;10,5
Galicia;Responsabilidades familiares;10,0
Galicia;Motivos de salud;11,9
Galicia;Motivos económicos;5,1
Galicia;Incompatibilidad horaria con las instalaciones;3,5
Galicia;Falta de instalaciones adecuadas;4,2
Galicia;No tener con quien practicarlo;4,6
Madrid, Comunidad de;TOTAL;100,0
Madrid, Comunidad de;Falta de tiempo;28,2
Madrid, Comunidad de;Falta de interés;11,7
Madrid, Comunidad de;Por edad;10,2
Madrid, Comunidad de;Ya considera practicar suficiente;12,5
Madrid, Comunidad de;Responsabilidades familiares;10,6
Madrid, Comunidad de;Motivos de salud;9,4
Madrid, Comunidad de;Motivos económicos;5,3
Madrid, Comunidad de;Incompatibilidad horaria con las instalaciones;4,6
Madrid, Comunidad de;Falta de instalaciones adecuadas;4,6
Madrid, Comunidad de;No tener con quien practicarlo;3,8
Murcia, Región de;TOTAL;100,0
Murcia, Región de;Falta de tiempo;26,5
Murcia, Región de;Falta de interés;12,0
Murcia, Región de;Por edad;11,4
Murcia, Región de;Ya considera practicar suficiente;8,2
Murcia, Región de;Responsabilidades familiares;11,5
Murcia, Región de;Motivos de salud;11,5
Murcia, Región de;Motivos económicos;5,6
Murcia, Región de;Incompatibilidad horaria con las instalaciones;5,5
Murcia, Región de;Falta de instalaciones adecuadas;5,0
Murcia, Región de;No tener con quien practicarlo;4,4
Navarra, Comunidad Foral de;TOTAL;100,0
Navarra, Comunidad Foral de;Falta de tiempo;26,7
Navarra, Comunidad Foral de;Falta de interés;11,1
Navarra, Comunidad Foral de;Por edad;10,6
Navarra, Comunidad Foral de;Ya considera practicar suficiente;14,6
Navarra, Comunidad Foral de;Responsabilidades familiares;12,8
Navarra, Comunidad Foral de;Motivos de salud;9,1
Navarra, Comunidad Foral de;Motivos económicos;5,3
Navarra, Comunidad Foral de;Incompatibilidad horaria con las instalaciones;4,2
Navarra, Comunidad Foral de;Falta de instalaciones adecuadas;3,5
Navarra, Comunidad Foral de;No tener con quien practicarlo;3,3
País Vasco;TOTAL;100,0
País Vasco;Falta de tiempo;24,8
País Vasco;Falta de interés;13,4
País Vasco;Por edad;13,1
País Vasco;Ya considera practicar suficiente;12,2
País Vasco;Responsabilidades familiares;12,5
País Vasco;Motivos de salud;9,9
País Vasco;Motivos económicos;3,9
País Vasco;Incompatibilidad horaria con las instalaciones;3,6
País Vasco;Falta de instalaciones adecuadas;3,9
País Vasco;No tener con quien practicarlo;3,3
Rioja, La;TOTAL;100,0
Rioja, La;Falta de tiempo;26,2
Rioja, La;Falta de interés;12,7
Rioja, La;Por edad;12,4
Rioja, La;Ya considera practicar suficiente;12,5
Rioja, La;Responsabilidades familiares;9,9
Rioja, La;Motivos de salud;10,4
Rioja, La;Motivos económicos;4,9
Rioja, La;Incompatibilidad horaria con las instalaciones;4,1
Rioja, La;Falta de instalaciones adecuadas;3,4
Rioja, La;No tener con quien practicarlo;4,1
Ceuta y Melilla;TOTAL;100,0
Ceuta y Melilla;Falta de tiempo;26,0
Ceuta y Melilla;Falta de interés;9,7
Ceuta y Melilla;Por edad;13,2
Ceuta y Melilla;Ya considera practicar suficiente;7,6
Ceuta y Melilla;Responsabilidades familiares;12,6
Ceuta y Melilla;Motivos de salud;12,2
Ceuta y Melilla;Motivos económicos;4,1
Ceuta y Melilla;Incompatibilidad horaria con las instalaciones;5,4
Ceuta y Melilla;Falta de instalaciones adecuadas;6,5
Ceuta y Melilla;No tener con quien practicarlo;2,8
Capitales de provincia;TOTAL;100,0
Capitales de provincia;Falta de tiempo;26,4
