Indicador;Tipo de bienes y servicios;periodo;Total
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2013;1.027,3
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2012;1.305,0
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2011;1.341,0
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2010;1.459,9
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2009;1.338,7
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2008;1.254,8
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2007;1.509,2
TOTAL (Millones de euros);2. Equipos relacionados con los deportes y el ocio;2006;1.196,7
TOTAL (Millones de euros);2.1. Grandes equipos;2023;350,2
TOTAL (Millones de euros);2.1. Grandes equipos;2022;345,0
TOTAL (Millones de euros);2.1. Grandes equipos;2021;436,9
TOTAL (Millones de euros);2.1. Grandes equipos;2020;290,8
TOTAL (Millones de euros);2.1. Grandes equipos;2019;303,6
TOTAL (Millones de euros);2.1. Grandes equipos;2018;221,6
TOTAL (Millones de euros);2.1. Grandes equipos;2017;268,6
TOTAL (Millones de euros);2.1. Grandes equipos;2016;219,4
TOTAL (Millones de euros);2.1. Grandes equipos;2015;164,3
TOTAL (Millones de euros);2.1. Grandes equipos;2014;127,9
TOTAL (Millones de euros);2.1. Grandes equipos;2013;141,9
TOTAL (Millones de euros);2.1. Grandes equipos;2012;407,7
TOTAL (Millones de euros);2.1. Grandes equipos;2011;376,9
TOTAL (Millones de euros);2.1. Grandes equipos;2010;518,7
TOTAL (Millones de euros);2.1. Grandes equipos;2009;397,8
TOTAL (Millones de euros);2.1. Grandes equipos;2008;373,1
TOTAL (Millones de euros);2.1. Grandes equipos;2007;599,7
TOTAL (Millones de euros);2.1. Grandes equipos;2006;318,4
TOTAL (Millones de euros);2.2. Otros equipos;2023;745,5
TOTAL (Millones de euros);2.2. Otros equipos;2022;716,6
TOTAL (Millones de euros);2.2. Otros equipos;2021;568,1
TOTAL (Millones de euros);2.2. Otros equipos;2020;575,7
TOTAL (Millones de euros);2.2. Otros equipos;2019;670,4
TOTAL (Millones de euros);2.2. Otros equipos;2018;666,0
TOTAL (Millones de euros);2.2. Otros equipos;2017;625,2
TOTAL (Millones de euros);2.2. Otros equipos;2016;525,4
TOTAL (Millones de euros);2.2. Otros equipos;2015;619,4
TOTAL (Millones de euros);2.2. Otros equipos;2014;614,5
TOTAL (Millones de euros);2.2. Otros equipos;2013;573,0
