Indicador;Tipo de bienes y servicios;periodo;Total
Gasto medio por unidad de consumo (Euros);TOTAL;2013;147,8
Gasto medio por unidad de consumo (Euros);TOTAL;2012;144,5
Gasto medio por unidad de consumo (Euros);TOTAL;2011;155,0
Gasto medio por unidad de consumo (Euros);TOTAL;2010;153,1
Gasto medio por unidad de consumo (Euros);TOTAL;2009;149,6
Gasto medio por unidad de consumo (Euros);TOTAL;2008;161,5
Gasto medio por unidad de consumo (Euros);TOTAL;2007;159,4
Gasto medio por unidad de consumo (Euros);TOTAL;2006;142,8
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2023;149,5
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2022;146,9
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2021;94,8
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2020;69,9
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2019;143,0
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2018;136,0
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2017;145,1
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2016;124,2
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2015;107,1
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2014;102,1
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2013;114,6
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2012;102,3
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2011;111,5
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2010;105,5
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2009;105,6
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2008;119,9
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2007;108,4
Gasto medio por unidad de consumo (Euros);1. Servicios recreativos y deportivos;2006;101,5
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2023;28,7
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2022;22,9
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2021;9,7
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2020;6,8
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2019;18,0
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2018;21,3
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2017;21,7
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2016;27,8
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2015;23,6
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2014;22,5
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2013;25,2
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2012;22,5
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2011;24,5
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2010;23,2
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2009;23,2
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2008;26,4
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2007;23,8
Gasto medio por unidad de consumo (Euros);1.1. Asistencia a eventos;2006;22,3
Gasto medio por unidad de consumo (Euros);1.2. Participación;2023;120,8
Gasto medio por unidad de consumo (Euros);1.2. Participación;2022;123,9
Gasto medio por unidad de consumo (Euros);1.2. Participación;2021;85,1
Gasto medio por unidad de consumo (Euros);1.2. Participación;2020;63,1
Gasto medio por unidad de consumo (Euros);1.2. Participación;2019;125,1
Gasto medio por unidad de consumo (Euros);1.2. Participación;2018;114,8
Gasto medio por unidad de consumo (Euros);1.2. Participación;2017;123,3
Gasto medio por unidad de consumo (Euros);1.2. Participación;2016;96,4
Gasto medio por unidad de consumo (Euros);1.2. Participación;2015;83,6
Gasto medio por unidad de consumo (Euros);1.2. Participación;2014;79,6
Gasto medio por unidad de consumo (Euros);1.2. Participación;2013;89,4
Gasto medio por unidad de consumo (Euros);1.2. Participación;2012;79,8
Gasto medio por unidad de consumo (Euros);1.2. Participación;2011;87,0
Gasto medio por unidad de consumo (Euros);1.2. Participación;2010;82,3
Gasto medio por unidad de consumo (Euros);1.2. Participación;2009;82,4
Gasto medio por unidad de consumo (Euros);1.2. Participación;2008;93,5
Gasto medio por unidad de consumo (Euros);1.2. Participación;2007;84,5
Gasto medio por unidad de consumo (Euros);1.2. Participación;2006;79,1
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2023;44,9
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2022;45,5
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2021;43,9
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2020;38,5
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2019;41,3
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2018;40,9
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2017;38,0
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2016;34,9
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2015;36,6
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2014;34,3
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2013;33,2
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2012;42,2
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2011;43,5
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2010;47,6
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2009;44,0
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2008;41,7
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2007;51,0
Gasto medio por unidad de consumo (Euros);2. Equipos relacionados con los deportes y el ocio;2006;41,3
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2023;10,8
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2022;10,8
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2021;13,8
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2020;9,2
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2019;9,6
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2018;7,1
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2017;8,6
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2016;7,1
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2015;5,3
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2014;4,1
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2013;4,6
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2012;13,2
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2011;12,2
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2010;16,9
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2009;13,1
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2008;12,4
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2007;20,3
Gasto medio por unidad de consumo (Euros);2.1. Grandes equipos;2006;11,0
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2023;22,9
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2022;22,5
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2021;17,9
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2020;18,2
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2019;21,3
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2018;21,3
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2017;20,1
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2016;17,0
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2015;20,0
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2014;19,9
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2013;18,5
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2012;19,0
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2011;20,7
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2010;21,0
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2009;21,1
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2008;21,0
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2007;23,1
Gasto medio por unidad de consumo (Euros);2.2. Otros equipos;2006;22,6
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2023;11,2
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2022;12,2
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2021;12,2
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2020;11,1
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2019;10,4
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2018;12,5
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2017;9,3
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2016;10,8
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2015;11,2
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2014;10,3
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2013;10,1
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2012;10,0
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2011;10,6
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2010;9,7
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2009;9,8
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2008;8,3
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2007;7,6
Gasto medio por unidad de consumo (Euros);2.3. Bicicletas;2006;7,7
Gasto medio por persona (Euros);TOTAL;2023;131,8
Gasto medio por persona (Euros);TOTAL;2022;130,4
Gasto medio por persona (Euros);TOTAL;2021;93,9
Gasto medio por persona (Euros);TOTAL;2020;73,2
Gasto medio por persona (Euros);TOTAL;2019;124,4
Gasto medio por persona (Euros);TOTAL;2018;119,4
Gasto medio por persona (Euros);TOTAL;2017;123,4
Gasto medio por persona (Euros);TOTAL;2016;107,1
Gasto medio por persona (Euros);TOTAL;2015;96,7
Gasto medio por persona (Euros);TOTAL;2014;91,6
Gasto medio por persona (Euros);TOTAL;2013;99,0
Gasto medio por persona (Euros);TOTAL;2012;96,5
Gasto medio por persona (Euros);TOTAL;2011;103,2
Gasto medio por persona (Euros);TOTAL;2010;101,7
Gasto medio por persona (Euros);TOTAL;2009;99,1
Gasto medio por persona (Euros);TOTAL;2008;106,7
Gasto medio por persona (Euros);TOTAL;2007;105,1
Gasto medio por persona (Euros);TOTAL;2006;93,9
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2023;101,3
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2022;99,6
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2021;64,2
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2020;47,2
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2019;96,5
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2018;91,8
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2017;97,8
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2016;83,6
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2015;72,1
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2014;68,5
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2013;76,8
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2012;68,3
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2011;74,2
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2010;70,1
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2009;70,0
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2008;79,2
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2007;71,4
Gasto medio por persona (Euros);1. Servicios recreativos y deportivos;2006;66,7
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2023;19,5
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2022;15,6
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2021;6,6
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2020;4,6
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2019;12,1
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2018;14,3
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2017;14,7
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2016;18,7
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2015;15,9
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2014;15,1
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2013;16,9
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2012;15,0
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2011;16,3
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2010;15,4
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2009;15,4
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2008;17,4
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2007;15,7
Gasto medio por persona (Euros);1.1. Asistencia a eventos;2006;14,7
Gasto medio por persona (Euros);1.2. Participación;2023;81,9
Gasto medio por persona (Euros);1.2. Participación;2022;84,0
Gasto medio por persona (Euros);1.2. Participación;2021;57,6
Gasto medio por persona (Euros);1.2. Participación;2020;42,6
Gasto medio por persona (Euros);1.2. Participación;2019;84,4
Gasto medio por persona (Euros);1.2. Participación;2018;77,4
Gasto medio por persona (Euros);1.2. Participación;2017;83,1
Gasto medio por persona (Euros);1.2. Participación;2016;64,9
Gasto medio por persona (Euros);1.2. Participación;2015;56,2
Gasto medio por persona (Euros);1.2. Participación;2014;53,5
Gasto medio por persona (Euros);1.2. Participación;2013;59,9
Gasto medio por persona (Euros);1.2. Participación;2012;53,3
Gasto medio por persona (Euros);1.2. Participación;2011;57,9
Gasto medio por persona (Euros);1.2. Participación;2010;54,7
Gasto medio por persona (Euros);1.2. Participación;2009;54,6
Gasto medio por persona (Euros);1.2. Participación;2008;61,8
Gasto medio por persona (Euros);1.2. Participación;2007;55,7
Gasto medio por persona (Euros);1.2. Participación;2006;52,1
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2023;30,4
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2022;30,9
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2021;29,7
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2020;26,0
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2019;27,9
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2018;27,6
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2017;25,6
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2016;23,5
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2015;24,6
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2014;23,0
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2013;22,3
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2012;28,2
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2011;29,0
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2010;31,6
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2009;29,1
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2008;27,5
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2007;33,6
Gasto medio por persona (Euros);2. Equipos relacionados con los deportes y el ocio;2006;27,2
Gasto medio por persona (Euros);2.1. Grandes equipos;2023;7,3
Gasto medio por persona (Euros);2.1. Grandes equipos;2022;7,3
Gasto medio por persona (Euros);2.1. Grandes equipos;2021;9,3
Gasto medio por persona (Euros);2.1. Grandes equipos;2020;6,2
Gasto medio por persona (Euros);2.1. Grandes equipos;2019;6,5
Gasto medio por persona (Euros);2.1. Grandes equipos;2018;4,8
Gasto medio por persona (Euros);2.1. Grandes equipos;2017;5,8
Gasto medio por persona (Euros);2.1. Grandes equipos;2016;4,8
Gasto medio por persona (Euros);2.1. Grandes equipos;2015;3,6
Gasto medio por persona (Euros);2.1. Grandes equipos;2014;2,8
Gasto medio por persona (Euros);2.1. Grandes equipos;2013;3,1
Gasto medio por persona (Euros);2.1. Grandes equipos;2012;8,8
Gasto medio por persona (Euros);2.1. Grandes equipos;2011;8,1
Gasto medio por persona (Euros);2.1. Grandes equipos;2010;11,2
Gasto medio por persona (Euros);2.1. Grandes equipos;2009;8,7
Gasto medio por persona (Euros);2.1. Grandes equipos;2008;8,2
Gasto medio por persona (Euros);2.1. Grandes equipos;2007;13,4
Gasto medio por persona (Euros);2.1. Grandes equipos;2006;7,2
Gasto medio por persona (Euros);2.2. Otros equipos;2023;15,5
Gasto medio por persona (Euros);2.2. Otros equipos;2022;15,2
Gasto medio por persona (Euros);2.2. Otros equipos;2021;12,1
Gasto medio por persona (Euros);2.2. Otros equipos;2020;12,3
Gasto medio por persona (Euros);2.2. Otros equipos;2019;14,4
Gasto medio por persona (Euros);2.2. Otros equipos;2018;14,4
Gasto medio por persona (Euros);2.2. Otros equipos;2017;13,6
Gasto medio por persona (Euros);2.2. Otros equipos;2016;11,4
Gasto medio por persona (Euros);2.2. Otros equipos;2015;13,5
Gasto medio por persona (Euros);2.2. Otros equipos;2014;13,4
Gasto medio por persona (Euros);2.2. Otros equipos;2013;12,4
Gasto medio por persona (Euros);2.2. Otros equipos;2012;12,7
Gasto medio por persona (Euros);2.2. Otros equipos;2011;13,8
Gasto medio por persona (Euros);2.2. Otros equipos;2010;13,9
Gasto medio por persona (Euros);2.2. Otros equipos;2009;14,0
Gasto medio por persona (Euros);2.2. Otros equipos;2008;13,9
Gasto medio por persona (Euros);2.2. Otros equipos;2007;15,2
Gasto medio por persona (Euros);2.2. Otros equipos;2006;14,9
Gasto medio por persona (Euros);2.3. Bicicletas;2023;7,6
Gasto medio por persona (Euros);2.3. Bicicletas;2022;8,3
Gasto medio por persona (Euros);2.3. Bicicletas;2021;8,2
Gasto medio por persona (Euros);2.3. Bicicletas;2020;7,5
Gasto medio por persona (Euros);2.3. Bicicletas;2019;7,0
Gasto medio por persona (Euros);2.3. Bicicletas;2018;8,4
Gasto medio por persona (Euros);2.3. Bicicletas;2017;6,2
Gasto medio por persona (Euros);2.3. Bicicletas;2016;7,3
Gasto medio por persona (Euros);2.3. Bicicletas;2015;7,6
Gasto medio por persona (Euros);2.3. Bicicletas;2014;6,9
Gasto medio por persona (Euros);2.3. Bicicletas;2013;6,8
Gasto medio por persona (Euros);2.3. Bicicletas;2012;6,7
Gasto medio por persona (Euros);2.3. Bicicletas;2011;7,0
Gasto medio por persona (Euros);2.3. Bicicletas;2010;6,4
Gasto medio por persona (Euros);2.3. Bicicletas;2009;6,5
Gasto medio por persona (Euros);2.3. Bicicletas;2008;5,5
Gasto medio por persona (Euros);2.3. Bicicletas;2007;5,0
Gasto medio por persona (Euros);2.3. Bicicletas;2006;5,1
