Indicador;Intervalos de ingresos mensuales del hogar;periodo;Total
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2021;789,5
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2020;411,1
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2019;880,0
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2018;885,6
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2017;768,5
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2016;784,1
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2015;709,7
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2014;614,7
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2013;792,1
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2012;720,1
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2011;743,5
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2010;661,6
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2009;715,0
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2008;838,3
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2007;878,7
TOTAL (Millones de euros);Entre 2.500 y 2.999 euros;2006;481,9
TOTAL (Millones de euros);3.000 y más euros;2023;3.607,4
TOTAL (Millones de euros);3.000 y más euros;2022;2.904,2
TOTAL (Millones de euros);3.000 y más euros;2021;2.124,0
TOTAL (Millones de euros);3.000 y más euros;2020;1.821,8
TOTAL (Millones de euros);3.000 y más euros;2019;2.519,2
TOTAL (Millones de euros);3.000 y más euros;2018;2.421,4
TOTAL (Millones de euros);3.000 y más euros;2017;2.471,9
TOTAL (Millones de euros);3.000 y más euros;2016;1.725,7
TOTAL (Millones de euros);3.000 y más euros;2015;1.524,0
TOTAL (Millones de euros);3.000 y más euros;2014;1.230,8
TOTAL (Millones de euros);3.000 y más euros;2013;1.390,7
TOTAL (Millones de euros);3.000 y más euros;2012;1.363,3
TOTAL (Millones de euros);3.000 y más euros;2011;1.817,5
TOTAL (Millones de euros);3.000 y más euros;2010;1.816,5
TOTAL (Millones de euros);3.000 y más euros;2009;1.691,3
TOTAL (Millones de euros);3.000 y más euros;2008;2.046,3
TOTAL (Millones de euros);3.000 y más euros;2007;1.613,6
TOTAL (Millones de euros);3.000 y más euros;2006;1.273,6
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2020;0,7
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2019;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2018;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2013;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2012;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2007;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2023;0,3
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2022;0,3
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2021;0,3
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2020;0,2
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2019;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2018;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2017;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2016;0,5
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2015;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2014;0,5
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2013;0,5
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2012;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2011;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2010;0,4
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2009;0,3
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2008;0,3
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2007;0,3
En porcentaje del gasto en el total de bienes y servicios;Menos de 1.000 euros;2006;0,3
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2023;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2022;0,5
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2021;0,5
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2020;0,5
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2019;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2018;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2017;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2016;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2015;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2014;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2013;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2012;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2011;0,7
