Indicador;Intervalos de ingresos mensuales del hogar;periodo;Total
Gasto medio por hogar (Euros);3.000 y más euros;2015;595,1
Gasto medio por hogar (Euros);3.000 y más euros;2014;508,2
Gasto medio por hogar (Euros);3.000 y más euros;2013;584,2
Gasto medio por hogar (Euros);3.000 y más euros;2012;544,7
Gasto medio por hogar (Euros);3.000 y más euros;2011;653,5
Gasto medio por hogar (Euros);3.000 y más euros;2010;688,3
Gasto medio por hogar (Euros);3.000 y más euros;2009;597,4
Gasto medio por hogar (Euros);3.000 y más euros;2008;719,1
Gasto medio por hogar (Euros);3.000 y más euros;2007;651,6
Gasto medio por hogar (Euros);3.000 y más euros;2006;625,4
Gasto medio por unidad de consumo (Euros);TOTAL;2023;194,4
Gasto medio por unidad de consumo (Euros);TOTAL;2022;192,4
Gasto medio por unidad de consumo (Euros);TOTAL;2021;138,7
Gasto medio por unidad de consumo (Euros);TOTAL;2020;108,4
Gasto medio por unidad de consumo (Euros);TOTAL;2019;184,4
Gasto medio por unidad de consumo (Euros);TOTAL;2018;176,9
Gasto medio por unidad de consumo (Euros);TOTAL;2017;183,1
Gasto medio por unidad de consumo (Euros);TOTAL;2016;159,1
Gasto medio por unidad de consumo (Euros);TOTAL;2015;143,7
Gasto medio por unidad de consumo (Euros);TOTAL;2014;136,4
Gasto medio por unidad de consumo (Euros);TOTAL;2013;147,8
Gasto medio por unidad de consumo (Euros);TOTAL;2012;144,5
Gasto medio por unidad de consumo (Euros);TOTAL;2011;155,0
Gasto medio por unidad de consumo (Euros);TOTAL;2010;153,1
Gasto medio por unidad de consumo (Euros);TOTAL;2009;149,6
Gasto medio por unidad de consumo (Euros);TOTAL;2008;161,5
Gasto medio por unidad de consumo (Euros);TOTAL;2007;159,4
Gasto medio por unidad de consumo (Euros);TOTAL;2006;142,8
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2023;36,9
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2022;41,4
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2021;37,1
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2020;26,3
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2019;48,3
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2018;50,7
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2017;39,9
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2016;56,5
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2015;46,3
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2014;47,5
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2013;48,4
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2012;48,4
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2011;47,4
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2010;46,1
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2009;40,1
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2008;36,8
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2007;33,8
Gasto medio por unidad de consumo (Euros);Menos de 1.000 euros;2006;38,3
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2023;99,1
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2022;70,6
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2021;70,8
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2020;62,9
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2019;106,3
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2018;80,2
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2017;98,7
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2016;97,8
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2015;78,1
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2014;90,3
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2013;100,1
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2012;83,2
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2011;97,8
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2010;81,1
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2009;89,6
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2008;81,0
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2007;103,3
Gasto medio por unidad de consumo (Euros);Entre 1.000 y 1.499 euros;2006;83,4
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2023;130,3
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2022;147,5
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2021;95,9
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2020;66,1
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2019;133,7
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2018;136,7
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2017;150,6
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2016;152,5
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2015;142,0
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2014;145,2
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2013;143,4
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2012;137,4
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2011;129,7
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2010;126,9
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2009;111,7
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2008;118,2
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2007;121,2
Gasto medio por unidad de consumo (Euros);Entre 1.500 y 1.999 euros;2006;150,9
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2023;142,8
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2022;169,1
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2021;117,6
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2020;94,0
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2019;173,1
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2018;182,9
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2017;191,9
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2016;160,0
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2015;156,1
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2014;169,3
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2013;166,8
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2012;200,1
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2011;162,5
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2010;163,4
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2009;169,6
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2008;155,8
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2007;171,5
Gasto medio por unidad de consumo (Euros);Entre 2.000 y 2.499 euros;2006;194,1
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2023;180,6
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2022;226,4
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2021;144,8
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2020;108,8
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2019;220,4
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2018;214,4
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2017;221,2
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2016;220,4
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2015;205,8
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2014;183,7
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2013;225,5
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2012;194,4
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2011;194,7
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2010;208,5
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2009;208,8
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2008;220,6
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2007;262,3
Gasto medio por unidad de consumo (Euros);Entre 2.500 y 2.999 euros;2006;171,8
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2023;326,3
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2022;321,4
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2021;253,8
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2020;207,3
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2019;346,1
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2018;343,8
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2017;372,3
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2016;298,4
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2015;293,9
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2014;250,3
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2013;287,8
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2012;265,3
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2011;315,3
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2010;328,9
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2009;282,1
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2008;332,0
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2007;294,7
Gasto medio por unidad de consumo (Euros);3.000 y más euros;2006;279,3
Gasto medio por persona (Euros);TOTAL;2023;131,8
Gasto medio por persona (Euros);TOTAL;2022;130,4
Gasto medio por persona (Euros);TOTAL;2021;93,9
Gasto medio por persona (Euros);TOTAL;2020;73,2
Gasto medio por persona (Euros);TOTAL;2019;124,4
Gasto medio por persona (Euros);TOTAL;2018;119,4
Gasto medio por persona (Euros);TOTAL;2017;123,4
Gasto medio por persona (Euros);TOTAL;2016;107,1
Gasto medio por persona (Euros);TOTAL;2015;96,7
Gasto medio por persona (Euros);TOTAL;2014;91,6
Gasto medio por persona (Euros);TOTAL;2013;99,0
Gasto medio por persona (Euros);TOTAL;2012;96,5
Gasto medio por persona (Euros);TOTAL;2011;103,2
Gasto medio por persona (Euros);TOTAL;2010;101,7
Gasto medio por persona (Euros);TOTAL;2009;99,1
Gasto medio por persona (Euros);TOTAL;2008;106,7
Gasto medio por persona (Euros);TOTAL;2007;105,1
Gasto medio por persona (Euros);TOTAL;2006;93,9
Gasto medio por persona (Euros);Menos de 1.000 euros;2023;29,5
Gasto medio por persona (Euros);Menos de 1.000 euros;2022;32,9
Gasto medio por persona (Euros);Menos de 1.000 euros;2021;28,8
Gasto medio por persona (Euros);Menos de 1.000 euros;2020;20,1
Gasto medio por persona (Euros);Menos de 1.000 euros;2019;37,4
Gasto medio por persona (Euros);Menos de 1.000 euros;2018;38,8
Gasto medio por persona (Euros);Menos de 1.000 euros;2017;30,0
Gasto medio por persona (Euros);Menos de 1.000 euros;2016;42,0
Gasto medio por persona (Euros);Menos de 1.000 euros;2015;34,0
Gasto medio por persona (Euros);Menos de 1.000 euros;2014;34,5
Gasto medio por persona (Euros);Menos de 1.000 euros;2013;35,1
Gasto medio por persona (Euros);Menos de 1.000 euros;2012;35,3
Gasto medio por persona (Euros);Menos de 1.000 euros;2011;35,4
Gasto medio por persona (Euros);Menos de 1.000 euros;2010;34,4
Gasto medio por persona (Euros);Menos de 1.000 euros;2009;30,3
Gasto medio por persona (Euros);Menos de 1.000 euros;2008;28,5
Gasto medio por persona (Euros);Menos de 1.000 euros;2007;26,0
Gasto medio por persona (Euros);Menos de 1.000 euros;2006;29,1
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2023;73,3
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2022;52,0
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2021;51,5
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2020;45,0
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2019;75,9
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2018;56,9
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2017;69,5
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2016;67,9
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2015;54,0
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2014;62,2
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2013;69,0
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2012;57,0
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2011;66,7
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2010;55,3
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2009;61,3
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2008;55,4
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2007;69,8
Gasto medio por persona (Euros);Entre 1.000 y 1.499 euros;2006;55,4
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2023;92,6
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2022;103,2
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2021;66,6
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2020;45,5
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2019;90,8
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2018;92,4
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2017;101,3
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2016;103,2
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2015;95,7
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2014;97,3
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2013;95,1
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2012;91,1
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2011;85,6
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2010;83,3
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2009;72,9
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2008;77,0
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2007;78,6
Gasto medio por persona (Euros);Entre 1.500 y 1.999 euros;2006;96,7
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2023;96,8
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2022;114,4
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2021;78,5
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2020;62,3
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2019;114,5
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2018;120,4
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2017;126,6
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2016;105,1
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2015;102,3
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2014;110,8
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2013;109,1
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2012;130,3
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2011;104,8
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2010;104,6
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2009;109,1
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2008;99,7
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2007;109,0
Gasto medio por persona (Euros);Entre 2.000 y 2.499 euros;2006;122,4
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2023;119,2
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2022;147,3
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2021;94,5
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2020;70,9
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2019;140,9
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2018;137,9
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2017;141,9
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2016;141,0
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2015;131,4
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2014;117,2
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2013;143,7
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2012;123,5
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2011;124,3
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2010;132,4
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2009;131,9
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2008;138,5
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2007;163,4
Gasto medio por persona (Euros);Entre 2.500 y 2.999 euros;2006;106,6
Gasto medio por persona (Euros);3.000 y más euros;2023;205,1
Gasto medio por persona (Euros);3.000 y más euros;2022;201,7
Gasto medio por persona (Euros);3.000 y más euros;2021;159,2
Gasto medio por persona (Euros);3.000 y más euros;2020;130,5
Gasto medio por persona (Euros);3.000 y más euros;2019;217,3
Gasto medio por persona (Euros);3.000 y más euros;2018;215,0
Gasto medio por persona (Euros);3.000 y más euros;2017;232,7
Gasto medio por persona (Euros);3.000 y más euros;2016;185,1
Gasto medio por persona (Euros);3.000 y más euros;2015;182,9
Gasto medio por persona (Euros);3.000 y más euros;2014;155,7
Gasto medio por persona (Euros);3.000 y más euros;2013;178,9
Gasto medio por persona (Euros);3.000 y más euros;2012;164,9
Gasto medio por persona (Euros);3.000 y más euros;2011;195,5
Gasto medio por persona (Euros);3.000 y más euros;2010;203,7
Gasto medio por persona (Euros);3.000 y más euros;2009;174,7
Gasto medio por persona (Euros);3.000 y más euros;2008;204,2
Gasto medio por persona (Euros);3.000 y más euros;2007;180,6
Gasto medio por persona (Euros);3.000 y más euros;2006;170,7
