Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);Estado civil: Divorciado;2011;191,7
TOTAL (Millones de euros);Estado civil: Divorciado;2010;208,3
TOTAL (Millones de euros);Estado civil: Divorciado;2009;159,0
TOTAL (Millones de euros);Estado civil: Divorciado;2008;155,6
TOTAL (Millones de euros);Estado civil: Divorciado;2007;117,5
TOTAL (Millones de euros);Estado civil: Divorciado;2006;91,2
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2023;756,1
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2022;646,8
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2021;535,4
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2020;428,1
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2019;703,2
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2018;693,6
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2017;670,1
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2016;598,4
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2015;450,5
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2014;497,5
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2013;620,0
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2012;534,7
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2011;442,9
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2010;429,1
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2009;442,9
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2008;414,4
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2007;389,7
TOTAL (Millones de euros);Tipo de hogar: Persona sola;2006;277,4
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2023;1.243,2
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2022;1.006,9
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2021;665,4
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2020;641,3
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2019;1.113,6
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2018;1.076,4
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2017;951,7
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2016;770,8
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2015;921,1
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2014;782,6
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2013;775,7
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2012;855,5
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2011;910,7
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2010;799,3
TOTAL (Millones de euros);Tipo de hogar: Pareja sin hijos;2009;738,7
