Indicador;Grupo de gasto;Comunidad autónoma;periodo;Total
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2012;81,6
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2011;82,1
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2010;80,7
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2009;75,8
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2008;85,3
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2007;74,1
Porcentaje;Servicios recreativos y deportivos;Madrid (Comunidad de);2006;69,1
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2023;75,6
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2022;81,0
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2021;58,5
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2020;68,9
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2019;77,3
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2018;71,6
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2017;82,8
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2016;84,1
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2015;74,9
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2014;79,7
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2013;74,3
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2012;49,1
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2011;66,5
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2010;60,1
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2009;50,3
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2008;57,0
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2007;66,1
Porcentaje;Servicios recreativos y deportivos;Murcia (Región de);2006;65,9
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2023;89,1
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2022;81,6
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2021;78,6
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2020;72,1
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2019;78,9
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2018;76,3
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2017;83,4
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2016;67,1
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2015;75,2
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2014;79,6
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2013;84,1
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2012;75,8
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2011;61,7
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2010;78,4
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2009;78,3
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2008;80,6
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2007;72,8
Porcentaje;Servicios recreativos y deportivos;Navarra (Comunidad Foral de);2006;69,8
Porcentaje;Servicios recreativos y deportivos;País Vasco;2023;63,2
Porcentaje;Servicios recreativos y deportivos;País Vasco;2022;58,1
Porcentaje;Servicios recreativos y deportivos;País Vasco;2021;51,6
Porcentaje;Servicios recreativos y deportivos;País Vasco;2020;56,4
Porcentaje;Servicios recreativos y deportivos;País Vasco;2019;73,7
Porcentaje;Servicios recreativos y deportivos;País Vasco;2018;80,2
Porcentaje;Servicios recreativos y deportivos;País Vasco;2017;74,9
Porcentaje;Servicios recreativos y deportivos;País Vasco;2016;79,6
Porcentaje;Servicios recreativos y deportivos;País Vasco;2015;72,9
Porcentaje;Servicios recreativos y deportivos;País Vasco;2014;78,5
Porcentaje;Servicios recreativos y deportivos;País Vasco;2013;84,5
Porcentaje;Servicios recreativos y deportivos;País Vasco;2012;79,0
Porcentaje;Servicios recreativos y deportivos;País Vasco;2011;69,7
Porcentaje;Servicios recreativos y deportivos;País Vasco;2010;71,0
Porcentaje;Servicios recreativos y deportivos;País Vasco;2009;79,5
Porcentaje;Servicios recreativos y deportivos;País Vasco;2008;69,8
Porcentaje;Servicios recreativos y deportivos;País Vasco;2007;68,3
Porcentaje;Servicios recreativos y deportivos;País Vasco;2006;67,1
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2023;84,6
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2022;82,6
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2021;72,6
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2020;61,5
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2019;76,0
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2018;65,4
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2017;72,6
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2016;75,0
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2015;61,4
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2014;78,5
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2013;73,2
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2012;71,4
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2011;70,5
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2010;72,9
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2009;61,9
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2008;70,0
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2007;76,1
Porcentaje;Servicios recreativos y deportivos;Rioja (La);2006;75,6
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2023;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2022;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2021;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2020;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2019;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2018;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2017;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2016;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2015;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2014;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2013;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2012;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2011;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2010;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2009;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2008;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2007;..
Porcentaje;Servicios recreativos y deportivos;Ceuta y Melilla;2006;..
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2023;23,1
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2022;23,7
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2021;31,6
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2020;35,5
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2019;22,4
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2018;23,1
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2017;20,8
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2016;21,9
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2015;25,5
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2014;25,1
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2013;22,5
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2012;29,2
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2011;28,1
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2010;31,1
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2009;29,4
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2008;25,8
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2007;32,0
Porcentaje;Equipos relacionados con los deportes y el ocio;TOTAL;2006;28,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2023;10,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2022;18,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2021;27,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2020;31,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2019;19,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2018;21,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2017;22,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2016;19,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2015;23,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2014;22,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2013;20,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2012;29,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2011;28,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2010;44,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2009;28,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2008;22,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2007;34,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Andalucía;2006;24,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2023;21,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2022;32,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2021;51,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2020;30,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2019;24,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2018;16,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2017;21,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2016;18,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2015;23,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2014;22,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2013;27,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2012;27,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2011;26,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2010;20,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2009;34,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2008;31,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2007;16,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Aragón;2006;37,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2023;13,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2022;33,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2021;40,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2020;35,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2019;23,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2018;19,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2017;20,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2016;23,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2015;27,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2014;31,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2013;26,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2012;30,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2011;26,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2010;27,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2009;33,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2008;40,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2007;29,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Asturias (Principado de);2006;15,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2023;29,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2022;31,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2021;22,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2020;40,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2019;26,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2018;25,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2017;43,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2016;23,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2015;25,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2014;20,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2013;23,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2012;23,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2011;36,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2010;21,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2009;19,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2008;18,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2007;28,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Balears (Illes);2006;29,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2023;28,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2022;22,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2021;26,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2020;33,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2019;21,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2018;23,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2017;22,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2016;15,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2015;22,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2014;26,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2013;29,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2012;29,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2011;32,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2010;37,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2009;29,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2008;37,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2007;35,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Canarias;2006;50,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2023;36,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2022;32,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2021;28,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2020;36,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2019;32,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2018;29,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2017;34,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2016;26,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2015;27,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2014;34,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2013;27,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2012;39,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2011;34,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2010;31,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2009;32,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2008;39,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2007;32,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Cantabria;2006;32,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2023;20,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2022;20,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2021;34,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2020;42,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2019;19,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2018;27,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2017;22,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2016;29,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2015;29,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2014;17,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2013;14,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2012;27,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2011;34,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2010;31,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2009;28,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2008;27,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2007;37,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla y León;2006;23,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2023;32,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2022;16,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2021;30,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2020;38,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2019;35,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2018;21,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2017;22,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2016;28,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2015;28,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2014;31,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2013;23,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2012;27,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2011;33,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2010;32,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2009;31,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2008;28,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2007;36,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Castilla-La Mancha;2006;21,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2023;29,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2022;28,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2021;27,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2020;40,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2019;19,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2018;26,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2017;16,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2016;24,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2015;27,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2014;25,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2013;26,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2012;28,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2011;29,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2010;24,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2009;28,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2008;27,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2007;36,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Cataluña;2006;29,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2023;22,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2022;21,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2021;29,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2020;27,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2019;23,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2018;21,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2017;19,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2016;23,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2015;22,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2014;32,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2013;21,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2012;44,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2011;28,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2010;35,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2009;31,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2008;28,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2007;27,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Comunitat Valenciana;2006;25,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2023;46,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2022;29,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2021;20,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2020;48,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2019;32,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2018;30,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2017;23,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2016;21,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2015;27,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2014;33,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2013;32,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2012;26,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2011;23,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2010;19,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2009;34,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2008;36,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2007;40,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Extremadura;2006;35,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2023;28,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2022;24,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2021;43,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2020;50,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2019;24,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2018;28,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2017;21,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2016;20,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2015;36,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2014;30,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2013;40,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2012;28,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2011;34,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2010;51,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2009;49,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2008;38,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2007;39,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Galicia;2006;35,6
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2023;21,1
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2022;20,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2021;32,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2020;30,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2019;21,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2018;17,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2017;15,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2016;18,5
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2015;21,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2014;25,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2013;18,8
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2012;18,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2011;17,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2010;19,3
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2009;24,2
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2008;14,7
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2007;25,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Madrid (Comunidad de);2006;30,9
Porcentaje;Equipos relacionados con los deportes y el ocio;Murcia (Región de);2023;24,4
Porcentaje;Equipos relacionados con los deportes y el ocio;Murcia (Región de);2022;19,0
Porcentaje;Equipos relacionados con los deportes y el ocio;Murcia (Región de);2021;41,5
