Indicador;Grupo de gasto;Comunidad autónoma;periodo;Total
TOTAL (Millones de euros);TOTAL;Extremadura;2017;69,0
TOTAL (Millones de euros);TOTAL;Extremadura;2016;83,1
TOTAL (Millones de euros);TOTAL;Extremadura;2015;74,6
TOTAL (Millones de euros);TOTAL;Extremadura;2014;65,5
TOTAL (Millones de euros);TOTAL;Extremadura;2013;66,8
TOTAL (Millones de euros);TOTAL;Extremadura;2012;75,4
TOTAL (Millones de euros);TOTAL;Extremadura;2011;79,4
TOTAL (Millones de euros);TOTAL;Extremadura;2010;70,4
TOTAL (Millones de euros);TOTAL;Extremadura;2009;46,8
TOTAL (Millones de euros);TOTAL;Extremadura;2008;56,9
TOTAL (Millones de euros);TOTAL;Extremadura;2007;53,8
TOTAL (Millones de euros);TOTAL;Extremadura;2006;53,7
TOTAL (Millones de euros);TOTAL;Galicia;2023;332,2
TOTAL (Millones de euros);TOTAL;Galicia;2022;390,4
TOTAL (Millones de euros);TOTAL;Galicia;2021;263,5
TOTAL (Millones de euros);TOTAL;Galicia;2020;172,8
TOTAL (Millones de euros);TOTAL;Galicia;2019;216,1
TOTAL (Millones de euros);TOTAL;Galicia;2018;223,3
TOTAL (Millones de euros);TOTAL;Galicia;2017;274,4
TOTAL (Millones de euros);TOTAL;Galicia;2016;239,8
TOTAL (Millones de euros);TOTAL;Galicia;2015;232,3
TOTAL (Millones de euros);TOTAL;Galicia;2014;182,3
TOTAL (Millones de euros);TOTAL;Galicia;2013;169,5
TOTAL (Millones de euros);TOTAL;Galicia;2012;223,2
TOTAL (Millones de euros);TOTAL;Galicia;2011;175,7
TOTAL (Millones de euros);TOTAL;Galicia;2010;193,7
TOTAL (Millones de euros);TOTAL;Galicia;2009;243,4
TOTAL (Millones de euros);TOTAL;Galicia;2008;189,7
TOTAL (Millones de euros);TOTAL;Galicia;2007;242,5
TOTAL (Millones de euros);TOTAL;Galicia;2006;259,2
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2023;882,0
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2022;869,8
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2021;713,8
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2020;521,7
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2019;959,0
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2018;756,8
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2017;804,2
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2016;776,8
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2015;591,3
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2014;600,1
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2013;658,9
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2012;730,5
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2011;870,1
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2010;842,1
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2009;686,4
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2008;771,0
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2007;700,6
TOTAL (Millones de euros);TOTAL;Madrid (Comunidad de);2006;610,3
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2023;183,1
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2022;176,1
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2021;102,1
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2020;100,7
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2019;175,3
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2018;204,1
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2017;208,2
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2016;138,8
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2015;136,1
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2014;123,5
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2013;114,5
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2012;122,2
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2011;127,5
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2010;110,5
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2009;99,6
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2008;105,9
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2007;131,4
TOTAL (Millones de euros);TOTAL;Murcia (Región de);2006;112,8
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2023;175,4
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2022;141,8
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2021;134,6
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2020;86,5
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2019;117,6
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2018;121,1
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2017;123,4
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2016;91,7
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2015;108,2
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2014;98,6
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2013;108,8
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2012;112,2
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2011;97,8
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2010;96,3
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2009;88,2
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2008;90,6
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2007;102,3
TOTAL (Millones de euros);TOTAL;Navarra (Comunidad Foral de);2006;86,0
TOTAL (Millones de euros);TOTAL;País Vasco;2023;390,4
TOTAL (Millones de euros);TOTAL;País Vasco;2022;323,3
TOTAL (Millones de euros);TOTAL;País Vasco;2021;260,3
TOTAL (Millones de euros);TOTAL;País Vasco;2020;238,2
TOTAL (Millones de euros);TOTAL;País Vasco;2019;272,5
TOTAL (Millones de euros);TOTAL;País Vasco;2018;365,7
TOTAL (Millones de euros);TOTAL;País Vasco;2017;329,0
TOTAL (Millones de euros);TOTAL;País Vasco;2016;301,2
TOTAL (Millones de euros);TOTAL;País Vasco;2015;310,4
TOTAL (Millones de euros);TOTAL;País Vasco;2014;290,8
TOTAL (Millones de euros);TOTAL;País Vasco;2013;314,8
TOTAL (Millones de euros);TOTAL;País Vasco;2012;305,2
TOTAL (Millones de euros);TOTAL;País Vasco;2011;285,9
TOTAL (Millones de euros);TOTAL;País Vasco;2010;295,2
TOTAL (Millones de euros);TOTAL;País Vasco;2009;297,5
TOTAL (Millones de euros);TOTAL;País Vasco;2008;246,9
TOTAL (Millones de euros);TOTAL;País Vasco;2007;279,0
TOTAL (Millones de euros);TOTAL;País Vasco;2006;227,7
TOTAL (Millones de euros);TOTAL;Rioja (La);2023;78,0
TOTAL (Millones de euros);TOTAL;Rioja (La);2022;55,1
TOTAL (Millones de euros);TOTAL;Rioja (La);2021;35,1
TOTAL (Millones de euros);TOTAL;Rioja (La);2020;31,2
TOTAL (Millones de euros);TOTAL;Rioja (La);2019;43,4
TOTAL (Millones de euros);TOTAL;Rioja (La);2018;44,8
TOTAL (Millones de euros);TOTAL;Rioja (La);2017;35,9
TOTAL (Millones de euros);TOTAL;Rioja (La);2016;34,8
TOTAL (Millones de euros);TOTAL;Rioja (La);2015;37,9
TOTAL (Millones de euros);TOTAL;Rioja (La);2014;31,0
TOTAL (Millones de euros);TOTAL;Rioja (La);2013;26,0
TOTAL (Millones de euros);TOTAL;Rioja (La);2012;25,2
TOTAL (Millones de euros);TOTAL;Rioja (La);2011;26,1
TOTAL (Millones de euros);TOTAL;Rioja (La);2010;29,6
TOTAL (Millones de euros);TOTAL;Rioja (La);2009;25,6
TOTAL (Millones de euros);TOTAL;Rioja (La);2008;19,0
TOTAL (Millones de euros);TOTAL;Rioja (La);2007;29,5
TOTAL (Millones de euros);TOTAL;Rioja (La);2006;18,1
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2023;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2022;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2021;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2020;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2019;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2018;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2017;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2016;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2015;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2014;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2013;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2012;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2011;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2010;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2009;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2008;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2007;..
TOTAL (Millones de euros);TOTAL;Ceuta y Melilla;2006;..
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2023;4.864,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2022;4.682,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2021;3.005,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2020;2.214,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2019;4.502,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2018;4.248,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2017;4.505,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2016;3.845,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2015;3.312,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2014;3.152,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2013;3.543,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2012;3.163,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2011;3.437,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2010;3.233,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2009;3.216,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2008;3.611,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2007;3.205,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;TOTAL;2006;2.937,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2023;1.005,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2022;1.006,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2021;527,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2020;339,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2019;603,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2018;713,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2017;685,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2016;732,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2015;559,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2014;536,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2013;621,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2012;503,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2011;616,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2010;500,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2009;652,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2008;951,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2007;566,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Andalucía;2006;644,7
