Indicador;Grupo de gasto;Tamaño de municipio;periodo;Total
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 50.000 a 99.999 habitantes;2006;314,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2023;730,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2022;742,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2021;459,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2020;324,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2019;647,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2018;693,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2017;743,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2016;498,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2015;508,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2014;455,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2013;505,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2012;425,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2011;502,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2010;448,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2009;483,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2008;471,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2007;578,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 20.000 a 49.999 habitantes;2006;401,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2023;539,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2022;438,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2021;233,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2020;232,2
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2019;421,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2018;367,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2017;364,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2016;415,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2015;296,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2014;255,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2013;270,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2012;340,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2011;305,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2010;265,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2009;295,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2008;291,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2007;374,9
TOTAL (Millones de euros);Servicios recreativos y deportivos;De 10.000 a 19.999 habitantes;2006;424,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2023;684,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2022;759,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2021;420,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2020;308,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2019;705,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2018;660,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2017;818,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2016;751,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2015;510,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2014;509,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2013;595,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2012;480,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2011;440,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2010;489,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2009;522,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2008;948,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2007;491,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;Menos de 10.000 habitantes;2006;399,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2023;1.461,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2022;1.451,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2021;1.390,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2020;1.218,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2019;1.301,6
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2018;1.278,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2017;1.181,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2016;1.079,6
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2015;1.130,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2014;1.059,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2013;1.027,3
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2012;1.305,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2011;1.341,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2010;1.459,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2009;1.338,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2008;1.254,8
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2007;1.509,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;TOTAL;2006;1.196,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2023;487,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2022;576,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2021;474,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2020;414,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2019;517,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2018;476,8
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2017;417,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2016;407,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2015;429,8
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2014;427,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2013;431,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2012;482,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2011;454,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2010;543,6
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2009;531,3
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2008;452,6
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2007;553,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;100.000 o más habitantes;2006;510,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2023;183,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2022;129,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2021;201,8
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2020;144,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2019;162,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2018;127,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2017;212,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2016;170,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2015;152,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2014;154,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2013;139,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2012;172,3
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2011;167,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2010;247,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2009;159,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2008;152,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2007;259,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 50.000 a 99.999 habitantes;2006;168,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2023;279,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2022;236,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2021;229,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2020;219,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2019;175,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2018;204,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2017;175,3
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2016;150,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2015;164,6
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2014;189,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2013;163,3
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2012;335,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2011;245,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2010;249,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2009;244,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2008;221,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2007;249,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 20.000 a 49.999 habitantes;2006;169,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2023;144,7
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2022;208,5
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2021;204,4
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2020;175,1
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2019;139,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2018;163,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2017;115,2
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2016;116,9
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2015;130,0
TOTAL (Millones de euros);Equipos relacionados con los deportes y el ocio;De 10.000 a 19.999 habitantes;2014;84,7
