Indicador;Comunidad autónoma;periodo;Total
TOTAL (Millones de euros);Cantabria;2014;44,1
TOTAL (Millones de euros);Cantabria;2013;55,5
TOTAL (Millones de euros);Cantabria;2012;43,2
TOTAL (Millones de euros);Cantabria;2011;51,1
TOTAL (Millones de euros);Cantabria;2010;43,6
TOTAL (Millones de euros);Cantabria;2009;69,9
TOTAL (Millones de euros);Cantabria;2008;57,4
TOTAL (Millones de euros);Cantabria;2007;35,6
TOTAL (Millones de euros);Cantabria;2006;38,7
TOTAL (Millones de euros);Castilla y León;2023;217,9
TOTAL (Millones de euros);Castilla y León;2022;306,6
TOTAL (Millones de euros);Castilla y León;2021;179,9
TOTAL (Millones de euros);Castilla y León;2020;151,3
TOTAL (Millones de euros);Castilla y León;2019;262,8
TOTAL (Millones de euros);Castilla y León;2018;238,9
TOTAL (Millones de euros);Castilla y León;2017;264,9
TOTAL (Millones de euros);Castilla y León;2016;267,6
TOTAL (Millones de euros);Castilla y León;2015;210,0
TOTAL (Millones de euros);Castilla y León;2014;208,2
TOTAL (Millones de euros);Castilla y León;2013;278,1
TOTAL (Millones de euros);Castilla y León;2012;175,0
TOTAL (Millones de euros);Castilla y León;2011;225,5
TOTAL (Millones de euros);Castilla y León;2010;259,0
TOTAL (Millones de euros);Castilla y León;2009;209,0
TOTAL (Millones de euros);Castilla y León;2008;223,2
TOTAL (Millones de euros);Castilla y León;2007;196,6
TOTAL (Millones de euros);Castilla y León;2006;194,2
TOTAL (Millones de euros);Castilla-La Mancha;2023;250,9
TOTAL (Millones de euros);Castilla-La Mancha;2022;176,4
TOTAL (Millones de euros);Castilla-La Mancha;2021;68,6
TOTAL (Millones de euros);Castilla-La Mancha;2020;89,2
TOTAL (Millones de euros);Castilla-La Mancha;2019;194,3
TOTAL (Millones de euros);Castilla-La Mancha;2018;142,2
TOTAL (Millones de euros);Castilla-La Mancha;2017;156,2
TOTAL (Millones de euros);Castilla-La Mancha;2016;162,8
TOTAL (Millones de euros);Castilla-La Mancha;2015;146,6
TOTAL (Millones de euros);Castilla-La Mancha;2014;175,8
TOTAL (Millones de euros);Castilla-La Mancha;2013;154,4
TOTAL (Millones de euros);Castilla-La Mancha;2012;137,2
TOTAL (Millones de euros);Castilla-La Mancha;2011;146,5
TOTAL (Millones de euros);Castilla-La Mancha;2010;125,1
TOTAL (Millones de euros);Castilla-La Mancha;2009;117,2
TOTAL (Millones de euros);Castilla-La Mancha;2008;127,4
TOTAL (Millones de euros);Castilla-La Mancha;2007;122,1
TOTAL (Millones de euros);Castilla-La Mancha;2006;98,0
TOTAL (Millones de euros);Cataluña;2023;979,9
TOTAL (Millones de euros);Cataluña;2022;941,5
TOTAL (Millones de euros);Cataluña;2021;792,1
TOTAL (Millones de euros);Cataluña;2020;566,1
TOTAL (Millones de euros);Cataluña;2019;1.219,2
TOTAL (Millones de euros);Cataluña;2018;1.083,0
TOTAL (Millones de euros);Cataluña;2017;1.091,5
TOTAL (Millones de euros);Cataluña;2016;857,3
TOTAL (Millones de euros);Cataluña;2015;721,5
TOTAL (Millones de euros);Cataluña;2014;731,7
TOTAL (Millones de euros);Cataluña;2013;719,6
TOTAL (Millones de euros);Cataluña;2012;688,7
TOTAL (Millones de euros);Cataluña;2011;833,5
TOTAL (Millones de euros);Cataluña;2010;755,7
TOTAL (Millones de euros);Cataluña;2009;782,6
TOTAL (Millones de euros);Cataluña;2008;726,2
TOTAL (Millones de euros);Cataluña;2007;790,5
TOTAL (Millones de euros);Cataluña;2006;566,4
TOTAL (Millones de euros);Comunitat Valenciana;2023;769,2
TOTAL (Millones de euros);Comunitat Valenciana;2022;706,3
TOTAL (Millones de euros);Comunitat Valenciana;2021;520,2
TOTAL (Millones de euros);Comunitat Valenciana;2020;445,2
TOTAL (Millones de euros);Comunitat Valenciana;2019;729,8
TOTAL (Millones de euros);Comunitat Valenciana;2018;602,5
TOTAL (Millones de euros);Comunitat Valenciana;2017;666,2
TOTAL (Millones de euros);Comunitat Valenciana;2016;420,5
TOTAL (Millones de euros);Comunitat Valenciana;2015;464,5
TOTAL (Millones de euros);Comunitat Valenciana;2014;385,0
TOTAL (Millones de euros);Comunitat Valenciana;2013;571,1
TOTAL (Millones de euros);Comunitat Valenciana;2012;625,1
TOTAL (Millones de euros);Comunitat Valenciana;2011;445,2
TOTAL (Millones de euros);Comunitat Valenciana;2010;430,7
TOTAL (Millones de euros);Comunitat Valenciana;2009;458,5
TOTAL (Millones de euros);Comunitat Valenciana;2008;489,8
TOTAL (Millones de euros);Comunitat Valenciana;2007;592,1
TOTAL (Millones de euros);Comunitat Valenciana;2006;512,2
TOTAL (Millones de euros);Extremadura;2023;82,1
TOTAL (Millones de euros);Extremadura;2022;95,1
TOTAL (Millones de euros);Extremadura;2021;81,8
TOTAL (Millones de euros);Extremadura;2020;75,9
TOTAL (Millones de euros);Extremadura;2019;79,6
TOTAL (Millones de euros);Extremadura;2018;108,5
TOTAL (Millones de euros);Extremadura;2017;69,0
TOTAL (Millones de euros);Extremadura;2016;83,1
TOTAL (Millones de euros);Extremadura;2015;74,6
TOTAL (Millones de euros);Extremadura;2014;65,5
TOTAL (Millones de euros);Extremadura;2013;66,8
TOTAL (Millones de euros);Extremadura;2012;75,4
TOTAL (Millones de euros);Extremadura;2011;79,4
TOTAL (Millones de euros);Extremadura;2010;70,4
TOTAL (Millones de euros);Extremadura;2009;46,8
TOTAL (Millones de euros);Extremadura;2008;56,9
TOTAL (Millones de euros);Extremadura;2007;53,8
TOTAL (Millones de euros);Extremadura;2006;53,7
TOTAL (Millones de euros);Galicia;2023;332,2
TOTAL (Millones de euros);Galicia;2022;390,4
TOTAL (Millones de euros);Galicia;2021;263,5
TOTAL (Millones de euros);Galicia;2020;172,8
TOTAL (Millones de euros);Galicia;2019;216,1
TOTAL (Millones de euros);Galicia;2018;223,3
TOTAL (Millones de euros);Galicia;2017;274,4
TOTAL (Millones de euros);Galicia;2016;239,8
TOTAL (Millones de euros);Galicia;2015;232,3
TOTAL (Millones de euros);Galicia;2014;182,3
TOTAL (Millones de euros);Galicia;2013;169,5
TOTAL (Millones de euros);Galicia;2012;223,2
TOTAL (Millones de euros);Galicia;2011;175,7
TOTAL (Millones de euros);Galicia;2010;193,7
TOTAL (Millones de euros);Galicia;2009;243,4
TOTAL (Millones de euros);Galicia;2008;189,7
TOTAL (Millones de euros);Galicia;2007;242,5
TOTAL (Millones de euros);Galicia;2006;259,2
TOTAL (Millones de euros);Madrid (Comunidad de);2023;882,0
TOTAL (Millones de euros);Madrid (Comunidad de);2022;869,8
TOTAL (Millones de euros);Madrid (Comunidad de);2021;713,8
TOTAL (Millones de euros);Madrid (Comunidad de);2020;521,7
TOTAL (Millones de euros);Madrid (Comunidad de);2019;959,0
TOTAL (Millones de euros);Madrid (Comunidad de);2018;756,8
TOTAL (Millones de euros);Madrid (Comunidad de);2017;804,2
TOTAL (Millones de euros);Madrid (Comunidad de);2016;776,8
TOTAL (Millones de euros);Madrid (Comunidad de);2015;591,3
TOTAL (Millones de euros);Madrid (Comunidad de);2014;600,1
TOTAL (Millones de euros);Madrid (Comunidad de);2013;658,9
TOTAL (Millones de euros);Madrid (Comunidad de);2012;730,5
TOTAL (Millones de euros);Madrid (Comunidad de);2011;870,1
TOTAL (Millones de euros);Madrid (Comunidad de);2010;842,1
TOTAL (Millones de euros);Madrid (Comunidad de);2009;686,4
TOTAL (Millones de euros);Madrid (Comunidad de);2008;771,0
TOTAL (Millones de euros);Madrid (Comunidad de);2007;700,6
TOTAL (Millones de euros);Madrid (Comunidad de);2006;610,3
TOTAL (Millones de euros);Murcia (Región de);2023;183,1
TOTAL (Millones de euros);Murcia (Región de);2022;176,1
TOTAL (Millones de euros);Murcia (Región de);2021;102,1
TOTAL (Millones de euros);Murcia (Región de);2020;100,7
TOTAL (Millones de euros);Murcia (Región de);2019;175,3
TOTAL (Millones de euros);Murcia (Región de);2018;204,1
TOTAL (Millones de euros);Murcia (Región de);2017;208,2
TOTAL (Millones de euros);Murcia (Región de);2016;138,8
TOTAL (Millones de euros);Murcia (Región de);2015;136,1
TOTAL (Millones de euros);Murcia (Región de);2014;123,5
TOTAL (Millones de euros);Murcia (Región de);2013;114,5
TOTAL (Millones de euros);Murcia (Región de);2012;122,2
TOTAL (Millones de euros);Murcia (Región de);2011;127,5
TOTAL (Millones de euros);Murcia (Región de);2010;110,5
TOTAL (Millones de euros);Murcia (Región de);2009;99,6
TOTAL (Millones de euros);Murcia (Región de);2008;105,9
TOTAL (Millones de euros);Murcia (Región de);2007;131,4
TOTAL (Millones de euros);Murcia (Región de);2006;112,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2023;175,4
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2022;141,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2021;134,6
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2020;86,5
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2019;117,6
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2018;121,1
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2017;123,4
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2016;91,7
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2015;108,2
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2014;98,6
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2013;108,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2012;112,2
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2011;97,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2010;96,3
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2009;88,2
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2008;90,6
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2007;102,3
TOTAL (Millones de euros);Navarra (Comunidad Foral de);2006;86,0
TOTAL (Millones de euros);País Vasco;2023;390,4
TOTAL (Millones de euros);País Vasco;2022;323,3
TOTAL (Millones de euros);País Vasco;2021;260,3
TOTAL (Millones de euros);País Vasco;2020;238,2
TOTAL (Millones de euros);País Vasco;2019;272,5
TOTAL (Millones de euros);País Vasco;2018;365,7
TOTAL (Millones de euros);País Vasco;2017;329,0
TOTAL (Millones de euros);País Vasco;2016;301,2
TOTAL (Millones de euros);País Vasco;2015;310,4
TOTAL (Millones de euros);País Vasco;2014;290,8
TOTAL (Millones de euros);País Vasco;2013;314,8
TOTAL (Millones de euros);País Vasco;2012;305,2
TOTAL (Millones de euros);País Vasco;2011;285,9
TOTAL (Millones de euros);País Vasco;2010;295,2
TOTAL (Millones de euros);País Vasco;2009;297,5
TOTAL (Millones de euros);País Vasco;2008;246,9
TOTAL (Millones de euros);País Vasco;2007;279,0
TOTAL (Millones de euros);País Vasco;2006;227,7
TOTAL (Millones de euros);Rioja (La);2023;78,0
TOTAL (Millones de euros);Rioja (La);2022;55,1
TOTAL (Millones de euros);Rioja (La);2021;35,1
TOTAL (Millones de euros);Rioja (La);2020;31,2
TOTAL (Millones de euros);Rioja (La);2019;43,4
TOTAL (Millones de euros);Rioja (La);2018;44,8
TOTAL (Millones de euros);Rioja (La);2017;35,9
TOTAL (Millones de euros);Rioja (La);2016;34,8
TOTAL (Millones de euros);Rioja (La);2015;37,9
TOTAL (Millones de euros);Rioja (La);2014;31,0
TOTAL (Millones de euros);Rioja (La);2013;26,0
TOTAL (Millones de euros);Rioja (La);2012;25,2
TOTAL (Millones de euros);Rioja (La);2011;26,1
TOTAL (Millones de euros);Rioja (La);2010;29,6
TOTAL (Millones de euros);Rioja (La);2009;25,6
TOTAL (Millones de euros);Rioja (La);2008;19,0
TOTAL (Millones de euros);Rioja (La);2007;29,5
TOTAL (Millones de euros);Rioja (La);2006;18,1
TOTAL (Millones de euros);Ceuta y Melilla;2023;..
TOTAL (Millones de euros);Ceuta y Melilla;2022;..
TOTAL (Millones de euros);Ceuta y Melilla;2021;..
TOTAL (Millones de euros);Ceuta y Melilla;2020;..
TOTAL (Millones de euros);Ceuta y Melilla;2019;..
TOTAL (Millones de euros);Ceuta y Melilla;2018;..
TOTAL (Millones de euros);Ceuta y Melilla;2017;..
TOTAL (Millones de euros);Ceuta y Melilla;2016;..
TOTAL (Millones de euros);Ceuta y Melilla;2015;..
TOTAL (Millones de euros);Ceuta y Melilla;2014;..
TOTAL (Millones de euros);Ceuta y Melilla;2013;..
TOTAL (Millones de euros);Ceuta y Melilla;2012;..
TOTAL (Millones de euros);Ceuta y Melilla;2011;..
TOTAL (Millones de euros);Ceuta y Melilla;2010;..
TOTAL (Millones de euros);Ceuta y Melilla;2009;..
TOTAL (Millones de euros);Ceuta y Melilla;2008;..
TOTAL (Millones de euros);Ceuta y Melilla;2007;..
TOTAL (Millones de euros);Ceuta y Melilla;2006;..
Porcentaje;TOTAL;2023;1,0
Porcentaje;TOTAL;2022;1,0
Porcentaje;TOTAL;2021;0,8
Porcentaje;TOTAL;2020;0,7
Porcentaje;TOTAL;2019;1,0
Porcentaje;TOTAL;2018;1,0
Porcentaje;TOTAL;2017;1,1
Porcentaje;TOTAL;2016;0,9
Porcentaje;TOTAL;2015;0,9
Porcentaje;TOTAL;2014;0,9
Porcentaje;TOTAL;2013;0,9
Porcentaje;TOTAL;2012;0,9
Porcentaje;TOTAL;2011;0,9
Porcentaje;TOTAL;2010;0,9
Porcentaje;TOTAL;2009;0,9
Porcentaje;TOTAL;2008;0,9
Porcentaje;TOTAL;2007;0,9
Porcentaje;TOTAL;2006;0,8
Porcentaje;Andalucía;2023;1,1
Porcentaje;Andalucía;2022;1,3
Porcentaje;Andalucía;2021;0,8
Porcentaje;Andalucía;2020;0,6
Porcentaje;Andalucía;2019;0,8
Porcentaje;Andalucía;2018;1,0
Porcentaje;Andalucía;2017;1,0
Porcentaje;Andalucía;2016;1,1
Porcentaje;Andalucía;2015;0,9
Porcentaje;Andalucía;2014;0,9
Porcentaje;Andalucía;2013;1,0
Porcentaje;Andalucía;2012;0,9
Porcentaje;Andalucía;2011;1,0
Porcentaje;Andalucía;2010;1,1
Porcentaje;Andalucía;2009;1,1
Porcentaje;Andalucía;2008;1,4
Porcentaje;Andalucía;2007;1,0
Porcentaje;Andalucía;2006;1,1
Porcentaje;Aragón;2023;1,3
