Indicador;Tamaño de municipio;periodo;Total
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2019;190,5
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2018;176,9
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2017;211,5
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2016;162,6
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2015;181,8
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2014;172,7
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2013;166,6
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2012;167,6
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2011;185,3
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2010;175,3
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2009;160,3
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2008;143,2
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2007;150,1
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2006;142,2
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2023;189,0
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2022;186,5
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2021;134,7
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2020;108,3
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2019;164,9
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2018;180,0
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2017;187,5
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2016;133,0
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2015;130,1
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2014;124,4
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2013;131,7
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2012;153,1
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2011;158,9
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2010;146,1
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2009;159,8
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2008;154,2
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2007;181,7
Gasto medio por unidad de consumo (Euros);De 20.000 a 49.999 habitantes;2006;132,1
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2023;204,4
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2022;196,8
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2021;131,6
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2020;122,6
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2019;169,8
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2018;162,5
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2017;151,7
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2016;171,6
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2015;149,2
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2014;120,0
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2013;120,2
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2012;156,6
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2011;145,8
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2010;136,1
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2009;135,0
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2008;137,9
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2007;197,1
Gasto medio por unidad de consumo (Euros);De 10.000 a 19.999 habitantes;2006;166,2
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2023;161,4
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2022;169,2
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2021;111,9
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2020;91,4
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2019;158,5
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2018;152,1
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2017;171,2
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2016;153,4
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2015;123,5
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2014;116,3
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2013;132,1
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2012;107,3
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2011;122,3
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2010;117,2
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2009;122,2
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2008;193,8
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2007;111,2
Gasto medio por unidad de consumo (Euros);Menos de 10.000 habitantes;2006;103,9
Gasto medio por persona (Euros);TOTAL;2023;131,8
Gasto medio por persona (Euros);TOTAL;2022;130,4
Gasto medio por persona (Euros);TOTAL;2021;93,9
Gasto medio por persona (Euros);TOTAL;2020;73,2
Gasto medio por persona (Euros);TOTAL;2019;124,4
Gasto medio por persona (Euros);TOTAL;2018;119,4
Gasto medio por persona (Euros);TOTAL;2017;123,4
Gasto medio por persona (Euros);TOTAL;2016;107,1
Gasto medio por persona (Euros);TOTAL;2015;96,7
Gasto medio por persona (Euros);TOTAL;2014;91,6
Gasto medio por persona (Euros);TOTAL;2013;99,0
Gasto medio por persona (Euros);TOTAL;2012;96,5
Gasto medio por persona (Euros);TOTAL;2011;103,2
Gasto medio por persona (Euros);TOTAL;2010;101,7
Gasto medio por persona (Euros);TOTAL;2009;99,1
Gasto medio por persona (Euros);TOTAL;2008;106,7
Gasto medio por persona (Euros);TOTAL;2007;105,1
Gasto medio por persona (Euros);TOTAL;2006;93,9
Gasto medio por persona (Euros);100.000 o más habitantes;2023;137,5
Gasto medio por persona (Euros);100.000 o más habitantes;2022;136,5
Gasto medio por persona (Euros);100.000 o más habitantes;2021;96,3
Gasto medio por persona (Euros);100.000 o más habitantes;2020;81,6
Gasto medio por persona (Euros);100.000 o más habitantes;2019;140,4
Gasto medio por persona (Euros);100.000 o más habitantes;2018;130,8
Gasto medio por persona (Euros);100.000 o más habitantes;2017;126,9
Gasto medio por persona (Euros);100.000 o más habitantes;2016;114,6
Gasto medio por persona (Euros);100.000 o más habitantes;2015;99,0
Gasto medio por persona (Euros);100.000 o más habitantes;2014;96,9
Gasto medio por persona (Euros);100.000 o más habitantes;2013;110,2
Gasto medio por persona (Euros);100.000 o más habitantes;2012;100,9
Gasto medio por persona (Euros);100.000 o más habitantes;2011;109,7
Gasto medio por persona (Euros);100.000 o más habitantes;2010;115,5
Gasto medio por persona (Euros);100.000 o más habitantes;2009;107,4
Gasto medio por persona (Euros);100.000 o más habitantes;2008;106,4
Gasto medio por persona (Euros);100.000 o más habitantes;2007;113,1
Gasto medio por persona (Euros);100.000 o más habitantes;2006;107,4
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2023;151,4
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2022;142,2
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2021;123,7
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2020;58,8
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2019;127,4
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2018;117,7
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2017;141,2
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2016;109,0
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2015;122,5
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2014;115,7
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2013;110,8
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2012;111,0
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2011;122,9
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2010;116,3
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2009;106,0
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2008;94,0
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2007;98,7
Gasto medio por persona (Euros);De 50.000 a 99.999 habitantes;2006;92,5
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2023;126,6
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2022;124,5
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2021;89,6
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2020;72,6
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2019;110,0
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2018;119,4
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2017;124,8
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2016;88,3
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2015;86,3
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2014;82,5
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2013;87,0
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2012;100,6
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2011;104,7
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2010;95,9
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2009;104,5
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2008;100,8
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2007;118,6
Gasto medio por persona (Euros);De 20.000 a 49.999 habitantes;2006;86,5
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2023;136,2
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2022;131,6
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2021;88,3
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2020;82,1
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2019;113,3
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2018;109,0
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2017;100,6
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2016;113,4
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2015;98,2
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2014;79,3
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2013;79,4
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2012;102,5
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2011;95,0
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2010;88,9
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2009;88,1
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2008;89,4
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2007;127,6
Gasto medio por persona (Euros);De 10.000 a 19.999 habitantes;2006;107,3
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2023;109,7
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2022;114,8
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2021;75,5
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2020;61,4
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2019;108,0
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2018;103,3
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2017;115,4
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2016;103,1
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2015;83,2
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2014;78,1
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2013;88,1
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2012;71,4
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2011;81,1
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2010;77,4
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2009;81,1
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2008;127,7
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2007;73,0
Gasto medio por persona (Euros);Menos de 10.000 habitantes;2006;68,3
