Indicador;Tamaño de municipio;periodo;Total
TOTAL (Millones de euros);Menos de 10.000 habitantes;2021;701,7
TOTAL (Millones de euros);Menos de 10.000 habitantes;2020;574,0
TOTAL (Millones de euros);Menos de 10.000 habitantes;2019;1.012,1
TOTAL (Millones de euros);Menos de 10.000 habitantes;2018;966,6
TOTAL (Millones de euros);Menos de 10.000 habitantes;2017;1.079,8
TOTAL (Millones de euros);Menos de 10.000 habitantes;2016;986,4
TOTAL (Millones de euros);Menos de 10.000 habitantes;2015;764,2
TOTAL (Millones de euros);Menos de 10.000 habitantes;2014;713,3
TOTAL (Millones de euros);Menos de 10.000 habitantes;2013;795,8
TOTAL (Millones de euros);Menos de 10.000 habitantes;2012;656,1
TOTAL (Millones de euros);Menos de 10.000 habitantes;2011;775,5
TOTAL (Millones de euros);Menos de 10.000 habitantes;2010;762,9
TOTAL (Millones de euros);Menos de 10.000 habitantes;2009;803,8
TOTAL (Millones de euros);Menos de 10.000 habitantes;2008;1.242,2
TOTAL (Millones de euros);Menos de 10.000 habitantes;2007;705,4
TOTAL (Millones de euros);Menos de 10.000 habitantes;2006;659,2
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2020;0,7
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2019;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2018;1,0
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2013;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2012;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2007;0,9
En porcentaje del gasto en el total de bienes y servicios;TOTAL;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2020;0,7
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2019;1,1
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2018;1,0
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2017;1,0
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2014;0,8
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2013;1,0
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2012;0,9
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2010;1,0
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2008;0,8
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2007;0,9
En porcentaje del gasto en el total de bienes y servicios;100.000 o más habitantes;2006;0,9
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2023;1,1
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2022;1,1
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2021;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2020;0,5
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2019;1,1
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2018;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2017;1,2
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2016;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2015;1,1
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2014;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2013;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2012;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2011;1,1
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2010;1,0
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2008;0,8
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2007;0,8
En porcentaje del gasto en el total de bienes y servicios;De 50.000 a 99.999 habitantes;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2020;0,7
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2019;1,0
