Indicador;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;2023;347.153
TOTAL;TOTAL;2022;294.386
TOTAL;TOTAL;2021;280.270
TOTAL;TOTAL;2020;244.152
TOTAL;TOTAL;2019;265.349
TOTAL;TOTAL;2018;262.569
TOTAL;TOTAL;2017;222.770
TOTAL;TOTAL;2016;193.894
TOTAL;TOTAL;2015;215.972
TOTAL;TOTAL;2014;220.743
TOTAL;TOTAL;2013;208.593
TOTAL;TOTAL;2012;210.820
TOTAL;TOTAL;2011;273.104
TOTAL;TOTAL;2010;313.864
TOTAL;Andalucía;2023;64.801
TOTAL;Andalucía;2022;61.741
TOTAL;Andalucía;2021;61.035
TOTAL;Andalucía;2020;48.742
TOTAL;Andalucía;2019;47.656
TOTAL;Andalucía;2018;35.556
TOTAL;Andalucía;2017;30.231
TOTAL;Andalucía;2016;24.816
TOTAL;Andalucía;2015;26.313
TOTAL;Andalucía;2014;29.192
TOTAL;Andalucía;2013;26.881
TOTAL;Andalucía;2012;22.768
TOTAL;Andalucía;2011;41.820
TOTAL;Andalucía;2010;59.998
TOTAL;Aragón;2023;10.096
TOTAL;Aragón;2022;11.883
TOTAL;Aragón;2021;12.313
TOTAL;Aragón;2020;8.189
TOTAL;Aragón;2019;8.502
TOTAL;Aragón;2018;11.110
TOTAL;Aragón;2017;9.838
TOTAL;Aragón;2016;7.376
TOTAL;Aragón;2015;7.263
TOTAL;Aragón;2014;3.583
TOTAL;Aragón;2013;2.887
TOTAL;Aragón;2012;1.886
TOTAL;Aragón;2011;3.607
TOTAL;Aragón;2010;6.580
TOTAL;Balears, Illes;2023;29.753
TOTAL;Balears, Illes;2022;17.854
TOTAL;Balears, Illes;2021;18.972
TOTAL;Balears, Illes;2020;17.531
TOTAL;Balears, Illes;2019;16.203
TOTAL;Balears, Illes;2018;17.008
TOTAL;Balears, Illes;2017;16.936
TOTAL;Balears, Illes;2016;10.568
TOTAL;Balears, Illes;2015;11.651
TOTAL;Balears, Illes;2014;11.032
TOTAL;Balears, Illes;2013;9.654
TOTAL;Balears, Illes;2012;9.778
TOTAL;Balears, Illes;2011;12.533
TOTAL;Balears, Illes;2010;15.011
TOTAL;Canarias;2023;94.900
TOTAL;Canarias;2022;74.383
TOTAL;Canarias;2021;66.135
TOTAL;Canarias;2020;53.760
TOTAL;Canarias;2019;52.191
TOTAL;Canarias;2018;55.790
TOTAL;Canarias;2017;51.333
TOTAL;Canarias;2016;42.395
TOTAL;Canarias;2015;63.555
TOTAL;Canarias;2014;62.009
TOTAL;Canarias;2013;61.140
TOTAL;Canarias;2012;55.178
TOTAL;Canarias;2011;48.326
TOTAL;Canarias;2010;51.898
TOTAL;Castilla y León;2023;27.484
TOTAL;Castilla y León;2022;20.711
TOTAL;Castilla y León;2021;14.869
TOTAL;Castilla y León;2020;13.049
TOTAL;Castilla y León;2019;18.596
TOTAL;Castilla y León;2018;16.858
TOTAL;Castilla y León;2017;17.152
TOTAL;Castilla y León;2016;16.991
TOTAL;Castilla y León;2015;15.104
TOTAL;Castilla y León;2014;20.795
TOTAL;Castilla y León;2013;20.529
TOTAL;Castilla y León;2012;28.960
TOTAL;Castilla y León;2011;25.713
TOTAL;Castilla y León;2010;26.719
TOTAL;Castilla-La Mancha;2023;11.562
TOTAL;Castilla-La Mancha;2022;8.477
TOTAL;Castilla-La Mancha;2021;10.128
TOTAL;Castilla-La Mancha;2020;9.664
TOTAL;Castilla-La Mancha;2019;10.329
TOTAL;Castilla-La Mancha;2018;9.754
TOTAL;Castilla-La Mancha;2017;9.358
TOTAL;Castilla-La Mancha;2016;8.821
TOTAL;Castilla-La Mancha;2015;8.175
TOTAL;Castilla-La Mancha;2014;8.409
TOTAL;Castilla-La Mancha;2013;10.230
TOTAL;Castilla-La Mancha;2012;8.722
TOTAL;Castilla-La Mancha;2011;13.255
TOTAL;Castilla-La Mancha;2010;17.789
TOTAL;Cataluña;2023;19.903
TOTAL;Cataluña;2022;18.879
TOTAL;Cataluña;2021;20.272
TOTAL;Cataluña;2020;30.390
TOTAL;Cataluña;2019;39.013
TOTAL;Cataluña;2018;35.555
TOTAL;Cataluña;2017;21.844
TOTAL;Cataluña;2016;15.720
TOTAL;Cataluña;2015;20.909
TOTAL;Cataluña;2014;20.402
TOTAL;Cataluña;2013;18.813
TOTAL;Cataluña;2012;13.173
TOTAL;Cataluña;2011;24.089
TOTAL;Cataluña;2010;24.254
TOTAL;Comunitat Valenciana;2023;24.701
TOTAL;Comunitat Valenciana;2022;25.322
TOTAL;Comunitat Valenciana;2021;18.078
TOTAL;Comunitat Valenciana;2020;15.561
TOTAL;Comunitat Valenciana;2019;17.222
TOTAL;Comunitat Valenciana;2018;17.433
TOTAL;Comunitat Valenciana;2017;10.149
TOTAL;Comunitat Valenciana;2016;13.592
TOTAL;Comunitat Valenciana;2015;8.594
TOTAL;Comunitat Valenciana;2014;7.749
TOTAL;Comunitat Valenciana;2013;8.562
TOTAL;Comunitat Valenciana;2012;10.588
TOTAL;Comunitat Valenciana;2011;29.310
TOTAL;Comunitat Valenciana;2010;33.227
TOTAL;Extremadura;2023;6.755
TOTAL;Extremadura;2022;7.835
TOTAL;Extremadura;2021;5.927
TOTAL;Extremadura;2020;4.237
TOTAL;Extremadura;2019;8.326
TOTAL;Extremadura;2018;12.555
TOTAL;Extremadura;2017;7.559
TOTAL;Extremadura;2016;5.754
TOTAL;Extremadura;2015;4.096
TOTAL;Extremadura;2014;7.037
TOTAL;Extremadura;2013;3.508
TOTAL;Extremadura;2012;3.274
TOTAL;Extremadura;2011;3.919
TOTAL;Extremadura;2010;5.105
TOTAL;Galicia;2023;19.466
TOTAL;Galicia;2022;16.077
TOTAL;Galicia;2021;15.562
TOTAL;Galicia;2020;17.732
TOTAL;Galicia;2019;17.337
TOTAL;Galicia;2018;19.136
TOTAL;Galicia;2017;19.719
TOTAL;Galicia;2016;20.284
TOTAL;Galicia;2015;22.912
TOTAL;Galicia;2014;19.772
TOTAL;Galicia;2013;17.530
TOTAL;Galicia;2012;23.805
TOTAL;Galicia;2011;37.295
TOTAL;Galicia;2010;33.066
TOTAL;País Vasco;2023;37.733
TOTAL;País Vasco;2022;31.224
TOTAL;País Vasco;2021;36.979
TOTAL;País Vasco;2020;25.299
TOTAL;País Vasco;2019;29.972
TOTAL;País Vasco;2018;31.817
TOTAL;País Vasco;2017;28.652
TOTAL;País Vasco;2016;27.577
TOTAL;País Vasco;2015;27.399
TOTAL;País Vasco;2014;30.763
TOTAL;País Vasco;2013;28.859
TOTAL;País Vasco;2012;32.689
TOTAL;País Vasco;2011;33.236
TOTAL;País Vasco;2010;40.218
C.I  Gastos de personal;TOTAL;2023;36.449
C.I  Gastos de personal;TOTAL;2022;34.594
C.I  Gastos de personal;TOTAL;2021;32.708
C.I  Gastos de personal;TOTAL;2020;32.378
C.I  Gastos de personal;TOTAL;2019;31.595
C.I  Gastos de personal;TOTAL;2018;30.111
C.I  Gastos de personal;TOTAL;2017;29.756
C.I  Gastos de personal;TOTAL;2016;28.945
C.I  Gastos de personal;TOTAL;2015;29.067
C.I  Gastos de personal;TOTAL;2014;32.401
C.I  Gastos de personal;TOTAL;2013;30.378
C.I  Gastos de personal;TOTAL;2012;29.422
C.I  Gastos de personal;TOTAL;2011;36.196
C.I  Gastos de personal;TOTAL;2010;40.662
C.I  Gastos de personal;Andalucía;2023;10.178
C.I  Gastos de personal;Andalucía;2022;9.518
C.I  Gastos de personal;Andalucía;2021;8.408
C.I  Gastos de personal;Andalucía;2020;8.014
C.I  Gastos de personal;Andalucía;2019;7.677
C.I  Gastos de personal;Andalucía;2018;7.058
C.I  Gastos de personal;Andalucía;2017;7.308
C.I  Gastos de personal;Andalucía;2016;7.388
C.I  Gastos de personal;Andalucía;2015;7.306
C.I  Gastos de personal;Andalucía;2014;7.198
C.I  Gastos de personal;Andalucía;2013;5.824
C.I  Gastos de personal;Andalucía;2012;5.344
C.I  Gastos de personal;Andalucía;2011;9.830
C.I  Gastos de personal;Andalucía;2010;12.075
C.I  Gastos de personal;Aragón;2023;0
C.I  Gastos de personal;Aragón;2022;0
C.I  Gastos de personal;Aragón;2021;0
C.I  Gastos de personal;Aragón;2020;0
C.I  Gastos de personal;Aragón;2019;0
C.I  Gastos de personal;Aragón;2018;0
C.I  Gastos de personal;Aragón;2017;0
C.I  Gastos de personal;Aragón;2016;0
C.I  Gastos de personal;Aragón;2015;0
C.I  Gastos de personal;Aragón;2014;0
C.I  Gastos de personal;Aragón;2013;0
C.I  Gastos de personal;Aragón;2012;0
C.I  Gastos de personal;Aragón;2011;0
C.I  Gastos de personal;Aragón;2010;0
C.I  Gastos de personal;Balears, Illes;2023;4.616
C.I  Gastos de personal;Balears, Illes;2022;4.446
C.I  Gastos de personal;Balears, Illes;2021;4.293
C.I  Gastos de personal;Balears, Illes;2020;4.365
C.I  Gastos de personal;Balears, Illes;2019;4.313
C.I  Gastos de personal;Balears, Illes;2018;4.232
C.I  Gastos de personal;Balears, Illes;2017;4.254
C.I  Gastos de personal;Balears, Illes;2016;4.132
C.I  Gastos de personal;Balears, Illes;2015;4.024
C.I  Gastos de personal;Balears, Illes;2014;3.861
C.I  Gastos de personal;Balears, Illes;2013;3.702
C.I  Gastos de personal;Balears, Illes;2012;3.751
C.I  Gastos de personal;Balears, Illes;2011;4.307
C.I  Gastos de personal;Balears, Illes;2010;4.288
C.I  Gastos de personal;Canarias;2023;7.349
C.I  Gastos de personal;Canarias;2022;7.005
C.I  Gastos de personal;Canarias;2021;6.827
C.I  Gastos de personal;Canarias;2020;6.694
C.I  Gastos de personal;Canarias;2019;6.677
C.I  Gastos de personal;Canarias;2018;6.724
C.I  Gastos de personal;Canarias;2017;6.290
C.I  Gastos de personal;Canarias;2016;6.317
