Tipo de entidad;Comunidad autónoma;periodo;Total
ENTIDADES LOCALES;Cantabria;2013;29.419
ENTIDADES LOCALES;Cantabria;2012;29.123
ENTIDADES LOCALES;Cantabria;2011;35.237
ENTIDADES LOCALES;Cantabria;2010;38.903
ENTIDADES LOCALES;Castilla y León;2023;182.631
ENTIDADES LOCALES;Castilla y León;2022;175.798
ENTIDADES LOCALES;Castilla y León;2021;136.947
ENTIDADES LOCALES;Castilla y León;2020;116.134
ENTIDADES LOCALES;Castilla y León;2019;139.231
ENTIDADES LOCALES;Castilla y León;2018;127.051
ENTIDADES LOCALES;Castilla y León;2017;120.981
ENTIDADES LOCALES;Castilla y León;2016;123.082
ENTIDADES LOCALES;Castilla y León;2015;129.425
ENTIDADES LOCALES;Castilla y León;2014;109.354
ENTIDADES LOCALES;Castilla y León;2013;102.139
ENTIDADES LOCALES;Castilla y León;2012;114.274
ENTIDADES LOCALES;Castilla y León;2011;136.766
ENTIDADES LOCALES;Castilla y León;2010;176.164
ENTIDADES LOCALES;Castilla-La Mancha;2023;164.597
ENTIDADES LOCALES;Castilla-La Mancha;2022;139.346
ENTIDADES LOCALES;Castilla-La Mancha;2021;110.866
ENTIDADES LOCALES;Castilla-La Mancha;2020;96.797
ENTIDADES LOCALES;Castilla-La Mancha;2019;117.118
ENTIDADES LOCALES;Castilla-La Mancha;2018;109.332
ENTIDADES LOCALES;Castilla-La Mancha;2017;99.901
ENTIDADES LOCALES;Castilla-La Mancha;2016;95.304
ENTIDADES LOCALES;Castilla-La Mancha;2015;95.175
ENTIDADES LOCALES;Castilla-La Mancha;2014;92.307
ENTIDADES LOCALES;Castilla-La Mancha;2013;97.348
ENTIDADES LOCALES;Castilla-La Mancha;2012;105.017
ENTIDADES LOCALES;Castilla-La Mancha;2011;131.977
ENTIDADES LOCALES;Castilla-La Mancha;2010;165.795
ENTIDADES LOCALES;Cataluña;2023;478.785
ENTIDADES LOCALES;Cataluña;2022;422.386
ENTIDADES LOCALES;Cataluña;2021;362.055
ENTIDADES LOCALES;Cataluña;2020;338.372
ENTIDADES LOCALES;Cataluña;2019;392.453
ENTIDADES LOCALES;Cataluña;2018;391.106
ENTIDADES LOCALES;Cataluña;2017;333.007
ENTIDADES LOCALES;Cataluña;2016;312.665
ENTIDADES LOCALES;Cataluña;2015;314.891
ENTIDADES LOCALES;Cataluña;2014;290.534
ENTIDADES LOCALES;Cataluña;2013;284.250
ENTIDADES LOCALES;Cataluña;2012;295.310
ENTIDADES LOCALES;Cataluña;2011;348.085
ENTIDADES LOCALES;Cataluña;2010;441.357
ENTIDADES LOCALES;Comunitat Valenciana;2023;339.607
ENTIDADES LOCALES;Comunitat Valenciana;2022;288.779
ENTIDADES LOCALES;Comunitat Valenciana;2021;235.906
ENTIDADES LOCALES;Comunitat Valenciana;2020;214.293
ENTIDADES LOCALES;Comunitat Valenciana;2019;236.012
ENTIDADES LOCALES;Comunitat Valenciana;2018;199.505
ENTIDADES LOCALES;Comunitat Valenciana;2017;187.887
ENTIDADES LOCALES;Comunitat Valenciana;2016;182.688
ENTIDADES LOCALES;Comunitat Valenciana;2015;187.465
ENTIDADES LOCALES;Comunitat Valenciana;2014;164.737
ENTIDADES LOCALES;Comunitat Valenciana;2013;153.940
ENTIDADES LOCALES;Comunitat Valenciana;2012;173.420
ENTIDADES LOCALES;Comunitat Valenciana;2011;249.891
ENTIDADES LOCALES;Comunitat Valenciana;2010;311.692
ENTIDADES LOCALES;Extremadura;2023;66.355
ENTIDADES LOCALES;Extremadura;2022;57.322
ENTIDADES LOCALES;Extremadura;2021;48.809
ENTIDADES LOCALES;Extremadura;2020;41.981
ENTIDADES LOCALES;Extremadura;2019;53.930
ENTIDADES LOCALES;Extremadura;2018;51.093
ENTIDADES LOCALES;Extremadura;2017;41.429
ENTIDADES LOCALES;Extremadura;2016;37.053
ENTIDADES LOCALES;Extremadura;2015;38.803
ENTIDADES LOCALES;Extremadura;2014;36.542
ENTIDADES LOCALES;Extremadura;2013;28.731
ENTIDADES LOCALES;Extremadura;2012;35.218
ENTIDADES LOCALES;Extremadura;2011;35.339
ENTIDADES LOCALES;Extremadura;2010;53.262
ENTIDADES LOCALES;Galicia;2023;168.525
ENTIDADES LOCALES;Galicia;2022;142.311
ENTIDADES LOCALES;Galicia;2021;120.638
ENTIDADES LOCALES;Galicia;2020;117.446
ENTIDADES LOCALES;Galicia;2019;137.628
ENTIDADES LOCALES;Galicia;2018;121.887
ENTIDADES LOCALES;Galicia;2017;112.251
ENTIDADES LOCALES;Galicia;2016;105.061
ENTIDADES LOCALES;Galicia;2015;112.561
ENTIDADES LOCALES;Galicia;2014;99.656
ENTIDADES LOCALES;Galicia;2013;104.166
ENTIDADES LOCALES;Galicia;2012;105.447
ENTIDADES LOCALES;Galicia;2011;135.364
ENTIDADES LOCALES;Galicia;2010;160.438
ENTIDADES LOCALES;Madrid, Comunidad de;2023;465.320
ENTIDADES LOCALES;Madrid, Comunidad de;2022;464.479
ENTIDADES LOCALES;Madrid, Comunidad de;2021;398.677
ENTIDADES LOCALES;Madrid, Comunidad de;2020;334.277
ENTIDADES LOCALES;Madrid, Comunidad de;2019;355.873
ENTIDADES LOCALES;Madrid, Comunidad de;2018;331.262
ENTIDADES LOCALES;Madrid, Comunidad de;2017;319.478
ENTIDADES LOCALES;Madrid, Comunidad de;2016;301.993
ENTIDADES LOCALES;Madrid, Comunidad de;2015;298.909
ENTIDADES LOCALES;Madrid, Comunidad de;2014;283.340
ENTIDADES LOCALES;Madrid, Comunidad de;2013;286.026
ENTIDADES LOCALES;Madrid, Comunidad de;2012;304.106
ENTIDADES LOCALES;Madrid, Comunidad de;2011;344.062
