Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Valores absolutos;Transferencias corrientes;2021;147.990,0
TOTAL;Valores absolutos;Transferencias corrientes;2020;149.440,0
TOTAL;Valores absolutos;Transferencias corrientes;2019;141.566,0
TOTAL;Valores absolutos;Transferencias corrientes;2018;122.978,0
TOTAL;Valores absolutos;GASTOS DE CAPITAL;2023;51.487,0
TOTAL;Valores absolutos;GASTOS DE CAPITAL;2022;84.810,0
TOTAL;Valores absolutos;GASTOS DE CAPITAL;2021;60.380,0
TOTAL;Valores absolutos;GASTOS DE CAPITAL;2020;4.411,0
TOTAL;Valores absolutos;GASTOS DE CAPITAL;2019;7.288,0
TOTAL;Valores absolutos;GASTOS DE CAPITAL;2018;22.439,0
TOTAL;Valores absolutos;Inversiones reales;2023;2.532,0
TOTAL;Valores absolutos;Inversiones reales;2022;2.387,0
TOTAL;Valores absolutos;Inversiones reales;2021;1.867,0
TOTAL;Valores absolutos;Inversiones reales;2020;2.006,0
TOTAL;Valores absolutos;Inversiones reales;2019;2.150,0
TOTAL;Valores absolutos;Inversiones reales;2018;1.567,0
TOTAL;Valores absolutos;Transferencias de capital;2023;48.955,0
TOTAL;Valores absolutos;Transferencias de capital;2022;82.423,0
TOTAL;Valores absolutos;Transferencias de capital;2021;58.513,0
TOTAL;Valores absolutos;Transferencias de capital;2020;2.404,0
TOTAL;Valores absolutos;Transferencias de capital;2019;5.138,0
TOTAL;Valores absolutos;Transferencias de capital;2018;20.872,0
TOTAL;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2023;5,0
TOTAL;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2022;10,0
TOTAL;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2021;7,0
TOTAL;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2020;738,0
TOTAL;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2019;1.203,0
TOTAL;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2018;819,0
TOTAL;Porcentaje;TOTAL (Miles de euros);2023;100,0
TOTAL;Porcentaje;TOTAL (Miles de euros);2022;100,0
TOTAL;Porcentaje;TOTAL (Miles de euros);2021;100,0
TOTAL;Porcentaje;TOTAL (Miles de euros);2020;100,0
TOTAL;Porcentaje;TOTAL (Miles de euros);2019;100,0
TOTAL;Porcentaje;TOTAL (Miles de euros);2018;100,0
TOTAL;Porcentaje;GASTOS CORRIENTES;2023;100,0
TOTAL;Porcentaje;GASTOS CORRIENTES;2022;100,0
TOTAL;Porcentaje;GASTOS CORRIENTES;2021;100,0
TOTAL;Porcentaje;GASTOS CORRIENTES;2020;100,0
TOTAL;Porcentaje;GASTOS CORRIENTES;2019;100,0
TOTAL;Porcentaje;GASTOS CORRIENTES;2018;100,0
TOTAL;Porcentaje;Gastos de personal;2023;100,0
TOTAL;Porcentaje;Gastos de personal;2022;100,0
