Comunidad autónoma;periodo;Total
Rioja, La;2013;7.518
Rioja, La;2012;7.366
Ceuta;2023;14.622
Ceuta;2022;10.798
Ceuta;2021;6.991
Ceuta;2020;6.849
Ceuta;2019;7.283
Ceuta;2018;6.797
Ceuta;2017;6.095
Ceuta;2016;5.905
Ceuta;2015;5.729
Ceuta;2014;5.173
Ceuta;2013;5.697
Ceuta;2012;7.108
Melilla;2023;14.497
Melilla;2022;16.959
Melilla;2021;14.787
Melilla;2020;11.923
Melilla;2019;11.566
Melilla;2018;11.638
Melilla;2017;11.102
Melilla;2016;10.603
Melilla;2015;10.501
Melilla;2014;10.648
Melilla;2013;10.319
Melilla;2012;11.445
