Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2015;61.689
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2014;57.508
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2013;52.992
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2012;62.576
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2011;77.939
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2010;87.532
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2023;54.083
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2022;43.065
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2021;36.802
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2020;31.530
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2019;36.125
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2018;32.427
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2017;32.075
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2016;31.108
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cantabria;2015;28.659
