Indicador;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;2023;3.314.891
TOTAL;TOTAL;2022;2.988.033
TOTAL;TOTAL;2021;2.529.598
TOTAL;TOTAL;2020;2.268.558
TOTAL;TOTAL;2019;2.523.821
TOTAL;TOTAL;2018;2.340.017
TOTAL;TOTAL;2017;2.150.485
TOTAL;TOTAL;2016;2.075.014
TOTAL;TOTAL;2015;2.115.192
TOTAL;TOTAL;2014;..
TOTAL;TOTAL;2013;..
TOTAL;TOTAL;2012;2.046.966
TOTAL;TOTAL;2011;2.501.451
TOTAL;TOTAL;2010;3.057.293
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2023;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2022;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2021;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2020;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2019;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2018;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2017;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2016;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2015;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2014;1.768.950
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2013;1.713.773
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2012;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2011;..
TOTAL;SUBTOTAL (Sin País Vasco y Navarra);2010;..
TOTAL;Andalucía;2023;481.147
TOTAL;Andalucía;2022;437.009
TOTAL;Andalucía;2021;370.634
TOTAL;Andalucía;2020;324.219
TOTAL;Andalucía;2019;375.622
TOTAL;Andalucía;2018;342.845
TOTAL;Andalucía;2017;304.497
TOTAL;Andalucía;2016;302.977
TOTAL;Andalucía;2015;306.638
TOTAL;Andalucía;2014;299.592
TOTAL;Andalucía;2013;281.802
TOTAL;Andalucía;2012;312.380
TOTAL;Andalucía;2011;419.767
TOTAL;Andalucía;2010;492.283
TOTAL;Aragón;2023;116.167
TOTAL;Aragón;2022;115.998
TOTAL;Aragón;2021;98.330
TOTAL;Aragón;2020;81.970
TOTAL;Aragón;2019;85.641
TOTAL;Aragón;2018;89.410
TOTAL;Aragón;2017;78.661
TOTAL;Aragón;2016;78.331
TOTAL;Aragón;2015;73.320
TOTAL;Aragón;2014;63.939
TOTAL;Aragón;2013;66.915
TOTAL;Aragón;2012;70.358
TOTAL;Aragón;2011;79.020
TOTAL;Aragón;2010;103.136
TOTAL;Asturias, Principado de;2023;68.764
TOTAL;Asturias, Principado de;2022;58.766
TOTAL;Asturias, Principado de;2021;47.108
TOTAL;Asturias, Principado de;2020;48.185
TOTAL;Asturias, Principado de;2019;50.970
TOTAL;Asturias, Principado de;2018;46.595
TOTAL;Asturias, Principado de;2017;45.994
TOTAL;Asturias, Principado de;2016;47.190
TOTAL;Asturias, Principado de;2015;49.502
TOTAL;Asturias, Principado de;2014;46.260
TOTAL;Asturias, Principado de;2013;42.860
TOTAL;Asturias, Principado de;2012;45.399
TOTAL;Asturias, Principado de;2011;58.601
TOTAL;Asturias, Principado de;2010;76.902
TOTAL;Balears, Illes;2023;100.671
TOTAL;Balears, Illes;2022;93.209
TOTAL;Balears, Illes;2021;76.865
TOTAL;Balears, Illes;2020;80.563
TOTAL;Balears, Illes;2019;76.599
TOTAL;Balears, Illes;2018;73.079
TOTAL;Balears, Illes;2017;73.692
TOTAL;Balears, Illes;2016;64.313
TOTAL;Balears, Illes;2015;61.524
TOTAL;Balears, Illes;2014;62.104
TOTAL;Balears, Illes;2013;60.351
TOTAL;Balears, Illes;2012;67.749
TOTAL;Balears, Illes;2011;73.559
TOTAL;Balears, Illes;2010;91.485
TOTAL;Canarias;2023;199.184
TOTAL;Canarias;2022;171.997
TOTAL;Canarias;2021;153.434
TOTAL;Canarias;2020;127.421
TOTAL;Canarias;2019;133.257
TOTAL;Canarias;2018;127.271
TOTAL;Canarias;2017;118.350
TOTAL;Canarias;2016;103.368
TOTAL;Canarias;2015;123.924
TOTAL;Canarias;2014;117.901
TOTAL;Canarias;2013;112.404
TOTAL;Canarias;2012;114.430
TOTAL;Canarias;2011;122.082
TOTAL;Canarias;2010;134.083
TOTAL;Cantabria;2023;54.096
TOTAL;Cantabria;2022;43.087
TOTAL;Cantabria;2021;36.882
TOTAL;Cantabria;2020;31.559
TOTAL;Cantabria;2019;36.238
TOTAL;Cantabria;2018;32.501
TOTAL;Cantabria;2017;32.208
TOTAL;Cantabria;2016;31.380
TOTAL;Cantabria;2015;28.689
TOTAL;Cantabria;2014;33.561
TOTAL;Cantabria;2013;29.419
TOTAL;Cantabria;2012;29.123
TOTAL;Cantabria;2011;35.237
TOTAL;Cantabria;2010;38.903
TOTAL;Castilla y León;2023;182.631
TOTAL;Castilla y León;2022;175.798
TOTAL;Castilla y León;2021;136.947
TOTAL;Castilla y León;2020;116.134
TOTAL;Castilla y León;2019;139.231
TOTAL;Castilla y León;2018;127.051
TOTAL;Castilla y León;2017;120.981
TOTAL;Castilla y León;2016;123.082
TOTAL;Castilla y León;2015;129.425
TOTAL;Castilla y León;2014;109.354
TOTAL;Castilla y León;2013;102.139
TOTAL;Castilla y León;2012;114.274
TOTAL;Castilla y León;2011;136.766
TOTAL;Castilla y León;2010;176.164
TOTAL;Castilla-La Mancha;2023;164.597
TOTAL;Castilla-La Mancha;2022;139.346
TOTAL;Castilla-La Mancha;2021;110.866
TOTAL;Castilla-La Mancha;2020;96.797
TOTAL;Castilla-La Mancha;2019;117.118
TOTAL;Castilla-La Mancha;2018;109.332
TOTAL;Castilla-La Mancha;2017;99.901
TOTAL;Castilla-La Mancha;2016;95.304
TOTAL;Castilla-La Mancha;2015;95.175
TOTAL;Castilla-La Mancha;2014;92.307
TOTAL;Castilla-La Mancha;2013;97.348
TOTAL;Castilla-La Mancha;2012;105.017
TOTAL;Castilla-La Mancha;2011;131.977
TOTAL;Castilla-La Mancha;2010;165.795
