Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2010;17.003
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2023;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2022;1
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2021;5
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2020;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2019;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2018;7
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2017;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2016;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2015;8
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2014;10
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2013;1
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2012;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2011;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.3. Gastos financieros;2010;0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2023;188.598
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2022;176.024
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2021;147.990
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2020;149.440
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2019;141.566
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2018;122.978
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2017;104.236
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2016;109.063
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2015;100.553
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2014;92.681
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2013;111.079
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2012;117.839
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2011;76.281
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2010;83.883
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2023;6.476
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2022;11.375
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2021;11.380
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2020;4.411
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2019;7.288
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2018;22.439
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2017;7.939
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2016;5.198
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2015;7.139
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2014;4.005
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2013;8.013
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2012;11.964
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2011;24.574
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2010;34.903
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2023;2.532
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2022;2.387
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2021;1.867
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2020;2.006
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2019;2.150
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2018;1.567
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2017;2.133
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2016;1.691
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2015;2.127
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2014;2.074
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2013;2.504
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2012;3.676
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2011;5.775
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.1. Inversiones reales;2010;9.705
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2023;3.944
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2022;8.988
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2021;9.513
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2020;2.404
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2019;5.138
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2018;20.872
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2017;5.806
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2016;3.507
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2015;5.012
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2014;1.931
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2013;5.509
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2012;8.288
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2011;18.799
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2010;25.198
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2023;5
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2022;10
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2021;7
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2020;738
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2019;1.203
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2018;819
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2017;960
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2016;22
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2015;1.752
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2014;1.119
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2013;3.634
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2012;3.858
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2011;4.210
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2010;4.527
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2023;83,8
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2022;74,9
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2021;79,2
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2017;98,8
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2016;99,0
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2015;98,6
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2014;98,2
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2013;98,6
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2012;93,9
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2011;89,7
Fomento y apoyo a las actividades deportivas;Porcentaje;TOTAL;2010;91,5
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2017;98,7
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2016;98,9
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2015;98,5
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2014;98,1
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2013;98,5
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2012;94,9
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2011;89,8
Fomento y apoyo a las actividades deportivas;Porcentaje;1. GASTOS CORRIENTES;2010;89,8
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2017;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2016;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2015;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2014;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2013;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2012;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2011;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.1. Gastos de personal;2010;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2017;99,3
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2016;99,3
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2015;99,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2014;98,7
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2013;98,1
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2012;85,6
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2011;84,3
Fomento y apoyo a las actividades deportivas;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2010;83,1
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2017;0,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2016;0,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2015;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2014;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2013;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2012;..
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2011;..
Fomento y apoyo a las actividades deportivas;Porcentaje;1.3. Gastos financieros;2010;..
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2017;98,5
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2016;98,7
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2015;98,2
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2014;97,7
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2013;98,4
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2012;95,5
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2011;89,2
Fomento y apoyo a las actividades deportivas;Porcentaje;1.4. Transferencias corrientes;2010;89,5
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2023;12,6
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2022;13,4
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2021;18,8
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2017;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2016;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2015;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2014;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2013;99,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2012;81,9
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2011;88,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2. GASTOS DE CAPITAL;2010;96,6
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2017;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2016;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2015;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2014;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2013;96,9
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2012;58,2
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2011;63,3
Fomento y apoyo a las actividades deportivas;Porcentaje;2.1. Inversiones reales;2010;92,6
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2023;8,1
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2022;10,9
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2021;16,3
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2017;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2016;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2015;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2014;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2013;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2012;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2011;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;2.2. Transferencias de capital;2010;98,2
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2023;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2022;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2021;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2020;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2019;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2018;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2017;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2016;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2015;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2014;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2013;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2012;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2011;100,0
Fomento y apoyo a las actividades deportivas;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2010;100,0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2023;45.011
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2022;73.435
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2021;49.000
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);TOTAL;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.1. Gastos de personal;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2017;..
