Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2012;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2011;0
TOTAL;Valores absolutos (Miles de euros);1.3. Gastos financieros;2010;0
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2023;188.598
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2022;176.024
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2021;147.990
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2020;149.440
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2019;141.566
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2018;122.978
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2017;105.838
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2016;110.461
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2015;102.430
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2014;94.849
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2013;112.905
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2012;123.380
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2011;85.478
TOTAL;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2010;93.704
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2023;51.487
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2022;84.810
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2021;60.380
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2020;4.411
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2019;7.288
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2018;22.439
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2017;7.939
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2016;5.198
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2015;7.139
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2014;4.005
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2013;8.094
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2012;14.602
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2011;27.919
TOTAL;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2010;36.144
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2023;2.532
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2022;2.387
