Valores absolutos y porcentaje;Tipo de entidad;Naturaleza económica del gasto;periodo;Total
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2018;45.256
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2017;43.300
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2016;40.322
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2015;38.432
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2014;46.024
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2013;38.525
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2012;40.210
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2011;42.894
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2010;49.872
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2023;8
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2022;6
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2021;2
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2020;21
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2019;0
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2018;1
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2017;644
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2016;1
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2015;1.314
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2014;0
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2013;27
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2012;0
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2011;2
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos financieros;2010;3
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2023;134.118
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2022;98.375
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2021;109.396
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2020;90.474
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2019;94.478
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2018;89.953
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2017;82.982
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2016;74.301
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2015;71.158
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2014;66.343
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2013;71.816
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2012;66.861
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2011;77.048
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias corrientes;2010;84.304
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2023;114.791
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2022;27.447
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2021;100.845
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2020;89.021
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2019;93.390
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2018;14.815
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2017;64.371
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2016;47.778
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2015;74.137
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2014;73.559
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2013;65.522
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2012;74.314
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2011;116.916
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS DE CAPITAL;2010;138.411
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2023;21.649
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2022;20.702
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2021;25.704
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2020;27.467
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2019;16.904
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2018;82.433
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2017;16.795
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2016;8.642
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2015;33.151
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2014;37.021
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2013;36.686
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2012;43.628
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2011;52.019
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Inversiones reales;2010;56.318
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2023;93.142
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2022;6.746
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2021;75.141
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2020;61.554
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2019;76.486
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2018;80.817
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2017;47.576
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2016;39.136
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2015;40.986
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2014;36.538
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2013;28.837
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2012;30.685
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2011;64.897
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Transferencias de capital;2010;82.092
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2023;100
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2022;8
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2021;3
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2020;8
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2019;11
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2018;1.615
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2017;1.718
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2016;2.547
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2015;1.864
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2014;2.416
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2013;2.325
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2012;13
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2011;48
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;ACTIVOS Y PASIVOS FINANCIEROS;2010;612
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2023;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2022;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2021;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2020;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2019;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2018;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2017;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2016;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2015;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2014;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2013;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2012;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2011;100,0
Porcentaje;ENTIDADES LOCALES;TOTAL (Miles de euros);2010;100,0
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2023;74,7
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2022;75,9
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2021;78,2
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2020;79,5
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2019;77,8
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2018;80,9
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2017;84,2
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2016;85,2
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2015;81,6
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2014;..
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2013;..
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2012;80,8
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2011;71,0
Porcentaje;ENTIDADES LOCALES;GASTOS CORRIENTES;2010;59,6
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2023;24,7
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2022;26,0
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2021;29,1
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2020;31,2
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2019;28,1
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2018;29,3
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2017;31,2
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2016;32,0
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2015;28,7
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2014;..
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2013;..
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2012;28,5
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2011;25,9
Porcentaje;ENTIDADES LOCALES;Gastos de personal;2010;21,5
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2023;36,3
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2022;35,6
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2021;34,0
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2020;33,6
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2019;36,1
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2018;37,1
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2017;38,5
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2016;38,3
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2015;37,4
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2014;..
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2013;..
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2012;37,6
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2011;32,0
Porcentaje;ENTIDADES LOCALES;Gastos corrientes en bienes y servicios;2010;26,9
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2023;0,0
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2022;0,0
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2021;0,0
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2020;0,0
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2019;0,0
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2018;0,2
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2017;0,1
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2016;0,0
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2015;0,1
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2014;..
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2013;..
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2012;0,1
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2011;0,1
Porcentaje;ENTIDADES LOCALES;Gastos financieros;2010;0,0
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2023;13,6
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2022;14,3
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2021;15,0
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2020;14,8
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2019;13,6
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2018;14,4
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2017;14,4
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2016;14,9
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2015;15,4
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2014;..
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2013;..
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2012;14,6
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2011;13,0
Porcentaje;ENTIDADES LOCALES;Transferencias corrientes;2010;11,2
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2023;25,3
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2022;24,1
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2021;21,7
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2020;20,4
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2019;22,1
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2018;18,8
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2017;15,6
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2016;14,2
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2015;17,8
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2014;..
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2013;..
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2012;18,7
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2011;28,8
Porcentaje;ENTIDADES LOCALES;GASTOS DE CAPITAL;2010;40,0
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2023;24,4
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2022;22,9
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2021;20,8
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2020;19,7
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2019;21,1
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2018;16,9
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2017;14,4
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2016;12,7
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2015;15,6
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2014;..
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2013;..
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2012;17,3
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2011;27,0
Porcentaje;ENTIDADES LOCALES;Inversiones reales;2010;38,4
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2023;0,9
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2022;1,1
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2021;0,9
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2020;0,6
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2019;1,0
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2018;1,9
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2017;1,1
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2016;1,6
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2015;2,2
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2014;..
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2013;..
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2012;1,4
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2011;1,8
Porcentaje;ENTIDADES LOCALES;Transferencias de capital;2010;1,7
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2023;0,0
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2022;0,0
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2021;0,0
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2020;0,1
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2019;0,1
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2018;0,3
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2017;0,3
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2016;0,6
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2015;0,6
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2014;..
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2013;..
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2012;0,5
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2011;0,2
Porcentaje;ENTIDADES LOCALES;ACTIVOS Y PASIVOS FINANCIEROS;2010;0,3
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2023;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2022;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2021;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2020;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2019;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2018;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2017;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2016;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2015;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2014;..
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2013;..
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2012;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2011;100,0
Porcentaje;AYUNTAMIENTOS;TOTAL (Miles de euros);2010;100,0
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2023;73,6
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2022;74,9
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2021;77,7
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2020;79,2
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2019;76,9
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2018;97,9
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2017;84,0
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2016;85,0
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2015;82,0
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2014;..
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2013;..
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2012;81,4
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2011;70,9
Porcentaje;AYUNTAMIENTOS;GASTOS CORRIENTES;2010;58,5
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2023;25,3
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2022;26,6
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2021;30,0
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2020;31,9
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2019;28,7
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2018;29,9
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2017;32,0
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2016;32,8
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2015;31,4
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2014;..
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2013;..
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2012;29,4
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2011;26,4
Porcentaje;AYUNTAMIENTOS;Gastos de personal;2010;21,6
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2023;37,1
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2022;36,4
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2021;35,2
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2020;34,7
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2019;36,8
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2018;37,8
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2017;39,4
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2016;39,3
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2015;38,4
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2014;..
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2013;..
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2012;38,8
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2011;32,7
Porcentaje;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2010;27,1
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2023;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2022;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2021;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2020;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2019;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2018;0,2
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2017;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2016;0,0
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2015;0,1
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2014;..
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2013;..
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2012;0,1
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2011;0,1
Porcentaje;AYUNTAMIENTOS;Gastos financieros;2010;0,0
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2023;11,2
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2022;11,9
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2021;12,5
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2020;12,5
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2019;11,4
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2018;12,5
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2017;12,5
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2016;12,8
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2015;12,2
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2014;..
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2013;..
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2012;13,1
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2011;11,7
Porcentaje;AYUNTAMIENTOS;Transferencias corrientes;2010;9,8
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2023;26,4
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2022;25,1
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2021;22,2
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2020;20,7
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2019;23,0
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2018;17,4
Porcentaje;AYUNTAMIENTOS;GASTOS DE CAPITAL;2017;15,8
