Indicador;Comunidad autónoma;periodo;Total
TOTAL;Cataluña;2016;304.122
TOTAL;Cataluña;2015;308.322
TOTAL;Cataluña;2014;285.617
TOTAL;Cataluña;2013;279.335
TOTAL;Cataluña;2012;290.256
TOTAL;Cataluña;2011;341.534
TOTAL;Cataluña;2010;433.305
TOTAL;Comunitat Valenciana;2023;320.434
TOTAL;Comunitat Valenciana;2022;272.419
TOTAL;Comunitat Valenciana;2021;222.309
TOTAL;Comunitat Valenciana;2020;202.635
TOTAL;Comunitat Valenciana;2019;223.862
TOTAL;Comunitat Valenciana;2018;189.869
TOTAL;Comunitat Valenciana;2017;181.375
TOTAL;Comunitat Valenciana;2016;175.473
TOTAL;Comunitat Valenciana;2015;183.395
TOTAL;Comunitat Valenciana;2014;160.022
TOTAL;Comunitat Valenciana;2013;149.567
TOTAL;Comunitat Valenciana;2012;169.649
TOTAL;Comunitat Valenciana;2011;232.680
TOTAL;Comunitat Valenciana;2010;296.575
TOTAL;Extremadura;2023;56.107
TOTAL;Extremadura;2022;48.333
TOTAL;Extremadura;2021;41.207
TOTAL;Extremadura;2020;35.179
TOTAL;Extremadura;2019;45.583
TOTAL;Extremadura;2018;41.620
TOTAL;Extremadura;2017;34.098
TOTAL;Extremadura;2016;31.163
TOTAL;Extremadura;2015;32.412
TOTAL;Extremadura;2014;32.067
TOTAL;Extremadura;2013;24.296
TOTAL;Extremadura;2012;32.430
TOTAL;Extremadura;2011;32.532
TOTAL;Extremadura;2010;50.405
TOTAL;Galicia;2023;152.703
TOTAL;Galicia;2022;128.296
TOTAL;Galicia;2021;108.519
TOTAL;Galicia;2020;104.331
TOTAL;Galicia;2019;122.842
TOTAL;Galicia;2018;108.982
TOTAL;Galicia;2017;98.078
TOTAL;Galicia;2016;92.704
TOTAL;Galicia;2015;95.788
TOTAL;Galicia;2014;84.596
TOTAL;Galicia;2013;90.765
TOTAL;Galicia;2012;88.120
TOTAL;Galicia;2011;107.840
TOTAL;Galicia;2010;136.851
TOTAL;Madrid, Comunidad de;2023;465.062
TOTAL;Madrid, Comunidad de;2022;464.221
TOTAL;Madrid, Comunidad de;2021;398.524
TOTAL;Madrid, Comunidad de;2020;334.156
TOTAL;Madrid, Comunidad de;2019;355.737
TOTAL;Madrid, Comunidad de;2018;331.101
TOTAL;Madrid, Comunidad de;2017;319.520
TOTAL;Madrid, Comunidad de;2016;301.860
TOTAL;Madrid, Comunidad de;2015;286.257
TOTAL;Madrid, Comunidad de;2014;283.202
TOTAL;Madrid, Comunidad de;2013;285.913
TOTAL;Madrid, Comunidad de;2012;304.106
TOTAL;Madrid, Comunidad de;2011;344.062
TOTAL;Madrid, Comunidad de;2010;407.162
TOTAL;Murcia, Región de;2023;77.238
TOTAL;Murcia, Región de;2022;67.122
TOTAL;Murcia, Región de;2021;58.865
TOTAL;Murcia, Región de;2020;56.083
TOTAL;Murcia, Región de;2019;64.501
TOTAL;Murcia, Región de;2018;53.259
TOTAL;Murcia, Región de;2017;51.497
TOTAL;Murcia, Región de;2016;50.141
TOTAL;Murcia, Región de;2015;51.271
TOTAL;Murcia, Región de;2014;49.392
TOTAL;Murcia, Región de;2013;46.850
TOTAL;Murcia, Región de;2012;53.438
TOTAL;Murcia, Región de;2011;70.880
TOTAL;Murcia, Región de;2010;89.522
TOTAL;Navarra, Comunidad Foral de;2023;76.886
TOTAL;Navarra, Comunidad Foral de;2022;63.396
TOTAL;Navarra, Comunidad Foral de;2021;58.985
TOTAL;Navarra, Comunidad Foral de;2020;59.199
TOTAL;Navarra, Comunidad Foral de;2019;57.269
TOTAL;Navarra, Comunidad Foral de;2018;44.463
TOTAL;Navarra, Comunidad Foral de;2017;39.166
TOTAL;Navarra, Comunidad Foral de;2016;38.597
TOTAL;Navarra, Comunidad Foral de;2015;34.459
TOTAL;Navarra, Comunidad Foral de;2014;..
TOTAL;Navarra, Comunidad Foral de;2013;..
TOTAL;Navarra, Comunidad Foral de;2012;35.134
TOTAL;Navarra, Comunidad Foral de;2011;51.504
TOTAL;Navarra, Comunidad Foral de;2010;65.490
TOTAL;País Vasco;2023;224.280
TOTAL;País Vasco;2022;197.419
TOTAL;País Vasco;2021;171.179
TOTAL;País Vasco;2020;157.898
TOTAL;País Vasco;2019;169.665
TOTAL;País Vasco;2018;158.667
TOTAL;País Vasco;2017;150.796
TOTAL;País Vasco;2016;154.211
TOTAL;País Vasco;2015;158.600
TOTAL;País Vasco;2014;..
TOTAL;País Vasco;2013;..
TOTAL;País Vasco;2012;139.651
TOTAL;País Vasco;2011;162.669
TOTAL;País Vasco;2010;197.589
TOTAL;Rioja, La;2023;22.578
TOTAL;Rioja, La;2022;23.850
TOTAL;Rioja, La;2021;18.498
TOTAL;Rioja, La;2020;20.667
TOTAL;Rioja, La;2019;19.173
TOTAL;Rioja, La;2018;18.367
TOTAL;Rioja, La;2017;16.784
TOTAL;Rioja, La;2016;15.624
TOTAL;Rioja, La;2015;17.864
TOTAL;Rioja, La;2014;19.732
TOTAL;Rioja, La;2013;16.572
TOTAL;Rioja, La;2012;18.122
TOTAL;Rioja, La;2011;22.676
TOTAL;Rioja, La;2010;27.928
C.I  Gastos de personal;TOTAL;2023;775.225
C.I  Gastos de personal;TOTAL;2022;734.114
C.I  Gastos de personal;TOTAL;2021;696.521
C.I  Gastos de personal;TOTAL;2020;667.405
C.I  Gastos de personal;TOTAL;2019;670.127
C.I  Gastos de personal;TOTAL;2018;646.952
C.I  Gastos de personal;TOTAL;2017;634.139
C.I  Gastos de personal;TOTAL;2016;627.177
C.I  Gastos de personal;TOTAL;2015;601.537
C.I  Gastos de personal;TOTAL;2014;..
C.I  Gastos de personal;TOTAL;2013;..
C.I  Gastos de personal;TOTAL;2012;551.319
C.I  Gastos de personal;TOTAL;2011;608.814
C.I  Gastos de personal;TOTAL;2010;614.471
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2023;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2022;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2021;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2020;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2019;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2018;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2017;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2016;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2015;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2014;534.530
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2013;529.272
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2012;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2011;..
C.I  Gastos de personal;SUBTOTAL (Sin País Vasco y Navarra);2010;..
C.I  Gastos de personal;Andalucía;2023;141.490
C.I  Gastos de personal;Andalucía;2022;133.693
C.I  Gastos de personal;Andalucía;2021;125.376
C.I  Gastos de personal;Andalucía;2020;121.257
C.I  Gastos de personal;Andalucía;2019;124.786
C.I  Gastos de personal;Andalucía;2018;122.194
C.I  Gastos de personal;Andalucía;2017;121.515
C.I  Gastos de personal;Andalucía;2016;117.847
C.I  Gastos de personal;Andalucía;2015;116.336
C.I  Gastos de personal;Andalucía;2014;109.229
C.I  Gastos de personal;Andalucía;2013;107.962
C.I  Gastos de personal;Andalucía;2012;110.332
C.I  Gastos de personal;Andalucía;2011;119.478
C.I  Gastos de personal;Andalucía;2010;120.223
C.I  Gastos de personal;Aragón;2023;23.647
C.I  Gastos de personal;Aragón;2022;22.342
C.I  Gastos de personal;Aragón;2021;21.342
C.I  Gastos de personal;Aragón;2020;19.981
C.I  Gastos de personal;Aragón;2019;20.259
C.I  Gastos de personal;Aragón;2018;19.706
C.I  Gastos de personal;Aragón;2017;18.859
C.I  Gastos de personal;Aragón;2016;19.070
C.I  Gastos de personal;Aragón;2015;16.093
C.I  Gastos de personal;Aragón;2014;8.700
C.I  Gastos de personal;Aragón;2013;8.979
C.I  Gastos de personal;Aragón;2012;8.529
C.I  Gastos de personal;Aragón;2011;9.421
C.I  Gastos de personal;Aragón;2010;9.594
C.I  Gastos de personal;Asturias, Principado de;2023;14.625
C.I  Gastos de personal;Asturias, Principado de;2022;14.207
