Comunidad autónoma y tamaño del municipio;Motivos;Total
País Vasco;Por edad;10,1
País Vasco;Motivos económicos;2,1
País Vasco;Falta de instalaciones adecuadas cercanas;1,9
País Vasco;No tener con quien practicarlo;2,6
Rioja (La);TOTAL;100
Rioja (La);Falta de  tiempo;46,0
Rioja (La);Falta de interés;24,5
Rioja (La);Motivos de salud;12,1
Rioja (La);Por edad;10,4
Rioja (La);Motivos económicos;3,0
Rioja (La);Falta de instalaciones adecuadas cercanas;2,2
Rioja (La);No tener con quien practicarlo;1,8
Ceuta y Melilla;TOTAL;100
Ceuta y Melilla;Falta de  tiempo;48,4
Ceuta y Melilla;Falta de interés;20,2
Ceuta y Melilla;Motivos de salud;11,7
Ceuta y Melilla;Por edad;7,7
Ceuta y Melilla;Motivos económicos;3,5
Ceuta y Melilla;Falta de instalaciones adecuadas cercanas;5,3
Ceuta y Melilla;No tener con quien practicarlo;3,2
Capitales de provincia;TOTAL;100
Capitales de provincia;Falta de  tiempo;43,1
Capitales de provincia;Falta de interés;20,5
Capitales de provincia;Motivos de salud;12,0
Capitales de provincia;Por edad;10,4
Capitales de provincia;Motivos económicos;5,8
Capitales de provincia;Falta de instalaciones adecuadas cercanas;4,7
Capitales de provincia;No tener con quien practicarlo;3,5
De más de 50.000 habitantes;TOTAL;100
De más de 50.000 habitantes;Falta de  tiempo;45,7
De más de 50.000 habitantes;Falta de interés;18,7
De más de 50.000 habitantes;Motivos de salud;12,0
De más de 50.000 habitantes;Por edad;8,4
De más de 50.000 habitantes;Motivos económicos;6,6
De más de 50.000 habitantes;Falta de instalaciones adecuadas cercanas;4,3
De más de 50.000 habitantes;No tener con quien practicarlo;4,3
De menos de 50.001 habitantes;TOTAL;100
De menos de 50.001 habitantes;Falta de  tiempo;43,5
De menos de 50.001 habitantes;Falta de interés;20,3
De menos de 50.001 habitantes;Motivos de salud;11,8
De menos de 50.001 habitantes;Por edad;10,2
De menos de 50.001 habitantes;Motivos económicos;5,3
De menos de 50.001 habitantes;Falta de instalaciones adecuadas cercanas;5,8
De menos de 50.001 habitantes;No tener con quien practicarlo;3,1
