Tipo de indicador;Actividad económica;Sexo;Periodo;Total
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 03;39.777
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 02;39.630
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 01;40.244
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 03;19.263
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 02;19.176
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 01;19.457
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 03;20.514
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 02;20.454
TOTAL;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 01;20.787
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 03;3.354
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 02;3.139
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 01;3.045
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 03;2.415
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 02;2.220
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 01;2.146
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 03;939
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 02;919
TOTAL;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 01;899
TOTAL;85.51 Educación deportiva y recreativa;Total;2026. Mes 03;40.912
TOTAL;85.51 Educación deportiva y recreativa;Total;2026. Mes 02;40.102
TOTAL;85.51 Educación deportiva y recreativa;Total;2026. Mes 01;39.367
TOTAL;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 03;20.629
TOTAL;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 02;20.343
TOTAL;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 01;19.971
TOTAL;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 03;20.283
TOTAL;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 02;19.759
TOTAL;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 01;19.396
TOTAL;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 03;66.147
TOTAL;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 02;65.936
TOTAL;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 01;65.205
TOTAL;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 03;39.306
TOTAL;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 02;39.217
TOTAL;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 01;38.813
TOTAL;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 03;26.841
TOTAL;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 02;26.719
TOTAL;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 01;26.392
TOTAL;93.12 Actividades de los clubes deportivos;Total;2026. Mes 03;72.539
TOTAL;93.12 Actividades de los clubes deportivos;Total;2026. Mes 02;72.489
TOTAL;93.12 Actividades de los clubes deportivos;Total;2026. Mes 01;71.861
TOTAL;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 03;48.234
TOTAL;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 02;48.153
TOTAL;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 01;47.722
TOTAL;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 03;24.305
TOTAL;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 02;24.336
TOTAL;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 01;24.139
TOTAL;93.13 Actividades de los centros deportivos;Total;2026. Mes 03;42.554
TOTAL;93.13 Actividades de los centros deportivos;Total;2026. Mes 02;42.915
TOTAL;93.13 Actividades de los centros deportivos;Total;2026. Mes 01;42.419
TOTAL;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 03;23.994
TOTAL;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 02;24.071
TOTAL;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 01;23.822
TOTAL;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 03;18.560
TOTAL;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 02;18.844
TOTAL;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 01;18.597
TOTAL;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 03;36.731
TOTAL;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 02;36.178
TOTAL;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 01;35.475
TOTAL;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 03;23.220
TOTAL;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 02;22.898
TOTAL;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 01;22.408
