Tipo de indicador;Actividad económica;Sexo;Periodo;Total
TOTAL;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 03;13.511
TOTAL;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 02;13.280
TOTAL;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 01;13.067
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 03;35.019
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 02;34.861
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 01;35.487
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 03;15.931
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 02;15.836
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 01;16.125
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 03;19.088
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 02;19.025
Régimen General;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 01;19.362
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 03;2.307
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 02;2.128
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 01;2.057
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 03;1.652
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 02;1.478
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 01;1.423
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 03;655
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 02;650
Régimen General;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 01;634
Régimen General;85.51 Educación deportiva y recreativa;Total;2026. Mes 03;24.937
Régimen General;85.51 Educación deportiva y recreativa;Total;2026. Mes 02;24.308
Régimen General;85.51 Educación deportiva y recreativa;Total;2026. Mes 01;23.756
Régimen General;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 03;11.817
Régimen General;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 02;11.631
Régimen General;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 01;11.363
Régimen General;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 03;13.120
Régimen General;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 02;12.677
Régimen General;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 01;12.393
Régimen General;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 03;62.170
Régimen General;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 02;61.999
Régimen General;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 01;61.326
Régimen General;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 03;36.386
Régimen General;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 02;36.318
Régimen General;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 01;35.947
Régimen General;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 03;25.784
Régimen General;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 02;25.681
Régimen General;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 01;25.379
Régimen General;93.12 Actividades de los clubes deportivos;Total;2026. Mes 03;71.171
Régimen General;93.12 Actividades de los clubes deportivos;Total;2026. Mes 02;71.120
Régimen General;93.12 Actividades de los clubes deportivos;Total;2026. Mes 01;70.491
Régimen General;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 03;47.252
Régimen General;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 02;47.172
Régimen General;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 01;46.737
Régimen General;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 03;23.919
Régimen General;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 02;23.948
Régimen General;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 01;23.754
Régimen General;93.13 Actividades de los centros deportivos;Total;2026. Mes 03;33.487
Régimen General;93.13 Actividades de los centros deportivos;Total;2026. Mes 02;33.922
Régimen General;93.13 Actividades de los centros deportivos;Total;2026. Mes 01;33.512
Régimen General;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 03;17.957
Régimen General;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 02;18.074
Régimen General;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 01;17.879
Régimen General;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 03;15.530
Régimen General;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 02;15.848
Régimen General;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 01;15.633
Régimen General;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 03;26.341
Régimen General;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 02;25.904
Régimen General;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 01;25.282
Régimen General;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 03;15.829
Régimen General;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 02;15.594
Régimen General;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 01;15.172
Régimen General;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 03;10.512
Régimen General;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 02;10.310
Régimen General;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 01;10.110
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 03;4.758
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 02;4.769
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2026. Mes 01;4.757
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 03;3.332
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 02;3.340
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Hombres;2026. Mes 01;3.332
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 03;1.426
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 02;1.429
Régimen Especial de Trabajadores Autónomos;47.63 Comercio al por menor de artículos deportivos en establecimientos especializados;Mujeres;2026. Mes 01;1.425
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 03;1.047
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 02;1.011
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Total;2026. Mes 01;988
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 03;763
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 02;742
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Hombres;2026. Mes 01;723
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 03;284
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 02;269
Régimen Especial de Trabajadores Autónomos;77.21 Alquiler de artículos de ocio y deportivos;Mujeres;2026. Mes 01;265
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Total;2026. Mes 03;15.975
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Total;2026. Mes 02;15.794
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Total;2026. Mes 01;15.611
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 03;8.812
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 02;8.712
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Hombres;2026. Mes 01;8.608
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 03;7.163
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 02;7.082
Régimen Especial de Trabajadores Autónomos;85.51 Educación deportiva y recreativa;Mujeres;2026. Mes 01;7.003
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 03;3.977
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 02;3.937
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Total;2026. Mes 01;3.879
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 03;2.920
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 02;2.899
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Hombres;2026. Mes 01;2.866
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 03;1.057
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 02;1.038
Régimen Especial de Trabajadores Autónomos;93.11 Gestión de instalaciones deportivas;Mujeres;2026. Mes 01;1.013
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Total;2026. Mes 03;1.368
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Total;2026. Mes 02;1.369
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Total;2026. Mes 01;1.370
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 03;982
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 02;981
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Hombres;2026. Mes 01;985
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 03;386
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 02;388
Régimen Especial de Trabajadores Autónomos;93.12 Actividades de los clubes deportivos;Mujeres;2026. Mes 01;385
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Total;2026. Mes 03;9.067
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Total;2026. Mes 02;8.993
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Total;2026. Mes 01;8.907
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 03;6.037
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 02;5.997
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Hombres;2026. Mes 01;5.943
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 03;3.030
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 02;2.996
Régimen Especial de Trabajadores Autónomos;93.13 Actividades de los centros deportivos;Mujeres;2026. Mes 01;2.964
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 03;10.390
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 02;10.274
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Total;2026. Mes 01;10.193
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 03;7.391
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 02;7.304
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Hombres;2026. Mes 01;7.236
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 03;2.999
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 02;2.970
Régimen Especial de Trabajadores Autónomos;93.19 Actividades deportivas n.c.o.p.;Mujeres;2026. Mes 01;2.957
