Tipo de indicador;Actividad económica;Sexo;Periodo;Total
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 12;44.565
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 11;42.176
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 10;39.897
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 09;39.794
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 08;41.871
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 07;43.175
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 06;42.455
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 05;39.407
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 04;38.719
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 03;38.457
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 02;38.603
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2025. Mes 01;38.890
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 12;43.108
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 11;41.693
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 10;39.635
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 09;39.142
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024- Mes 08;41.444
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024- Mes 07;42.111
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 06;41.479
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 05;38.836
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 04;37.881
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 03;38.226
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 02;38.055
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2024. Mes 01;39.091
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 12;43.173
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 11;41.807
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 10;39.910
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 09;39.481
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 08;41.169
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 07;41.924
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 06;40.873
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 05;39.413
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 04;38.870
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 03;38.497
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 02;38.270
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2023. Mes 01;38.902
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 12;42.070
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 11;40.765
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 10;39.737
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 09;39.068
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 08;40.473
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 07;41.707
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 06;40.449
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 05;38.234
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 04;37.961
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 03;38.774
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 02;38.491
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2022. Mes 01;39.503
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 12;43.649
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 11;42.320
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 10;40.175
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 09;39.223
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 08;40.169
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 07;40.975
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 06;39.772
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 05;37.141
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 04;35.851
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 03;34.949
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 02;34.223
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2021. Mes 01;35.564
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 12;39.958
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 11;37.996
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 10;37.756
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 09;36.842
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 08;37.625
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 07;38.241
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 06;36.864
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 05;34.920
TOTAL;47.64 Comercio al por menor de artículos deportivos en establecimientos especializados;Total;2020. Mes 04;34.769
