Comunidad autónoma y tamaño del municipio;Motivos;periodo;Total
Murcia (Región de);Motivos económicos;2022;6,1
Murcia (Región de);Falta de instalaciones adecuadas cercanas;2022;8,9
Murcia (Región de);No tener con quien practicarlo;2022;5,9
Navarra (Comunidad Foral de);TOTAL;2022;100
Navarra (Comunidad Foral de);Falta de  tiempo;2022;35,7
Navarra (Comunidad Foral de);Falta de interés;2022;27,0
Navarra (Comunidad Foral de);Motivos de salud;2022;9,2
Navarra (Comunidad Foral de);Por edad;2022;10,6
Navarra (Comunidad Foral de);Motivos económicos;2022;4,4
Navarra (Comunidad Foral de);Falta de instalaciones adecuadas cercanas;2022;7,7
Navarra (Comunidad Foral de);No tener con quien practicarlo;2022;5,5
País Vasco;TOTAL;2022;100
País Vasco;Falta de  tiempo;2022;34,8
País Vasco;Falta de interés;2022;28,3
País Vasco;Motivos de salud;2022;10,6
País Vasco;Por edad;2022;11,6
País Vasco;Motivos económicos;2022;5,1
País Vasco;Falta de instalaciones adecuadas cercanas;2022;5,5
País Vasco;No tener con quien practicarlo;2022;4,2
Rioja (La);TOTAL;2022;100
Rioja (La);Falta de  tiempo;2022;33,9
Rioja (La);Falta de interés;2022;26,5
Rioja (La);Motivos de salud;2022;11,0
Rioja (La);Por edad;2022;11,7
Rioja (La);Motivos económicos;2022;4,3
Rioja (La);Falta de instalaciones adecuadas cercanas;2022;7,0
Rioja (La);No tener con quien practicarlo;2022;5,6
Ceuta y Melilla;TOTAL;2022;100
Ceuta y Melilla;Falta de  tiempo;2022;33,8
Ceuta y Melilla;Falta de interés;2022;22,0
Ceuta y Melilla;Motivos de salud;2022;11,3
Ceuta y Melilla;Por edad;2022;7,6
Ceuta y Melilla;Motivos económicos;2022;8,0
Ceuta y Melilla;Falta de instalaciones adecuadas cercanas;2022;10,9
Ceuta y Melilla;No tener con quien practicarlo;2022;6,5
Capitales de provincia;TOTAL;2022;100
Capitales de provincia;Falta de  tiempo;2022;34,6
Capitales de provincia;Falta de interés;2022;24,7
Capitales de provincia;Motivos de salud;2022;10,7
Capitales de provincia;Por edad;2022;10,8
Capitales de provincia;Motivos económicos;2022;6,3
Capitales de provincia;Falta de instalaciones adecuadas cercanas;2022;7,3
Capitales de provincia;No tener con quien practicarlo;2022;5,7
De más de 50.000 habitantes;TOTAL;2022;100
De más de 50.000 habitantes;Falta de  tiempo;2022;34,1
De más de 50.000 habitantes;Falta de interés;2022;25,2
De más de 50.000 habitantes;Motivos de salud;2022;12,0
De más de 50.000 habitantes;Por edad;2022;10,7
De más de 50.000 habitantes;Motivos económicos;2022;6,3
De más de 50.000 habitantes;Falta de instalaciones adecuadas cercanas;2022;6,4
De más de 50.000 habitantes;No tener con quien practicarlo;2022;5,3
De menos de 50.001 habitantes;TOTAL;2022;100
De menos de 50.001 habitantes;Falta de  tiempo;2022;34,9
De menos de 50.001 habitantes;Falta de interés;2022;26,0
De menos de 50.001 habitantes;Motivos de salud;2022;10,7
De menos de 50.001 habitantes;Por edad;2022;10,8
De menos de 50.001 habitantes;Motivos económicos;2022;5,2
De menos de 50.001 habitantes;Falta de instalaciones adecuadas cercanas;2022;7,6
De menos de 50.001 habitantes;No tener con quien practicarlo;2022;4,8
