Comunidad autónoma y tamaño del municipio;Indicador;Disponen de licencia deportiva;periodo;Total
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;13,6
Comunitat Valenciana;En % de la población total de cada colectivo;TOTAL;2022;100
Comunitat Valenciana;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;6,8
Comunitat Valenciana;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;5,2
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;10,5
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,1
Extremadura;En % de la población total de cada colectivo;TOTAL;2022;100
Extremadura;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;11,0
Extremadura;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;9,1
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;17,2
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;13,8
Galicia;En % de la población total de cada colectivo;TOTAL;2022;100
Galicia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;11,6
Galicia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;10,4
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;22,0
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;19,6
Madrid (Comunidad de);En % de la población total de cada colectivo;TOTAL;2022;100
Madrid (Comunidad de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;10,1
Madrid (Comunidad de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,5
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;15,4
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;12,9
Murcia (Región de);En % de la población total de cada colectivo;TOTAL;2022;100
Murcia (Región de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;9,9
Murcia (Región de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;9,1
Murcia (Región de);En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Murcia (Región de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;16,1
Murcia (Región de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;14,7
Navarra (Comunidad Foral de);En % de la población total de cada colectivo;TOTAL;2022;100
Navarra (Comunidad Foral de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;15,2
Navarra (Comunidad Foral de);En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;12,6
Navarra (Comunidad Foral de);En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
