Comunidad autónoma-tamaño del municipio;Indicador;Tipo de pertenencia;Total
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;38,6
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;24,4
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;7,7
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;18,5
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Total;100
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios: Total;53,9
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios: Públicos;24,8
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios: Privados;35,3
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;33,0
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;17,4
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;16,7
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;34,7
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;25,1
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;11,7
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;69,1
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;33,0
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;45,0
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;43,9
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;23,1
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;22,3
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;45,1
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;16,0
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;32,0
País Vasco;En % de la población total de cada colectivo;Total;100
País Vasco;En % de la población total de cada colectivo;Abonados o socios: Total;49,8
País Vasco;En % de la población total de cada colectivo;Abonados o socios: Públicos;30,4
País Vasco;En % de la población total de cada colectivo;Abonados o socios: Privados;31,0
País Vasco;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;37,0
País Vasco;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;22,0
País Vasco;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;18,6
País Vasco;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;24,3
País Vasco;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;16,7
País Vasco;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;11,4
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;68,4
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;40,5
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;44,0
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;51,5
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;29,5
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;27,5
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;33,2
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;15,6
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;22,8
Rioja, La;En % de la población total de cada colectivo;Total;100
Rioja, La;En % de la población total de cada colectivo;Abonados o socios: Total;44,7
Rioja, La;En % de la población total de cada colectivo;Abonados o socios: Públicos;22,6
Rioja, La;En % de la población total de cada colectivo;Abonados o socios: Privados;30,9
Rioja, La;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;29,7
Rioja, La;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;14,2
Rioja, La;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;17,4
Rioja, La;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;26,4
Rioja, La;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;17,9
Rioja, La;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;11,8
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;68,1
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;35,6
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;47,6
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;47,5
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;23,6
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;27,0
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;40,2
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;17,9
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;28,1
Ceuta y Melilla;En % de la población total de cada colectivo;Total;100
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios: Total;34,0
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios: Públicos;12,5
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios: Privados;25,8
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;27,9
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;9,1
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;20,1
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;14,4
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;12,1
Ceuta y Melilla;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;4,8
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;55,1
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;20,4
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;41,8
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;47,1
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;15,3
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;34,0
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;21,7
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;7,4
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;18,2
Capitales de provincia;En % de la población total de cada colectivo;Total;100
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios: Total;45,3
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios: Públicos;15,8
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios: Privados;35,5
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;34,1
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;10,1
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;26,2
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;21,5
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;16,5
Capitales de provincia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;7,3
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;64,6
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;21,7
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;51,7
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;49,7
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;14,4
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;38,8
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;29,9
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;9,4
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;23,7
De más de 50.000 habitantes;En % de la población total de cada colectivo;Total;100
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios: Total;43,5
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios: Públicos;14,2
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios: Privados;33,3
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;32,4
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;9,1
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;24,7
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;18,9
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;13,5
De más de 50.000 habitantes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;6,6
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;61,7
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;20,0
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;47,8
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;47,9
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;13,4
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;36,6
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;25,6
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;8,7
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;18,5
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Total;100
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios: Total;40,3
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios: Públicos;17,3
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios: Privados;28,5
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;28,1
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;11,8
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;17,9
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;20,2
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;14,6
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;7,6
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;60,8
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;26,2
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;43,1
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;43,7
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;18,0
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;28,0
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;29,8
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;11,6
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;21,5
