Comunidad autónoma-tamaño del municipio;Indicador;Tipo de pertenencia;Total
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios: Total;44,4
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios: Públicos;16,8
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios: Privados;34,9
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;27,5
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;11,4
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;17,8
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;28,7
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;23,4
Asturias, Principado de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;7,7
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;69,7
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;26,4
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;55,6
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;44,6
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;18,4
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;29,3
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;44,1
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;11,4
Asturias, Principado de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;36,6
Balears, Illes;En % de la población total de cada colectivo;Total;100
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios: Total;48,7
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios: Públicos;20,4
