Comunidad autónoma-tamaño de municipio;Indicador;Tipo de licencia;Total
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;12,9
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;12,9
Extremadura;En % de la población total de cada colectivo;TOTAL;100
Extremadura;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;11,6
Extremadura;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;11,4
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;16,5
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;16,2
Galicia;En % de la población total de cada colectivo;TOTAL;100
Galicia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;12,7
Galicia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;11,2
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;20,0
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;17,1
Madrid, Comunidad de;En % de la población total de cada colectivo;TOTAL;100
Madrid, Comunidad de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;9,9
Madrid, Comunidad de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;8,7
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;13,7
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;12,0
Murcia, Región de;En % de la población total de cada colectivo;TOTAL;100
Murcia, Región de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;8,2
Murcia, Región de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;7,2
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;10,6
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;9,0
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;TOTAL;100
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;17,1
Navarra, Comunidad Foral de;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;15,6
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;23,1
Navarra, Comunidad Foral de;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;21,0
País Vasco;En % de la población total de cada colectivo;TOTAL;100
País Vasco;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;11,7
País Vasco;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;10,8
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;17,1
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;15,8
Rioja, La;En % de la población total de cada colectivo;TOTAL;100
Rioja, La;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;12,0
Rioja, La;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;11,2
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;20,0
Rioja, La;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;18,6
Ceuta y Melilla;En % de la población total de cada colectivo;TOTAL;100
Ceuta y Melilla;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;10,9
Ceuta y Melilla;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;8,1
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;17,5
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;12,5
Capitales de provincia;En % de la población total de cada colectivo;TOTAL;100
Capitales de provincia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;11,1
Capitales de provincia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;9,9
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;16,1
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;14,3
De más de 50.000 habitantes;En % de la población total de cada colectivo;TOTAL;100
De más de 50.000 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;8,4
De más de 50.000 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;7,5
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;11,8
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;10,5
De menos de 50.001 habitantes;En % de la población total de cada colectivo;TOTAL;100
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;10,8
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;9,7
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;100
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;15,8
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;14,2
