Federación;Deportistas;Sexo;periodo;Total
TOTAL;Valores absolutos;TOTAL;2024;6.082
TOTAL;Valores absolutos;TOTAL;2023;5.781
TOTAL;Valores absolutos;TOTAL;2022;6.101
TOTAL;Valores absolutos;TOTAL;2021;5.494
TOTAL;Valores absolutos;TOTAL;2020;5.483
TOTAL;Valores absolutos;TOTAL;2019;5.337
TOTAL;Valores absolutos;TOTAL;2018;4.962
TOTAL;Valores absolutos;TOTAL;2017;4.660
TOTAL;Valores absolutos;TOTAL;2016;4.553
TOTAL;Valores absolutos;TOTAL;2015;3.893
TOTAL;Valores absolutos;TOTAL;2014;3.986
TOTAL;Valores absolutos;TOTAL;2013;4.696
TOTAL;Valores absolutos;TOTAL;2012;4.257
TOTAL;Valores absolutos;TOTAL;2011;3.735
TOTAL;Valores absolutos;TOTAL;2010;3.212
TOTAL;Valores absolutos;TOTAL;2009;3.474
TOTAL;Valores absolutos;TOTAL;2008;3.377
TOTAL;Valores absolutos;TOTAL;2007;2.943
TOTAL;Valores absolutos;TOTAL;2006;1.088
TOTAL;Valores absolutos;TOTAL;2005;1.188
TOTAL;Valores absolutos;Hombres;2024;3.590
TOTAL;Valores absolutos;Hombres;2023;3.482
TOTAL;Valores absolutos;Hombres;2022;3.708
TOTAL;Valores absolutos;Hombres;2021;3.382
TOTAL;Valores absolutos;Hombres;2020;3.404
TOTAL;Valores absolutos;Hombres;2019;3.336
TOTAL;Valores absolutos;Hombres;2018;3.114
TOTAL;Valores absolutos;Hombres;2017;2.962
TOTAL;Valores absolutos;Hombres;2016;2.939
TOTAL;Valores absolutos;Hombres;2015;2.545
TOTAL;Valores absolutos;Hombres;2014;2.629
TOTAL;Valores absolutos;Hombres;2013;3.110
TOTAL;Valores absolutos;Hombres;2012;2.830
TOTAL;Valores absolutos;Hombres;2011;2.501
TOTAL;Valores absolutos;Hombres;2010;2.122
TOTAL;Valores absolutos;Hombres;2009;2.364
TOTAL;Valores absolutos;Hombres;2008;2.299
TOTAL;Valores absolutos;Hombres;2007;2.013
TOTAL;Valores absolutos;Hombres;2006;723
TOTAL;Valores absolutos;Hombres;2005;777
TOTAL;Valores absolutos;Mujeres;2024;2.492
TOTAL;Valores absolutos;Mujeres;2023;2.299
TOTAL;Valores absolutos;Mujeres;2022;2.393
TOTAL;Valores absolutos;Mujeres;2021;2.112
TOTAL;Valores absolutos;Mujeres;2020;2.079
TOTAL;Valores absolutos;Mujeres;2019;2.001
TOTAL;Valores absolutos;Mujeres;2018;1.848
TOTAL;Valores absolutos;Mujeres;2017;1.698
TOTAL;Valores absolutos;Mujeres;2016;1.614
TOTAL;Valores absolutos;Mujeres;2015;1.348
TOTAL;Valores absolutos;Mujeres;2014;1.357
TOTAL;Valores absolutos;Mujeres;2013;1.586
TOTAL;Valores absolutos;Mujeres;2012;1.427
TOTAL;Valores absolutos;Mujeres;2011;1.234
TOTAL;Valores absolutos;Mujeres;2010;1.090
TOTAL;Valores absolutos;Mujeres;2009;1.110
TOTAL;Valores absolutos;Mujeres;2008;1.078
TOTAL;Valores absolutos;Mujeres;2007;930
TOTAL;Valores absolutos;Mujeres;2006;365
TOTAL;Valores absolutos;Mujeres;2005;411
TOTAL;Porcentaje;TOTAL;2024;100,0
TOTAL;Porcentaje;TOTAL;2023;100,0
TOTAL;Porcentaje;TOTAL;2022;100,0
TOTAL;Porcentaje;TOTAL;2021;100,0
TOTAL;Porcentaje;TOTAL;2020;100,0
TOTAL;Porcentaje;TOTAL;2019;100,0
TOTAL;Porcentaje;TOTAL;2018;100,0
TOTAL;Porcentaje;TOTAL;2017;100,0
TOTAL;Porcentaje;TOTAL;2016;100,0
TOTAL;Porcentaje;TOTAL;2015;100,0
TOTAL;Porcentaje;TOTAL;2014;100,0
TOTAL;Porcentaje;TOTAL;2013;100,0
TOTAL;Porcentaje;TOTAL;2012;100,0
TOTAL;Porcentaje;TOTAL;2011;100,0
TOTAL;Porcentaje;TOTAL;2010;100,0
TOTAL;Porcentaje;TOTAL;2009;100,0
TOTAL;Porcentaje;TOTAL;2008;100,0
TOTAL;Porcentaje;TOTAL;2007;100,0
TOTAL;Porcentaje;TOTAL;2006;100,0
TOTAL;Porcentaje;TOTAL;2005;100,0
TOTAL;Porcentaje;Hombres;2024;59,0
TOTAL;Porcentaje;Hombres;2023;60,2
TOTAL;Porcentaje;Hombres;2022;60,8
TOTAL;Porcentaje;Hombres;2021;61,6
TOTAL;Porcentaje;Hombres;2020;62,1
TOTAL;Porcentaje;Hombres;2019;62,5
TOTAL;Porcentaje;Hombres;2018;62,8
TOTAL;Porcentaje;Hombres;2017;63,6
TOTAL;Porcentaje;Hombres;2016;64,6
TOTAL;Porcentaje;Hombres;2015;65,4
TOTAL;Porcentaje;Hombres;2014;66,0
TOTAL;Porcentaje;Hombres;2013;66,2
TOTAL;Porcentaje;Hombres;2012;66,5
TOTAL;Porcentaje;Hombres;2011;67,0
TOTAL;Porcentaje;Hombres;2010;66,1
TOTAL;Porcentaje;Hombres;2009;68,0
TOTAL;Porcentaje;Hombres;2008;68,1
TOTAL;Porcentaje;Hombres;2007;68,4
TOTAL;Porcentaje;Hombres;2006;66,5
TOTAL;Porcentaje;Hombres;2005;65,4
TOTAL;Porcentaje;Mujeres;2024;41,0
TOTAL;Porcentaje;Mujeres;2023;39,8
TOTAL;Porcentaje;Mujeres;2022;39,2
TOTAL;Porcentaje;Mujeres;2021;38,4
TOTAL;Porcentaje;Mujeres;2020;37,9
TOTAL;Porcentaje;Mujeres;2019;37,5
TOTAL;Porcentaje;Mujeres;2018;37,2
TOTAL;Porcentaje;Mujeres;2017;36,4
TOTAL;Porcentaje;Mujeres;2016;35,4
TOTAL;Porcentaje;Mujeres;2015;34,6
TOTAL;Porcentaje;Mujeres;2014;34,0
TOTAL;Porcentaje;Mujeres;2013;33,8
TOTAL;Porcentaje;Mujeres;2012;33,5
TOTAL;Porcentaje;Mujeres;2011;33,0
TOTAL;Porcentaje;Mujeres;2010;33,9
TOTAL;Porcentaje;Mujeres;2009;32,0
TOTAL;Porcentaje;Mujeres;2008;31,9
TOTAL;Porcentaje;Mujeres;2007;31,6
TOTAL;Porcentaje;Mujeres;2006;33,5
TOTAL;Porcentaje;Mujeres;2005;34,6
Actividades Subacuáticas;Valores absolutos;TOTAL;2024;50
Actividades Subacuáticas;Valores absolutos;TOTAL;2023;57
Actividades Subacuáticas;Valores absolutos;TOTAL;2022;56
Actividades Subacuáticas;Valores absolutos;TOTAL;2021;54
Actividades Subacuáticas;Valores absolutos;TOTAL;2020;48
Actividades Subacuáticas;Valores absolutos;TOTAL;2019;48
Actividades Subacuáticas;Valores absolutos;TOTAL;2018;42
Actividades Subacuáticas;Valores absolutos;TOTAL;2017;19
Actividades Subacuáticas;Valores absolutos;TOTAL;2016;20
Actividades Subacuáticas;Valores absolutos;TOTAL;2015;15
Actividades Subacuáticas;Valores absolutos;TOTAL;2014;21
Actividades Subacuáticas;Valores absolutos;TOTAL;2013;35
Actividades Subacuáticas;Valores absolutos;TOTAL;2012;31
Actividades Subacuáticas;Valores absolutos;TOTAL;2011;31
Actividades Subacuáticas;Valores absolutos;TOTAL;2010;29
Actividades Subacuáticas;Valores absolutos;TOTAL;2009;18
Actividades Subacuáticas;Valores absolutos;TOTAL;2008;9
Actividades Subacuáticas;Valores absolutos;TOTAL;2007;0
Actividades Subacuáticas;Valores absolutos;TOTAL;2006;0
Actividades Subacuáticas;Valores absolutos;TOTAL;2005;0
Actividades Subacuáticas;Valores absolutos;Hombres;2024;32
Actividades Subacuáticas;Valores absolutos;Hombres;2023;30
Actividades Subacuáticas;Valores absolutos;Hombres;2022;29
Actividades Subacuáticas;Valores absolutos;Hombres;2021;30
Actividades Subacuáticas;Valores absolutos;Hombres;2020;25
Actividades Subacuáticas;Valores absolutos;Hombres;2019;25
Actividades Subacuáticas;Valores absolutos;Hombres;2018;22
Actividades Subacuáticas;Valores absolutos;Hombres;2017;15
Actividades Subacuáticas;Valores absolutos;Hombres;2016;15
Actividades Subacuáticas;Valores absolutos;Hombres;2015;13
Actividades Subacuáticas;Valores absolutos;Hombres;2014;19
Actividades Subacuáticas;Valores absolutos;Hombres;2013;22
Actividades Subacuáticas;Valores absolutos;Hombres;2012;18
Actividades Subacuáticas;Valores absolutos;Hombres;2011;18
Actividades Subacuáticas;Valores absolutos;Hombres;2010;17
Actividades Subacuáticas;Valores absolutos;Hombres;2009;6
Actividades Subacuáticas;Valores absolutos;Hombres;2008;0
Actividades Subacuáticas;Valores absolutos;Hombres;2007;0
Actividades Subacuáticas;Valores absolutos;Hombres;2006;0
Actividades Subacuáticas;Valores absolutos;Hombres;2005;0
Actividades Subacuáticas;Valores absolutos;Mujeres;2024;18
Actividades Subacuáticas;Valores absolutos;Mujeres;2023;27
Actividades Subacuáticas;Valores absolutos;Mujeres;2022;27
Actividades Subacuáticas;Valores absolutos;Mujeres;2021;24
Actividades Subacuáticas;Valores absolutos;Mujeres;2020;23
Actividades Subacuáticas;Valores absolutos;Mujeres;2019;23
Actividades Subacuáticas;Valores absolutos;Mujeres;2018;20
Actividades Subacuáticas;Valores absolutos;Mujeres;2017;4
Actividades Subacuáticas;Valores absolutos;Mujeres;2016;5
Actividades Subacuáticas;Valores absolutos;Mujeres;2015;2
Actividades Subacuáticas;Valores absolutos;Mujeres;2014;2
Actividades Subacuáticas;Valores absolutos;Mujeres;2013;13
Actividades Subacuáticas;Valores absolutos;Mujeres;2012;13
Actividades Subacuáticas;Valores absolutos;Mujeres;2011;13
Actividades Subacuáticas;Valores absolutos;Mujeres;2010;12
Actividades Subacuáticas;Valores absolutos;Mujeres;2009;12
Actividades Subacuáticas;Valores absolutos;Mujeres;2008;9
Actividades Subacuáticas;Valores absolutos;Mujeres;2007;0
Actividades Subacuáticas;Valores absolutos;Mujeres;2006;0
Actividades Subacuáticas;Valores absolutos;Mujeres;2005;0
Actividades Subacuáticas;Porcentaje;TOTAL;2024;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2023;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2022;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2021;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2020;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2019;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2018;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2017;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2016;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2015;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2014;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2013;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2012;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2011;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2010;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2009;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2008;100,0
Actividades Subacuáticas;Porcentaje;TOTAL;2007;..
Actividades Subacuáticas;Porcentaje;TOTAL;2006;..
Actividades Subacuáticas;Porcentaje;TOTAL;2005;..
Actividades Subacuáticas;Porcentaje;Hombres;2024;64,0
Actividades Subacuáticas;Porcentaje;Hombres;2023;52,6
Actividades Subacuáticas;Porcentaje;Hombres;2022;51,8
Actividades Subacuáticas;Porcentaje;Hombres;2021;55,6
Actividades Subacuáticas;Porcentaje;Hombres;2020;52,1
Actividades Subacuáticas;Porcentaje;Hombres;2019;52,1
Actividades Subacuáticas;Porcentaje;Hombres;2018;52,4
Actividades Subacuáticas;Porcentaje;Hombres;2017;78,9
Actividades Subacuáticas;Porcentaje;Hombres;2016;75,0
Actividades Subacuáticas;Porcentaje;Hombres;2015;86,7
Actividades Subacuáticas;Porcentaje;Hombres;2014;90,5
Actividades Subacuáticas;Porcentaje;Hombres;2013;62,9
Actividades Subacuáticas;Porcentaje;Hombres;2012;58,1
Actividades Subacuáticas;Porcentaje;Hombres;2011;58,1
Actividades Subacuáticas;Porcentaje;Hombres;2010;58,6
Actividades Subacuáticas;Porcentaje;Hombres;2009;33,3
Actividades Subacuáticas;Porcentaje;Hombres;2008;0,0
Actividades Subacuáticas;Porcentaje;Hombres;2007;..
Actividades Subacuáticas;Porcentaje;Hombres;2006;..
Actividades Subacuáticas;Porcentaje;Hombres;2005;..
Actividades Subacuáticas;Porcentaje;Mujeres;2024;36,0
Actividades Subacuáticas;Porcentaje;Mujeres;2023;47,4
Actividades Subacuáticas;Porcentaje;Mujeres;2022;48,2
Actividades Subacuáticas;Porcentaje;Mujeres;2021;44,4
Actividades Subacuáticas;Porcentaje;Mujeres;2020;47,9
Actividades Subacuáticas;Porcentaje;Mujeres;2019;47,9
Actividades Subacuáticas;Porcentaje;Mujeres;2018;47,6
Actividades Subacuáticas;Porcentaje;Mujeres;2017;21,1
Actividades Subacuáticas;Porcentaje;Mujeres;2016;25,0
Actividades Subacuáticas;Porcentaje;Mujeres;2015;13,3
Actividades Subacuáticas;Porcentaje;Mujeres;2014;9,5
Actividades Subacuáticas;Porcentaje;Mujeres;2013;37,1
Actividades Subacuáticas;Porcentaje;Mujeres;2012;41,9
Actividades Subacuáticas;Porcentaje;Mujeres;2011;41,9
Actividades Subacuáticas;Porcentaje;Mujeres;2010;41,4
Actividades Subacuáticas;Porcentaje;Mujeres;2009;66,7
Actividades Subacuáticas;Porcentaje;Mujeres;2008;100,0
Actividades Subacuáticas;Porcentaje;Mujeres;2007;..
Actividades Subacuáticas;Porcentaje;Mujeres;2006;..
Actividades Subacuáticas;Porcentaje;Mujeres;2005;..
Aeronáutica;Valores absolutos;TOTAL;2024;69
Aeronáutica;Valores absolutos;TOTAL;2023;59
Aeronáutica;Valores absolutos;TOTAL;2022;62
Aeronáutica;Valores absolutos;TOTAL;2021;55
Aeronáutica;Valores absolutos;TOTAL;2020;64
Aeronáutica;Valores absolutos;TOTAL;2019;66
Aeronáutica;Valores absolutos;TOTAL;2018;56
Aeronáutica;Valores absolutos;TOTAL;2017;82
Aeronáutica;Valores absolutos;TOTAL;2016;80
Aeronáutica;Valores absolutos;TOTAL;2015;71
Aeronáutica;Valores absolutos;TOTAL;2014;70
Aeronáutica;Valores absolutos;TOTAL;2013;83
Aeronáutica;Valores absolutos;TOTAL;2012;85
Aeronáutica;Valores absolutos;TOTAL;2011;59
Aeronáutica;Valores absolutos;TOTAL;2010;56
Aeronáutica;Valores absolutos;TOTAL;2009;76
Aeronáutica;Valores absolutos;TOTAL;2008;75
Aeronáutica;Valores absolutos;TOTAL;2007;69
Aeronáutica;Valores absolutos;TOTAL;2006;31
Aeronáutica;Valores absolutos;TOTAL;2005;27
Aeronáutica;Valores absolutos;Hombres;2024;58
Aeronáutica;Valores absolutos;Hombres;2023;51
Aeronáutica;Valores absolutos;Hombres;2022;54
Aeronáutica;Valores absolutos;Hombres;2021;45
Aeronáutica;Valores absolutos;Hombres;2020;56
Aeronáutica;Valores absolutos;Hombres;2019;58
Aeronáutica;Valores absolutos;Hombres;2018;50
Aeronáutica;Valores absolutos;Hombres;2017;72
Aeronáutica;Valores absolutos;Hombres;2016;70
Aeronáutica;Valores absolutos;Hombres;2015;64
Aeronáutica;Valores absolutos;Hombres;2014;62
Aeronáutica;Valores absolutos;Hombres;2013;75
Aeronáutica;Valores absolutos;Hombres;2012;77
Aeronáutica;Valores absolutos;Hombres;2011;56
Aeronáutica;Valores absolutos;Hombres;2010;53
Aeronáutica;Valores absolutos;Hombres;2009;69
Aeronáutica;Valores absolutos;Hombres;2008;66
Aeronáutica;Valores absolutos;Hombres;2007;60
Aeronáutica;Valores absolutos;Hombres;2006;27
Aeronáutica;Valores absolutos;Hombres;2005;25
Aeronáutica;Valores absolutos;Mujeres;2024;11
Aeronáutica;Valores absolutos;Mujeres;2023;8
Aeronáutica;Valores absolutos;Mujeres;2022;8
Aeronáutica;Valores absolutos;Mujeres;2021;10
Aeronáutica;Valores absolutos;Mujeres;2020;8
Aeronáutica;Valores absolutos;Mujeres;2019;8
Aeronáutica;Valores absolutos;Mujeres;2018;6
Aeronáutica;Valores absolutos;Mujeres;2017;10
Aeronáutica;Valores absolutos;Mujeres;2016;10
Aeronáutica;Valores absolutos;Mujeres;2015;7
Aeronáutica;Valores absolutos;Mujeres;2014;8
Aeronáutica;Valores absolutos;Mujeres;2013;8
Aeronáutica;Valores absolutos;Mujeres;2012;8
Aeronáutica;Valores absolutos;Mujeres;2011;3
Aeronáutica;Valores absolutos;Mujeres;2010;3
Aeronáutica;Valores absolutos;Mujeres;2009;7
Aeronáutica;Valores absolutos;Mujeres;2008;9
Aeronáutica;Valores absolutos;Mujeres;2007;9
Aeronáutica;Valores absolutos;Mujeres;2006;4
Aeronáutica;Valores absolutos;Mujeres;2005;2
Aeronáutica;Porcentaje;TOTAL;2024;100,0
Aeronáutica;Porcentaje;TOTAL;2023;100,0
Aeronáutica;Porcentaje;TOTAL;2022;100,0
Aeronáutica;Porcentaje;TOTAL;2021;100,0
Aeronáutica;Porcentaje;TOTAL;2020;100,0
Aeronáutica;Porcentaje;TOTAL;2019;100,0
Aeronáutica;Porcentaje;TOTAL;2018;100,0
Aeronáutica;Porcentaje;TOTAL;2017;100,0
Aeronáutica;Porcentaje;TOTAL;2016;100,0
Aeronáutica;Porcentaje;TOTAL;2015;100,0
Aeronáutica;Porcentaje;TOTAL;2014;100,0
Aeronáutica;Porcentaje;TOTAL;2013;100,0
Aeronáutica;Porcentaje;TOTAL;2012;100,0
Aeronáutica;Porcentaje;TOTAL;2011;100,0
Aeronáutica;Porcentaje;TOTAL;2010;100,0
Aeronáutica;Porcentaje;TOTAL;2009;100,0
Aeronáutica;Porcentaje;TOTAL;2008;100,0
Aeronáutica;Porcentaje;TOTAL;2007;100,0
Aeronáutica;Porcentaje;TOTAL;2006;100,0
Aeronáutica;Porcentaje;TOTAL;2005;100,0
Aeronáutica;Porcentaje;Hombres;2024;84,1
Aeronáutica;Porcentaje;Hombres;2023;86,4
Aeronáutica;Porcentaje;Hombres;2022;87,1
Aeronáutica;Porcentaje;Hombres;2021;81,8
Aeronáutica;Porcentaje;Hombres;2020;87,5
Aeronáutica;Porcentaje;Hombres;2019;87,9
Aeronáutica;Porcentaje;Hombres;2018;89,3
Aeronáutica;Porcentaje;Hombres;2017;87,8
Aeronáutica;Porcentaje;Hombres;2016;87,5
Aeronáutica;Porcentaje;Hombres;2015;90,1
Aeronáutica;Porcentaje;Hombres;2014;88,6
Aeronáutica;Porcentaje;Hombres;2013;90,4
Aeronáutica;Porcentaje;Hombres;2012;90,6
Aeronáutica;Porcentaje;Hombres;2011;94,9
Aeronáutica;Porcentaje;Hombres;2010;94,6
Aeronáutica;Porcentaje;Hombres;2009;90,8
Aeronáutica;Porcentaje;Hombres;2008;88,0
Aeronáutica;Porcentaje;Hombres;2007;87,0
Aeronáutica;Porcentaje;Hombres;2006;87,1
Aeronáutica;Porcentaje;Hombres;2005;92,6
Aeronáutica;Porcentaje;Mujeres;2024;15,9
Aeronáutica;Porcentaje;Mujeres;2023;13,6
Aeronáutica;Porcentaje;Mujeres;2022;12,9
Aeronáutica;Porcentaje;Mujeres;2021;18,2
Aeronáutica;Porcentaje;Mujeres;2020;12,5
Aeronáutica;Porcentaje;Mujeres;2019;12,1
Aeronáutica;Porcentaje;Mujeres;2018;10,7
Aeronáutica;Porcentaje;Mujeres;2017;12,2
Aeronáutica;Porcentaje;Mujeres;2016;12,5
Aeronáutica;Porcentaje;Mujeres;2015;9,9
Aeronáutica;Porcentaje;Mujeres;2014;11,4
Aeronáutica;Porcentaje;Mujeres;2013;9,6
Aeronáutica;Porcentaje;Mujeres;2012;9,4
Aeronáutica;Porcentaje;Mujeres;2011;5,1
Aeronáutica;Porcentaje;Mujeres;2010;5,4
Aeronáutica;Porcentaje;Mujeres;2009;9,2
Aeronáutica;Porcentaje;Mujeres;2008;12,0
Aeronáutica;Porcentaje;Mujeres;2007;13,0
Aeronáutica;Porcentaje;Mujeres;2006;12,9
Aeronáutica;Porcentaje;Mujeres;2005;7,4
Ajedrez;Valores absolutos;TOTAL;2024;21
Ajedrez;Valores absolutos;TOTAL;2023;19
Ajedrez;Valores absolutos;TOTAL;2022;18
Ajedrez;Valores absolutos;TOTAL;2021;16
Ajedrez;Valores absolutos;TOTAL;2020;16
Ajedrez;Valores absolutos;TOTAL;2019;16
Ajedrez;Valores absolutos;TOTAL;2018;7
Ajedrez;Valores absolutos;TOTAL;2017;9
Ajedrez;Valores absolutos;TOTAL;2016;8
Ajedrez;Valores absolutos;TOTAL;2015;6
Ajedrez;Valores absolutos;TOTAL;2014;7
Ajedrez;Valores absolutos;TOTAL;2013;7
Ajedrez;Valores absolutos;TOTAL;2012;5
Ajedrez;Valores absolutos;TOTAL;2011;2
Ajedrez;Valores absolutos;TOTAL;2010;2
Ajedrez;Valores absolutos;TOTAL;2009;2
Ajedrez;Valores absolutos;TOTAL;2008;3
Ajedrez;Valores absolutos;TOTAL;2007;3
Ajedrez;Valores absolutos;TOTAL;2006;0
Ajedrez;Valores absolutos;TOTAL;2005;2
Ajedrez;Valores absolutos;Hombres;2024;15
Ajedrez;Valores absolutos;Hombres;2023;14
Ajedrez;Valores absolutos;Hombres;2022;12
Ajedrez;Valores absolutos;Hombres;2021;9
Ajedrez;Valores absolutos;Hombres;2020;9
Ajedrez;Valores absolutos;Hombres;2019;9
Ajedrez;Valores absolutos;Hombres;2018;3
Ajedrez;Valores absolutos;Hombres;2017;5
Ajedrez;Valores absolutos;Hombres;2016;5
Ajedrez;Valores absolutos;Hombres;2015;4
Ajedrez;Valores absolutos;Hombres;2014;5
Ajedrez;Valores absolutos;Hombres;2013;5
Ajedrez;Valores absolutos;Hombres;2012;4
Ajedrez;Valores absolutos;Hombres;2011;2
Ajedrez;Valores absolutos;Hombres;2010;2
Ajedrez;Valores absolutos;Hombres;2009;2
Ajedrez;Valores absolutos;Hombres;2008;3
Ajedrez;Valores absolutos;Hombres;2007;3
Ajedrez;Valores absolutos;Hombres;2006;0
Ajedrez;Valores absolutos;Hombres;2005;2
Ajedrez;Valores absolutos;Mujeres;2024;6
Ajedrez;Valores absolutos;Mujeres;2023;5
Ajedrez;Valores absolutos;Mujeres;2022;6
Ajedrez;Valores absolutos;Mujeres;2021;7
Ajedrez;Valores absolutos;Mujeres;2020;7
Ajedrez;Valores absolutos;Mujeres;2019;7
Ajedrez;Valores absolutos;Mujeres;2018;4
Ajedrez;Valores absolutos;Mujeres;2017;4
Ajedrez;Valores absolutos;Mujeres;2016;3
Ajedrez;Valores absolutos;Mujeres;2015;2
Ajedrez;Valores absolutos;Mujeres;2014;2
Ajedrez;Valores absolutos;Mujeres;2013;2
Ajedrez;Valores absolutos;Mujeres;2012;1
Ajedrez;Valores absolutos;Mujeres;2011;0
Ajedrez;Valores absolutos;Mujeres;2010;0
Ajedrez;Valores absolutos;Mujeres;2009;0
Ajedrez;Valores absolutos;Mujeres;2008;0
Ajedrez;Valores absolutos;Mujeres;2007;0
Ajedrez;Valores absolutos;Mujeres;2006;0
Ajedrez;Valores absolutos;Mujeres;2005;0
Ajedrez;Porcentaje;TOTAL;2024;100,0
Ajedrez;Porcentaje;TOTAL;2023;100,0
Ajedrez;Porcentaje;TOTAL;2022;100,0
Ajedrez;Porcentaje;TOTAL;2021;100,0
Ajedrez;Porcentaje;TOTAL;2020;100,0
Ajedrez;Porcentaje;TOTAL;2019;100,0
Ajedrez;Porcentaje;TOTAL;2018;100,0
Ajedrez;Porcentaje;TOTAL;2017;100,0
Ajedrez;Porcentaje;TOTAL;2016;100,0
Ajedrez;Porcentaje;TOTAL;2015;100,0
Ajedrez;Porcentaje;TOTAL;2014;100,0
Ajedrez;Porcentaje;TOTAL;2013;100,0
Ajedrez;Porcentaje;TOTAL;2012;100,0
Ajedrez;Porcentaje;TOTAL;2011;100,0
Ajedrez;Porcentaje;TOTAL;2010;100,0
Ajedrez;Porcentaje;TOTAL;2009;100,0
Ajedrez;Porcentaje;TOTAL;2008;100,0
Ajedrez;Porcentaje;TOTAL;2007;100,0
Ajedrez;Porcentaje;TOTAL;2006;..
Ajedrez;Porcentaje;TOTAL;2005;100,0
Ajedrez;Porcentaje;Hombres;2024;71,4
Ajedrez;Porcentaje;Hombres;2023;73,7
Ajedrez;Porcentaje;Hombres;2022;66,7
Ajedrez;Porcentaje;Hombres;2021;56,3
Ajedrez;Porcentaje;Hombres;2020;56,3
Ajedrez;Porcentaje;Hombres;2019;56,3
Ajedrez;Porcentaje;Hombres;2018;42,9
Ajedrez;Porcentaje;Hombres;2017;55,6
Ajedrez;Porcentaje;Hombres;2016;62,5
Ajedrez;Porcentaje;Hombres;2015;66,7
Ajedrez;Porcentaje;Hombres;2014;71,4
Ajedrez;Porcentaje;Hombres;2013;71,4
Ajedrez;Porcentaje;Hombres;2012;80,0
Ajedrez;Porcentaje;Hombres;2011;100,0
Ajedrez;Porcentaje;Hombres;2010;100,0
Ajedrez;Porcentaje;Hombres;2009;100,0
Ajedrez;Porcentaje;Hombres;2008;100,0
Ajedrez;Porcentaje;Hombres;2007;100,0
Ajedrez;Porcentaje;Hombres;2006;..
Ajedrez;Porcentaje;Hombres;2005;100,0
Ajedrez;Porcentaje;Mujeres;2024;28,6
Ajedrez;Porcentaje;Mujeres;2023;26,3
Ajedrez;Porcentaje;Mujeres;2022;33,3
Ajedrez;Porcentaje;Mujeres;2021;43,8
Ajedrez;Porcentaje;Mujeres;2020;43,8
Ajedrez;Porcentaje;Mujeres;2019;43,8
Ajedrez;Porcentaje;Mujeres;2018;57,1
Ajedrez;Porcentaje;Mujeres;2017;44,4
Ajedrez;Porcentaje;Mujeres;2016;37,5
Ajedrez;Porcentaje;Mujeres;2015;33,3
Ajedrez;Porcentaje;Mujeres;2014;28,6
Ajedrez;Porcentaje;Mujeres;2013;28,6
Ajedrez;Porcentaje;Mujeres;2012;20,0
Ajedrez;Porcentaje;Mujeres;2011;0,0
Ajedrez;Porcentaje;Mujeres;2010;0,0
Ajedrez;Porcentaje;Mujeres;2009;0,0
Ajedrez;Porcentaje;Mujeres;2008;0,0
Ajedrez;Porcentaje;Mujeres;2007;0,0
Ajedrez;Porcentaje;Mujeres;2006;..
Ajedrez;Porcentaje;Mujeres;2005;0,0
Atletismo;Valores absolutos;TOTAL;2024;409
Atletismo;Valores absolutos;TOTAL;2023;401
Atletismo;Valores absolutos;TOTAL;2022;387
Atletismo;Valores absolutos;TOTAL;2021;335
Atletismo;Valores absolutos;TOTAL;2020;303
Atletismo;Valores absolutos;TOTAL;2019;276
Atletismo;Valores absolutos;TOTAL;2018;246
Atletismo;Valores absolutos;TOTAL;2017;210
Atletismo;Valores absolutos;TOTAL;2016;176
Atletismo;Valores absolutos;TOTAL;2015;138
Atletismo;Valores absolutos;TOTAL;2014;132
Atletismo;Valores absolutos;TOTAL;2013;173
Atletismo;Valores absolutos;TOTAL;2012;152
Atletismo;Valores absolutos;TOTAL;2011;145
Atletismo;Valores absolutos;TOTAL;2010;129
Atletismo;Valores absolutos;TOTAL;2009;156
Atletismo;Valores absolutos;TOTAL;2008;135
Atletismo;Valores absolutos;TOTAL;2007;133
Atletismo;Valores absolutos;TOTAL;2006;48
Atletismo;Valores absolutos;TOTAL;2005;49
Atletismo;Valores absolutos;Hombres;2024;232
Atletismo;Valores absolutos;Hombres;2023;234
Atletismo;Valores absolutos;Hombres;2022;225
Atletismo;Valores absolutos;Hombres;2021;190
Atletismo;Valores absolutos;Hombres;2020;185
Atletismo;Valores absolutos;Hombres;2019;167
Atletismo;Valores absolutos;Hombres;2018;147
Atletismo;Valores absolutos;Hombres;2017;133
Atletismo;Valores absolutos;Hombres;2016;113
