Federación;Comunidad autónoma;periodo;Total
Ciclismo;Galicia;2011;4.194
Ciclismo;Galicia;2010;3.665
Ciclismo;Galicia;2009;3.337
Ciclismo;Galicia;2008;3.058
Ciclismo;Galicia;2007;2.639
Ciclismo;Galicia;2006;2.313
Ciclismo;Galicia;2005;2.126
Ciclismo;Madrid, Comunidad de;2024;3.366
Ciclismo;Madrid, Comunidad de;2023;3.333
Ciclismo;Madrid, Comunidad de;2022;3.813
Ciclismo;Madrid, Comunidad de;2021;4.192
Ciclismo;Madrid, Comunidad de;2020;3.933
Ciclismo;Madrid, Comunidad de;2019;3.611
Ciclismo;Madrid, Comunidad de;2018;3.597
Ciclismo;Madrid, Comunidad de;2017;3.421
Ciclismo;Madrid, Comunidad de;2016;3.545
Ciclismo;Madrid, Comunidad de;2015;5.033
Ciclismo;Madrid, Comunidad de;2014;5.018
Ciclismo;Madrid, Comunidad de;2013;4.992
Ciclismo;Madrid, Comunidad de;2012;5.292
Ciclismo;Madrid, Comunidad de;2011;5.129
Ciclismo;Madrid, Comunidad de;2010;5.045
Ciclismo;Madrid, Comunidad de;2009;6.976
Ciclismo;Madrid, Comunidad de;2008;5.888
Ciclismo;Madrid, Comunidad de;2007;6.314
Ciclismo;Madrid, Comunidad de;2006;5.350
Ciclismo;Madrid, Comunidad de;2005;5.524
Ciclismo;Murcia, Región de;2024;3.080
Ciclismo;Murcia, Región de;2023;2.974
Ciclismo;Murcia, Región de;2022;3.043
Ciclismo;Murcia, Región de;2021;2.902
Ciclismo;Murcia, Región de;2020;3.005
Ciclismo;Murcia, Región de;2019;2.788
Ciclismo;Murcia, Región de;2018;2.727
Ciclismo;Murcia, Región de;2017;2.594
Ciclismo;Murcia, Región de;2016;2.540
Ciclismo;Murcia, Región de;2015;2.882
Ciclismo;Murcia, Región de;2014;3.085
Ciclismo;Murcia, Región de;2013;2.988
Ciclismo;Murcia, Región de;2012;2.694
Ciclismo;Murcia, Región de;2011;3.762
Ciclismo;Murcia, Región de;2010;2.951
Ciclismo;Murcia, Región de;2009;2.758
Ciclismo;Murcia, Región de;2008;2.322
Ciclismo;Murcia, Región de;2007;2.156
Ciclismo;Murcia, Región de;2006;2.026
Ciclismo;Murcia, Región de;2005;1.221
Ciclismo;Navarra, Comunidad Foral de;2024;2.142
Ciclismo;Navarra, Comunidad Foral de;2023;2.261
Ciclismo;Navarra, Comunidad Foral de;2022;2.468
Ciclismo;Navarra, Comunidad Foral de;2021;2.736
Ciclismo;Navarra, Comunidad Foral de;2020;2.813
Ciclismo;Navarra, Comunidad Foral de;2019;2.682
Ciclismo;Navarra, Comunidad Foral de;2018;2.686
Ciclismo;Navarra, Comunidad Foral de;2017;2.419
Ciclismo;Navarra, Comunidad Foral de;2016;2.383
Ciclismo;Navarra, Comunidad Foral de;2015;2.449
Ciclismo;Navarra, Comunidad Foral de;2014;2.491
Ciclismo;Navarra, Comunidad Foral de;2013;2.328
Ciclismo;Navarra, Comunidad Foral de;2012;2.092
Ciclismo;Navarra, Comunidad Foral de;2011;1.865
Ciclismo;Navarra, Comunidad Foral de;2010;1.742
Ciclismo;Navarra, Comunidad Foral de;2009;1.611
Ciclismo;Navarra, Comunidad Foral de;2008;1.549
Ciclismo;Navarra, Comunidad Foral de;2007;1.426
Ciclismo;Navarra, Comunidad Foral de;2006;1.338
Ciclismo;Navarra, Comunidad Foral de;2005;1.265
Ciclismo;País Vasco;2024;6.281
Ciclismo;País Vasco;2023;6.449
Ciclismo;País Vasco;2022;6.617
Ciclismo;País Vasco;2021;8.849
Ciclismo;País Vasco;2020;8.205
Ciclismo;País Vasco;2019;8.535
Ciclismo;País Vasco;2018;8.674
Ciclismo;País Vasco;2017;8.351
Ciclismo;País Vasco;2016;8.200
Ciclismo;País Vasco;2015;9.087
Ciclismo;País Vasco;2014;8.865
Ciclismo;País Vasco;2013;8.536
Ciclismo;País Vasco;2012;8.408
Ciclismo;País Vasco;2011;8.038
Ciclismo;País Vasco;2010;7.356
Ciclismo;País Vasco;2009;3.710
Ciclismo;País Vasco;2008;3.828
Ciclismo;País Vasco;2007;3.590
Ciclismo;País Vasco;2006;3.394
Ciclismo;País Vasco;2005;2.483
Ciclismo;Rioja, La;2024;454
Ciclismo;Rioja, La;2023;543
Ciclismo;Rioja, La;2022;598
Ciclismo;Rioja, La;2021;546
Ciclismo;Rioja, La;2020;591
Ciclismo;Rioja, La;2019;594
Ciclismo;Rioja, La;2018;547
Ciclismo;Rioja, La;2017;570
Ciclismo;Rioja, La;2016;510
Ciclismo;Rioja, La;2015;481
Ciclismo;Rioja, La;2014;425
Ciclismo;Rioja, La;2013;350
Ciclismo;Rioja, La;2012;326
Ciclismo;Rioja, La;2011;341
Ciclismo;Rioja, La;2010;343
Ciclismo;Rioja, La;2009;315
Ciclismo;Rioja, La;2008;350
Ciclismo;Rioja, La;2007;333
Ciclismo;Rioja, La;2006;329
Ciclismo;Rioja, La;2005;337
Ciclismo;Ceuta;2024;45
Ciclismo;Ceuta;2023;70
Ciclismo;Ceuta;2022;68
Ciclismo;Ceuta;2021;46
Ciclismo;Ceuta;2020;42
Ciclismo;Ceuta;2019;47
Ciclismo;Ceuta;2018;44
Ciclismo;Ceuta;2017;43
Ciclismo;Ceuta;2016;40
Ciclismo;Ceuta;2015;60
Ciclismo;Ceuta;2014;68
Ciclismo;Ceuta;2013;57
Ciclismo;Ceuta;2012;51
Ciclismo;Ceuta;2011;65
Ciclismo;Ceuta;2010;72
Ciclismo;Ceuta;2009;89
Ciclismo;Ceuta;2008;124
Ciclismo;Ceuta;2007;147
Ciclismo;Ceuta;2006;160
Ciclismo;Ceuta;2005;156
Ciclismo;Melilla;2024;157
Ciclismo;Melilla;2023;155
Ciclismo;Melilla;2022;149
Ciclismo;Melilla;2021;115
Ciclismo;Melilla;2020;84
Ciclismo;Melilla;2019;115
Ciclismo;Melilla;2018;133
Ciclismo;Melilla;2017;114
Ciclismo;Melilla;2016;93
Ciclismo;Melilla;2015;87
Ciclismo;Melilla;2014;103
Ciclismo;Melilla;2013;92
Ciclismo;Melilla;2012;72
Ciclismo;Melilla;2011;77
Ciclismo;Melilla;2010;92
Ciclismo;Melilla;2009;98
Ciclismo;Melilla;2008;82
Ciclismo;Melilla;2007;68
Ciclismo;Melilla;2006;89
Ciclismo;Melilla;2005;97
Ciclismo;Sin territorializar;2024;0
Ciclismo;Sin territorializar;2023;0
Ciclismo;Sin territorializar;2022;0
Ciclismo;Sin territorializar;2021;0
Ciclismo;Sin territorializar;2020;0
Ciclismo;Sin territorializar;2019;0
Ciclismo;Sin territorializar;2018;0
Ciclismo;Sin territorializar;2017;952
Ciclismo;Sin territorializar;2016;884
Ciclismo;Sin territorializar;2015;813
Ciclismo;Sin territorializar;2014;882
Ciclismo;Sin territorializar;2013;878
Ciclismo;Sin territorializar;2012;909
Ciclismo;Sin territorializar;2011;881
Ciclismo;Sin territorializar;2010;919
Ciclismo;Sin territorializar;2009;984
Ciclismo;Sin territorializar;2008;664
Ciclismo;Sin territorializar;2007;0
Ciclismo;Sin territorializar;2006;872
Ciclismo;Sin territorializar;2005;0
Colombicultura;TOTAL;2024;26.936
Colombicultura;TOTAL;2023;28.042
Colombicultura;TOTAL;2022;26.829
Colombicultura;TOTAL;2021;23.585
Colombicultura;TOTAL;2020;26.752
Colombicultura;TOTAL;2019;26.835
Colombicultura;TOTAL;2018;26.925
Colombicultura;TOTAL;2017;25.430
Colombicultura;TOTAL;2016;24.874
Colombicultura;TOTAL;2015;23.690
Colombicultura;TOTAL;2014;22.520
Colombicultura;TOTAL;2013;22.933
Colombicultura;TOTAL;2012;23.278
Colombicultura;TOTAL;2011;23.436
Colombicultura;TOTAL;2010;22.536
Colombicultura;TOTAL;2009;22.126
Colombicultura;TOTAL;2008;22.160
Colombicultura;TOTAL;2007;20.515
Colombicultura;TOTAL;2006;19.922
Colombicultura;TOTAL;2005;20.468
Colombicultura;Andalucía;2024;6.049
Colombicultura;Andalucía;2023;5.990
Colombicultura;Andalucía;2022;5.870
Colombicultura;Andalucía;2021;5.712
Colombicultura;Andalucía;2020;5.687
Colombicultura;Andalucía;2019;5.696
Colombicultura;Andalucía;2018;5.964
Colombicultura;Andalucía;2017;5.303
Colombicultura;Andalucía;2016;5.400
Colombicultura;Andalucía;2015;5.140
Colombicultura;Andalucía;2014;4.978
Colombicultura;Andalucía;2013;4.856
Colombicultura;Andalucía;2012;4.897
Colombicultura;Andalucía;2011;4.933
Colombicultura;Andalucía;2010;4.758
Colombicultura;Andalucía;2009;4.676
Colombicultura;Andalucía;2008;4.959
Colombicultura;Andalucía;2007;4.025
Colombicultura;Andalucía;2006;4.175
Colombicultura;Andalucía;2005;4.383
Colombicultura;Aragón;2024;103
Colombicultura;Aragón;2023;107
Colombicultura;Aragón;2022;105
Colombicultura;Aragón;2021;101
Colombicultura;Aragón;2020;102
Colombicultura;Aragón;2019;103
Colombicultura;Aragón;2018;107
Colombicultura;Aragón;2017;99
Colombicultura;Aragón;2016;86
Colombicultura;Aragón;2015;96
Colombicultura;Aragón;2014;102
Colombicultura;Aragón;2013;107
Colombicultura;Aragón;2012;139
Colombicultura;Aragón;2011;173
Colombicultura;Aragón;2010;153
Colombicultura;Aragón;2009;190
Colombicultura;Aragón;2008;167
Colombicultura;Aragón;2007;210
Colombicultura;Aragón;2006;217
Colombicultura;Aragón;2005;150
Colombicultura;Asturias, Principado de;2024;32
Colombicultura;Asturias, Principado de;2023;32
Colombicultura;Asturias, Principado de;2022;32
Colombicultura;Asturias, Principado de;2021;32
Colombicultura;Asturias, Principado de;2020;32
Colombicultura;Asturias, Principado de;2019;32
Colombicultura;Asturias, Principado de;2018;32
Colombicultura;Asturias, Principado de;2017;32
Colombicultura;Asturias, Principado de;2016;32
Colombicultura;Asturias, Principado de;2015;32
Colombicultura;Asturias, Principado de;2014;32
Colombicultura;Asturias, Principado de;2013;33
Colombicultura;Asturias, Principado de;2012;33
Colombicultura;Asturias, Principado de;2011;31
Colombicultura;Asturias, Principado de;2010;30
Colombicultura;Asturias, Principado de;2009;29
Colombicultura;Asturias, Principado de;2008;28
Colombicultura;Asturias, Principado de;2007;27
Colombicultura;Asturias, Principado de;2006;30
Colombicultura;Asturias, Principado de;2005;30
Colombicultura;Balears, Illes;2024;173
Colombicultura;Balears, Illes;2023;177
Colombicultura;Balears, Illes;2022;177
Colombicultura;Balears, Illes;2021;159
Colombicultura;Balears, Illes;2020;139
Colombicultura;Balears, Illes;2019;131
Colombicultura;Balears, Illes;2018;127
Colombicultura;Balears, Illes;2017;141
Colombicultura;Balears, Illes;2016;129
Colombicultura;Balears, Illes;2015;127
Colombicultura;Balears, Illes;2014;120
Colombicultura;Balears, Illes;2013;121
Colombicultura;Balears, Illes;2012;121
Colombicultura;Balears, Illes;2011;126
Colombicultura;Balears, Illes;2010;142
Colombicultura;Balears, Illes;2009;179
Colombicultura;Balears, Illes;2008;200
Colombicultura;Balears, Illes;2007;188
Colombicultura;Balears, Illes;2006;207
Colombicultura;Balears, Illes;2005;207
Colombicultura;Canarias;2024;570
Colombicultura;Canarias;2023;558
Colombicultura;Canarias;2022;577
Colombicultura;Canarias;2021;541
Colombicultura;Canarias;2020;1.030
Colombicultura;Canarias;2019;1.030
Colombicultura;Canarias;2018;1.030
Colombicultura;Canarias;2017;1.030
Colombicultura;Canarias;2016;1.072
Colombicultura;Canarias;2015;994
Colombicultura;Canarias;2014;917
Colombicultura;Canarias;2013;937
Colombicultura;Canarias;2012;881
Colombicultura;Canarias;2011;970
Colombicultura;Canarias;2010;867
Colombicultura;Canarias;2009;646
Colombicultura;Canarias;2008;403
Colombicultura;Canarias;2007;366
Colombicultura;Canarias;2006;323
Colombicultura;Canarias;2005;357
Colombicultura;Cantabria;2024;0
Colombicultura;Cantabria;2023;0
Colombicultura;Cantabria;2022;0
Colombicultura;Cantabria;2021;0
Colombicultura;Cantabria;2020;0
Colombicultura;Cantabria;2019;0
Colombicultura;Cantabria;2018;0
Colombicultura;Cantabria;2017;0
Colombicultura;Cantabria;2016;0
Colombicultura;Cantabria;2015;0
Colombicultura;Cantabria;2014;0
Colombicultura;Cantabria;2013;0
Colombicultura;Cantabria;2012;0
Colombicultura;Cantabria;2011;0
Colombicultura;Cantabria;2010;0
Colombicultura;Cantabria;2009;0
Colombicultura;Cantabria;2008;0
Colombicultura;Cantabria;2007;0
Colombicultura;Cantabria;2006;0
Colombicultura;Cantabria;2005;0
Colombicultura;Castilla y León;2024;74
Colombicultura;Castilla y León;2023;86
Colombicultura;Castilla y León;2022;83
Colombicultura;Castilla y León;2021;79
Colombicultura;Castilla y León;2020;74
Colombicultura;Castilla y León;2019;76
Colombicultura;Castilla y León;2018;71
Colombicultura;Castilla y León;2017;67
Colombicultura;Castilla y León;2016;69
Colombicultura;Castilla y León;2015;76
Colombicultura;Castilla y León;2014;65
Colombicultura;Castilla y León;2013;64
Colombicultura;Castilla y León;2012;69
Colombicultura;Castilla y León;2011;70
Colombicultura;Castilla y León;2010;67
Colombicultura;Castilla y León;2009;70
Colombicultura;Castilla y León;2008;76
Colombicultura;Castilla y León;2007;72
Colombicultura;Castilla y León;2006;76
Colombicultura;Castilla y León;2005;77
Colombicultura;Castilla-La Mancha;2024;1.961
Colombicultura;Castilla-La Mancha;2023;3.311
Colombicultura;Castilla-La Mancha;2022;3.049
Colombicultura;Castilla-La Mancha;2021;1.526
Colombicultura;Castilla-La Mancha;2020;1.159
Colombicultura;Castilla-La Mancha;2019;1.153
Colombicultura;Castilla-La Mancha;2018;1.080
Colombicultura;Castilla-La Mancha;2017;1.080
Colombicultura;Castilla-La Mancha;2016;1.080
Colombicultura;Castilla-La Mancha;2015;1.047
Colombicultura;Castilla-La Mancha;2014;926
Colombicultura;Castilla-La Mancha;2013;1.033
Colombicultura;Castilla-La Mancha;2012;983
Colombicultura;Castilla-La Mancha;2011;990
Colombicultura;Castilla-La Mancha;2010;907
Colombicultura;Castilla-La Mancha;2009;918
Colombicultura;Castilla-La Mancha;2008;1.135
Colombicultura;Castilla-La Mancha;2007;941
Colombicultura;Castilla-La Mancha;2006;945
Colombicultura;Castilla-La Mancha;2005;943
Colombicultura;Cataluña;2024;1.211
Colombicultura;Cataluña;2023;1.105
Colombicultura;Cataluña;2022;993
Colombicultura;Cataluña;2021;936
Colombicultura;Cataluña;2020;835
Colombicultura;Cataluña;2019;801
Colombicultura;Cataluña;2018;863
Colombicultura;Cataluña;2017;829
Colombicultura;Cataluña;2016;504
Colombicultura;Cataluña;2015;708
Colombicultura;Cataluña;2014;743
Colombicultura;Cataluña;2013;570
Colombicultura;Cataluña;2012;758
Colombicultura;Cataluña;2011;934
Colombicultura;Cataluña;2010;992
Colombicultura;Cataluña;2009;800
Colombicultura;Cataluña;2008;813
Colombicultura;Cataluña;2007;763
Colombicultura;Cataluña;2006;682
Colombicultura;Cataluña;2005;995
Colombicultura;Comunitat Valenciana;2024;9.037
Colombicultura;Comunitat Valenciana;2023;9.022
Colombicultura;Comunitat Valenciana;2022;8.411
Colombicultura;Comunitat Valenciana;2021;7.631
Colombicultura;Comunitat Valenciana;2020;10.275
Colombicultura;Comunitat Valenciana;2019;10.275
Colombicultura;Comunitat Valenciana;2018;10.275
Colombicultura;Comunitat Valenciana;2017;9.720
Colombicultura;Comunitat Valenciana;2016;9.565
Colombicultura;Comunitat Valenciana;2015;9.043
Colombicultura;Comunitat Valenciana;2014;8.700
Colombicultura;Comunitat Valenciana;2013;8.700
Colombicultura;Comunitat Valenciana;2012;8.700
Colombicultura;Comunitat Valenciana;2011;8.700
Colombicultura;Comunitat Valenciana;2010;8.700
Colombicultura;Comunitat Valenciana;2009;8.700
Colombicultura;Comunitat Valenciana;2008;8.709
Colombicultura;Comunitat Valenciana;2007;8.409
Colombicultura;Comunitat Valenciana;2006;8.351
Colombicultura;Comunitat Valenciana;2005;8.720
Colombicultura;Extremadura;2024;1.237
Colombicultura;Extremadura;2023;1.161
Colombicultura;Extremadura;2022;1.137
Colombicultura;Extremadura;2021;959
Colombicultura;Extremadura;2020;1.069
Colombicultura;Extremadura;2019;1.204
Colombicultura;Extremadura;2018;1.146
Colombicultura;Extremadura;2017;1.227
Colombicultura;Extremadura;2016;1.113
Colombicultura;Extremadura;2015;1.000
Colombicultura;Extremadura;2014;948
Colombicultura;Extremadura;2013;949
Colombicultura;Extremadura;2012;1.012
Colombicultura;Extremadura;2011;935
Colombicultura;Extremadura;2010;841
Colombicultura;Extremadura;2009;831
Colombicultura;Extremadura;2008;862
Colombicultura;Extremadura;2007;731
Colombicultura;Extremadura;2006;700
Colombicultura;Extremadura;2005;619
Colombicultura;Galicia;2024;102
Colombicultura;Galicia;2023;96
Colombicultura;Galicia;2022;103
Colombicultura;Galicia;2021;105
Colombicultura;Galicia;2020;108
Colombicultura;Galicia;2019;108
Colombicultura;Galicia;2018;116
Colombicultura;Galicia;2017;108
Colombicultura;Galicia;2016;102
Colombicultura;Galicia;2015;151
Colombicultura;Galicia;2014;218
Colombicultura;Galicia;2013;643
Colombicultura;Galicia;2012;665
Colombicultura;Galicia;2011;640
Colombicultura;Galicia;2010;580
Colombicultura;Galicia;2009;176
Colombicultura;Galicia;2008;200
Colombicultura;Galicia;2007;212
Colombicultura;Galicia;2006;172
Colombicultura;Galicia;2005;180
Colombicultura;Madrid, Comunidad de;2024;699
Colombicultura;Madrid, Comunidad de;2023;674
Colombicultura;Madrid, Comunidad de;2022;663
Colombicultura;Madrid, Comunidad de;2021;638
Colombicultura;Madrid, Comunidad de;2020;617
Colombicultura;Madrid, Comunidad de;2019;603
Colombicultura;Madrid, Comunidad de;2018;580
Colombicultura;Madrid, Comunidad de;2017;587
Colombicultura;Madrid, Comunidad de;2016;572
Colombicultura;Madrid, Comunidad de;2015;549
Colombicultura;Madrid, Comunidad de;2014;549
Colombicultura;Madrid, Comunidad de;2013;517
Colombicultura;Madrid, Comunidad de;2012;517
Colombicultura;Madrid, Comunidad de;2011;489
Colombicultura;Madrid, Comunidad de;2010;406
Colombicultura;Madrid, Comunidad de;2009;346
Colombicultura;Madrid, Comunidad de;2008;132
Colombicultura;Madrid, Comunidad de;2007;217
Colombicultura;Madrid, Comunidad de;2006;237
Colombicultura;Madrid, Comunidad de;2005;219
Colombicultura;Murcia, Región de;2024;5.506
Colombicultura;Murcia, Región de;2023;5.511
Colombicultura;Murcia, Región de;2022;5.419
Colombicultura;Murcia, Región de;2021;4.952
Colombicultura;Murcia, Región de;2020;5.418
Colombicultura;Murcia, Región de;2019;5.418
Colombicultura;Murcia, Región de;2018;5.418
Colombicultura;Murcia, Región de;2017;5.102
Colombicultura;Murcia, Región de;2016;5.035
Colombicultura;Murcia, Región de;2015;4.636
Colombicultura;Murcia, Región de;2014;4.157
Colombicultura;Murcia, Región de;2013;4.338
Colombicultura;Murcia, Región de;2012;4.440
Colombicultura;Murcia, Región de;2011;4.396
Colombicultura;Murcia, Región de;2010;4.041
Colombicultura;Murcia, Región de;2009;4.517
Colombicultura;Murcia, Región de;2008;4.424
Colombicultura;Murcia, Región de;2007;4.322
Colombicultura;Murcia, Región de;2006;3.766
Colombicultura;Murcia, Región de;2005;3.547
Colombicultura;Navarra, Comunidad Foral de;2024;0
Colombicultura;Navarra, Comunidad Foral de;2023;0
Colombicultura;Navarra, Comunidad Foral de;2022;0
Colombicultura;Navarra, Comunidad Foral de;2021;0
Colombicultura;Navarra, Comunidad Foral de;2020;0
Colombicultura;Navarra, Comunidad Foral de;2019;0
Colombicultura;Navarra, Comunidad Foral de;2018;0
Colombicultura;Navarra, Comunidad Foral de;2017;0
Colombicultura;Navarra, Comunidad Foral de;2016;0
Colombicultura;Navarra, Comunidad Foral de;2015;0
Colombicultura;Navarra, Comunidad Foral de;2014;0
Colombicultura;Navarra, Comunidad Foral de;2013;0
Colombicultura;Navarra, Comunidad Foral de;2012;0
Colombicultura;Navarra, Comunidad Foral de;2011;1
Colombicultura;Navarra, Comunidad Foral de;2010;1
Colombicultura;Navarra, Comunidad Foral de;2009;0
Colombicultura;Navarra, Comunidad Foral de;2008;0
Colombicultura;Navarra, Comunidad Foral de;2007;0
Colombicultura;Navarra, Comunidad Foral de;2006;0
Colombicultura;Navarra, Comunidad Foral de;2005;0
Colombicultura;País Vasco;2024;0
Colombicultura;País Vasco;2023;0
Colombicultura;País Vasco;2022;0
Colombicultura;País Vasco;2021;0
Colombicultura;País Vasco;2020;0
Colombicultura;País Vasco;2019;0
Colombicultura;País Vasco;2018;0
Colombicultura;País Vasco;2017;0
Colombicultura;País Vasco;2016;0
Colombicultura;País Vasco;2015;0
Colombicultura;País Vasco;2014;0
Colombicultura;País Vasco;2013;0
Colombicultura;País Vasco;2012;0
Colombicultura;País Vasco;2011;0
Colombicultura;País Vasco;2010;1
Colombicultura;País Vasco;2009;0
Colombicultura;País Vasco;2008;0
Colombicultura;País Vasco;2007;0
Colombicultura;País Vasco;2006;0
Colombicultura;País Vasco;2005;0
Colombicultura;Rioja, La;2024;0
Colombicultura;Rioja, La;2023;0
Colombicultura;Rioja, La;2022;0
Colombicultura;Rioja, La;2021;0
Colombicultura;Rioja, La;2020;0
Colombicultura;Rioja, La;2019;0
Colombicultura;Rioja, La;2018;0
Colombicultura;Rioja, La;2017;0
Colombicultura;Rioja, La;2016;0
Colombicultura;Rioja, La;2015;0
Colombicultura;Rioja, La;2014;0
Colombicultura;Rioja, La;2013;0
Colombicultura;Rioja, La;2012;0
Colombicultura;Rioja, La;2011;0
Colombicultura;Rioja, La;2010;0
Colombicultura;Rioja, La;2009;0
Colombicultura;Rioja, La;2008;0
Colombicultura;Rioja, La;2007;0
Colombicultura;Rioja, La;2006;0
Colombicultura;Rioja, La;2005;0
Colombicultura;Ceuta;2024;0
Colombicultura;Ceuta;2023;0
Colombicultura;Ceuta;2022;0
Colombicultura;Ceuta;2021;0
Colombicultura;Ceuta;2020;0
Colombicultura;Ceuta;2019;0
Colombicultura;Ceuta;2018;0
Colombicultura;Ceuta;2017;0
Colombicultura;Ceuta;2016;0
Colombicultura;Ceuta;2015;0
Colombicultura;Ceuta;2014;0
Colombicultura;Ceuta;2013;0
Colombicultura;Ceuta;2012;0
Colombicultura;Ceuta;2011;0
Colombicultura;Ceuta;2010;0
Colombicultura;Ceuta;2009;0
Colombicultura;Ceuta;2008;0
Colombicultura;Ceuta;2007;0
Colombicultura;Ceuta;2006;0
Colombicultura;Ceuta;2005;0
Colombicultura;Melilla;2024;182
Colombicultura;Melilla;2023;212
Colombicultura;Melilla;2022;210
Colombicultura;Melilla;2021;214
Colombicultura;Melilla;2020;207
Colombicultura;Melilla;2019;205
Colombicultura;Melilla;2018;116
Colombicultura;Melilla;2017;105
Colombicultura;Melilla;2016;115
Colombicultura;Melilla;2015;91
Colombicultura;Melilla;2014;65
Colombicultura;Melilla;2013;65
Colombicultura;Melilla;2012;63
Colombicultura;Melilla;2011;48
Colombicultura;Melilla;2010;50
Colombicultura;Melilla;2009;48
Colombicultura;Melilla;2008;52
Colombicultura;Melilla;2007;32
Colombicultura;Melilla;2006;41
Colombicultura;Melilla;2005;41
Colombicultura;Sin territorializar;2024;0
Colombicultura;Sin territorializar;2023;0
Colombicultura;Sin territorializar;2022;0
Colombicultura;Sin territorializar;2021;0
Colombicultura;Sin territorializar;2020;0
Colombicultura;Sin territorializar;2019;0
Colombicultura;Sin territorializar;2018;0
Colombicultura;Sin territorializar;2017;0
Colombicultura;Sin territorializar;2016;0
Colombicultura;Sin territorializar;2015;0
Colombicultura;Sin territorializar;2014;0
Colombicultura;Sin territorializar;2013;0
Colombicultura;Sin territorializar;2012;0
Colombicultura;Sin territorializar;2011;0
Colombicultura;Sin territorializar;2010;0
Colombicultura;Sin territorializar;2009;0
Colombicultura;Sin territorializar;2008;0
Colombicultura;Sin territorializar;2007;0
Colombicultura;Sin territorializar;2006;0
Colombicultura;Sin territorializar;2005;0
Colombófila;TOTAL;2024;3.319
Colombófila;TOTAL;2023;3.247
Colombófila;TOTAL;2022;3.393
Colombófila;TOTAL;2021;3.468
Colombófila;TOTAL;2020;3.257
Colombófila;TOTAL;2019;3.136
Colombófila;TOTAL;2018;2.953
Colombófila;TOTAL;2017;2.976
Colombófila;TOTAL;2016;3.106
Colombófila;TOTAL;2015;4.962
Colombófila;TOTAL;2014;4.224
Colombófila;TOTAL;2013;4.076
Colombófila;TOTAL;2012;2.850
Colombófila;TOTAL;2011;3.441
Colombófila;TOTAL;2010;4.932
Colombófila;TOTAL;2009;5.884
Colombófila;TOTAL;2008;4.832
Colombófila;TOTAL;2007;4.595
Colombófila;TOTAL;2006;4.725
Colombófila;TOTAL;2005;4.837
Colombófila;Andalucía;2024;577
Colombófila;Andalucía;2023;568
Colombófila;Andalucía;2022;594
Colombófila;Andalucía;2021;613
Colombófila;Andalucía;2020;584
Colombófila;Andalucía;2019;595
Colombófila;Andalucía;2018;564
Colombófila;Andalucía;2017;563
Colombófila;Andalucía;2016;538
Colombófila;Andalucía;2015;926
Colombófila;Andalucía;2014;427
Colombófila;Andalucía;2013;375
Colombófila;Andalucía;2012;341
Colombófila;Andalucía;2011;470
Colombófila;Andalucía;2010;613
Colombófila;Andalucía;2009;1.060
Colombófila;Andalucía;2008;557
Colombófila;Andalucía;2007;447
Colombófila;Andalucía;2006;538
Colombófila;Andalucía;2005;480
Colombófila;Aragón;2024;76
Colombófila;Aragón;2023;56
Colombófila;Aragón;2022;62
Colombófila;Aragón;2021;72
Colombófila;Aragón;2020;63
Colombófila;Aragón;2019;66
Colombófila;Aragón;2018;62
Colombófila;Aragón;2017;67
Colombófila;Aragón;2016;45
Colombófila;Aragón;2015;58
Colombófila;Aragón;2014;43
Colombófila;Aragón;2013;43
Colombófila;Aragón;2012;38
Colombófila;Aragón;2011;43
Colombófila;Aragón;2010;42
Colombófila;Aragón;2009;55
Colombófila;Aragón;2008;55
Colombófila;Aragón;2007;50
Colombófila;Aragón;2006;53
Colombófila;Aragón;2005;46
Colombófila;Asturias, Principado de;2024;128
Colombófila;Asturias, Principado de;2023;125
Colombófila;Asturias, Principado de;2022;125
Colombófila;Asturias, Principado de;2021;122
Colombófila;Asturias, Principado de;2020;114
Colombófila;Asturias, Principado de;2019;104
Colombófila;Asturias, Principado de;2018;107
Colombófila;Asturias, Principado de;2017;115
Colombófila;Asturias, Principado de;2016;111
Colombófila;Asturias, Principado de;2015;116
Colombófila;Asturias, Principado de;2014;119
Colombófila;Asturias, Principado de;2013;252
Colombófila;Asturias, Principado de;2012;134
Colombófila;Asturias, Principado de;2011;147
Colombófila;Asturias, Principado de;2010;154
Colombófila;Asturias, Principado de;2009;153
Colombófila;Asturias, Principado de;2008;161
Colombófila;Asturias, Principado de;2007;157
Colombófila;Asturias, Principado de;2006;136
Colombófila;Asturias, Principado de;2005;139
Colombófila;Balears, Illes;2024;297
Colombófila;Balears, Illes;2023;280
Colombófila;Balears, Illes;2022;303
Colombófila;Balears, Illes;2021;313
Colombófila;Balears, Illes;2020;322
Colombófila;Balears, Illes;2019;324
Colombófila;Balears, Illes;2018;330
Colombófila;Balears, Illes;2017;334
Colombófila;Balears, Illes;2016;337
Colombófila;Balears, Illes;2015;342
Colombófila;Balears, Illes;2014;355
Colombófila;Balears, Illes;2013;742
Colombófila;Balears, Illes;2012;388
Colombófila;Balears, Illes;2011;408
Colombófila;Balears, Illes;2010;426
Colombófila;Balears, Illes;2009;461
Colombófila;Balears, Illes;2008;472
Colombófila;Balears, Illes;2007;479
Colombófila;Balears, Illes;2006;514
Colombófila;Balears, Illes;2005;597
Colombófila;Canarias;2024;864
Colombófila;Canarias;2023;894
Colombófila;Canarias;2022;918
Colombófila;Canarias;2021;925
Colombófila;Canarias;2020;881
Colombófila;Canarias;2019;795
