Federación;Comunidad autónoma;periodo;Total
TOTAL;Cantabria;2005;55.593
TOTAL;Castilla y León;2024;200.705
TOTAL;Castilla y León;2023;194.363
TOTAL;Castilla y León;2022;186.729
TOTAL;Castilla y León;2021;151.693
TOTAL;Castilla y León;2020;170.536
TOTAL;Castilla y León;2019;193.778
TOTAL;Castilla y León;2018;183.915
TOTAL;Castilla y León;2017;181.196
TOTAL;Castilla y León;2016;179.352
TOTAL;Castilla y León;2015;175.529
TOTAL;Castilla y León;2014;173.701
TOTAL;Castilla y León;2013;167.511
TOTAL;Castilla y León;2012;176.236
TOTAL;Castilla y León;2011;181.303
TOTAL;Castilla y León;2010;179.427
TOTAL;Castilla y León;2009;188.545
TOTAL;Castilla y León;2008;185.677
TOTAL;Castilla y León;2007;178.447
TOTAL;Castilla y León;2006;165.618
TOTAL;Castilla y León;2005;160.963
TOTAL;Castilla-La Mancha;2024;136.496
TOTAL;Castilla-La Mancha;2023;142.333
TOTAL;Castilla-La Mancha;2022;135.595
TOTAL;Castilla-La Mancha;2021;106.581
TOTAL;Castilla-La Mancha;2020;125.215
TOTAL;Castilla-La Mancha;2019;128.569
TOTAL;Castilla-La Mancha;2018;132.033
TOTAL;Castilla-La Mancha;2017;130.708
TOTAL;Castilla-La Mancha;2016;124.354
TOTAL;Castilla-La Mancha;2015;128.884
TOTAL;Castilla-La Mancha;2014;130.939
TOTAL;Castilla-La Mancha;2013;129.290
TOTAL;Castilla-La Mancha;2012;131.991
TOTAL;Castilla-La Mancha;2011;143.636
TOTAL;Castilla-La Mancha;2010;151.304
TOTAL;Castilla-La Mancha;2009;152.181
TOTAL;Castilla-La Mancha;2008;150.501
TOTAL;Castilla-La Mancha;2007;145.742
TOTAL;Castilla-La Mancha;2006;137.677
TOTAL;Castilla-La Mancha;2005;137.915
TOTAL;Cataluña;2024;712.523
TOTAL;Cataluña;2023;701.409
TOTAL;Cataluña;2022;668.760
TOTAL;Cataluña;2021;616.788
TOTAL;Cataluña;2020;639.790
TOTAL;Cataluña;2019;651.691
TOTAL;Cataluña;2018;643.460
TOTAL;Cataluña;2017;627.332
TOTAL;Cataluña;2016;615.322
TOTAL;Cataluña;2015;597.973
TOTAL;Cataluña;2014;561.601
TOTAL;Cataluña;2013;558.667
TOTAL;Cataluña;2012;596.272
TOTAL;Cataluña;2011;606.300
TOTAL;Cataluña;2010;599.618
TOTAL;Cataluña;2009;568.760
TOTAL;Cataluña;2008;568.734
TOTAL;Cataluña;2007;562.098
TOTAL;Cataluña;2006;558.874
TOTAL;Cataluña;2005;547.904
TOTAL;Comunitat Valenciana;2024;417.145
TOTAL;Comunitat Valenciana;2023;409.561
TOTAL;Comunitat Valenciana;2022;390.958
TOTAL;Comunitat Valenciana;2021;350.856
TOTAL;Comunitat Valenciana;2020;344.437
TOTAL;Comunitat Valenciana;2019;371.591
TOTAL;Comunitat Valenciana;2018;401.209
TOTAL;Comunitat Valenciana;2017;395.973
TOTAL;Comunitat Valenciana;2016;382.684
TOTAL;Comunitat Valenciana;2015;363.154
TOTAL;Comunitat Valenciana;2014;347.140
TOTAL;Comunitat Valenciana;2013;341.744
TOTAL;Comunitat Valenciana;2012;342.850
TOTAL;Comunitat Valenciana;2011;352.838
TOTAL;Comunitat Valenciana;2010;352.142
TOTAL;Comunitat Valenciana;2009;355.508
TOTAL;Comunitat Valenciana;2008;351.678
TOTAL;Comunitat Valenciana;2007;335.729
TOTAL;Comunitat Valenciana;2006;320.824
TOTAL;Comunitat Valenciana;2005;311.992
TOTAL;Extremadura;2024;119.161
TOTAL;Extremadura;2023;116.723
TOTAL;Extremadura;2022;112.379
TOTAL;Extremadura;2021;97.241
TOTAL;Extremadura;2020;110.411
TOTAL;Extremadura;2019;111.360
TOTAL;Extremadura;2018;93.129
TOTAL;Extremadura;2017;89.731
TOTAL;Extremadura;2016;87.787
TOTAL;Extremadura;2015;81.740
TOTAL;Extremadura;2014;73.562
TOTAL;Extremadura;2013;75.753
TOTAL;Extremadura;2012;83.662
TOTAL;Extremadura;2011;82.556
TOTAL;Extremadura;2010;83.978
TOTAL;Extremadura;2009;82.649
TOTAL;Extremadura;2008;81.694
TOTAL;Extremadura;2007;76.993
TOTAL;Extremadura;2006;76.757
TOTAL;Extremadura;2005;70.282
TOTAL;Galicia;2024;301.028
TOTAL;Galicia;2023;310.552
TOTAL;Galicia;2022;297.052
TOTAL;Galicia;2021;248.766
TOTAL;Galicia;2020;281.202
TOTAL;Galicia;2019;282.232
TOTAL;Galicia;2018;286.304
TOTAL;Galicia;2017;250.489
TOTAL;Galicia;2016;224.570
TOTAL;Galicia;2015;215.236
TOTAL;Galicia;2014;205.138
TOTAL;Galicia;2013;196.962
TOTAL;Galicia;2012;219.669
TOTAL;Galicia;2011;218.155
TOTAL;Galicia;2010;213.420
TOTAL;Galicia;2009;187.304
TOTAL;Galicia;2008;186.362
TOTAL;Galicia;2007;211.819
TOTAL;Galicia;2006;202.276
TOTAL;Galicia;2005;188.495
TOTAL;Madrid, Comunidad de;2024;599.882
TOTAL;Madrid, Comunidad de;2023;589.395
TOTAL;Madrid, Comunidad de;2022;559.540
TOTAL;Madrid, Comunidad de;2021;476.584
TOTAL;Madrid, Comunidad de;2020;502.044
TOTAL;Madrid, Comunidad de;2019;523.480
TOTAL;Madrid, Comunidad de;2018;508.973
TOTAL;Madrid, Comunidad de;2017;462.013
TOTAL;Madrid, Comunidad de;2016;451.169
TOTAL;Madrid, Comunidad de;2015;445.931
TOTAL;Madrid, Comunidad de;2014;437.927
TOTAL;Madrid, Comunidad de;2013;428.072
TOTAL;Madrid, Comunidad de;2012;424.077
TOTAL;Madrid, Comunidad de;2011;430.226
TOTAL;Madrid, Comunidad de;2010;419.336
TOTAL;Madrid, Comunidad de;2009;432.305
TOTAL;Madrid, Comunidad de;2008;419.555
TOTAL;Madrid, Comunidad de;2007;403.999
TOTAL;Madrid, Comunidad de;2006;370.665
TOTAL;Madrid, Comunidad de;2005;397.567
TOTAL;Murcia, Región de;2024;132.625
TOTAL;Murcia, Región de;2023;149.993
TOTAL;Murcia, Región de;2022;126.892
TOTAL;Murcia, Región de;2021;117.271
TOTAL;Murcia, Región de;2020;128.953
TOTAL;Murcia, Región de;2019;129.891
TOTAL;Murcia, Región de;2018;122.322
TOTAL;Murcia, Región de;2017;120.382
TOTAL;Murcia, Región de;2016;95.681
TOTAL;Murcia, Región de;2015;93.788
TOTAL;Murcia, Región de;2014;90.294
TOTAL;Murcia, Región de;2013;89.838
TOTAL;Murcia, Región de;2012;88.654
TOTAL;Murcia, Región de;2011;91.288
TOTAL;Murcia, Región de;2010;94.769
TOTAL;Murcia, Región de;2009;91.660
TOTAL;Murcia, Región de;2008;100.701
TOTAL;Murcia, Región de;2007;90.539
TOTAL;Murcia, Región de;2006;82.714
TOTAL;Murcia, Región de;2005;77.255
TOTAL;Navarra, Comunidad Foral de;2024;87.068
TOTAL;Navarra, Comunidad Foral de;2023;87.553
TOTAL;Navarra, Comunidad Foral de;2022;84.407
TOTAL;Navarra, Comunidad Foral de;2021;78.178
TOTAL;Navarra, Comunidad Foral de;2020;79.583
TOTAL;Navarra, Comunidad Foral de;2019;78.826
TOTAL;Navarra, Comunidad Foral de;2018;79.026
TOTAL;Navarra, Comunidad Foral de;2017;76.732
TOTAL;Navarra, Comunidad Foral de;2016;76.734
TOTAL;Navarra, Comunidad Foral de;2015;75.343
TOTAL;Navarra, Comunidad Foral de;2014;72.104
TOTAL;Navarra, Comunidad Foral de;2013;73.270
TOTAL;Navarra, Comunidad Foral de;2012;72.360
TOTAL;Navarra, Comunidad Foral de;2011;72.812
TOTAL;Navarra, Comunidad Foral de;2010;70.146
TOTAL;Navarra, Comunidad Foral de;2009;67.383
TOTAL;Navarra, Comunidad Foral de;2008;60.374
TOTAL;Navarra, Comunidad Foral de;2007;59.570
TOTAL;Navarra, Comunidad Foral de;2006;55.001
TOTAL;Navarra, Comunidad Foral de;2005;50.913
TOTAL;País Vasco;2024;270.274
TOTAL;País Vasco;2023;283.270
TOTAL;País Vasco;2022;272.206
TOTAL;País Vasco;2021;220.806
TOTAL;País Vasco;2020;264.154
TOTAL;País Vasco;2019;278.894
TOTAL;País Vasco;2018;263.848
TOTAL;País Vasco;2017;267.365
TOTAL;País Vasco;2016;213.734
TOTAL;País Vasco;2015;214.012
TOTAL;País Vasco;2014;204.877
TOTAL;País Vasco;2013;203.886
TOTAL;País Vasco;2012;209.389
TOTAL;País Vasco;2011;213.873
TOTAL;País Vasco;2010;213.473
TOTAL;País Vasco;2009;216.194
TOTAL;País Vasco;2008;198.660
TOTAL;País Vasco;2007;192.332
TOTAL;País Vasco;2006;203.449
TOTAL;País Vasco;2005;206.226
TOTAL;Rioja, La;2024;36.189
TOTAL;Rioja, La;2023;35.912
TOTAL;Rioja, La;2022;35.324
TOTAL;Rioja, La;2021;30.501
TOTAL;Rioja, La;2020;33.019
TOTAL;Rioja, La;2019;34.138
TOTAL;Rioja, La;2018;33.922
TOTAL;Rioja, La;2017;33.518
TOTAL;Rioja, La;2016;32.681
TOTAL;Rioja, La;2015;32.096
TOTAL;Rioja, La;2014;31.783
TOTAL;Rioja, La;2013;33.328
TOTAL;Rioja, La;2012;35.477
TOTAL;Rioja, La;2011;34.964
TOTAL;Rioja, La;2010;34.774
TOTAL;Rioja, La;2009;33.097
TOTAL;Rioja, La;2008;34.522
TOTAL;Rioja, La;2007;32.121
TOTAL;Rioja, La;2006;30.409
TOTAL;Rioja, La;2005;30.005
TOTAL;Ceuta;2024;7.634
TOTAL;Ceuta;2023;7.151
TOTAL;Ceuta;2022;6.024
TOTAL;Ceuta;2021;5.345
TOTAL;Ceuta;2020;5.750
TOTAL;Ceuta;2019;5.100
TOTAL;Ceuta;2018;5.953
TOTAL;Ceuta;2017;6.475
TOTAL;Ceuta;2016;8.762
TOTAL;Ceuta;2015;8.655
TOTAL;Ceuta;2014;8.218
TOTAL;Ceuta;2013;7.852
TOTAL;Ceuta;2012;8.624
TOTAL;Ceuta;2011;8.115
TOTAL;Ceuta;2010;8.320
TOTAL;Ceuta;2009;7.721
TOTAL;Ceuta;2008;7.842
TOTAL;Ceuta;2007;7.582
TOTAL;Ceuta;2006;7.377
TOTAL;Ceuta;2005;7.484
TOTAL;Melilla;2024;12.400
TOTAL;Melilla;2023;12.813
TOTAL;Melilla;2022;12.593
TOTAL;Melilla;2021;10.399
TOTAL;Melilla;2020;9.717
TOTAL;Melilla;2019;10.044
TOTAL;Melilla;2018;9.057
TOTAL;Melilla;2017;8.400
TOTAL;Melilla;2016;9.381
TOTAL;Melilla;2015;8.949
TOTAL;Melilla;2014;8.832
TOTAL;Melilla;2013;7.934
TOTAL;Melilla;2012;9.267
TOTAL;Melilla;2011;10.505
TOTAL;Melilla;2010;9.503
TOTAL;Melilla;2009;8.849
TOTAL;Melilla;2008;8.913
TOTAL;Melilla;2007;10.344
TOTAL;Melilla;2006;10.094
TOTAL;Melilla;2005;9.179
TOTAL;Sin territorializar;2024;2.305
TOTAL;Sin territorializar;2023;1.974
TOTAL;Sin territorializar;2022;3.340
TOTAL;Sin territorializar;2021;4.653
TOTAL;Sin territorializar;2020;2.846
TOTAL;Sin territorializar;2019;2.793
TOTAL;Sin territorializar;2018;1.950
TOTAL;Sin territorializar;2017;3.432
TOTAL;Sin territorializar;2016;3.270
TOTAL;Sin territorializar;2015;3.611
TOTAL;Sin territorializar;2014;4.145
TOTAL;Sin territorializar;2013;2.746
TOTAL;Sin territorializar;2012;2.139
TOTAL;Sin territorializar;2011;881
TOTAL;Sin territorializar;2010;1.009
TOTAL;Sin territorializar;2009;1.082
TOTAL;Sin territorializar;2008;689
TOTAL;Sin territorializar;2007;91
TOTAL;Sin territorializar;2006;1.003
TOTAL;Sin territorializar;2005;67
Actividades Subacuáticas;TOTAL;2024;32.250
Actividades Subacuáticas;TOTAL;2023;31.828
Actividades Subacuáticas;TOTAL;2022;32.289
Actividades Subacuáticas;TOTAL;2021;31.939
Actividades Subacuáticas;TOTAL;2020;30.444
Actividades Subacuáticas;TOTAL;2019;27.431
Actividades Subacuáticas;TOTAL;2018;27.888
Actividades Subacuáticas;TOTAL;2017;26.572
Actividades Subacuáticas;TOTAL;2016;26.122
Actividades Subacuáticas;TOTAL;2015;27.926
Actividades Subacuáticas;TOTAL;2014;30.302
Actividades Subacuáticas;TOTAL;2013;31.750
Actividades Subacuáticas;TOTAL;2012;33.544
Actividades Subacuáticas;TOTAL;2011;36.969
Actividades Subacuáticas;TOTAL;2010;37.978
Actividades Subacuáticas;TOTAL;2009;38.510
Actividades Subacuáticas;TOTAL;2008;38.934
Actividades Subacuáticas;TOTAL;2007;42.255
Actividades Subacuáticas;TOTAL;2006;40.810
Actividades Subacuáticas;TOTAL;2005;40.515
Actividades Subacuáticas;Andalucía;2024;3.970
Actividades Subacuáticas;Andalucía;2023;3.808
Actividades Subacuáticas;Andalucía;2022;3.482
Actividades Subacuáticas;Andalucía;2021;3.429
Actividades Subacuáticas;Andalucía;2020;3.243
Actividades Subacuáticas;Andalucía;2019;2.858
Actividades Subacuáticas;Andalucía;2018;2.590
Actividades Subacuáticas;Andalucía;2017;2.944
Actividades Subacuáticas;Andalucía;2016;2.720
Actividades Subacuáticas;Andalucía;2015;2.895
Actividades Subacuáticas;Andalucía;2014;2.935
Actividades Subacuáticas;Andalucía;2013;3.041
Actividades Subacuáticas;Andalucía;2012;3.272
Actividades Subacuáticas;Andalucía;2011;3.477
Actividades Subacuáticas;Andalucía;2010;3.650
Actividades Subacuáticas;Andalucía;2009;3.995
Actividades Subacuáticas;Andalucía;2008;4.289
Actividades Subacuáticas;Andalucía;2007;4.218
Actividades Subacuáticas;Andalucía;2006;4.261
Actividades Subacuáticas;Andalucía;2005;4.254
Actividades Subacuáticas;Aragón;2024;500
Actividades Subacuáticas;Aragón;2023;412
Actividades Subacuáticas;Aragón;2022;505
Actividades Subacuáticas;Aragón;2021;461
Actividades Subacuáticas;Aragón;2020;398
Actividades Subacuáticas;Aragón;2019;578
Actividades Subacuáticas;Aragón;2018;549
Actividades Subacuáticas;Aragón;2017;539
Actividades Subacuáticas;Aragón;2016;594
Actividades Subacuáticas;Aragón;2015;572
Actividades Subacuáticas;Aragón;2014;672
Actividades Subacuáticas;Aragón;2013;672
Actividades Subacuáticas;Aragón;2012;716
Actividades Subacuáticas;Aragón;2011;798
Actividades Subacuáticas;Aragón;2010;840
Actividades Subacuáticas;Aragón;2009;675
Actividades Subacuáticas;Aragón;2008;892
Actividades Subacuáticas;Aragón;2007;951
Actividades Subacuáticas;Aragón;2006;956
Actividades Subacuáticas;Aragón;2005;950
Actividades Subacuáticas;Asturias, Principado de;2024;1.108
Actividades Subacuáticas;Asturias, Principado de;2023;1.066
Actividades Subacuáticas;Asturias, Principado de;2022;942
Actividades Subacuáticas;Asturias, Principado de;2021;986
Actividades Subacuáticas;Asturias, Principado de;2020;1.018
Actividades Subacuáticas;Asturias, Principado de;2019;899
Actividades Subacuáticas;Asturias, Principado de;2018;950
Actividades Subacuáticas;Asturias, Principado de;2017;995
Actividades Subacuáticas;Asturias, Principado de;2016;1.183
Actividades Subacuáticas;Asturias, Principado de;2015;1.219
Actividades Subacuáticas;Asturias, Principado de;2014;1.219
Actividades Subacuáticas;Asturias, Principado de;2013;1.219
Actividades Subacuáticas;Asturias, Principado de;2012;1.391
Actividades Subacuáticas;Asturias, Principado de;2011;1.322
