Federación;Categoría;Sexo;periodo;Total
Aeronáutica;Otras categorías;Hombres;2022;0
Aeronáutica;Otras categorías;Hombres;2021;0
Aeronáutica;Otras categorías;Hombres;2020;0
Aeronáutica;Otras categorías;Hombres;2019;0
Aeronáutica;Otras categorías;Hombres;2018;0
Aeronáutica;Otras categorías;Hombres;2017;0
Aeronáutica;Otras categorías;Hombres;2016;0
Aeronáutica;Otras categorías;Hombres;2015;0
Aeronáutica;Otras categorías;Hombres;2014;0
Aeronáutica;Otras categorías;Hombres;2013;0
Aeronáutica;Otras categorías;Hombres;2012;0
Aeronáutica;Otras categorías;Hombres;2011;0
Aeronáutica;Otras categorías;Hombres;2010;0
Aeronáutica;Otras categorías;Hombres;2009;0
Aeronáutica;Otras categorías;Hombres;2008;0
Aeronáutica;Otras categorías;Hombres;2007;0
Aeronáutica;Otras categorías;Hombres;2006;0
Aeronáutica;Otras categorías;Hombres;2005;0
Aeronáutica;Otras categorías;Mujeres;2024;0
Aeronáutica;Otras categorías;Mujeres;2023;0
Aeronáutica;Otras categorías;Mujeres;2022;0
Aeronáutica;Otras categorías;Mujeres;2021;0
Aeronáutica;Otras categorías;Mujeres;2020;0
Aeronáutica;Otras categorías;Mujeres;2019;0
Aeronáutica;Otras categorías;Mujeres;2018;0
Aeronáutica;Otras categorías;Mujeres;2017;0
Aeronáutica;Otras categorías;Mujeres;2016;0
Aeronáutica;Otras categorías;Mujeres;2015;0
Aeronáutica;Otras categorías;Mujeres;2014;0
Aeronáutica;Otras categorías;Mujeres;2013;0
Aeronáutica;Otras categorías;Mujeres;2012;0
Aeronáutica;Otras categorías;Mujeres;2011;0
Aeronáutica;Otras categorías;Mujeres;2010;0
Aeronáutica;Otras categorías;Mujeres;2009;0
Aeronáutica;Otras categorías;Mujeres;2008;0
Aeronáutica;Otras categorías;Mujeres;2007;0
Aeronáutica;Otras categorías;Mujeres;2006;0
Aeronáutica;Otras categorías;Mujeres;2005;0
Atletismo;TOTAL;TOTAL;2024;34
Atletismo;TOTAL;TOTAL;2023;42
Atletismo;TOTAL;TOTAL;2022;46
Atletismo;TOTAL;TOTAL;2021;32
Atletismo;TOTAL;TOTAL;2020;49
Atletismo;TOTAL;TOTAL;2019;76
Atletismo;TOTAL;TOTAL;2018;105
Atletismo;TOTAL;TOTAL;2017;18
Atletismo;TOTAL;TOTAL;2016;26
Atletismo;TOTAL;TOTAL;2015;10
Atletismo;TOTAL;TOTAL;2014;22
Atletismo;TOTAL;TOTAL;2013;21
Atletismo;TOTAL;TOTAL;2012;16
Atletismo;TOTAL;TOTAL;2011;6
Atletismo;TOTAL;TOTAL;2010;8
Atletismo;TOTAL;TOTAL;2009;54
Atletismo;TOTAL;TOTAL;2008;25
Atletismo;TOTAL;TOTAL;2007;32
Atletismo;TOTAL;TOTAL;2006;58
Atletismo;TOTAL;TOTAL;2005;9
Atletismo;TOTAL;Hombres;2024;20
Atletismo;TOTAL;Hombres;2023;24
Atletismo;TOTAL;Hombres;2022;17
Atletismo;TOTAL;Hombres;2021;15
Atletismo;TOTAL;Hombres;2020;31
Atletismo;TOTAL;Hombres;2019;33
Atletismo;TOTAL;Hombres;2018;56
Atletismo;TOTAL;Hombres;2017;9
Atletismo;TOTAL;Hombres;2016;12
Atletismo;TOTAL;Hombres;2015;5
Atletismo;TOTAL;Hombres;2014;10
Atletismo;TOTAL;Hombres;2013;13
Atletismo;TOTAL;Hombres;2012;12
Atletismo;TOTAL;Hombres;2011;4
Atletismo;TOTAL;Hombres;2010;3
Atletismo;TOTAL;Hombres;2009;41
Atletismo;TOTAL;Hombres;2008;17
Atletismo;TOTAL;Hombres;2007;7
Atletismo;TOTAL;Hombres;2006;23
Atletismo;TOTAL;Hombres;2005;3
Atletismo;TOTAL;Mujeres;2024;14
Atletismo;TOTAL;Mujeres;2023;18
Atletismo;TOTAL;Mujeres;2022;29
Atletismo;TOTAL;Mujeres;2021;17
Atletismo;TOTAL;Mujeres;2020;18
Atletismo;TOTAL;Mujeres;2019;43
Atletismo;TOTAL;Mujeres;2018;49
Atletismo;TOTAL;Mujeres;2017;9
Atletismo;TOTAL;Mujeres;2016;14
Atletismo;TOTAL;Mujeres;2015;5
Atletismo;TOTAL;Mujeres;2014;12
Atletismo;TOTAL;Mujeres;2013;8
Atletismo;TOTAL;Mujeres;2012;4
Atletismo;TOTAL;Mujeres;2011;2
Atletismo;TOTAL;Mujeres;2010;5
Atletismo;TOTAL;Mujeres;2009;13
Atletismo;TOTAL;Mujeres;2008;8
Atletismo;TOTAL;Mujeres;2007;25
Atletismo;TOTAL;Mujeres;2006;35
Atletismo;TOTAL;Mujeres;2005;6
Atletismo;Categoría Absoluta;TOTAL;2024;20
Atletismo;Categoría Absoluta;TOTAL;2023;34
Atletismo;Categoría Absoluta;TOTAL;2022;32
Atletismo;Categoría Absoluta;TOTAL;2021;23
Atletismo;Categoría Absoluta;TOTAL;2020;29
Atletismo;Categoría Absoluta;TOTAL;2019;36
Atletismo;Categoría Absoluta;TOTAL;2018;54
Atletismo;Categoría Absoluta;TOTAL;2017;4
Atletismo;Categoría Absoluta;TOTAL;2016;9
Atletismo;Categoría Absoluta;TOTAL;2015;4
Atletismo;Categoría Absoluta;TOTAL;2014;6
Atletismo;Categoría Absoluta;TOTAL;2013;11
Atletismo;Categoría Absoluta;TOTAL;2012;5
Atletismo;Categoría Absoluta;TOTAL;2011;2
Atletismo;Categoría Absoluta;TOTAL;2010;5
Atletismo;Categoría Absoluta;TOTAL;2009;13
Atletismo;Categoría Absoluta;TOTAL;2008;10
Atletismo;Categoría Absoluta;TOTAL;2007;26
Atletismo;Categoría Absoluta;TOTAL;2006;46
Atletismo;Categoría Absoluta;TOTAL;2005;7
Atletismo;Categoría Absoluta;Hombres;2024;8
Atletismo;Categoría Absoluta;Hombres;2023;18
Atletismo;Categoría Absoluta;Hombres;2022;14
Atletismo;Categoría Absoluta;Hombres;2021;10
Atletismo;Categoría Absoluta;Hombres;2020;18
Atletismo;Categoría Absoluta;Hombres;2019;18
Atletismo;Categoría Absoluta;Hombres;2018;25
Atletismo;Categoría Absoluta;Hombres;2017;1
Atletismo;Categoría Absoluta;Hombres;2016;7
Atletismo;Categoría Absoluta;Hombres;2015;2
Atletismo;Categoría Absoluta;Hombres;2014;2
Atletismo;Categoría Absoluta;Hombres;2013;7
Atletismo;Categoría Absoluta;Hombres;2012;2
Atletismo;Categoría Absoluta;Hombres;2011;0
Atletismo;Categoría Absoluta;Hombres;2010;2
Atletismo;Categoría Absoluta;Hombres;2009;4
Atletismo;Categoría Absoluta;Hombres;2008;4
Atletismo;Categoría Absoluta;Hombres;2007;5
Atletismo;Categoría Absoluta;Hombres;2006;17
Atletismo;Categoría Absoluta;Hombres;2005;3
Atletismo;Categoría Absoluta;Mujeres;2024;12
Atletismo;Categoría Absoluta;Mujeres;2023;16
Atletismo;Categoría Absoluta;Mujeres;2022;18
Atletismo;Categoría Absoluta;Mujeres;2021;13
Atletismo;Categoría Absoluta;Mujeres;2020;11
Atletismo;Categoría Absoluta;Mujeres;2019;18
Atletismo;Categoría Absoluta;Mujeres;2018;29
Atletismo;Categoría Absoluta;Mujeres;2017;3
Atletismo;Categoría Absoluta;Mujeres;2016;2
Atletismo;Categoría Absoluta;Mujeres;2015;2
Atletismo;Categoría Absoluta;Mujeres;2014;4
Atletismo;Categoría Absoluta;Mujeres;2013;4
Atletismo;Categoría Absoluta;Mujeres;2012;3
Atletismo;Categoría Absoluta;Mujeres;2011;2
Atletismo;Categoría Absoluta;Mujeres;2010;3
Atletismo;Categoría Absoluta;Mujeres;2009;9
Atletismo;Categoría Absoluta;Mujeres;2008;6
Atletismo;Categoría Absoluta;Mujeres;2007;21
Atletismo;Categoría Absoluta;Mujeres;2006;29
Atletismo;Categoría Absoluta;Mujeres;2005;4
Atletismo;Otras categorías;TOTAL;2024;14
Atletismo;Otras categorías;TOTAL;2023;8
Atletismo;Otras categorías;TOTAL;2022;14
Atletismo;Otras categorías;TOTAL;2021;9
Atletismo;Otras categorías;TOTAL;2020;20
Atletismo;Otras categorías;TOTAL;2019;40
Atletismo;Otras categorías;TOTAL;2018;51
Atletismo;Otras categorías;TOTAL;2017;14
Atletismo;Otras categorías;TOTAL;2016;17
Atletismo;Otras categorías;TOTAL;2015;6
Atletismo;Otras categorías;TOTAL;2014;16
Atletismo;Otras categorías;TOTAL;2013;10
Atletismo;Otras categorías;TOTAL;2012;11
Atletismo;Otras categorías;TOTAL;2011;4
Atletismo;Otras categorías;TOTAL;2010;3
Atletismo;Otras categorías;TOTAL;2009;41
Atletismo;Otras categorías;TOTAL;2008;15
Atletismo;Otras categorías;TOTAL;2007;6
Atletismo;Otras categorías;TOTAL;2006;12
Atletismo;Otras categorías;TOTAL;2005;2
Atletismo;Otras categorías;Hombres;2024;12
Atletismo;Otras categorías;Hombres;2023;6
Atletismo;Otras categorías;Hombres;2022;3
Atletismo;Otras categorías;Hombres;2021;5
Atletismo;Otras categorías;Hombres;2020;13
Atletismo;Otras categorías;Hombres;2019;15
Atletismo;Otras categorías;Hombres;2018;31
Atletismo;Otras categorías;Hombres;2017;8
Atletismo;Otras categorías;Hombres;2016;5
Atletismo;Otras categorías;Hombres;2015;3
Atletismo;Otras categorías;Hombres;2014;8
Atletismo;Otras categorías;Hombres;2013;6
Atletismo;Otras categorías;Hombres;2012;10
Atletismo;Otras categorías;Hombres;2011;4
Atletismo;Otras categorías;Hombres;2010;1
Atletismo;Otras categorías;Hombres;2009;37
Atletismo;Otras categorías;Hombres;2008;13
Atletismo;Otras categorías;Hombres;2007;2
Atletismo;Otras categorías;Hombres;2006;6
Atletismo;Otras categorías;Hombres;2005;0
Atletismo;Otras categorías;Mujeres;2024;2
Atletismo;Otras categorías;Mujeres;2023;2
Atletismo;Otras categorías;Mujeres;2022;11
Atletismo;Otras categorías;Mujeres;2021;4
Atletismo;Otras categorías;Mujeres;2020;7
Atletismo;Otras categorías;Mujeres;2019;25
Atletismo;Otras categorías;Mujeres;2018;20
Atletismo;Otras categorías;Mujeres;2017;6
Atletismo;Otras categorías;Mujeres;2016;12
Atletismo;Otras categorías;Mujeres;2015;3
Atletismo;Otras categorías;Mujeres;2014;8
Atletismo;Otras categorías;Mujeres;2013;4
Atletismo;Otras categorías;Mujeres;2012;1
Atletismo;Otras categorías;Mujeres;2011;0
Atletismo;Otras categorías;Mujeres;2010;2
Atletismo;Otras categorías;Mujeres;2009;4
Atletismo;Otras categorías;Mujeres;2008;2
Atletismo;Otras categorías;Mujeres;2007;4
Atletismo;Otras categorías;Mujeres;2006;6
Atletismo;Otras categorías;Mujeres;2005;2
Billar;TOTAL;TOTAL;2024;1
Billar;TOTAL;TOTAL;2023;0
Billar;TOTAL;TOTAL;2022;0
Billar;TOTAL;TOTAL;2021;0
Billar;TOTAL;TOTAL;2020;1
Billar;TOTAL;TOTAL;2019;0
Billar;TOTAL;TOTAL;2018;0
Billar;TOTAL;TOTAL;2017;1
Billar;TOTAL;TOTAL;2016;1
Billar;TOTAL;TOTAL;2015;2
Billar;TOTAL;TOTAL;2014;1
Billar;TOTAL;TOTAL;2013;1
Billar;TOTAL;TOTAL;2012;0
Billar;TOTAL;TOTAL;2011;0
Billar;TOTAL;TOTAL;2010;0
Billar;TOTAL;TOTAL;2009;0
Billar;TOTAL;TOTAL;2008;0
Billar;TOTAL;TOTAL;2007;0
Billar;TOTAL;TOTAL;2006;0
Billar;TOTAL;TOTAL;2005;0
Billar;TOTAL;Hombres;2024;1
Billar;TOTAL;Hombres;2023;0
Billar;TOTAL;Hombres;2022;0
Billar;TOTAL;Hombres;2021;0
Billar;TOTAL;Hombres;2020;1
Billar;TOTAL;Hombres;2019;0
Billar;TOTAL;Hombres;2018;0
Billar;TOTAL;Hombres;2017;0
Billar;TOTAL;Hombres;2016;1
Billar;TOTAL;Hombres;2015;2
Billar;TOTAL;Hombres;2014;1
Billar;TOTAL;Hombres;2013;1
Billar;TOTAL;Hombres;2012;0
Billar;TOTAL;Hombres;2011;0
Billar;TOTAL;Hombres;2010;0
Billar;TOTAL;Hombres;2009;0
Billar;TOTAL;Hombres;2008;0
Billar;TOTAL;Hombres;2007;0
Billar;TOTAL;Hombres;2006;0
Billar;TOTAL;Hombres;2005;0
Billar;TOTAL;Mujeres;2024;0
Billar;TOTAL;Mujeres;2023;0
Billar;TOTAL;Mujeres;2022;0
Billar;TOTAL;Mujeres;2021;0
Billar;TOTAL;Mujeres;2020;0
Billar;TOTAL;Mujeres;2019;0
Billar;TOTAL;Mujeres;2018;0
Billar;TOTAL;Mujeres;2017;1
Billar;TOTAL;Mujeres;2016;0
Billar;TOTAL;Mujeres;2015;0
Billar;TOTAL;Mujeres;2014;0
Billar;TOTAL;Mujeres;2013;0
Billar;TOTAL;Mujeres;2012;0
Billar;TOTAL;Mujeres;2011;0
Billar;TOTAL;Mujeres;2010;0
Billar;TOTAL;Mujeres;2009;0
Billar;TOTAL;Mujeres;2008;0
Billar;TOTAL;Mujeres;2007;0
Billar;TOTAL;Mujeres;2006;0
Billar;TOTAL;Mujeres;2005;0
Billar;Categoría Absoluta;TOTAL;2024;0
Billar;Categoría Absoluta;TOTAL;2023;0
Billar;Categoría Absoluta;TOTAL;2022;0
Billar;Categoría Absoluta;TOTAL;2021;0
Billar;Categoría Absoluta;TOTAL;2020;1
Billar;Categoría Absoluta;TOTAL;2019;0
Billar;Categoría Absoluta;TOTAL;2018;0
Billar;Categoría Absoluta;TOTAL;2017;1
Billar;Categoría Absoluta;TOTAL;2016;1
Billar;Categoría Absoluta;TOTAL;2015;2
Billar;Categoría Absoluta;TOTAL;2014;1
Billar;Categoría Absoluta;TOTAL;2013;1
Billar;Categoría Absoluta;TOTAL;2012;0
Billar;Categoría Absoluta;TOTAL;2011;0
Billar;Categoría Absoluta;TOTAL;2010;0
Billar;Categoría Absoluta;TOTAL;2009;0
Billar;Categoría Absoluta;TOTAL;2008;0
Billar;Categoría Absoluta;TOTAL;2007;0
Billar;Categoría Absoluta;TOTAL;2006;0
Billar;Categoría Absoluta;TOTAL;2005;0
Billar;Categoría Absoluta;Hombres;2024;0
Billar;Categoría Absoluta;Hombres;2023;0
Billar;Categoría Absoluta;Hombres;2022;0
Billar;Categoría Absoluta;Hombres;2021;0
Billar;Categoría Absoluta;Hombres;2020;1
Billar;Categoría Absoluta;Hombres;2019;0
Billar;Categoría Absoluta;Hombres;2018;0
Billar;Categoría Absoluta;Hombres;2017;0
Billar;Categoría Absoluta;Hombres;2016;1
Billar;Categoría Absoluta;Hombres;2015;2
Billar;Categoría Absoluta;Hombres;2014;1
Billar;Categoría Absoluta;Hombres;2013;1
Billar;Categoría Absoluta;Hombres;2012;0
Billar;Categoría Absoluta;Hombres;2011;0
Billar;Categoría Absoluta;Hombres;2010;0
Billar;Categoría Absoluta;Hombres;2009;0
Billar;Categoría Absoluta;Hombres;2008;0
Billar;Categoría Absoluta;Hombres;2007;0
Billar;Categoría Absoluta;Hombres;2006;0
Billar;Categoría Absoluta;Hombres;2005;0
Billar;Categoría Absoluta;Mujeres;2024;0
Billar;Categoría Absoluta;Mujeres;2023;0
Billar;Categoría Absoluta;Mujeres;2022;0
Billar;Categoría Absoluta;Mujeres;2021;0
Billar;Categoría Absoluta;Mujeres;2020;0
Billar;Categoría Absoluta;Mujeres;2019;0
Billar;Categoría Absoluta;Mujeres;2018;0
Billar;Categoría Absoluta;Mujeres;2017;1
Billar;Categoría Absoluta;Mujeres;2016;0
Billar;Categoría Absoluta;Mujeres;2015;0
Billar;Categoría Absoluta;Mujeres;2014;0
Billar;Categoría Absoluta;Mujeres;2013;0
Billar;Categoría Absoluta;Mujeres;2012;0
Billar;Categoría Absoluta;Mujeres;2011;0
Billar;Categoría Absoluta;Mujeres;2010;0
Billar;Categoría Absoluta;Mujeres;2009;0
Billar;Categoría Absoluta;Mujeres;2008;0
Billar;Categoría Absoluta;Mujeres;2007;0
Billar;Categoría Absoluta;Mujeres;2006;0
Billar;Categoría Absoluta;Mujeres;2005;0
Billar;Otras categorías;TOTAL;2024;1
Billar;Otras categorías;TOTAL;2023;0
Billar;Otras categorías;TOTAL;2022;0
Billar;Otras categorías;TOTAL;2021;0
Billar;Otras categorías;TOTAL;2020;0
Billar;Otras categorías;TOTAL;2019;0
Billar;Otras categorías;TOTAL;2018;0
Billar;Otras categorías;TOTAL;2017;0
Billar;Otras categorías;TOTAL;2016;0
Billar;Otras categorías;TOTAL;2015;0
Billar;Otras categorías;TOTAL;2014;0
Billar;Otras categorías;TOTAL;2013;0
Billar;Otras categorías;TOTAL;2012;0
Billar;Otras categorías;TOTAL;2011;0
Billar;Otras categorías;TOTAL;2010;0
Billar;Otras categorías;TOTAL;2009;0
Billar;Otras categorías;TOTAL;2008;0
Billar;Otras categorías;TOTAL;2007;0
Billar;Otras categorías;TOTAL;2006;0
Billar;Otras categorías;TOTAL;2005;0
Billar;Otras categorías;Hombres;2024;1
Billar;Otras categorías;Hombres;2023;0
Billar;Otras categorías;Hombres;2022;0
Billar;Otras categorías;Hombres;2021;0
Billar;Otras categorías;Hombres;2020;0
Billar;Otras categorías;Hombres;2019;0
Billar;Otras categorías;Hombres;2018;0
Billar;Otras categorías;Hombres;2017;0
Billar;Otras categorías;Hombres;2016;0
Billar;Otras categorías;Hombres;2015;0
Billar;Otras categorías;Hombres;2014;0
Billar;Otras categorías;Hombres;2013;0
Billar;Otras categorías;Hombres;2012;0
Billar;Otras categorías;Hombres;2011;0
Billar;Otras categorías;Hombres;2010;0
Billar;Otras categorías;Hombres;2009;0
Billar;Otras categorías;Hombres;2008;0
Billar;Otras categorías;Hombres;2007;0
Billar;Otras categorías;Hombres;2006;0
Billar;Otras categorías;Hombres;2005;0
Billar;Otras categorías;Mujeres;2024;0
Billar;Otras categorías;Mujeres;2023;0
Billar;Otras categorías;Mujeres;2022;0
Billar;Otras categorías;Mujeres;2021;0
Billar;Otras categorías;Mujeres;2020;0
Billar;Otras categorías;Mujeres;2019;0
Billar;Otras categorías;Mujeres;2018;0
Billar;Otras categorías;Mujeres;2017;0
Billar;Otras categorías;Mujeres;2016;0
Billar;Otras categorías;Mujeres;2015;0
Billar;Otras categorías;Mujeres;2014;0
Billar;Otras categorías;Mujeres;2013;0
Billar;Otras categorías;Mujeres;2012;0
Billar;Otras categorías;Mujeres;2011;0
Billar;Otras categorías;Mujeres;2010;0
Billar;Otras categorías;Mujeres;2009;0
Billar;Otras categorías;Mujeres;2008;0
Billar;Otras categorías;Mujeres;2007;0
Billar;Otras categorías;Mujeres;2006;0
Billar;Otras categorías;Mujeres;2005;0
Ciclismo;TOTAL;TOTAL;2024;23
Ciclismo;TOTAL;TOTAL;2023;45
Ciclismo;TOTAL;TOTAL;2022;2
Ciclismo;TOTAL;TOTAL;2021;2
Ciclismo;TOTAL;TOTAL;2020;0
Ciclismo;TOTAL;TOTAL;2019;0
Ciclismo;TOTAL;TOTAL;2018;0
Ciclismo;TOTAL;TOTAL;2017;0
Ciclismo;TOTAL;TOTAL;2016;1
Ciclismo;TOTAL;TOTAL;2015;0
Ciclismo;TOTAL;TOTAL;2014;0
Ciclismo;TOTAL;TOTAL;2013;0
Ciclismo;TOTAL;TOTAL;2012;3
Ciclismo;TOTAL;TOTAL;2011;5
Ciclismo;TOTAL;TOTAL;2010;2
Ciclismo;TOTAL;TOTAL;2009;0
Ciclismo;TOTAL;TOTAL;2008;6
Ciclismo;TOTAL;TOTAL;2007;0
Ciclismo;TOTAL;TOTAL;2006;0
Ciclismo;TOTAL;TOTAL;2005;1
Ciclismo;TOTAL;Hombres;2024;15
Ciclismo;TOTAL;Hombres;2023;30
Ciclismo;TOTAL;Hombres;2022;2
Ciclismo;TOTAL;Hombres;2021;2
Ciclismo;TOTAL;Hombres;2020;0
Ciclismo;TOTAL;Hombres;2019;0
Ciclismo;TOTAL;Hombres;2018;0
Ciclismo;TOTAL;Hombres;2017;0
Ciclismo;TOTAL;Hombres;2016;1
Ciclismo;TOTAL;Hombres;2015;0
Ciclismo;TOTAL;Hombres;2014;0
Ciclismo;TOTAL;Hombres;2013;0
Ciclismo;TOTAL;Hombres;2012;1
Ciclismo;TOTAL;Hombres;2011;4
Ciclismo;TOTAL;Hombres;2010;0
Ciclismo;TOTAL;Hombres;2009;0
Ciclismo;TOTAL;Hombres;2008;2
Ciclismo;TOTAL;Hombres;2007;0
Ciclismo;TOTAL;Hombres;2006;0
Ciclismo;TOTAL;Hombres;2005;0
Ciclismo;TOTAL;Mujeres;2024;8
Ciclismo;TOTAL;Mujeres;2023;15
Ciclismo;TOTAL;Mujeres;2022;0
Ciclismo;TOTAL;Mujeres;2021;0
Ciclismo;TOTAL;Mujeres;2020;0
Ciclismo;TOTAL;Mujeres;2019;0
Ciclismo;TOTAL;Mujeres;2018;0
Ciclismo;TOTAL;Mujeres;2017;0
Ciclismo;TOTAL;Mujeres;2016;0
Ciclismo;TOTAL;Mujeres;2015;0
Ciclismo;TOTAL;Mujeres;2014;0
Ciclismo;TOTAL;Mujeres;2013;0
Ciclismo;TOTAL;Mujeres;2012;2
Ciclismo;TOTAL;Mujeres;2011;1
Ciclismo;TOTAL;Mujeres;2010;2
Ciclismo;TOTAL;Mujeres;2009;0
Ciclismo;TOTAL;Mujeres;2008;4
Ciclismo;TOTAL;Mujeres;2007;0
Ciclismo;TOTAL;Mujeres;2006;0
Ciclismo;TOTAL;Mujeres;2005;1
Ciclismo;Categoría Absoluta;TOTAL;2024;18
Ciclismo;Categoría Absoluta;TOTAL;2023;42
Ciclismo;Categoría Absoluta;TOTAL;2022;2
Ciclismo;Categoría Absoluta;TOTAL;2021;2
Ciclismo;Categoría Absoluta;TOTAL;2020;0
Ciclismo;Categoría Absoluta;TOTAL;2019;0
Ciclismo;Categoría Absoluta;TOTAL;2018;0
Ciclismo;Categoría Absoluta;TOTAL;2017;0
Ciclismo;Categoría Absoluta;TOTAL;2016;1
Ciclismo;Categoría Absoluta;TOTAL;2015;0
Ciclismo;Categoría Absoluta;TOTAL;2014;0
Ciclismo;Categoría Absoluta;TOTAL;2013;0
Ciclismo;Categoría Absoluta;TOTAL;2012;3
Ciclismo;Categoría Absoluta;TOTAL;2011;1
Ciclismo;Categoría Absoluta;TOTAL;2010;0
Ciclismo;Categoría Absoluta;TOTAL;2009;0
Ciclismo;Categoría Absoluta;TOTAL;2008;3
Ciclismo;Categoría Absoluta;TOTAL;2007;0
Ciclismo;Categoría Absoluta;TOTAL;2006;0
Ciclismo;Categoría Absoluta;TOTAL;2005;1
Ciclismo;Categoría Absoluta;Hombres;2024;11
Ciclismo;Categoría Absoluta;Hombres;2023;29
Ciclismo;Categoría Absoluta;Hombres;2022;2
Ciclismo;Categoría Absoluta;Hombres;2021;2
Ciclismo;Categoría Absoluta;Hombres;2020;0
Ciclismo;Categoría Absoluta;Hombres;2019;0
Ciclismo;Categoría Absoluta;Hombres;2018;0
Ciclismo;Categoría Absoluta;Hombres;2017;0
Ciclismo;Categoría Absoluta;Hombres;2016;1
Ciclismo;Categoría Absoluta;Hombres;2015;0
Ciclismo;Categoría Absoluta;Hombres;2014;0
Ciclismo;Categoría Absoluta;Hombres;2013;0
Ciclismo;Categoría Absoluta;Hombres;2012;1
Ciclismo;Categoría Absoluta;Hombres;2011;0
Ciclismo;Categoría Absoluta;Hombres;2010;0
Ciclismo;Categoría Absoluta;Hombres;2009;0
Ciclismo;Categoría Absoluta;Hombres;2008;0
Ciclismo;Categoría Absoluta;Hombres;2007;0
Ciclismo;Categoría Absoluta;Hombres;2006;0
Ciclismo;Categoría Absoluta;Hombres;2005;0
Ciclismo;Categoría Absoluta;Mujeres;2024;7
Ciclismo;Categoría Absoluta;Mujeres;2023;13
Ciclismo;Categoría Absoluta;Mujeres;2022;0
Ciclismo;Categoría Absoluta;Mujeres;2021;0
Ciclismo;Categoría Absoluta;Mujeres;2020;0
Ciclismo;Categoría Absoluta;Mujeres;2019;0
Ciclismo;Categoría Absoluta;Mujeres;2018;0
Ciclismo;Categoría Absoluta;Mujeres;2017;0
Ciclismo;Categoría Absoluta;Mujeres;2016;0
Ciclismo;Categoría Absoluta;Mujeres;2015;0
Ciclismo;Categoría Absoluta;Mujeres;2014;0
Ciclismo;Categoría Absoluta;Mujeres;2013;0
Ciclismo;Categoría Absoluta;Mujeres;2012;2
Ciclismo;Categoría Absoluta;Mujeres;2011;1
Ciclismo;Categoría Absoluta;Mujeres;2010;0
Ciclismo;Categoría Absoluta;Mujeres;2009;0
Ciclismo;Categoría Absoluta;Mujeres;2008;3
Ciclismo;Categoría Absoluta;Mujeres;2007;0
Ciclismo;Categoría Absoluta;Mujeres;2006;0
Ciclismo;Categoría Absoluta;Mujeres;2005;1
Ciclismo;Otras categorías;TOTAL;2024;5
Ciclismo;Otras categorías;TOTAL;2023;3
Ciclismo;Otras categorías;TOTAL;2022;0
Ciclismo;Otras categorías;TOTAL;2021;0
Ciclismo;Otras categorías;TOTAL;2020;0
Ciclismo;Otras categorías;TOTAL;2019;0
Ciclismo;Otras categorías;TOTAL;2018;0
Ciclismo;Otras categorías;TOTAL;2017;0
Ciclismo;Otras categorías;TOTAL;2016;0
Ciclismo;Otras categorías;TOTAL;2015;0
Ciclismo;Otras categorías;TOTAL;2014;0
Ciclismo;Otras categorías;TOTAL;2013;0
Ciclismo;Otras categorías;TOTAL;2012;0
Ciclismo;Otras categorías;TOTAL;2011;4
Ciclismo;Otras categorías;TOTAL;2010;2
Ciclismo;Otras categorías;TOTAL;2009;0
Ciclismo;Otras categorías;TOTAL;2008;3
Ciclismo;Otras categorías;TOTAL;2007;0
Ciclismo;Otras categorías;TOTAL;2006;0
Ciclismo;Otras categorías;TOTAL;2005;0
Ciclismo;Otras categorías;Hombres;2024;4
Ciclismo;Otras categorías;Hombres;2023;1
Ciclismo;Otras categorías;Hombres;2022;0
Ciclismo;Otras categorías;Hombres;2021;0
Ciclismo;Otras categorías;Hombres;2020;0
Ciclismo;Otras categorías;Hombres;2019;0
Ciclismo;Otras categorías;Hombres;2018;0
Ciclismo;Otras categorías;Hombres;2017;0
Ciclismo;Otras categorías;Hombres;2016;0
Ciclismo;Otras categorías;Hombres;2015;0
Ciclismo;Otras categorías;Hombres;2014;0
Ciclismo;Otras categorías;Hombres;2013;0
Ciclismo;Otras categorías;Hombres;2012;0
Ciclismo;Otras categorías;Hombres;2011;4
Ciclismo;Otras categorías;Hombres;2010;0
Ciclismo;Otras categorías;Hombres;2009;0
Ciclismo;Otras categorías;Hombres;2008;2
Ciclismo;Otras categorías;Hombres;2007;0
Ciclismo;Otras categorías;Hombres;2006;0
Ciclismo;Otras categorías;Hombres;2005;0
Ciclismo;Otras categorías;Mujeres;2024;1
Ciclismo;Otras categorías;Mujeres;2023;2
Ciclismo;Otras categorías;Mujeres;2022;0
Ciclismo;Otras categorías;Mujeres;2021;0
Ciclismo;Otras categorías;Mujeres;2020;0
Ciclismo;Otras categorías;Mujeres;2019;0
Ciclismo;Otras categorías;Mujeres;2018;0
Ciclismo;Otras categorías;Mujeres;2017;0
Ciclismo;Otras categorías;Mujeres;2016;0
Ciclismo;Otras categorías;Mujeres;2015;0
Ciclismo;Otras categorías;Mujeres;2014;0
Ciclismo;Otras categorías;Mujeres;2013;0
Ciclismo;Otras categorías;Mujeres;2012;0
Ciclismo;Otras categorías;Mujeres;2011;0
Ciclismo;Otras categorías;Mujeres;2010;2
Ciclismo;Otras categorías;Mujeres;2009;0
Ciclismo;Otras categorías;Mujeres;2008;1
Ciclismo;Otras categorías;Mujeres;2007;0
Ciclismo;Otras categorías;Mujeres;2006;0
Ciclismo;Otras categorías;Mujeres;2005;0
Deporte Discapacidad Física;TOTAL;TOTAL;2024;0
