Federación;Competiciones;periodo;Total
Bolos;Competiciones estatales: Ligas;2005;6
Bolos;Competiciones estatales: Campeonatos de España;2024;98
Bolos;Competiciones estatales: Campeonatos de España;2023;98
Bolos;Competiciones estatales: Campeonatos de España;2022;103
Bolos;Competiciones estatales: Campeonatos de España;2021;45
Bolos;Competiciones estatales: Campeonatos de España;2020;58
Bolos;Competiciones estatales: Campeonatos de España;2019;91
Bolos;Competiciones estatales: Campeonatos de España;2018;81
Bolos;Competiciones estatales: Campeonatos de España;2017;83
Bolos;Competiciones estatales: Campeonatos de España;2016;90
Bolos;Competiciones estatales: Campeonatos de España;2015;91
Bolos;Competiciones estatales: Campeonatos de España;2014;96
Bolos;Competiciones estatales: Campeonatos de España;2013;97
Bolos;Competiciones estatales: Campeonatos de España;2012;102
Bolos;Competiciones estatales: Campeonatos de España;2011;92
Bolos;Competiciones estatales: Campeonatos de España;2010;79
Bolos;Competiciones estatales: Campeonatos de España;2009;74
Bolos;Competiciones estatales: Campeonatos de España;2008;55
Bolos;Competiciones estatales: Campeonatos de España;2007;71
Bolos;Competiciones estatales: Campeonatos de España;2006;74
Bolos;Competiciones estatales: Campeonatos de España;2005;72
Bolos;Competiciones estatales: Otros;2024;125
Bolos;Competiciones estatales: Otros;2023;125
Bolos;Competiciones estatales: Otros;2022;120
Bolos;Competiciones estatales: Otros;2021;114
Bolos;Competiciones estatales: Otros;2020;30
Bolos;Competiciones estatales: Otros;2019;123
Bolos;Competiciones estatales: Otros;2018;117
Bolos;Competiciones estatales: Otros;2017;116
Bolos;Competiciones estatales: Otros;2016;113
Bolos;Competiciones estatales: Otros;2015;105
Bolos;Competiciones estatales: Otros;2014;99
Bolos;Competiciones estatales: Otros;2013;63
Bolos;Competiciones estatales: Otros;2012;60
Bolos;Competiciones estatales: Otros;2011;73
Bolos;Competiciones estatales: Otros;2010;66
Bolos;Competiciones estatales: Otros;2009;87
Bolos;Competiciones estatales: Otros;2008;91
Bolos;Competiciones estatales: Otros;2007;95
Bolos;Competiciones estatales: Otros;2006;85
Bolos;Competiciones estatales: Otros;2005;81
Bolos;Competiciones internacionales: Total;2024;7
Bolos;Competiciones internacionales: Total;2023;8
Bolos;Competiciones internacionales: Total;2022;9
Bolos;Competiciones internacionales: Total;2021;8
Bolos;Competiciones internacionales: Total;2020;2
Bolos;Competiciones internacionales: Total;2019;7
Bolos;Competiciones internacionales: Total;2018;7
Bolos;Competiciones internacionales: Total;2017;13
Bolos;Competiciones internacionales: Total;2016;12
Bolos;Competiciones internacionales: Total;2015;8
Bolos;Competiciones internacionales: Total;2014;7
Bolos;Competiciones internacionales: Total;2013;12
Bolos;Competiciones internacionales: Total;2012;11
Bolos;Competiciones internacionales: Total;2011;6
Bolos;Competiciones internacionales: Total;2010;4
Bolos;Competiciones internacionales: Total;2009;5
Bolos;Competiciones internacionales: Total;2008;7
Bolos;Competiciones internacionales: Total;2007;14
Bolos;Competiciones internacionales: Total;2006;12
Bolos;Competiciones internacionales: Total;2005;12
Bolos;Competiciones internacionales: Campeonatos del mundo;2024;1
Bolos;Competiciones internacionales: Campeonatos del mundo;2023;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2022;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2021;3
Bolos;Competiciones internacionales: Campeonatos del mundo;2020;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2019;3
Bolos;Competiciones internacionales: Campeonatos del mundo;2018;1
Bolos;Competiciones internacionales: Campeonatos del mundo;2017;1
Bolos;Competiciones internacionales: Campeonatos del mundo;2016;3
Bolos;Competiciones internacionales: Campeonatos del mundo;2015;2
Bolos;Competiciones internacionales: Campeonatos del mundo;2014;1
Bolos;Competiciones internacionales: Campeonatos del mundo;2013;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2012;1
Bolos;Competiciones internacionales: Campeonatos del mundo;2011;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2010;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2009;0
Bolos;Competiciones internacionales: Campeonatos del mundo;2008;2
Bolos;Competiciones internacionales: Campeonatos del mundo;2007;2
Bolos;Competiciones internacionales: Campeonatos del mundo;2006;2
Bolos;Competiciones internacionales: Campeonatos del mundo;2005;1
Bolos;Competiciones internacionales: Campeonatos de Europa;2024;4
Bolos;Competiciones internacionales: Campeonatos de Europa;2023;4
Bolos;Competiciones internacionales: Campeonatos de Europa;2022;5
Bolos;Competiciones internacionales: Campeonatos de Europa;2021;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2020;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2019;0
Bolos;Competiciones internacionales: Campeonatos de Europa;2018;1
Bolos;Competiciones internacionales: Campeonatos de Europa;2017;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2016;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2015;3
Bolos;Competiciones internacionales: Campeonatos de Europa;2014;1
Bolos;Competiciones internacionales: Campeonatos de Europa;2013;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2012;0
Bolos;Competiciones internacionales: Campeonatos de Europa;2011;1
Bolos;Competiciones internacionales: Campeonatos de Europa;2010;0
Bolos;Competiciones internacionales: Campeonatos de Europa;2009;1
Bolos;Competiciones internacionales: Campeonatos de Europa;2008;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2007;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2006;2
Bolos;Competiciones internacionales: Campeonatos de Europa;2005;1
Bolos;Competiciones internacionales: Otros;2024;2
Bolos;Competiciones internacionales: Otros;2023;4
Bolos;Competiciones internacionales: Otros;2022;4
Bolos;Competiciones internacionales: Otros;2021;3
Bolos;Competiciones internacionales: Otros;2020;0
Bolos;Competiciones internacionales: Otros;2019;4
Bolos;Competiciones internacionales: Otros;2018;5
Bolos;Competiciones internacionales: Otros;2017;10
Bolos;Competiciones internacionales: Otros;2016;7
Bolos;Competiciones internacionales: Otros;2015;3
Bolos;Competiciones internacionales: Otros;2014;5
Bolos;Competiciones internacionales: Otros;2013;10
Bolos;Competiciones internacionales: Otros;2012;10
Bolos;Competiciones internacionales: Otros;2011;5
Bolos;Competiciones internacionales: Otros;2010;4
Bolos;Competiciones internacionales: Otros;2009;4
Bolos;Competiciones internacionales: Otros;2008;3
Bolos;Competiciones internacionales: Otros;2007;10
Bolos;Competiciones internacionales: Otros;2006;8
Bolos;Competiciones internacionales: Otros;2005;10
Boxeo;TOTAL;2024;28
Boxeo;TOTAL;2023;38
Boxeo;TOTAL;2022;33
Boxeo;TOTAL;2021;28
Boxeo;TOTAL;2020;18
Boxeo;TOTAL;2019;44
Boxeo;TOTAL;2018;50
Boxeo;TOTAL;2017;36
Boxeo;TOTAL;2016;28
Boxeo;TOTAL;2015;26
Boxeo;TOTAL;2014;22
Boxeo;TOTAL;2013;11
Boxeo;TOTAL;2012;12
Boxeo;TOTAL;2011;24
Boxeo;TOTAL;2010;15
Boxeo;TOTAL;2009;14
Boxeo;TOTAL;2008;12
Boxeo;TOTAL;2007;11
Boxeo;TOTAL;2006;11
Boxeo;TOTAL;2005;14
Boxeo;Competiciones estatales: Total;2024;10
Boxeo;Competiciones estatales: Total;2023;11
Boxeo;Competiciones estatales: Total;2022;11
Boxeo;Competiciones estatales: Total;2021;11
Boxeo;Competiciones estatales: Total;2020;6
Boxeo;Competiciones estatales: Total;2019;17
Boxeo;Competiciones estatales: Total;2018;16
Boxeo;Competiciones estatales: Total;2017;13
Boxeo;Competiciones estatales: Total;2016;7
Boxeo;Competiciones estatales: Total;2015;8
Boxeo;Competiciones estatales: Total;2014;5
Boxeo;Competiciones estatales: Total;2013;4
Boxeo;Competiciones estatales: Total;2012;1
Boxeo;Competiciones estatales: Total;2011;8
Boxeo;Competiciones estatales: Total;2010;3
Boxeo;Competiciones estatales: Total;2009;4
Boxeo;Competiciones estatales: Total;2008;2
Boxeo;Competiciones estatales: Total;2007;3
Boxeo;Competiciones estatales: Total;2006;3
Boxeo;Competiciones estatales: Total;2005;3
Boxeo;Competiciones estatales: Ligas;2024;0
Boxeo;Competiciones estatales: Ligas;2023;0
Boxeo;Competiciones estatales: Ligas;2022;1
Boxeo;Competiciones estatales: Ligas;2021;1
Boxeo;Competiciones estatales: Ligas;2020;2
Boxeo;Competiciones estatales: Ligas;2019;1
Boxeo;Competiciones estatales: Ligas;2018;1
Boxeo;Competiciones estatales: Ligas;2017;0
Boxeo;Competiciones estatales: Ligas;2016;0
Boxeo;Competiciones estatales: Ligas;2015;0
Boxeo;Competiciones estatales: Ligas;2014;0
Boxeo;Competiciones estatales: Ligas;2013;0
Boxeo;Competiciones estatales: Ligas;2012;0
Boxeo;Competiciones estatales: Ligas;2011;0
Boxeo;Competiciones estatales: Ligas;2010;0
Boxeo;Competiciones estatales: Ligas;2009;0
Boxeo;Competiciones estatales: Ligas;2008;0
Boxeo;Competiciones estatales: Ligas;2007;0
Boxeo;Competiciones estatales: Ligas;2006;0
Boxeo;Competiciones estatales: Ligas;2005;0
Boxeo;Competiciones estatales: Campeonatos de España;2024;10
Boxeo;Competiciones estatales: Campeonatos de España;2023;10
Boxeo;Competiciones estatales: Campeonatos de España;2022;8
Boxeo;Competiciones estatales: Campeonatos de España;2021;8
Boxeo;Competiciones estatales: Campeonatos de España;2020;2
Boxeo;Competiciones estatales: Campeonatos de España;2019;14
Boxeo;Competiciones estatales: Campeonatos de España;2018;13
Boxeo;Competiciones estatales: Campeonatos de España;2017;13
Boxeo;Competiciones estatales: Campeonatos de España;2016;7
Boxeo;Competiciones estatales: Campeonatos de España;2015;8
Boxeo;Competiciones estatales: Campeonatos de España;2014;4
Boxeo;Competiciones estatales: Campeonatos de España;2013;4
Boxeo;Competiciones estatales: Campeonatos de España;2012;1
Boxeo;Competiciones estatales: Campeonatos de España;2011;2
Boxeo;Competiciones estatales: Campeonatos de España;2010;3
Boxeo;Competiciones estatales: Campeonatos de España;2009;4
Boxeo;Competiciones estatales: Campeonatos de España;2008;2
Boxeo;Competiciones estatales: Campeonatos de España;2007;3
Boxeo;Competiciones estatales: Campeonatos de España;2006;3
Boxeo;Competiciones estatales: Campeonatos de España;2005;2
Boxeo;Competiciones estatales: Otros;2024;0
Boxeo;Competiciones estatales: Otros;2023;1
Boxeo;Competiciones estatales: Otros;2022;2
Boxeo;Competiciones estatales: Otros;2021;2
Boxeo;Competiciones estatales: Otros;2020;2
Boxeo;Competiciones estatales: Otros;2019;2
Boxeo;Competiciones estatales: Otros;2018;2
Boxeo;Competiciones estatales: Otros;2017;0
Boxeo;Competiciones estatales: Otros;2016;0
Boxeo;Competiciones estatales: Otros;2015;0
Boxeo;Competiciones estatales: Otros;2014;1
Boxeo;Competiciones estatales: Otros;2013;0
Boxeo;Competiciones estatales: Otros;2012;0
Boxeo;Competiciones estatales: Otros;2011;6
Boxeo;Competiciones estatales: Otros;2010;0
Boxeo;Competiciones estatales: Otros;2009;0
Boxeo;Competiciones estatales: Otros;2008;0
Boxeo;Competiciones estatales: Otros;2007;0
Boxeo;Competiciones estatales: Otros;2006;0
Boxeo;Competiciones estatales: Otros;2005;1
Boxeo;Competiciones internacionales: Total;2024;18
Boxeo;Competiciones internacionales: Total;2023;27
Boxeo;Competiciones internacionales: Total;2022;22
Boxeo;Competiciones internacionales: Total;2021;17
Boxeo;Competiciones internacionales: Total;2020;12
Boxeo;Competiciones internacionales: Total;2019;27
Boxeo;Competiciones internacionales: Total;2018;34
Boxeo;Competiciones internacionales: Total;2017;23
Boxeo;Competiciones internacionales: Total;2016;21
Boxeo;Competiciones internacionales: Total;2015;18
Boxeo;Competiciones internacionales: Total;2014;17
Boxeo;Competiciones internacionales: Total;2013;7
Boxeo;Competiciones internacionales: Total;2012;11
Boxeo;Competiciones internacionales: Total;2011;16
Boxeo;Competiciones internacionales: Total;2010;12
Boxeo;Competiciones internacionales: Total;2009;10
Boxeo;Competiciones internacionales: Total;2008;10
Boxeo;Competiciones internacionales: Total;2007;8
Boxeo;Competiciones internacionales: Total;2006;8
Boxeo;Competiciones internacionales: Total;2005;11
Boxeo;Competiciones internacionales: Campeonatos del mundo;2024;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2023;3
Boxeo;Competiciones internacionales: Campeonatos del mundo;2022;3
Boxeo;Competiciones internacionales: Campeonatos del mundo;2021;2
Boxeo;Competiciones internacionales: Campeonatos del mundo;2020;0
Boxeo;Competiciones internacionales: Campeonatos del mundo;2019;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2018;4
Boxeo;Competiciones internacionales: Campeonatos del mundo;2017;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2016;3
Boxeo;Competiciones internacionales: Campeonatos del mundo;2015;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2014;2
Boxeo;Competiciones internacionales: Campeonatos del mundo;2013;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2012;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2011;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2010;2
Boxeo;Competiciones internacionales: Campeonatos del mundo;2009;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2008;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2007;1
Boxeo;Competiciones internacionales: Campeonatos del mundo;2006;0
Boxeo;Competiciones internacionales: Campeonatos del mundo;2005;1
Boxeo;Competiciones internacionales: Campeonatos de Europa;2024;5
Boxeo;Competiciones internacionales: Campeonatos de Europa;2023;5
Boxeo;Competiciones internacionales: Campeonatos de Europa;2022;5
Boxeo;Competiciones internacionales: Campeonatos de Europa;2021;4
Boxeo;Competiciones internacionales: Campeonatos de Europa;2020;2
Boxeo;Competiciones internacionales: Campeonatos de Europa;2019;8
Boxeo;Competiciones internacionales: Campeonatos de Europa;2018;7
Boxeo;Competiciones internacionales: Campeonatos de Europa;2017;3
Boxeo;Competiciones internacionales: Campeonatos de Europa;2016;4
Boxeo;Competiciones internacionales: Campeonatos de Europa;2015;2
Boxeo;Competiciones internacionales: Campeonatos de Europa;2014;3
Boxeo;Competiciones internacionales: Campeonatos de Europa;2013;1
Boxeo;Competiciones internacionales: Campeonatos de Europa;2012;0
Boxeo;Competiciones internacionales: Campeonatos de Europa;2011;2
Boxeo;Competiciones internacionales: Campeonatos de Europa;2010;1
Boxeo;Competiciones internacionales: Campeonatos de Europa;2009;1
Boxeo;Competiciones internacionales: Campeonatos de Europa;2008;4
Boxeo;Competiciones internacionales: Campeonatos de Europa;2007;2
Boxeo;Competiciones internacionales: Campeonatos de Europa;2006;2
Boxeo;Competiciones internacionales: Campeonatos de Europa;2005;1
Boxeo;Competiciones internacionales: Otros;2024;12
Boxeo;Competiciones internacionales: Otros;2023;19
Boxeo;Competiciones internacionales: Otros;2022;14
Boxeo;Competiciones internacionales: Otros;2021;11
Boxeo;Competiciones internacionales: Otros;2020;10
Boxeo;Competiciones internacionales: Otros;2019;18
Boxeo;Competiciones internacionales: Otros;2018;23
Boxeo;Competiciones internacionales: Otros;2017;19
Boxeo;Competiciones internacionales: Otros;2016;14
Boxeo;Competiciones internacionales: Otros;2015;15
Boxeo;Competiciones internacionales: Otros;2014;12
Boxeo;Competiciones internacionales: Otros;2013;5
Boxeo;Competiciones internacionales: Otros;2012;10
Boxeo;Competiciones internacionales: Otros;2011;13
Boxeo;Competiciones internacionales: Otros;2010;9
Boxeo;Competiciones internacionales: Otros;2009;8
Boxeo;Competiciones internacionales: Otros;2008;5
Boxeo;Competiciones internacionales: Otros;2007;5
Boxeo;Competiciones internacionales: Otros;2006;6
Boxeo;Competiciones internacionales: Otros;2005;9
Caza;TOTAL;2024;44
Caza;TOTAL;2023;46
Caza;TOTAL;2022;45
Caza;TOTAL;2021;45
Caza;TOTAL;2020;1
Caza;TOTAL;2019;56
Caza;TOTAL;2018;29
Caza;TOTAL;2017;36
Caza;TOTAL;2016;18
Caza;TOTAL;2015;19
Caza;TOTAL;2014;35
Caza;TOTAL;2013;95
Caza;TOTAL;2012;96
Caza;TOTAL;2011;96
Caza;TOTAL;2010;84
Caza;TOTAL;2009;84
Caza;TOTAL;2008;76
Caza;TOTAL;2007;67
Caza;TOTAL;2006;53
Caza;TOTAL;2005;53
Caza;Competiciones estatales: Total;2024;29
Caza;Competiciones estatales: Total;2023;27
Caza;Competiciones estatales: Total;2022;29
Caza;Competiciones estatales: Total;2021;29
Caza;Competiciones estatales: Total;2020;1
Caza;Competiciones estatales: Total;2019;29
Caza;Competiciones estatales: Total;2018;17
Caza;Competiciones estatales: Total;2017;30
Caza;Competiciones estatales: Total;2016;15
Caza;Competiciones estatales: Total;2015;16
Caza;Competiciones estatales: Total;2014;14
Caza;Competiciones estatales: Total;2013;53
Caza;Competiciones estatales: Total;2012;53
Caza;Competiciones estatales: Total;2011;53
Caza;Competiciones estatales: Total;2010;41
Caza;Competiciones estatales: Total;2009;41
Caza;Competiciones estatales: Total;2008;38
Caza;Competiciones estatales: Total;2007;38
Caza;Competiciones estatales: Total;2006;24
Caza;Competiciones estatales: Total;2005;24
Caza;Competiciones estatales: Ligas;2024;0
Caza;Competiciones estatales: Ligas;2023;0
Caza;Competiciones estatales: Ligas;2022;0
Caza;Competiciones estatales: Ligas;2021;0
Caza;Competiciones estatales: Ligas;2020;0
Caza;Competiciones estatales: Ligas;2019;0
Caza;Competiciones estatales: Ligas;2018;0
Caza;Competiciones estatales: Ligas;2017;0
Caza;Competiciones estatales: Ligas;2016;0
Caza;Competiciones estatales: Ligas;2015;0
Caza;Competiciones estatales: Ligas;2014;0
Caza;Competiciones estatales: Ligas;2013;10
Caza;Competiciones estatales: Ligas;2012;10
Caza;Competiciones estatales: Ligas;2011;10
Caza;Competiciones estatales: Ligas;2010;10
Caza;Competiciones estatales: Ligas;2009;10
Caza;Competiciones estatales: Ligas;2008;6
Caza;Competiciones estatales: Ligas;2007;6
Caza;Competiciones estatales: Ligas;2006;0
Caza;Competiciones estatales: Ligas;2005;0
Caza;Competiciones estatales: Campeonatos de España;2024;21
Caza;Competiciones estatales: Campeonatos de España;2023;22
Caza;Competiciones estatales: Campeonatos de España;2022;21
Caza;Competiciones estatales: Campeonatos de España;2021;21
Caza;Competiciones estatales: Campeonatos de España;2020;1
Caza;Competiciones estatales: Campeonatos de España;2019;21
Caza;Competiciones estatales: Campeonatos de España;2018;17
Caza;Competiciones estatales: Campeonatos de España;2017;21
Caza;Competiciones estatales: Campeonatos de España;2016;15
Caza;Competiciones estatales: Campeonatos de España;2015;16
Caza;Competiciones estatales: Campeonatos de España;2014;14
Caza;Competiciones estatales: Campeonatos de España;2013;26
Caza;Competiciones estatales: Campeonatos de España;2012;26
Caza;Competiciones estatales: Campeonatos de España;2011;26
Caza;Competiciones estatales: Campeonatos de España;2010;24
Caza;Competiciones estatales: Campeonatos de España;2009;24
Caza;Competiciones estatales: Campeonatos de España;2008;25
Caza;Competiciones estatales: Campeonatos de España;2007;25
Caza;Competiciones estatales: Campeonatos de España;2006;21
Caza;Competiciones estatales: Campeonatos de España;2005;21
Caza;Competiciones estatales: Otros;2024;8
Caza;Competiciones estatales: Otros;2023;5
Caza;Competiciones estatales: Otros;2022;8
Caza;Competiciones estatales: Otros;2021;8
Caza;Competiciones estatales: Otros;2020;0
Caza;Competiciones estatales: Otros;2019;8
Caza;Competiciones estatales: Otros;2018;0
Caza;Competiciones estatales: Otros;2017;9
Caza;Competiciones estatales: Otros;2016;0
Caza;Competiciones estatales: Otros;2015;0
Caza;Competiciones estatales: Otros;2014;0
Caza;Competiciones estatales: Otros;2013;17
Caza;Competiciones estatales: Otros;2012;17
Caza;Competiciones estatales: Otros;2011;17
Caza;Competiciones estatales: Otros;2010;7
Caza;Competiciones estatales: Otros;2009;7
Caza;Competiciones estatales: Otros;2008;7
Caza;Competiciones estatales: Otros;2007;7
Caza;Competiciones estatales: Otros;2006;3
Caza;Competiciones estatales: Otros;2005;3
Caza;Competiciones internacionales: Total;2024;15
Caza;Competiciones internacionales: Total;2023;19
Caza;Competiciones internacionales: Total;2022;16
Caza;Competiciones internacionales: Total;2021;16
Caza;Competiciones internacionales: Total;2020;0
Caza;Competiciones internacionales: Total;2019;27
Caza;Competiciones internacionales: Total;2018;12
Caza;Competiciones internacionales: Total;2017;6
Caza;Competiciones internacionales: Total;2016;3
Caza;Competiciones internacionales: Total;2015;3
Caza;Competiciones internacionales: Total;2014;21
Caza;Competiciones internacionales: Total;2013;42
Caza;Competiciones internacionales: Total;2012;43
Caza;Competiciones internacionales: Total;2011;43
Caza;Competiciones internacionales: Total;2010;43
Caza;Competiciones internacionales: Total;2009;43
Caza;Competiciones internacionales: Total;2008;38
Caza;Competiciones internacionales: Total;2007;29
Caza;Competiciones internacionales: Total;2006;29
Caza;Competiciones internacionales: Total;2005;29
Caza;Competiciones internacionales: Campeonatos del mundo;2024;3
Caza;Competiciones internacionales: Campeonatos del mundo;2023;5
Caza;Competiciones internacionales: Campeonatos del mundo;2022;4
Caza;Competiciones internacionales: Campeonatos del mundo;2021;4
Caza;Competiciones internacionales: Campeonatos del mundo;2020;0
Caza;Competiciones internacionales: Campeonatos del mundo;2019;8
Caza;Competiciones internacionales: Campeonatos del mundo;2018;3
Caza;Competiciones internacionales: Campeonatos del mundo;2017;3
Caza;Competiciones internacionales: Campeonatos del mundo;2016;2
Caza;Competiciones internacionales: Campeonatos del mundo;2015;2
Caza;Competiciones internacionales: Campeonatos del mundo;2014;12
Caza;Competiciones internacionales: Campeonatos del mundo;2013;12
Caza;Competiciones internacionales: Campeonatos del mundo;2012;12
Caza;Competiciones internacionales: Campeonatos del mundo;2011;12
Caza;Competiciones internacionales: Campeonatos del mundo;2010;12
Caza;Competiciones internacionales: Campeonatos del mundo;2009;12
Caza;Competiciones internacionales: Campeonatos del mundo;2008;12
Caza;Competiciones internacionales: Campeonatos del mundo;2007;12
Caza;Competiciones internacionales: Campeonatos del mundo;2006;12
Caza;Competiciones internacionales: Campeonatos del mundo;2005;12
Caza;Competiciones internacionales: Campeonatos de Europa;2024;5
Caza;Competiciones internacionales: Campeonatos de Europa;2023;5
Caza;Competiciones internacionales: Campeonatos de Europa;2022;4
Caza;Competiciones internacionales: Campeonatos de Europa;2021;4
Caza;Competiciones internacionales: Campeonatos de Europa;2020;0
Caza;Competiciones internacionales: Campeonatos de Europa;2019;6
Caza;Competiciones internacionales: Campeonatos de Europa;2018;2
Caza;Competiciones internacionales: Campeonatos de Europa;2017;3
Caza;Competiciones internacionales: Campeonatos de Europa;2016;1
Caza;Competiciones internacionales: Campeonatos de Europa;2015;1
Caza;Competiciones internacionales: Campeonatos de Europa;2014;9
Caza;Competiciones internacionales: Campeonatos de Europa;2013;9
Caza;Competiciones internacionales: Campeonatos de Europa;2012;9
Caza;Competiciones internacionales: Campeonatos de Europa;2011;9
Caza;Competiciones internacionales: Campeonatos de Europa;2010;9
Caza;Competiciones internacionales: Campeonatos de Europa;2009;9
Caza;Competiciones internacionales: Campeonatos de Europa;2008;9
Caza;Competiciones internacionales: Campeonatos de Europa;2007;9
Caza;Competiciones internacionales: Campeonatos de Europa;2006;9
Caza;Competiciones internacionales: Campeonatos de Europa;2005;9
Caza;Competiciones internacionales: Otros;2024;7
Caza;Competiciones internacionales: Otros;2023;9
Caza;Competiciones internacionales: Otros;2022;8
Caza;Competiciones internacionales: Otros;2021;8
Caza;Competiciones internacionales: Otros;2020;0
Caza;Competiciones internacionales: Otros;2019;13
Caza;Competiciones internacionales: Otros;2018;7
Caza;Competiciones internacionales: Otros;2017;0
Caza;Competiciones internacionales: Otros;2016;0
Caza;Competiciones internacionales: Otros;2015;0
Caza;Competiciones internacionales: Otros;2014;0
Caza;Competiciones internacionales: Otros;2013;21
Caza;Competiciones internacionales: Otros;2012;22
Caza;Competiciones internacionales: Otros;2011;22
Caza;Competiciones internacionales: Otros;2010;22
Caza;Competiciones internacionales: Otros;2009;22
Caza;Competiciones internacionales: Otros;2008;17
Caza;Competiciones internacionales: Otros;2007;8
Caza;Competiciones internacionales: Otros;2006;8
Caza;Competiciones internacionales: Otros;2005;8
Ciclismo;TOTAL;2024;149
Ciclismo;TOTAL;2023;148
Ciclismo;TOTAL;2022;138
Ciclismo;TOTAL;2021;115
Ciclismo;TOTAL;2020;66
Ciclismo;TOTAL;2019;153
Ciclismo;TOTAL;2018;130
Ciclismo;TOTAL;2017;125
Ciclismo;TOTAL;2016;123
Ciclismo;TOTAL;2015;110
Ciclismo;TOTAL;2014;87
Ciclismo;TOTAL;2013;70
Ciclismo;TOTAL;2012;74
Ciclismo;TOTAL;2011;71
Ciclismo;TOTAL;2010;63
Ciclismo;TOTAL;2009;56
Ciclismo;TOTAL;2008;65
Ciclismo;TOTAL;2007;72
Ciclismo;TOTAL;2006;68
Ciclismo;TOTAL;2005;77
Ciclismo;Competiciones estatales: Total;2024;47
Ciclismo;Competiciones estatales: Total;2023;47
Ciclismo;Competiciones estatales: Total;2022;47
Ciclismo;Competiciones estatales: Total;2021;47
Ciclismo;Competiciones estatales: Total;2020;39
Ciclismo;Competiciones estatales: Total;2019;61
Ciclismo;Competiciones estatales: Total;2018;59
Ciclismo;Competiciones estatales: Total;2017;56
Ciclismo;Competiciones estatales: Total;2016;57
Ciclismo;Competiciones estatales: Total;2015;37
Ciclismo;Competiciones estatales: Total;2014;35
Ciclismo;Competiciones estatales: Total;2013;24
Ciclismo;Competiciones estatales: Total;2012;22
Ciclismo;Competiciones estatales: Total;2011;21
Ciclismo;Competiciones estatales: Total;2010;21
Ciclismo;Competiciones estatales: Total;2009;16
Ciclismo;Competiciones estatales: Total;2008;23
Ciclismo;Competiciones estatales: Total;2007;24
Ciclismo;Competiciones estatales: Total;2006;30
Ciclismo;Competiciones estatales: Total;2005;30
Ciclismo;Competiciones estatales: Ligas;2024;0
Ciclismo;Competiciones estatales: Ligas;2023;0
Ciclismo;Competiciones estatales: Ligas;2022;0
Ciclismo;Competiciones estatales: Ligas;2021;0
Ciclismo;Competiciones estatales: Ligas;2020;0
Ciclismo;Competiciones estatales: Ligas;2019;21
Ciclismo;Competiciones estatales: Ligas;2018;21
Ciclismo;Competiciones estatales: Ligas;2017;20
Ciclismo;Competiciones estatales: Ligas;2016;20
Ciclismo;Competiciones estatales: Ligas;2015;0
Ciclismo;Competiciones estatales: Ligas;2014;0
Ciclismo;Competiciones estatales: Ligas;2013;0
Ciclismo;Competiciones estatales: Ligas;2012;0
Ciclismo;Competiciones estatales: Ligas;2011;13
Ciclismo;Competiciones estatales: Ligas;2010;13
Ciclismo;Competiciones estatales: Ligas;2009;0
Ciclismo;Competiciones estatales: Ligas;2008;1
Ciclismo;Competiciones estatales: Ligas;2007;2
Ciclismo;Competiciones estatales: Ligas;2006;2
Ciclismo;Competiciones estatales: Ligas;2005;2
Ciclismo;Competiciones estatales: Campeonatos de España;2024;26
Ciclismo;Competiciones estatales: Campeonatos de España;2023;26
Ciclismo;Competiciones estatales: Campeonatos de España;2022;26
Ciclismo;Competiciones estatales: Campeonatos de España;2021;26
Ciclismo;Competiciones estatales: Campeonatos de España;2020;24
Ciclismo;Competiciones estatales: Campeonatos de España;2019;23
Ciclismo;Competiciones estatales: Campeonatos de España;2018;21
Ciclismo;Competiciones estatales: Campeonatos de España;2017;20
Ciclismo;Competiciones estatales: Campeonatos de España;2016;20
Ciclismo;Competiciones estatales: Campeonatos de España;2015;20
Ciclismo;Competiciones estatales: Campeonatos de España;2014;19
Ciclismo;Competiciones estatales: Campeonatos de España;2013;14
Ciclismo;Competiciones estatales: Campeonatos de España;2012;13
Ciclismo;Competiciones estatales: Campeonatos de España;2011;0
Ciclismo;Competiciones estatales: Campeonatos de España;2010;0
Ciclismo;Competiciones estatales: Campeonatos de España;2009;8
Ciclismo;Competiciones estatales: Campeonatos de España;2008;12
