Federación;Competiciones;periodo;Total
TOTAL;Competiciones internacionales: Campeonatos del mundo;2020;76
TOTAL;Competiciones internacionales: Campeonatos del mundo;2019;428
TOTAL;Competiciones internacionales: Campeonatos del mundo;2018;369
TOTAL;Competiciones internacionales: Campeonatos del mundo;2017;368
TOTAL;Competiciones internacionales: Campeonatos del mundo;2016;347
TOTAL;Competiciones internacionales: Campeonatos del mundo;2015;352
TOTAL;Competiciones internacionales: Campeonatos del mundo;2014;352
TOTAL;Competiciones internacionales: Campeonatos del mundo;2013;313
TOTAL;Competiciones internacionales: Campeonatos del mundo;2012;307
TOTAL;Competiciones internacionales: Campeonatos del mundo;2011;315
TOTAL;Competiciones internacionales: Campeonatos del mundo;2010;332
TOTAL;Competiciones internacionales: Campeonatos del mundo;2009;386
TOTAL;Competiciones internacionales: Campeonatos del mundo;2008;306
TOTAL;Competiciones internacionales: Campeonatos del mundo;2007;277
TOTAL;Competiciones internacionales: Campeonatos del mundo;2006;268
TOTAL;Competiciones internacionales: Campeonatos del mundo;2005;256
TOTAL;Competiciones internacionales: Campeonatos de Europa;2024;494
TOTAL;Competiciones internacionales: Campeonatos de Europa;2023;473
TOTAL;Competiciones internacionales: Campeonatos de Europa;2022;501
TOTAL;Competiciones internacionales: Campeonatos de Europa;2021;373
TOTAL;Competiciones internacionales: Campeonatos de Europa;2020;117
TOTAL;Competiciones internacionales: Campeonatos de Europa;2019;499
TOTAL;Competiciones internacionales: Campeonatos de Europa;2018;393
TOTAL;Competiciones internacionales: Campeonatos de Europa;2017;382
TOTAL;Competiciones internacionales: Campeonatos de Europa;2016;391
TOTAL;Competiciones internacionales: Campeonatos de Europa;2015;354
TOTAL;Competiciones internacionales: Campeonatos de Europa;2014;322
TOTAL;Competiciones internacionales: Campeonatos de Europa;2013;322
TOTAL;Competiciones internacionales: Campeonatos de Europa;2012;323
TOTAL;Competiciones internacionales: Campeonatos de Europa;2011;327
TOTAL;Competiciones internacionales: Campeonatos de Europa;2010;294
TOTAL;Competiciones internacionales: Campeonatos de Europa;2009;331
TOTAL;Competiciones internacionales: Campeonatos de Europa;2008;360
TOTAL;Competiciones internacionales: Campeonatos de Europa;2007;310
TOTAL;Competiciones internacionales: Campeonatos de Europa;2006;296
TOTAL;Competiciones internacionales: Campeonatos de Europa;2005;280
TOTAL;Competiciones internacionales: Otros;2024;2.113
TOTAL;Competiciones internacionales: Otros;2023;2.182
TOTAL;Competiciones internacionales: Otros;2022;1.948
