Federación;Indicador;Medallas;periodo;Total
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;93
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;72
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;88
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;75
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;74
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;55
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;158
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;184
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;113
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;186
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;27
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;159
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;101
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;123
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;124
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;81
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;89
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;78
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;93
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;90
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;78
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;80
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;61
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;84
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;68
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;55
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;187
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;175
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;116
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;180
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;26
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;169
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;122
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;127
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;114
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;94
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;97
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;88
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;101
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;94
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;76
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;79
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;92
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;44
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;82
TOTAL;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;64
TOTAL;Campeonatos de Europa;TOTAL;2024;412
TOTAL;Campeonatos de Europa;TOTAL;2023;602
TOTAL;Campeonatos de Europa;TOTAL;2022;300
TOTAL;Campeonatos de Europa;TOTAL;2021;496
TOTAL;Campeonatos de Europa;TOTAL;2020;60
TOTAL;Campeonatos de Europa;TOTAL;2019;500
TOTAL;Campeonatos de Europa;TOTAL;2018;489
TOTAL;Campeonatos de Europa;TOTAL;2017;439
TOTAL;Campeonatos de Europa;TOTAL;2016;397
TOTAL;Campeonatos de Europa;TOTAL;2015;397
TOTAL;Campeonatos de Europa;TOTAL;2014;313
TOTAL;Campeonatos de Europa;TOTAL;2013;350
TOTAL;Campeonatos de Europa;TOTAL;2012;284
TOTAL;Campeonatos de Europa;TOTAL;2011;336
TOTAL;Campeonatos de Europa;TOTAL;2010;286
TOTAL;Campeonatos de Europa;TOTAL;2009;325
TOTAL;Campeonatos de Europa;TOTAL;2008;283
TOTAL;Campeonatos de Europa;TOTAL;2007;309
TOTAL;Campeonatos de Europa;TOTAL;2006;287
TOTAL;Campeonatos de Europa;TOTAL;2005;289
TOTAL;Campeonatos de Europa;Oro;2024;131
TOTAL;Campeonatos de Europa;Oro;2023;169
TOTAL;Campeonatos de Europa;Oro;2022;91
TOTAL;Campeonatos de Europa;Oro;2021;151
TOTAL;Campeonatos de Europa;Oro;2020;17
TOTAL;Campeonatos de Europa;Oro;2019;144
TOTAL;Campeonatos de Europa;Oro;2018;157
TOTAL;Campeonatos de Europa;Oro;2017;121
TOTAL;Campeonatos de Europa;Oro;2016;133
TOTAL;Campeonatos de Europa;Oro;2015;115
TOTAL;Campeonatos de Europa;Oro;2014;91
TOTAL;Campeonatos de Europa;Oro;2013;97
TOTAL;Campeonatos de Europa;Oro;2012;94
TOTAL;Campeonatos de Europa;Oro;2011;100
TOTAL;Campeonatos de Europa;Oro;2010;91
TOTAL;Campeonatos de Europa;Oro;2009;101
TOTAL;Campeonatos de Europa;Oro;2008;88
TOTAL;Campeonatos de Europa;Oro;2007;99
TOTAL;Campeonatos de Europa;Oro;2006;92
TOTAL;Campeonatos de Europa;Oro;2005;74
TOTAL;Campeonatos de Europa;Plata;2024;138
TOTAL;Campeonatos de Europa;Plata;2023;210
TOTAL;Campeonatos de Europa;Plata;2022;111
TOTAL;Campeonatos de Europa;Plata;2021;165
TOTAL;Campeonatos de Europa;Plata;2020;15
TOTAL;Campeonatos de Europa;Plata;2019;156
TOTAL;Campeonatos de Europa;Plata;2018;141
TOTAL;Campeonatos de Europa;Plata;2017;147
TOTAL;Campeonatos de Europa;Plata;2016;129
TOTAL;Campeonatos de Europa;Plata;2015;122
TOTAL;Campeonatos de Europa;Plata;2014;106
TOTAL;Campeonatos de Europa;Plata;2013;99
TOTAL;Campeonatos de Europa;Plata;2012;99
TOTAL;Campeonatos de Europa;Plata;2011;115
TOTAL;Campeonatos de Europa;Plata;2010;91
TOTAL;Campeonatos de Europa;Plata;2009;100
TOTAL;Campeonatos de Europa;Plata;2008;91
TOTAL;Campeonatos de Europa;Plata;2007;100
TOTAL;Campeonatos de Europa;Plata;2006;81
TOTAL;Campeonatos de Europa;Plata;2005;98
TOTAL;Campeonatos de Europa;Bronce;2024;143
TOTAL;Campeonatos de Europa;Bronce;2023;223
TOTAL;Campeonatos de Europa;Bronce;2022;98
TOTAL;Campeonatos de Europa;Bronce;2021;180
TOTAL;Campeonatos de Europa;Bronce;2020;28
TOTAL;Campeonatos de Europa;Bronce;2019;200
TOTAL;Campeonatos de Europa;Bronce;2018;191
TOTAL;Campeonatos de Europa;Bronce;2017;171
TOTAL;Campeonatos de Europa;Bronce;2016;135
TOTAL;Campeonatos de Europa;Bronce;2015;160
TOTAL;Campeonatos de Europa;Bronce;2014;116
TOTAL;Campeonatos de Europa;Bronce;2013;154
TOTAL;Campeonatos de Europa;Bronce;2012;91
TOTAL;Campeonatos de Europa;Bronce;2011;121
TOTAL;Campeonatos de Europa;Bronce;2010;104
TOTAL;Campeonatos de Europa;Bronce;2009;124
TOTAL;Campeonatos de Europa;Bronce;2008;104
TOTAL;Campeonatos de Europa;Bronce;2007;110
TOTAL;Campeonatos de Europa;Bronce;2006;114
TOTAL;Campeonatos de Europa;Bronce;2005;117
Actividades Subacuáticas;TOTAL;TOTAL;2024;34
Actividades Subacuáticas;TOTAL;TOTAL;2023;14
Actividades Subacuáticas;TOTAL;TOTAL;2022;0
Actividades Subacuáticas;TOTAL;TOTAL;2021;13
Actividades Subacuáticas;TOTAL;TOTAL;2020;0
Actividades Subacuáticas;TOTAL;TOTAL;2019;10
Actividades Subacuáticas;TOTAL;TOTAL;2018;2
