Federación;Indicador;Medallas;periodo;Total
Billar;Campeonatos de Europa;Plata;2017;2
Billar;Campeonatos de Europa;Plata;2016;1
Billar;Campeonatos de Europa;Plata;2015;2
Billar;Campeonatos de Europa;Plata;2014;1
Billar;Campeonatos de Europa;Plata;2013;1
Billar;Campeonatos de Europa;Plata;2012;0
Billar;Campeonatos de Europa;Plata;2011;1
Billar;Campeonatos de Europa;Plata;2010;0
Billar;Campeonatos de Europa;Plata;2009;3
Billar;Campeonatos de Europa;Plata;2008;1
Billar;Campeonatos de Europa;Plata;2007;0
Billar;Campeonatos de Europa;Plata;2006;0
Billar;Campeonatos de Europa;Plata;2005;1
Billar;Campeonatos de Europa;Bronce;2024;7
Billar;Campeonatos de Europa;Bronce;2023;6
Billar;Campeonatos de Europa;Bronce;2022;3
Billar;Campeonatos de Europa;Bronce;2021;2
Billar;Campeonatos de Europa;Bronce;2020;1
Billar;Campeonatos de Europa;Bronce;2019;4
Billar;Campeonatos de Europa;Bronce;2018;2
Billar;Campeonatos de Europa;Bronce;2017;10
Billar;Campeonatos de Europa;Bronce;2016;2
Billar;Campeonatos de Europa;Bronce;2015;3
Billar;Campeonatos de Europa;Bronce;2014;0
Billar;Campeonatos de Europa;Bronce;2013;3
Billar;Campeonatos de Europa;Bronce;2012;3
Billar;Campeonatos de Europa;Bronce;2011;5
Billar;Campeonatos de Europa;Bronce;2010;4
Billar;Campeonatos de Europa;Bronce;2009;3
Billar;Campeonatos de Europa;Bronce;2008;4
Billar;Campeonatos de Europa;Bronce;2007;5
Billar;Campeonatos de Europa;Bronce;2006;1
Billar;Campeonatos de Europa;Bronce;2005;2
Bolos;TOTAL;TOTAL;2024;0
Bolos;TOTAL;TOTAL;2023;0
Bolos;TOTAL;TOTAL;2022;0
Bolos;TOTAL;TOTAL;2021;0
Bolos;TOTAL;TOTAL;2020;0
Bolos;TOTAL;TOTAL;2019;1
Bolos;TOTAL;TOTAL;2018;0
Bolos;TOTAL;TOTAL;2017;0
Bolos;TOTAL;TOTAL;2016;0
Bolos;TOTAL;TOTAL;2015;0
Bolos;TOTAL;TOTAL;2014;0
Bolos;TOTAL;TOTAL;2013;3
Bolos;TOTAL;TOTAL;2012;0
Bolos;TOTAL;TOTAL;2011;0
Bolos;TOTAL;TOTAL;2010;0
Bolos;TOTAL;TOTAL;2009;0
Bolos;TOTAL;TOTAL;2008;0
Bolos;TOTAL;TOTAL;2007;0
Bolos;TOTAL;TOTAL;2006;0
Bolos;TOTAL;TOTAL;2005;0
Bolos;TOTAL;Oro;2024;0
Bolos;TOTAL;Oro;2023;0
Bolos;TOTAL;Oro;2022;0
Bolos;TOTAL;Oro;2021;0
Bolos;TOTAL;Oro;2020;0
Bolos;TOTAL;Oro;2019;0
Bolos;TOTAL;Oro;2018;0
Bolos;TOTAL;Oro;2017;0
Bolos;TOTAL;Oro;2016;0
Bolos;TOTAL;Oro;2015;0
Bolos;TOTAL;Oro;2014;0
Bolos;TOTAL;Oro;2013;1
Bolos;TOTAL;Oro;2012;0
Bolos;TOTAL;Oro;2011;0
Bolos;TOTAL;Oro;2010;0
Bolos;TOTAL;Oro;2009;0
Bolos;TOTAL;Oro;2008;0
Bolos;TOTAL;Oro;2007;0
Bolos;TOTAL;Oro;2006;0
Bolos;TOTAL;Oro;2005;0
Bolos;TOTAL;Plata;2024;0
Bolos;TOTAL;Plata;2023;0
Bolos;TOTAL;Plata;2022;0
Bolos;TOTAL;Plata;2021;0
Bolos;TOTAL;Plata;2020;0
Bolos;TOTAL;Plata;2019;0
Bolos;TOTAL;Plata;2018;0
Bolos;TOTAL;Plata;2017;0
Bolos;TOTAL;Plata;2016;0
Bolos;TOTAL;Plata;2015;0
Bolos;TOTAL;Plata;2014;0
Bolos;TOTAL;Plata;2013;0
Bolos;TOTAL;Plata;2012;0
Bolos;TOTAL;Plata;2011;0
Bolos;TOTAL;Plata;2010;0
Bolos;TOTAL;Plata;2009;0
Bolos;TOTAL;Plata;2008;0
Bolos;TOTAL;Plata;2007;0
Bolos;TOTAL;Plata;2006;0
Bolos;TOTAL;Plata;2005;0
Bolos;TOTAL;Bronce;2024;0
Bolos;TOTAL;Bronce;2023;0
Bolos;TOTAL;Bronce;2022;0
Bolos;TOTAL;Bronce;2021;0
Bolos;TOTAL;Bronce;2020;0
Bolos;TOTAL;Bronce;2019;1
Bolos;TOTAL;Bronce;2018;0
Bolos;TOTAL;Bronce;2017;0
Bolos;TOTAL;Bronce;2016;0
Bolos;TOTAL;Bronce;2015;0
Bolos;TOTAL;Bronce;2014;0
Bolos;TOTAL;Bronce;2013;2
Bolos;TOTAL;Bronce;2012;0
Bolos;TOTAL;Bronce;2011;0
Bolos;TOTAL;Bronce;2010;0
Bolos;TOTAL;Bronce;2009;0
Bolos;TOTAL;Bronce;2008;0
Bolos;TOTAL;Bronce;2007;0
Bolos;TOTAL;Bronce;2006;0
Bolos;TOTAL;Bronce;2005;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;0
Bolos;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;0
Bolos;Campeonatos de Europa;TOTAL;2024;0
Bolos;Campeonatos de Europa;TOTAL;2023;0
Bolos;Campeonatos de Europa;TOTAL;2022;0
Bolos;Campeonatos de Europa;TOTAL;2021;0
Bolos;Campeonatos de Europa;TOTAL;2020;0
Bolos;Campeonatos de Europa;TOTAL;2019;1
Bolos;Campeonatos de Europa;TOTAL;2018;0
Bolos;Campeonatos de Europa;TOTAL;2017;0
Bolos;Campeonatos de Europa;TOTAL;2016;0
Bolos;Campeonatos de Europa;TOTAL;2015;0
Bolos;Campeonatos de Europa;TOTAL;2014;0
Bolos;Campeonatos de Europa;TOTAL;2013;3
Bolos;Campeonatos de Europa;TOTAL;2012;0
Bolos;Campeonatos de Europa;TOTAL;2011;0
Bolos;Campeonatos de Europa;TOTAL;2010;0
Bolos;Campeonatos de Europa;TOTAL;2009;0
Bolos;Campeonatos de Europa;TOTAL;2008;0
Bolos;Campeonatos de Europa;TOTAL;2007;0
Bolos;Campeonatos de Europa;TOTAL;2006;0
Bolos;Campeonatos de Europa;TOTAL;2005;0
Bolos;Campeonatos de Europa;Oro;2024;0
Bolos;Campeonatos de Europa;Oro;2023;0
Bolos;Campeonatos de Europa;Oro;2022;0
Bolos;Campeonatos de Europa;Oro;2021;0
Bolos;Campeonatos de Europa;Oro;2020;0
Bolos;Campeonatos de Europa;Oro;2019;0
Bolos;Campeonatos de Europa;Oro;2018;0
Bolos;Campeonatos de Europa;Oro;2017;0
Bolos;Campeonatos de Europa;Oro;2016;0
Bolos;Campeonatos de Europa;Oro;2015;0
Bolos;Campeonatos de Europa;Oro;2014;0
Bolos;Campeonatos de Europa;Oro;2013;1
Bolos;Campeonatos de Europa;Oro;2012;0
Bolos;Campeonatos de Europa;Oro;2011;0
Bolos;Campeonatos de Europa;Oro;2010;0
Bolos;Campeonatos de Europa;Oro;2009;0
Bolos;Campeonatos de Europa;Oro;2008;0
Bolos;Campeonatos de Europa;Oro;2007;0
Bolos;Campeonatos de Europa;Oro;2006;0
Bolos;Campeonatos de Europa;Oro;2005;0
Bolos;Campeonatos de Europa;Plata;2024;0
Bolos;Campeonatos de Europa;Plata;2023;0
Bolos;Campeonatos de Europa;Plata;2022;0
Bolos;Campeonatos de Europa;Plata;2021;0
Bolos;Campeonatos de Europa;Plata;2020;0
Bolos;Campeonatos de Europa;Plata;2019;0
Bolos;Campeonatos de Europa;Plata;2018;0
Bolos;Campeonatos de Europa;Plata;2017;0
Bolos;Campeonatos de Europa;Plata;2016;0
Bolos;Campeonatos de Europa;Plata;2015;0
Bolos;Campeonatos de Europa;Plata;2014;0
Bolos;Campeonatos de Europa;Plata;2013;0
Bolos;Campeonatos de Europa;Plata;2012;0
Bolos;Campeonatos de Europa;Plata;2011;0
Bolos;Campeonatos de Europa;Plata;2010;0
Bolos;Campeonatos de Europa;Plata;2009;0
Bolos;Campeonatos de Europa;Plata;2008;0
Bolos;Campeonatos de Europa;Plata;2007;0
Bolos;Campeonatos de Europa;Plata;2006;0
Bolos;Campeonatos de Europa;Plata;2005;0
Bolos;Campeonatos de Europa;Bronce;2024;0
Bolos;Campeonatos de Europa;Bronce;2023;0
Bolos;Campeonatos de Europa;Bronce;2022;0
Bolos;Campeonatos de Europa;Bronce;2021;0
Bolos;Campeonatos de Europa;Bronce;2020;0
Bolos;Campeonatos de Europa;Bronce;2019;1
Bolos;Campeonatos de Europa;Bronce;2018;0
Bolos;Campeonatos de Europa;Bronce;2017;0
Bolos;Campeonatos de Europa;Bronce;2016;0
Bolos;Campeonatos de Europa;Bronce;2015;0
Bolos;Campeonatos de Europa;Bronce;2014;0
Bolos;Campeonatos de Europa;Bronce;2013;2
Bolos;Campeonatos de Europa;Bronce;2012;0
Bolos;Campeonatos de Europa;Bronce;2011;0
Bolos;Campeonatos de Europa;Bronce;2010;0
Bolos;Campeonatos de Europa;Bronce;2009;0
Bolos;Campeonatos de Europa;Bronce;2008;0
Bolos;Campeonatos de Europa;Bronce;2007;0
Bolos;Campeonatos de Europa;Bronce;2006;0
Bolos;Campeonatos de Europa;Bronce;2005;0
Boxeo;TOTAL;TOTAL;2024;5
Boxeo;TOTAL;TOTAL;2023;6
Boxeo;TOTAL;TOTAL;2022;10
Boxeo;TOTAL;TOTAL;2021;9
Boxeo;TOTAL;TOTAL;2020;3
Boxeo;TOTAL;TOTAL;2019;1
Boxeo;TOTAL;TOTAL;2018;2
Boxeo;TOTAL;TOTAL;2017;4
Boxeo;TOTAL;TOTAL;2016;0
Boxeo;TOTAL;TOTAL;2015;2
Boxeo;TOTAL;TOTAL;2014;0
Boxeo;TOTAL;TOTAL;2013;1
Boxeo;TOTAL;TOTAL;2012;0
Boxeo;TOTAL;TOTAL;2011;0
Boxeo;TOTAL;TOTAL;2010;1
Boxeo;TOTAL;TOTAL;2009;0
Boxeo;TOTAL;TOTAL;2008;1
Boxeo;TOTAL;TOTAL;2007;0
Boxeo;TOTAL;TOTAL;2006;0
Boxeo;TOTAL;TOTAL;2005;0
Boxeo;TOTAL;Oro;2024;1
Boxeo;TOTAL;Oro;2023;1
Boxeo;TOTAL;Oro;2022;1
Boxeo;TOTAL;Oro;2021;1
Boxeo;TOTAL;Oro;2020;0
Boxeo;TOTAL;Oro;2019;1
Boxeo;TOTAL;Oro;2018;0
Boxeo;TOTAL;Oro;2017;0
Boxeo;TOTAL;Oro;2016;0
Boxeo;TOTAL;Oro;2015;0
Boxeo;TOTAL;Oro;2014;0
Boxeo;TOTAL;Oro;2013;1
Boxeo;TOTAL;Oro;2012;0
Boxeo;TOTAL;Oro;2011;0
Boxeo;TOTAL;Oro;2010;0
Boxeo;TOTAL;Oro;2009;0
Boxeo;TOTAL;Oro;2008;0
Boxeo;TOTAL;Oro;2007;0
Boxeo;TOTAL;Oro;2006;0
Boxeo;TOTAL;Oro;2005;0
Boxeo;TOTAL;Plata;2024;1
Boxeo;TOTAL;Plata;2023;2
Boxeo;TOTAL;Plata;2022;3
Boxeo;TOTAL;Plata;2021;3
Boxeo;TOTAL;Plata;2020;1
Boxeo;TOTAL;Plata;2019;0
Boxeo;TOTAL;Plata;2018;1
Boxeo;TOTAL;Plata;2017;2
Boxeo;TOTAL;Plata;2016;0
Boxeo;TOTAL;Plata;2015;0
Boxeo;TOTAL;Plata;2014;0
Boxeo;TOTAL;Plata;2013;0
Boxeo;TOTAL;Plata;2012;0
Boxeo;TOTAL;Plata;2011;0
Boxeo;TOTAL;Plata;2010;0
Boxeo;TOTAL;Plata;2009;0
Boxeo;TOTAL;Plata;2008;1
Boxeo;TOTAL;Plata;2007;0
Boxeo;TOTAL;Plata;2006;0
Boxeo;TOTAL;Plata;2005;0
Boxeo;TOTAL;Bronce;2024;3
Boxeo;TOTAL;Bronce;2023;3
Boxeo;TOTAL;Bronce;2022;6
Boxeo;TOTAL;Bronce;2021;5
Boxeo;TOTAL;Bronce;2020;2
Boxeo;TOTAL;Bronce;2019;0
Boxeo;TOTAL;Bronce;2018;1
Boxeo;TOTAL;Bronce;2017;2
Boxeo;TOTAL;Bronce;2016;0
Boxeo;TOTAL;Bronce;2015;2
Boxeo;TOTAL;Bronce;2014;0
Boxeo;TOTAL;Bronce;2013;0
Boxeo;TOTAL;Bronce;2012;0
Boxeo;TOTAL;Bronce;2011;0
Boxeo;TOTAL;Bronce;2010;1
Boxeo;TOTAL;Bronce;2009;0
Boxeo;TOTAL;Bronce;2008;0
Boxeo;TOTAL;Bronce;2007;0
Boxeo;TOTAL;Bronce;2006;0
Boxeo;TOTAL;Bronce;2005;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;2
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;3
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;3
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;1
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;0
Boxeo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;0
Boxeo;Campeonatos de Europa;TOTAL;2024;3
Boxeo;Campeonatos de Europa;TOTAL;2023;3
Boxeo;Campeonatos de Europa;TOTAL;2022;9
Boxeo;Campeonatos de Europa;TOTAL;2021;8
Boxeo;Campeonatos de Europa;TOTAL;2020;3
Boxeo;Campeonatos de Europa;TOTAL;2019;1
Boxeo;Campeonatos de Europa;TOTAL;2018;2
Boxeo;Campeonatos de Europa;TOTAL;2017;4
Boxeo;Campeonatos de Europa;TOTAL;2016;0
Boxeo;Campeonatos de Europa;TOTAL;2015;2
Boxeo;Campeonatos de Europa;TOTAL;2014;0
Boxeo;Campeonatos de Europa;TOTAL;2013;0
Boxeo;Campeonatos de Europa;TOTAL;2012;0
Boxeo;Campeonatos de Europa;TOTAL;2011;0
Boxeo;Campeonatos de Europa;TOTAL;2010;1
Boxeo;Campeonatos de Europa;TOTAL;2009;0
Boxeo;Campeonatos de Europa;TOTAL;2008;1
Boxeo;Campeonatos de Europa;TOTAL;2007;0
Boxeo;Campeonatos de Europa;TOTAL;2006;0
Boxeo;Campeonatos de Europa;TOTAL;2005;0
Boxeo;Campeonatos de Europa;Oro;2024;1
Boxeo;Campeonatos de Europa;Oro;2023;1
Boxeo;Campeonatos de Europa;Oro;2022;1
Boxeo;Campeonatos de Europa;Oro;2021;1
Boxeo;Campeonatos de Europa;Oro;2020;0
Boxeo;Campeonatos de Europa;Oro;2019;1
Boxeo;Campeonatos de Europa;Oro;2018;0
Boxeo;Campeonatos de Europa;Oro;2017;0
Boxeo;Campeonatos de Europa;Oro;2016;0
Boxeo;Campeonatos de Europa;Oro;2015;0
Boxeo;Campeonatos de Europa;Oro;2014;0
Boxeo;Campeonatos de Europa;Oro;2013;0
Boxeo;Campeonatos de Europa;Oro;2012;0
Boxeo;Campeonatos de Europa;Oro;2011;0
Boxeo;Campeonatos de Europa;Oro;2010;0
Boxeo;Campeonatos de Europa;Oro;2009;0
Boxeo;Campeonatos de Europa;Oro;2008;0
Boxeo;Campeonatos de Europa;Oro;2007;0
Boxeo;Campeonatos de Europa;Oro;2006;0
Boxeo;Campeonatos de Europa;Oro;2005;0
Boxeo;Campeonatos de Europa;Plata;2024;0
