Federación;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;2024;78.690
TOTAL;TOTAL;2023;77.144
TOTAL;TOTAL;2022;76.502
TOTAL;TOTAL;2021;76.214
TOTAL;TOTAL;2020;74.459
TOTAL;TOTAL;2019;75.455
TOTAL;TOTAL;2018;78.691
TOTAL;TOTAL;2017;67.030
TOTAL;TOTAL;2016;66.004
TOTAL;TOTAL;2015;65.711
TOTAL;TOTAL;2014;65.005
TOTAL;TOTAL;2013;62.363
TOTAL;TOTAL;2012;62.346
TOTAL;TOTAL;2011;60.262
TOTAL;TOTAL;2010;59.531
TOTAL;TOTAL;2009;58.342
TOTAL;TOTAL;2008;57.752
TOTAL;TOTAL;2007;57.231
TOTAL;Andalucía;2024;13.026
TOTAL;Andalucía;2023;12.707
TOTAL;Andalucía;2022;12.550
TOTAL;Andalucía;2021;12.018
TOTAL;Andalucía;2020;11.764
TOTAL;Andalucía;2019;12.072
TOTAL;Andalucía;2018;13.363
TOTAL;Andalucía;2017;11.658
TOTAL;Andalucía;2016;11.935
TOTAL;Andalucía;2015;11.381
TOTAL;Andalucía;2014;11.693
TOTAL;Andalucía;2013;11.023
TOTAL;Andalucía;2012;10.901
TOTAL;Andalucía;2011;10.707
TOTAL;Andalucía;2010;10.316
TOTAL;Andalucía;2009;10.259
TOTAL;Andalucía;2008;10.167
TOTAL;Andalucía;2007;10.246
TOTAL;Aragón;2024;4.615
TOTAL;Aragón;2023;4.578
TOTAL;Aragón;2022;4.668
TOTAL;Aragón;2021;5.428
TOTAL;Aragón;2020;4.516
TOTAL;Aragón;2019;4.567
TOTAL;Aragón;2018;6.317
TOTAL;Aragón;2017;5.574
TOTAL;Aragón;2016;5.526
TOTAL;Aragón;2015;5.467
TOTAL;Aragón;2014;5.351
TOTAL;Aragón;2013;5.271
TOTAL;Aragón;2012;5.105
TOTAL;Aragón;2011;4.915
TOTAL;Aragón;2010;4.987
TOTAL;Aragón;2009;4.577
TOTAL;Aragón;2008;4.098
TOTAL;Aragón;2007;3.726
TOTAL;Asturias, Principado de;2024;1.830
TOTAL;Asturias, Principado de;2023;1.765
TOTAL;Asturias, Principado de;2022;1.777
TOTAL;Asturias, Principado de;2021;1.753
TOTAL;Asturias, Principado de;2020;1.861
TOTAL;Asturias, Principado de;2019;1.942
TOTAL;Asturias, Principado de;2018;2.218
TOTAL;Asturias, Principado de;2017;1.896
TOTAL;Asturias, Principado de;2016;1.930
TOTAL;Asturias, Principado de;2015;1.772
TOTAL;Asturias, Principado de;2014;1.471
TOTAL;Asturias, Principado de;2013;1.443
