Federación;Clubs deportivos federados;periodo;Total
Colombófila;Nº de clubs;2013;165
Colombófila;Nº de clubs;2012;163
Colombófila;Nº de clubs;2011;185
Colombófila;Nº de clubs;2010;202
Colombófila;Nº de clubs;2009;212
Colombófila;Nº de clubs;2008;210
Colombófila;Nº de clubs;2007;205
Colombófila;Nº medio de licencias;2024;18,8
Colombófila;Nº medio de licencias;2023;17,8
Colombófila;Nº medio de licencias;2022;17,6
Colombófila;Nº medio de licencias;2021;18,7
Colombófila;Nº medio de licencias;2020;20,0
Colombófila;Nº medio de licencias;2019;18,6
Colombófila;Nº medio de licencias;2018;17,7
Colombófila;Nº medio de licencias;2017;17,7
Colombófila;Nº medio de licencias;2016;17,6
Colombófila;Nº medio de licencias;2015;28,2
Colombófila;Nº medio de licencias;2014;24,3
Colombófila;Nº medio de licencias;2013;24,7
Colombófila;Nº medio de licencias;2012;17,5
Colombófila;Nº medio de licencias;2011;18,6
Colombófila;Nº medio de licencias;2010;24,4
Colombófila;Nº medio de licencias;2009;27,8
Colombófila;Nº medio de licencias;2008;23,0
Colombófila;Nº medio de licencias;2007;22,4
Deporte Discapacidad Física;Nº de clubs;2024;181
Deporte Discapacidad Física;Nº de clubs;2023;178
Deporte Discapacidad Física;Nº de clubs;2022;169
Deporte Discapacidad Física;Nº de clubs;2021;157
Deporte Discapacidad Física;Nº de clubs;2020;125
Deporte Discapacidad Física;Nº de clubs;2019;156
Deporte Discapacidad Física;Nº de clubs;2018;137
Deporte Discapacidad Física;Nº de clubs;2017;107
Deporte Discapacidad Física;Nº de clubs;2016;111
Deporte Discapacidad Física;Nº de clubs;2015;107
Deporte Discapacidad Física;Nº de clubs;2014;120
Deporte Discapacidad Física;Nº de clubs;2013;123
Deporte Discapacidad Física;Nº de clubs;2012;170
Deporte Discapacidad Física;Nº de clubs;2011;150
Deporte Discapacidad Física;Nº de clubs;2010;344
Deporte Discapacidad Física;Nº de clubs;2009;351
Deporte Discapacidad Física;Nº de clubs;2008;339
Deporte Discapacidad Física;Nº de clubs;2007;319
Deporte Discapacidad Física;Nº medio de licencias;2024;10,5
Deporte Discapacidad Física;Nº medio de licencias;2023;10,6
Deporte Discapacidad Física;Nº medio de licencias;2022;11,0
Deporte Discapacidad Física;Nº medio de licencias;2021;10,8
Deporte Discapacidad Física;Nº medio de licencias;2020;12,9
Deporte Discapacidad Física;Nº medio de licencias;2019;10,8
Deporte Discapacidad Física;Nº medio de licencias;2018;11,3
Deporte Discapacidad Física;Nº medio de licencias;2017;14,6
Deporte Discapacidad Física;Nº medio de licencias;2016;14,7
Deporte Discapacidad Física;Nº medio de licencias;2015;20,1
Deporte Discapacidad Física;Nº medio de licencias;2014;15,7
Deporte Discapacidad Física;Nº medio de licencias;2013;17,9
Deporte Discapacidad Física;Nº medio de licencias;2012;13,1
Deporte Discapacidad Física;Nº medio de licencias;2011;26,9
Deporte Discapacidad Física;Nº medio de licencias;2010;22,1
Deporte Discapacidad Física;Nº medio de licencias;2009;20,0
Deporte Discapacidad Física;Nº medio de licencias;2008;11,7
Deporte Discapacidad Física;Nº medio de licencias;2007;22,5
Deporte Discapacidad Intelectual;Nº de clubs;2024;436
Deporte Discapacidad Intelectual;Nº de clubs;2023;423
Deporte Discapacidad Intelectual;Nº de clubs;2022;362
Deporte Discapacidad Intelectual;Nº de clubs;2021;391
Deporte Discapacidad Intelectual;Nº de clubs;2020;367
Deporte Discapacidad Intelectual;Nº de clubs;2019;268
Deporte Discapacidad Intelectual;Nº de clubs;2018;232
Deporte Discapacidad Intelectual;Nº de clubs;2017;215
Deporte Discapacidad Intelectual;Nº de clubs;2016;204
Deporte Discapacidad Intelectual;Nº de clubs;2015;227
Deporte Discapacidad Intelectual;Nº de clubs;2014;213
Deporte Discapacidad Intelectual;Nº de clubs;2013;159
Deporte Discapacidad Intelectual;Nº de clubs;2012;219
Deporte Discapacidad Intelectual;Nº de clubs;2011;160
Deporte Discapacidad Intelectual;Nº de clubs;2010;180
Deporte Discapacidad Intelectual;Nº de clubs;2009;210
Deporte Discapacidad Intelectual;Nº de clubs;2008;204
Deporte Discapacidad Intelectual;Nº de clubs;2007;198
Deporte Discapacidad Intelectual;Nº medio de licencias;2024;35,1
Deporte Discapacidad Intelectual;Nº medio de licencias;2023;32,6
Deporte Discapacidad Intelectual;Nº medio de licencias;2022;25,9
Deporte Discapacidad Intelectual;Nº medio de licencias;2021;23,8
Deporte Discapacidad Intelectual;Nº medio de licencias;2020;25,5
Deporte Discapacidad Intelectual;Nº medio de licencias;2019;23,8
Deporte Discapacidad Intelectual;Nº medio de licencias;2018;23,1
Deporte Discapacidad Intelectual;Nº medio de licencias;2017;27,1
Deporte Discapacidad Intelectual;Nº medio de licencias;2016;29,2
Deporte Discapacidad Intelectual;Nº medio de licencias;2015;26,4
Deporte Discapacidad Intelectual;Nº medio de licencias;2014;27,6
Deporte Discapacidad Intelectual;Nº medio de licencias;2013;20,2
Deporte Discapacidad Intelectual;Nº medio de licencias;2012;21,1
Deporte Discapacidad Intelectual;Nº medio de licencias;2011;29,0
Deporte Discapacidad Intelectual;Nº medio de licencias;2010;28,8
Deporte Discapacidad Intelectual;Nº medio de licencias;2009;23,8
Deporte Discapacidad Intelectual;Nº medio de licencias;2008;30,9
Deporte Discapacidad Intelectual;Nº medio de licencias;2007;22,3
Deporte para Ciegos;Nº de clubs;2024;0
Deporte para Ciegos;Nº de clubs;2023;0
Deporte para Ciegos;Nº de clubs;2022;0
Deporte para Ciegos;Nº de clubs;2021;0
Deporte para Ciegos;Nº de clubs;2020;0
Deporte para Ciegos;Nº de clubs;2019;0
Deporte para Ciegos;Nº de clubs;2018;0
Deporte para Ciegos;Nº de clubs;2017;0
Deporte para Ciegos;Nº de clubs;2016;0
Deporte para Ciegos;Nº de clubs;2015;0
Deporte para Ciegos;Nº de clubs;2014;0
Deporte para Ciegos;Nº de clubs;2013;0
Deporte para Ciegos;Nº de clubs;2012;0
Deporte para Ciegos;Nº de clubs;2011;0
Deporte para Ciegos;Nº de clubs;2010;0
Deporte para Ciegos;Nº de clubs;2009;0
Deporte para Ciegos;Nº de clubs;2008;0
Deporte para Ciegos;Nº de clubs;2007;0
Deporte para Ciegos;Nº medio de licencias;2024;0,0
Deporte para Ciegos;Nº medio de licencias;2023;0,0
Deporte para Ciegos;Nº medio de licencias;2022;0,0
Deporte para Ciegos;Nº medio de licencias;2021;0,0
Deporte para Ciegos;Nº medio de licencias;2020;0,0
Deporte para Ciegos;Nº medio de licencias;2019;0,0
Deporte para Ciegos;Nº medio de licencias;2018;0,0
Deporte para Ciegos;Nº medio de licencias;2017;0,0
Deporte para Ciegos;Nº medio de licencias;2016;0,0
Deporte para Ciegos;Nº medio de licencias;2015;0,0
Deporte para Ciegos;Nº medio de licencias;2014;0,0
Deporte para Ciegos;Nº medio de licencias;2013;0,0
Deporte para Ciegos;Nº medio de licencias;2012;0,0
Deporte para Ciegos;Nº medio de licencias;2011;0,0
Deporte para Ciegos;Nº medio de licencias;2010;0,0
Deporte para Ciegos;Nº medio de licencias;2009;0,0
Deporte para Ciegos;Nº medio de licencias;2008;0,0
Deporte para Ciegos;Nº medio de licencias;2007;0,0
Deporte para Sordos;Nº de clubs;2024;44
Deporte para Sordos;Nº de clubs;2023;58
Deporte para Sordos;Nº de clubs;2022;50
Deporte para Sordos;Nº de clubs;2021;44
Deporte para Sordos;Nº de clubs;2020;34
Deporte para Sordos;Nº de clubs;2019;47
Deporte para Sordos;Nº de clubs;2018;47
Deporte para Sordos;Nº de clubs;2017;44
Deporte para Sordos;Nº de clubs;2016;47
Deporte para Sordos;Nº de clubs;2015;42
Deporte para Sordos;Nº de clubs;2014;23
Deporte para Sordos;Nº de clubs;2013;31
Deporte para Sordos;Nº de clubs;2012;41
Deporte para Sordos;Nº de clubs;2011;41
Deporte para Sordos;Nº de clubs;2010;48
Deporte para Sordos;Nº de clubs;2009;48
Deporte para Sordos;Nº de clubs;2008;62
Deporte para Sordos;Nº de clubs;2007;41
Deporte para Sordos;Nº medio de licencias;2024;12,1
Deporte para Sordos;Nº medio de licencias;2023;14,3
Deporte para Sordos;Nº medio de licencias;2022;17,4
Deporte para Sordos;Nº medio de licencias;2021;17,5
Deporte para Sordos;Nº medio de licencias;2020;16,5
Deporte para Sordos;Nº medio de licencias;2019;16,4
Deporte para Sordos;Nº medio de licencias;2018;19,3
Deporte para Sordos;Nº medio de licencias;2017;20,6
Deporte para Sordos;Nº medio de licencias;2016;23,0
Deporte para Sordos;Nº medio de licencias;2015;24,8
Deporte para Sordos;Nº medio de licencias;2014;14,1
Deporte para Sordos;Nº medio de licencias;2013;19,8
Deporte para Sordos;Nº medio de licencias;2012;17,9
Deporte para Sordos;Nº medio de licencias;2011;17,8
Deporte para Sordos;Nº medio de licencias;2010;16,2
Deporte para Sordos;Nº medio de licencias;2009;22,3
Deporte para Sordos;Nº medio de licencias;2008;36,6
Deporte para Sordos;Nº medio de licencias;2007;25,5
Deporte Parálisis Cerebral y DCA;Nº de clubs;2024;136
Deporte Parálisis Cerebral y DCA;Nº de clubs;2023;154
Deporte Parálisis Cerebral y DCA;Nº de clubs;2022;129
Deporte Parálisis Cerebral y DCA;Nº de clubs;2021;108
Deporte Parálisis Cerebral y DCA;Nº de clubs;2020;129
Deporte Parálisis Cerebral y DCA;Nº de clubs;2019;118
Deporte Parálisis Cerebral y DCA;Nº de clubs;2018;127
Deporte Parálisis Cerebral y DCA;Nº de clubs;2017;113
Deporte Parálisis Cerebral y DCA;Nº de clubs;2016;116
Deporte Parálisis Cerebral y DCA;Nº de clubs;2015;126
Deporte Parálisis Cerebral y DCA;Nº de clubs;2014;118
Deporte Parálisis Cerebral y DCA;Nº de clubs;2013;99
Deporte Parálisis Cerebral y DCA;Nº de clubs;2012;106
Deporte Parálisis Cerebral y DCA;Nº de clubs;2011;111
Deporte Parálisis Cerebral y DCA;Nº de clubs;2010;107
Deporte Parálisis Cerebral y DCA;Nº de clubs;2009;105
Deporte Parálisis Cerebral y DCA;Nº de clubs;2008;98
Deporte Parálisis Cerebral y DCA;Nº de clubs;2007;85
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2024;10,1
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2023;9,7
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2022;9,4
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2021;9,8
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2020;10,4
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2019;12,8
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2018;10,6
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2017;11,4
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2016;11,4
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2015;10,8
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2014;10,8
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2013;12,5
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2012;14,7
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2011;15,7
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2010;17,1
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2009;18,8
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2008;23,4
Deporte Parálisis Cerebral y DCA;Nº medio de licencias;2007;25,4
Deportes de Hielo;Nº de clubs;2024;47
Deportes de Hielo;Nº de clubs;2023;43
Deportes de Hielo;Nº de clubs;2022;46
Deportes de Hielo;Nº de clubs;2021;43
Deportes de Hielo;Nº de clubs;2020;43
Deportes de Hielo;Nº de clubs;2019;41
Deportes de Hielo;Nº de clubs;2018;39
Deportes de Hielo;Nº de clubs;2017;39
Deportes de Hielo;Nº de clubs;2016;39
Deportes de Hielo;Nº de clubs;2015;38
Deportes de Hielo;Nº de clubs;2014;35
Deportes de Hielo;Nº de clubs;2013;38
Deportes de Hielo;Nº de clubs;2012;49
Deportes de Hielo;Nº de clubs;2011;49
Deportes de Hielo;Nº de clubs;2010;44
Deportes de Hielo;Nº de clubs;2009;44
Deportes de Hielo;Nº de clubs;2008;32
Deportes de Hielo;Nº de clubs;2007;49
Deportes de Hielo;Nº medio de licencias;2024;49,5
Deportes de Hielo;Nº medio de licencias;2023;51,1
Deportes de Hielo;Nº medio de licencias;2022;49,8
Deportes de Hielo;Nº medio de licencias;2021;53,1
Deportes de Hielo;Nº medio de licencias;2020;49,4
Deportes de Hielo;Nº medio de licencias;2019;49,3
Deportes de Hielo;Nº medio de licencias;2018;50,0
Deportes de Hielo;Nº medio de licencias;2017;55,2
Deportes de Hielo;Nº medio de licencias;2016;54,5
Deportes de Hielo;Nº medio de licencias;2015;45,2
Deportes de Hielo;Nº medio de licencias;2014;36,5
Deportes de Hielo;Nº medio de licencias;2013;54,8
Deportes de Hielo;Nº medio de licencias;2012;33,0
Deportes de Hielo;Nº medio de licencias;2011;36,7
Deportes de Hielo;Nº medio de licencias;2010;32,0
Deportes de Hielo;Nº medio de licencias;2009;30,1
Deportes de Hielo;Nº medio de licencias;2008;22,8
Deportes de Hielo;Nº medio de licencias;2007;16,0
Deportes de Invierno;Nº de clubs;2024;202
Deportes de Invierno;Nº de clubs;2023;204
Deportes de Invierno;Nº de clubs;2022;220
Deportes de Invierno;Nº de clubs;2021;199
Deportes de Invierno;Nº de clubs;2020;213
Deportes de Invierno;Nº de clubs;2019;214
Deportes de Invierno;Nº de clubs;2018;214
Deportes de Invierno;Nº de clubs;2017;207
Deportes de Invierno;Nº de clubs;2016;212
Deportes de Invierno;Nº de clubs;2015;212
Deportes de Invierno;Nº de clubs;2014;201
Deportes de Invierno;Nº de clubs;2013;193
Deportes de Invierno;Nº de clubs;2012;196
Deportes de Invierno;Nº de clubs;2011;196
Deportes de Invierno;Nº de clubs;2010;190
Deportes de Invierno;Nº de clubs;2009;189
Deportes de Invierno;Nº de clubs;2008;174
Deportes de Invierno;Nº de clubs;2007;176
Deportes de Invierno;Nº medio de licencias;2024;18,3
Deportes de Invierno;Nº medio de licencias;2023;18,7
Deportes de Invierno;Nº medio de licencias;2022;19,2
Deportes de Invierno;Nº medio de licencias;2021;19,0
Deportes de Invierno;Nº medio de licencias;2020;18,0
Deportes de Invierno;Nº medio de licencias;2019;17,4
Deportes de Invierno;Nº medio de licencias;2018;17,5
Deportes de Invierno;Nº medio de licencias;2017;18,1
Deportes de Invierno;Nº medio de licencias;2016;16,3
Deportes de Invierno;Nº medio de licencias;2015;16,1
Deportes de Invierno;Nº medio de licencias;2014;15,1
Deportes de Invierno;Nº medio de licencias;2013;15,9
Deportes de Invierno;Nº medio de licencias;2012;16,8
Deportes de Invierno;Nº medio de licencias;2011;60,1
Deportes de Invierno;Nº medio de licencias;2010;72,5
Deportes de Invierno;Nº medio de licencias;2009;84,3
Deportes de Invierno;Nº medio de licencias;2008;86,4
Deportes de Invierno;Nº medio de licencias;2007;76,5
Esgrima;Nº de clubs;2024;324
Esgrima;Nº de clubs;2023;319
Esgrima;Nº de clubs;2022;311
Esgrima;Nº de clubs;2021;302
Esgrima;Nº de clubs;2020;295
Esgrima;Nº de clubs;2019;289
Esgrima;Nº de clubs;2018;274
Esgrima;Nº de clubs;2017;267
Esgrima;Nº de clubs;2016;261
Esgrima;Nº de clubs;2015;256
Esgrima;Nº de clubs;2014;221
Esgrima;Nº de clubs;2013;216
Esgrima;Nº de clubs;2012;221
Esgrima;Nº de clubs;2011;212
Esgrima;Nº de clubs;2010;210
Esgrima;Nº de clubs;2009;194
Esgrima;Nº de clubs;2008;188
Esgrima;Nº de clubs;2007;175
Esgrima;Nº medio de licencias;2024;21,4
Esgrima;Nº medio de licencias;2023;21,1
Esgrima;Nº medio de licencias;2022;19,3
Esgrima;Nº medio de licencias;2021;15,6
Esgrima;Nº medio de licencias;2020;17,4
Esgrima;Nº medio de licencias;2019;22,9
Esgrima;Nº medio de licencias;2018;22,6
Esgrima;Nº medio de licencias;2017;23,1
Esgrima;Nº medio de licencias;2016;22,5
Esgrima;Nº medio de licencias;2015;22,0
Esgrima;Nº medio de licencias;2014;25,1
Esgrima;Nº medio de licencias;2013;28,3
Esgrima;Nº medio de licencias;2012;18,3
Esgrima;Nº medio de licencias;2011;39,9
Esgrima;Nº medio de licencias;2010;44,5
Esgrima;Nº medio de licencias;2009;49,3
Esgrima;Nº medio de licencias;2008;48,9
Esgrima;Nº medio de licencias;2007;47,5
Espeleología;Nº de clubs;2024;406
Espeleología;Nº de clubs;2023;401
Espeleología;Nº de clubs;2022;..
Espeleología;Nº de clubs;2021;395
Espeleología;Nº de clubs;2020;452
Espeleología;Nº de clubs;2019;396
Espeleología;Nº de clubs;2018;373
Espeleología;Nº de clubs;2017;376
Espeleología;Nº de clubs;2016;392
Espeleología;Nº de clubs;2015;103
Espeleología;Nº de clubs;2014;237
Espeleología;Nº de clubs;2013;129
Espeleología;Nº de clubs;2012;334
Espeleología;Nº de clubs;2011;350
Espeleología;Nº de clubs;2010;349
Espeleología;Nº de clubs;2009;285
Espeleología;Nº de clubs;2008;215
Espeleología;Nº de clubs;2007;221
Espeleología;Nº medio de licencias;2024;26,3
Espeleología;Nº medio de licencias;2023;25,7
Espeleología;Nº medio de licencias;2022;..
Espeleología;Nº medio de licencias;2021;27,7
Espeleología;Nº medio de licencias;2020;26,4
Espeleología;Nº medio de licencias;2019;31,2
Espeleología;Nº medio de licencias;2018;26,8
Espeleología;Nº medio de licencias;2017;29,2
Espeleología;Nº medio de licencias;2016;27,6
Espeleología;Nº medio de licencias;2015;20,9
Espeleología;Nº medio de licencias;2014;26,1
Espeleología;Nº medio de licencias;2013;20,1
Espeleología;Nº medio de licencias;2012;22,3
Espeleología;Nº medio de licencias;2011;26,8
Espeleología;Nº medio de licencias;2010;25,0
Espeleología;Nº medio de licencias;2009;29,5
Espeleología;Nº medio de licencias;2008;35,3
Espeleología;Nº medio de licencias;2007;35,6
Esquí Náutico y Wakeboard;Nº de clubs;2024;11
Esquí Náutico y Wakeboard;Nº de clubs;2023;10
Esquí Náutico y Wakeboard;Nº de clubs;2022;13
Esquí Náutico y Wakeboard;Nº de clubs;2021;13
Esquí Náutico y Wakeboard;Nº de clubs;2020;12
Esquí Náutico y Wakeboard;Nº de clubs;2019;15
Esquí Náutico y Wakeboard;Nº de clubs;2018;14
Esquí Náutico y Wakeboard;Nº de clubs;2017;17
Esquí Náutico y Wakeboard;Nº de clubs;2016;25
Esquí Náutico y Wakeboard;Nº de clubs;2015;30
Esquí Náutico y Wakeboard;Nº de clubs;2014;31
Esquí Náutico y Wakeboard;Nº de clubs;2013;32
Esquí Náutico y Wakeboard;Nº de clubs;2012;34
Esquí Náutico y Wakeboard;Nº de clubs;2011;26
Esquí Náutico y Wakeboard;Nº de clubs;2010;26
Esquí Náutico y Wakeboard;Nº de clubs;2009;33
Esquí Náutico y Wakeboard;Nº de clubs;2008;34
Esquí Náutico y Wakeboard;Nº de clubs;2007;41
Esquí Náutico y Wakeboard;Nº medio de licencias;2024;72,5
Esquí Náutico y Wakeboard;Nº medio de licencias;2023;81,4
Esquí Náutico y Wakeboard;Nº medio de licencias;2022;60,5
Esquí Náutico y Wakeboard;Nº medio de licencias;2021;62,8
Esquí Náutico y Wakeboard;Nº medio de licencias;2020;56,8
Esquí Náutico y Wakeboard;Nº medio de licencias;2019;41,4
Esquí Náutico y Wakeboard;Nº medio de licencias;2018;60,9
Esquí Náutico y Wakeboard;Nº medio de licencias;2017;51,0
Esquí Náutico y Wakeboard;Nº medio de licencias;2016;32,0
Esquí Náutico y Wakeboard;Nº medio de licencias;2015;24,1
Esquí Náutico y Wakeboard;Nº medio de licencias;2014;24,1
Esquí Náutico y Wakeboard;Nº medio de licencias;2013;19,8
Esquí Náutico y Wakeboard;Nº medio de licencias;2012;22,2
Esquí Náutico y Wakeboard;Nº medio de licencias;2011;44,7
Esquí Náutico y Wakeboard;Nº medio de licencias;2010;66,2
Esquí Náutico y Wakeboard;Nº medio de licencias;2009;59,7
Esquí Náutico y Wakeboard;Nº medio de licencias;2008;49,6
Esquí Náutico y Wakeboard;Nº medio de licencias;2007;37,8
Fútbol;Nº de clubs;2024;30.862
Fútbol;Nº de clubs;2023;30.188
Fútbol;Nº de clubs;2022;30.052
Fútbol;Nº de clubs;2021;31.166
Fútbol;Nº de clubs;2020;29.205
Fútbol;Nº de clubs;2019;28.451
Fútbol;Nº de clubs;2018;32.327
Fútbol;Nº de clubs;2017;21.148
Fútbol;Nº de clubs;2016;20.588
Fútbol;Nº de clubs;2015;21.831
Fútbol;Nº de clubs;2014;21.649
Fútbol;Nº de clubs;2013;21.584
Fútbol;Nº de clubs;2012;21.027
Fútbol;Nº de clubs;2011;19.585
Fútbol;Nº de clubs;2010;19.687
Fútbol;Nº de clubs;2009;19.099
Fútbol;Nº de clubs;2008;18.680
Fútbol;Nº de clubs;2007;18.286
Fútbol;Nº medio de licencias;2024;40,8
Fútbol;Nº medio de licencias;2023;41,4
Fútbol;Nº medio de licencias;2022;37,9
Fútbol;Nº medio de licencias;2021;29,1
Fútbol;Nº medio de licencias;2020;36,8
Fútbol;Nº medio de licencias;2019;38,5
Fútbol;Nº medio de licencias;2018;32,9
Fútbol;Nº medio de licencias;2017;48,6
Fútbol;Nº medio de licencias;2016;45,8
Fútbol;Nº medio de licencias;2015;41,7
Fútbol;Nº medio de licencias;2014;40,4
Fútbol;Nº medio de licencias;2013;39,7
Fútbol;Nº medio de licencias;2012;41,3
Fútbol;Nº medio de licencias;2011;42,6
Fútbol;Nº medio de licencias;2010;40,9
Fútbol;Nº medio de licencias;2009;40,8
Fútbol;Nº medio de licencias;2008;41,2
Fútbol;Nº medio de licencias;2007;40,2
Fútbol Americano;Nº de clubs;2024;110
Fútbol Americano;Nº de clubs;2023;105
Fútbol Americano;Nº de clubs;2022;105
Fútbol Americano;Nº de clubs;2021;82
Fútbol Americano;Nº de clubs;2020;104
Fútbol Americano;Nº de clubs;2019;162
Fútbol Americano;Nº de clubs;2018;156
Fútbol Americano;Nº de clubs;2017;148
Fútbol Americano;Nº de clubs;2016;135
Fútbol Americano;Nº de clubs;2015;110
Fútbol Americano;Nº de clubs;2014;106
Fútbol Americano;Nº de clubs;2013;86
Fútbol Americano;Nº de clubs;2012;114
Fútbol Americano;Nº de clubs;2011;107
Fútbol Americano;Nº de clubs;2010;101
Fútbol Americano;Nº de clubs;2009;104
Fútbol Americano;Nº de clubs;2008;99
Fútbol Americano;Nº de clubs;2007;100
Fútbol Americano;Nº medio de licencias;2024;47,8
Fútbol Americano;Nº medio de licencias;2023;52,8
Fútbol Americano;Nº medio de licencias;2022;50,8
Fútbol Americano;Nº medio de licencias;2021;53,8
Fútbol Americano;Nº medio de licencias;2020;53,1
Fútbol Americano;Nº medio de licencias;2019;45,4
Fútbol Americano;Nº medio de licencias;2018;45,4
Fútbol Americano;Nº medio de licencias;2017;43,3
Fútbol Americano;Nº medio de licencias;2016;43,8
Fútbol Americano;Nº medio de licencias;2015;46,6
Fútbol Americano;Nº medio de licencias;2014;45,6
Fútbol Americano;Nº medio de licencias;2013;51,9
Fútbol Americano;Nº medio de licencias;2012;49,3
Fútbol Americano;Nº medio de licencias;2011;53,0
Fútbol Americano;Nº medio de licencias;2010;59,0
Fútbol Americano;Nº medio de licencias;2009;55,4
Fútbol Americano;Nº medio de licencias;2008;54,0
Fútbol Americano;Nº medio de licencias;2007;51,0
Galgos;Nº de clubs;2024;536
Galgos;Nº de clubs;2023;521
Galgos;Nº de clubs;2022;513
Galgos;Nº de clubs;2021;513
Galgos;Nº de clubs;2020;516
Galgos;Nº de clubs;2019;500
Galgos;Nº de clubs;2018;502
Galgos;Nº de clubs;2017;494
Galgos;Nº de clubs;2016;494
Galgos;Nº de clubs;2015;478
Galgos;Nº de clubs;2014;506
Galgos;Nº de clubs;2013;547
Galgos;Nº de clubs;2012;609
Galgos;Nº de clubs;2011;626
Galgos;Nº de clubs;2010;641
Galgos;Nº de clubs;2009;648
Galgos;Nº de clubs;2008;599
Galgos;Nº de clubs;2007;555
Galgos;Nº medio de licencias;2024;23,1
Galgos;Nº medio de licencias;2023;23,6
Galgos;Nº medio de licencias;2022;24,1
Galgos;Nº medio de licencias;2021;23,9
Galgos;Nº medio de licencias;2020;23,2
Galgos;Nº medio de licencias;2019;25,0
Galgos;Nº medio de licencias;2018;24,3
Galgos;Nº medio de licencias;2017;23,5
Galgos;Nº medio de licencias;2016;22,7
Galgos;Nº medio de licencias;2015;21,6
Galgos;Nº medio de licencias;2014;20,1
Galgos;Nº medio de licencias;2013;18,6
Galgos;Nº medio de licencias;2012;21,0
Galgos;Nº medio de licencias;2011;23,3
Galgos;Nº medio de licencias;2010;20,7
Galgos;Nº medio de licencias;2009;21,2
Galgos;Nº medio de licencias;2008;19,9
Galgos;Nº medio de licencias;2007;20,3
Gimnasia;Nº de clubs;2024;1.716
Gimnasia;Nº de clubs;2023;1.094
Gimnasia;Nº de clubs;2022;1.067
Gimnasia;Nº de clubs;2021;1.009
Gimnasia;Nº de clubs;2020;1.125
Gimnasia;Nº de clubs;2019;1.119
Gimnasia;Nº de clubs;2018;1.054
Gimnasia;Nº de clubs;2017;1.012
Gimnasia;Nº de clubs;2016;746
Gimnasia;Nº de clubs;2015;855
Gimnasia;Nº de clubs;2014;514
Gimnasia;Nº de clubs;2013;434
Gimnasia;Nº de clubs;2012;442
Gimnasia;Nº de clubs;2011;707
Gimnasia;Nº de clubs;2010;655
Gimnasia;Nº de clubs;2009;589
Gimnasia;Nº de clubs;2008;425
Gimnasia;Nº de clubs;2007;424
Gimnasia;Nº medio de licencias;2024;29,3
Gimnasia;Nº medio de licencias;2023;43,5
Gimnasia;Nº medio de licencias;2022;43,9
Gimnasia;Nº medio de licencias;2021;46,9
Gimnasia;Nº medio de licencias;2020;44,3
Gimnasia;Nº medio de licencias;2019;41,0
Gimnasia;Nº medio de licencias;2018;47,2
Gimnasia;Nº medio de licencias;2017;45,3
Gimnasia;Nº medio de licencias;2016;53,7
Gimnasia;Nº medio de licencias;2015;45,4
Gimnasia;Nº medio de licencias;2014;46,8
Gimnasia;Nº medio de licencias;2013;71,0
Gimnasia;Nº medio de licencias;2012;67,1
Gimnasia;Nº medio de licencias;2011;33,8
Gimnasia;Nº medio de licencias;2010;38,5
Gimnasia;Nº medio de licencias;2009;31,6
Gimnasia;Nº medio de licencias;2008;23,0
Gimnasia;Nº medio de licencias;2007;21,9
Golf;Nº de clubs;2024;597
Golf;Nº de clubs;2023;601
Golf;Nº de clubs;2022;598
Golf;Nº de clubs;2021;596
Golf;Nº de clubs;2020;596
Golf;Nº de clubs;2019;592
Golf;Nº de clubs;2018;587
Golf;Nº de clubs;2017;589
Golf;Nº de clubs;2016;594
Golf;Nº de clubs;2015;591
Golf;Nº de clubs;2014;600
Golf;Nº de clubs;2013;591
Golf;Nº de clubs;2012;591
Golf;Nº de clubs;2011;596
Golf;Nº de clubs;2010;594
Golf;Nº de clubs;2009;576
Golf;Nº de clubs;2008;552
Golf;Nº de clubs;2007;515
Golf;Nº medio de licencias;2024;511,9
Golf;Nº medio de licencias;2023;494,2
Golf;Nº medio de licencias;2022;490,6
Golf;Nº medio de licencias;2021;477,8
Golf;Nº medio de licencias;2020;455,7
Golf;Nº medio de licencias;2019;455,6
Golf;Nº medio de licencias;2018;461,7
Golf;Nº medio de licencias;2017;459,2
Golf;Nº medio de licencias;2016;457,7
Golf;Nº medio de licencias;2015;467,3
Golf;Nº medio de licencias;2014;473,1
Golf;Nº medio de licencias;2013;499,0
Golf;Nº medio de licencias;2012;531,0
Golf;Nº medio de licencias;2011;545,6
Golf;Nº medio de licencias;2010;561,0
