Comunidad autónoma-tamaño de municipio;Indicador;Frecuencia;Total
Castilla y León;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Castilla y León;En % de los que practican deporte de cada colectivo;Todos los días;34,1
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;84,7
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;93,9
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;96,2
Castilla-La Mancha;En % de la población de cada colectivo;Total practicaron en el último año;58,5
Castilla-La Mancha;En % de la población de cada colectivo;Todos los días;25,9
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez a la semana;53,2
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez al mes;56,8
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez al trimestre;58,2
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Todos los días;44,3
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,0
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;97,2
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;99,6
Cataluña;En % de la población de cada colectivo;Total practicaron en el último año;65,5
Cataluña;En % de la población de cada colectivo;Todos los días;25,4
Cataluña;En % de la población de cada colectivo;Al menos una vez a la semana;57,0
Cataluña;En % de la población de cada colectivo;Al menos una vez al mes;63,4
Cataluña;En % de la población de cada colectivo;Al menos una vez al trimestre;65,0
Cataluña;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Cataluña;En % de los que practican deporte de cada colectivo;Todos los días;38,8
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,0
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,7
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;99,2
Comunitat Valenciana;En % de la población de cada colectivo;Total practicaron en el último año;62,0
Comunitat Valenciana;En % de la población de cada colectivo;Todos los días;28,2
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez a la semana;54,2
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez al mes;60,0
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez al trimestre;60,7
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Todos los días;45,5
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,4
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,7
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,8
Extremadura;En % de la población de cada colectivo;Total practicaron en el último año;60,4
Extremadura;En % de la población de cada colectivo;Todos los días;27,3
Extremadura;En % de la población de cada colectivo;Al menos una vez a la semana;52,2
Extremadura;En % de la población de cada colectivo;Al menos una vez al mes;57,4
Extremadura;En % de la población de cada colectivo;Al menos una vez al trimestre;58,6
Extremadura;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Extremadura;En % de los que practican deporte de cada colectivo;Todos los días;45,2
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,5
