Comunidad autónoma y tamaño del municipio;Indicador;Frecuencia;Total
Castilla y León;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Castilla y León;En % de los que practican deporte de cada colectivo;Todos los días;26,6
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;82,5
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;92,2
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;93,9
Castilla-La Mancha;En % de la población de cada colectivo;Total practicaron en el último año;44,3
Castilla-La Mancha;En % de la población de cada colectivo;Todos los días;17,7
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez a la semana;38,6
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez al mes;41,3
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez al trimestre;43,2
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Todos los días;40,1
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,2
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;93,3
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,4
Cataluña;En % de la población de cada colectivo;Total practicaron en el último año;58,2
Cataluña;En % de la población de cada colectivo;Todos los días;19,0
Cataluña;En % de la población de cada colectivo;Al menos una vez a la semana;50,6
Cataluña;En % de la población de cada colectivo;Al menos una vez al mes;56,0
Cataluña;En % de la población de cada colectivo;Al menos una vez al trimestre;57,1
Cataluña;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Cataluña;En % de los que practican deporte de cada colectivo;Todos los días;32,6
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,9
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,1
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,1
Comunitat Valenciana;En % de la población de cada colectivo;Total practicaron en el último año;53,8
Comunitat Valenciana;En % de la población de cada colectivo;Todos los días;18,6
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez a la semana;47,0
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez al mes;51,3
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez al trimestre;53,3
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Todos los días;34,6
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,5
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,5
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;99,1
Extremadura;En % de la población de cada colectivo;Total practicaron en el último año;47,0
Extremadura;En % de la población de cada colectivo;Todos los días;21,9
Extremadura;En % de la población de cada colectivo;Al menos una vez a la semana;41,1
Extremadura;En % de la población de cada colectivo;Al menos una vez al mes;45,1
Extremadura;En % de la población de cada colectivo;Al menos una vez al trimestre;45,8
Extremadura;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Extremadura;En % de los que practican deporte de cada colectivo;Todos los días;46,6
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,4
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,8
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,4
Galicia;En % de la población de cada colectivo;Total practicaron en el último año;44,3
Galicia;En % de la población de cada colectivo;Todos los días;13,2
Galicia;En % de la población de cada colectivo;Al menos una vez a la semana;37,4
Galicia;En % de la población de cada colectivo;Al menos una vez al mes;42,3
Galicia;En % de la población de cada colectivo;Al menos una vez al trimestre;43,1
Galicia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Galicia;En % de los que practican deporte de cada colectivo;Todos los días;29,7
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;84,4
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,5
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,3
Madrid (Comunidad de);En % de la población de cada colectivo;Total practicaron en el último año;58,1
Madrid (Comunidad de);En % de la población de cada colectivo;Todos los días;22,0
Madrid (Comunidad de);En % de la población de cada colectivo;Al menos una vez a la semana;50,5
Madrid (Comunidad de);En % de la población de cada colectivo;Al menos una vez al mes;55,8
Madrid (Comunidad de);En % de la población de cada colectivo;Al menos una vez al trimestre;56,9
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Todos los días;37,9
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,0
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,1
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,9
Murcia (Región de);En % de la población de cada colectivo;Total practicaron en el último año;49,7
Murcia (Región de);En % de la población de cada colectivo;Todos los días;16,7
Murcia (Región de);En % de la población de cada colectivo;Al menos una vez a la semana;43,2
Murcia (Región de);En % de la población de cada colectivo;Al menos una vez al mes;48,2
Murcia (Región de);En % de la población de cada colectivo;Al menos una vez al trimestre;48,7
Murcia (Región de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Murcia (Región de);En % de los que practican deporte de cada colectivo;Todos los días;33,6
Murcia (Región de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,8
Murcia (Región de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,8
Murcia (Región de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,9
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Total practicaron en el último año;58,5
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Todos los días;19,3
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Al menos una vez a la semana;53,3
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Al menos una vez al mes;57,1
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Al menos una vez al trimestre;57,4
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Todos los días;33,1
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,2
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;97,7
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,1
País Vasco;En % de la población de cada colectivo;Total practicaron en el último año;54,9
País Vasco;En % de la población de cada colectivo;Todos los días;19,8
País Vasco;En % de la población de cada colectivo;Al menos una vez a la semana;46,9
