Comunidad autónoma y tamaño del municipio;Indicador;Total
Navarra (Comunidad Foral de);Ambos;29,2
Navarra (Comunidad Foral de);Han participado en competiciones deportivas organizadas;25,1
Navarra (Comunidad Foral de);No han participado en competiciones deportivas organizadas;74,9
País Vasco;Total practicaron en el último año;100
País Vasco;Solo un deporte;19,5
País Vasco;Más de un deporte;80,5
País Vasco;Deportes individuales;64,6
País Vasco;Deportes colectivos;12,9
País Vasco;Ambos;22,5
País Vasco;Han participado en competiciones deportivas organizadas;17,7
País Vasco;No han participado en competiciones deportivas organizadas;82,3
Rioja (La);Total practicaron en el último año;100
Rioja (La);Solo un deporte;20,9
Rioja (La);Más de un deporte;79,1
Rioja (La);Deportes individuales;63,7
Rioja (La);Deportes colectivos;13,1
Rioja (La);Ambos;23,2
Rioja (La);Han participado en competiciones deportivas organizadas;14,4
Rioja (La);No han participado en competiciones deportivas organizadas;85,6
Ceuta y Melilla;Total practicaron en el último año;100
Ceuta y Melilla;Solo un deporte;21,2
Ceuta y Melilla;Más de un deporte;78,8
Ceuta y Melilla;Deportes individuales;49,3
Ceuta y Melilla;Deportes colectivos;11,8
Ceuta y Melilla;Ambos;38,9
Ceuta y Melilla;Han participado en competiciones deportivas organizadas;19,9
Ceuta y Melilla;No han participado en competiciones deportivas organizadas;80,1
Capitales de provincia;Total practicaron en el último año;100
Capitales de provincia;Solo un deporte;19,1
Capitales de provincia;Más de un deporte;80,9
Capitales de provincia;Deportes individuales;61,1
Capitales de provincia;Deportes colectivos;12,7
Capitales de provincia;Ambos;26,2
Capitales de provincia;Han participado en competiciones deportivas organizadas;16,8
Capitales de provincia;No han participado en competiciones deportivas organizadas;83,2
De más de 50.000 habitantes;Total practicaron en el último año;100
De más de 50.000 habitantes;Solo un deporte;21,0
De más de 50.000 habitantes;Más de un deporte;79,0
De más de 50.000 habitantes;Deportes individuales;56,6
De más de 50.000 habitantes;Deportes colectivos;15,0
De más de 50.000 habitantes;Ambos;28,4
De más de 50.000 habitantes;Han participado en competiciones deportivas organizadas;19,4
De más de 50.000 habitantes;No han participado en competiciones deportivas organizadas;80,6
De menos de 50.001 habitantes;Total practicaron en el último año;100
De menos de 50.001 habitantes;Solo un deporte;22,5
De menos de 50.001 habitantes;Más de un deporte;77,5
De menos de 50.001 habitantes;Deportes individuales;56,5
De menos de 50.001 habitantes;Deportes colectivos;14,9
De menos de 50.001 habitantes;Ambos;28,6
De menos de 50.001 habitantes;Han participado en competiciones deportivas organizadas;19,3
De menos de 50.001 habitantes;No han participado en competiciones deportivas organizadas;80,7
