Comunidad autónoma y tamaño de municipio;Indicador;Frecuencia;periodo;Total
Cantabria;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,2
Castilla y León;En % de la población de cada colectivo;Total practicaron en el último año;2022;57,0
Castilla y León;En % de la población de cada colectivo;Todos los días;2022;24,1
Castilla y León;En % de la población de cada colectivo;Al menos una vez a la semana;2022;51,9
Castilla y León;En % de la población de cada colectivo;Al menos una vez al mes;2022;55,5
Castilla y León;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;56,2
Castilla y León;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Castilla y León;En % de los que practican deporte de cada colectivo;Todos los días;2022;42,3
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,1
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;97,5
Castilla y León;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,7
Castilla-La Mancha;En % de la población de cada colectivo;Total practicaron en el último año;2022;56,1
Castilla-La Mancha;En % de la población de cada colectivo;Todos los días;2022;21,5
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez a la semana;2022;50,4
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez al mes;2022;53,9
Castilla-La Mancha;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;54,3
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Todos los días;2022;38,3
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;89,8
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;96,0
Castilla-La Mancha;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;96,7
Cataluña;En % de la población de cada colectivo;Total practicaron en el último año;2022;58,3
Cataluña;En % de la población de cada colectivo;Todos los días;2022;22,5
Cataluña;En % de la población de cada colectivo;Al menos una vez a la semana;2022;54,1
Cataluña;En % de la población de cada colectivo;Al menos una vez al mes;2022;57,5
Cataluña;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;57,6
Cataluña;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Cataluña;En % de los que practican deporte de cada colectivo;Todos los días;2022;38,6
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;92,7
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,5
Cataluña;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,8
Comunitat Valenciana;En % de la población de cada colectivo;Total practicaron en el último año;2022;56,8
Comunitat Valenciana;En % de la población de cada colectivo;Todos los días;2022;20,2
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez a la semana;2022;51,1
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez al mes;2022;55,7
Comunitat Valenciana;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;56,5
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Todos los días;2022;35,5
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;90,0
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,0
Comunitat Valenciana;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,4
Extremadura;En % de la población de cada colectivo;Total practicaron en el último año;2022;52,3
Extremadura;En % de la población de cada colectivo;Todos los días;2022;21,7
Extremadura;En % de la población de cada colectivo;Al menos una vez a la semana;2022;48,3
Extremadura;En % de la población de cada colectivo;Al menos una vez al mes;2022;51,3
Extremadura;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;51,9
Extremadura;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Extremadura;En % de los que practican deporte de cada colectivo;Todos los días;2022;41,5
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;92,4
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,1
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,3
Galicia;En % de la población de cada colectivo;Total practicaron en el último año;2022;50,2
Galicia;En % de la población de cada colectivo;Todos los días;2022;21,7
Galicia;En % de la población de cada colectivo;Al menos una vez a la semana;2022;46,1
Galicia;En % de la población de cada colectivo;Al menos una vez al mes;2022;49,4
Galicia;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;50,0
Galicia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Galicia;En % de los que practican deporte de cada colectivo;Todos los días;2022;43,3
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,9
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,5
