Sexo, edad y situación personal;Practicaron;Total
TOTAL;TOTAL;100,0
TOTAL;Ha dejado de asistir al gimnasio presencial temporalmente;7,0
TOTAL;Ha dejado de asistir al gimnasio presencial definitivamente;2,2
TOTAL;Realiza deporte asistido virtualmente;1,8
TOTAL;Solo realiza deporte al aire libre;12,0
TOTAL;Solo realiza deportes individuales;5,1
TOTAL;Ha dejado de hacer deporte;2,1
TOTAL;Hace más deporte;12,9
TOTAL;Hace menos deporte;17,1
TOTAL;Mantiene los mismos hábitos;62,4
Hombres;TOTAL;100,0
Hombres;Ha dejado de asistir al gimnasio presencial temporalmente;6,2
Hombres;Ha dejado de asistir al gimnasio presencial definitivamente;2,2
Hombres;Realiza deporte asistido virtualmente;0,9
Hombres;Solo realiza deporte al aire libre;13,5
Hombres;Solo realiza deportes individuales;5,6
Hombres;Ha dejado de hacer deporte;1,6
Hombres;Hace más deporte;13,5
Hombres;Hace menos deporte;15,5
Hombres;Mantiene los mismos hábitos;64,7
Mujeres;TOTAL;100,0
Mujeres;Ha dejado de asistir al gimnasio presencial temporalmente;7,8
Mujeres;Ha dejado de asistir al gimnasio presencial definitivamente;2,3
Mujeres;Realiza deporte asistido virtualmente;2,6
Mujeres;Solo realiza deporte al aire libre;10,6
Mujeres;Solo realiza deportes individuales;4,6
Mujeres;Ha dejado de hacer deporte;2,6
Mujeres;Hace más deporte;12,4
Mujeres;Hace menos deporte;18,7
Mujeres;Mantiene los mismos hábitos;60,3
De 15 a 24 años;TOTAL;100,0
De 15 a 24 años;Ha dejado de asistir al gimnasio presencial temporalmente;8,5
De 15 a 24 años;Ha dejado de asistir al gimnasio presencial definitivamente;2,2
De 15 a 24 años;Realiza deporte asistido virtualmente;2,8
De 15 a 24 años;Solo realiza deporte al aire libre;14,0
De 15 a 24 años;Solo realiza deportes individuales;5,0
De 15 a 24 años;Ha dejado de hacer deporte;2,0
De 15 a 24 años;Hace más deporte;22,8
De 15 a 24 años;Hace menos deporte;21,6
De 15 a 24 años;Mantiene los mismos hábitos;47,9
De 25 a 34 años;TOTAL;100,0
De 25 a 34 años;Ha dejado de asistir al gimnasio presencial temporalmente;6,8
