Sexo, edad y situación personal;Practicaron;Total
De 25 a 34 años;Ha dejado de asistir al gimnasio presencial definitivamente;3,0
De 25 a 34 años;Realiza deporte asistido virtualmente;2,6
De 25 a 34 años;Solo realiza deporte al aire libre;9,9
De 25 a 34 años;Solo realiza deportes individuales;3,9
De 25 a 34 años;Ha dejado de hacer deporte;1,2
De 25 a 34 años;Hace más deporte;18,4
De 25 a 34 años;Hace menos deporte;24,5
De 25 a 34 años;Mantiene los mismos hábitos;51,9
De 35 a 44 años;TOTAL;100,0
De 35 a 44 años;Ha dejado de asistir al gimnasio presencial temporalmente;8,3
De 35 a 44 años;Ha dejado de asistir al gimnasio presencial definitivamente;2,7
De 35 a 44 años;Realiza deporte asistido virtualmente;3,1
De 35 a 44 años;Solo realiza deporte al aire libre;13,2
De 35 a 44 años;Solo realiza deportes individuales;5,5
De 35 a 44 años;Ha dejado de hacer deporte;2,1
De 35 a 44 años;Hace más deporte;13,5
De 35 a 44 años;Hace menos deporte;18,5
De 35 a 44 años;Mantiene los mismos hábitos;60,1
De 45 a 54 años;TOTAL;100,0
De 45 a 54 años;Ha dejado de asistir al gimnasio presencial temporalmente;7,9
De 45 a 54 años;Ha dejado de asistir al gimnasio presencial definitivamente;2,7
De 45 a 54 años;Realiza deporte asistido virtualmente;1,2
De 45 a 54 años;Solo realiza deporte al aire libre;15,2
De 45 a 54 años;Solo realiza deportes individuales;6,9
De 45 a 54 años;Ha dejado de hacer deporte;2,7
De 45 a 54 años;Hace más deporte;12,2
De 45 a 54 años;Hace menos deporte;18,1
De 45 a 54 años;Mantiene los mismos hábitos;61,7
De 55 años y más;TOTAL;100,0
De 55 años y más;Ha dejado de asistir al gimnasio presencial temporalmente;5,7
De 55 años y más;Ha dejado de asistir al gimnasio presencial definitivamente;1,5
De 55 años y más;Realiza deporte asistido virtualmente;1,0
De 55 años y más;Solo realiza deporte al aire libre;10,0
De 55 años y más;Solo realiza deportes individuales;4,4
De 55 años y más;Ha dejado de hacer deporte;2,2
De 55 años y más;Hace más deporte;8,1
De 55 años y más;Hace menos deporte;12,0
De 55 años y más;Mantiene los mismos hábitos;72,0
Sit. personal: Soltero en casa de sus padres;TOTAL;100,0
Sit. personal: Soltero en casa de sus padres;Ha dejado de asistir al gimnasio presencial temporalmente;7,5
Sit. personal: Soltero en casa de sus padres;Ha dejado de asistir al gimnasio presencial definitivamente;2,6
Sit. personal: Soltero en casa de sus padres;Realiza deporte asistido virtualmente;2,5
Sit. personal: Soltero en casa de sus padres;Solo realiza deporte al aire libre;13,8
Sit. personal: Soltero en casa de sus padres;Solo realiza deportes individuales;4,6
Sit. personal: Soltero en casa de sus padres;Ha dejado de hacer deporte;1,8
Sit. personal: Soltero en casa de sus padres;Hace más deporte;22,5
Sit. personal: Soltero en casa de sus padres;Hace menos deporte;20,5
Sit. personal: Soltero en casa de sus padres;Mantiene los mismos hábitos;49,1
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);TOTAL;100,0
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Ha dejado de asistir al gimnasio presencial temporalmente;6,6
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Ha dejado de asistir al gimnasio presencial definitivamente;2,1
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Realiza deporte asistido virtualmente;2,0
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Solo realiza deporte al aire libre;10,9
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Solo realiza deportes individuales;5,5
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Ha dejado de hacer deporte;2,6
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Hace más deporte;12,9
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Hace menos deporte;16,3
Sit. personal: Soltero independiente, divorciado separado o viudo (con o sin hijos);Mantiene los mismos hábitos;63,5
Sit. personal: Casado o en pareja con hijos menores de 18 años;TOTAL;100,0
Sit. personal: Casado o en pareja con hijos menores de 18 años;Ha dejado de asistir al gimnasio presencial temporalmente;7,6
Sit. personal: Casado o en pareja con hijos menores de 18 años;Ha dejado de asistir al gimnasio presencial definitivamente;3,1
Sit. personal: Casado o en pareja con hijos menores de 18 años;Realiza deporte asistido virtualmente;2,1
Sit. personal: Casado o en pareja con hijos menores de 18 años;Solo realiza deporte al aire libre;14,3
Sit. personal: Casado o en pareja con hijos menores de 18 años;Solo realiza deportes individuales;5,8
Sit. personal: Casado o en pareja con hijos menores de 18 años;Ha dejado de hacer deporte;2,2
Sit. personal: Casado o en pareja con hijos menores de 18 años;Hace más deporte;11,2
Sit. personal: Casado o en pareja con hijos menores de 18 años;Hace menos deporte;20,3
Sit. personal: Casado o en pareja con hijos menores de 18 años;Mantiene los mismos hábitos;60,8
Sit. personal: Otras situaciones personales;TOTAL;100,0
Sit. personal: Otras situaciones personales;Ha dejado de asistir al gimnasio presencial temporalmente;6,8
Sit. personal: Otras situaciones personales;Ha dejado de asistir al gimnasio presencial definitivamente;1,8
Sit. personal: Otras situaciones personales;Realiza deporte asistido virtualmente;1,3
Sit. personal: Otras situaciones personales;Solo realiza deporte al aire libre;10,8
Sit. personal: Otras situaciones personales;Solo realiza deportes individuales;4,8
Sit. personal: Otras situaciones personales;Ha dejado de hacer deporte;2,0
Sit. personal: Otras situaciones personales;Hace más deporte;10,2
Sit. personal: Otras situaciones personales;Hace menos deporte;14,8
Sit. personal: Otras situaciones personales;Mantiene los mismos hábitos;67,7
