Comunidad autónoma y tamaño del municipio;Indicador;Total
De más de 50.000 habitantes;Deporte en general;6,8
De más de 50.000 habitantes;Practicar deporte;5,9
De más de 50.000 habitantes;Asistir a espectáculos deportivos;4,5
De más de 50.000 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;5,7
De más de 50.000 habitantes;Informarse sobre el  deporte;5,2
De más de 50.000 habitantes;Jugar videojuegos vinculados al deporte;1,7
De menos de 50.001 habitantes;Deporte en general;6,2
De menos de 50.001 habitantes;Practicar deporte;5,4
De menos de 50.001 habitantes;Asistir a espectáculos deportivos;4,3
De menos de 50.001 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;5,3
De menos de 50.001 habitantes;Informarse sobre el  deporte;4,8
De menos de 50.001 habitantes;Jugar videojuegos vinculados al deporte;1,5
