Número de asalariados;Indicador;Actividad económica;periodo;Total
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2020;90,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2019;90,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2018;87,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2017;69,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2016;71,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2015;68,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2014;59,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2013;68,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2012;65,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2011;66,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2010;81,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2009;78,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2008;79,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;2.632,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;2.683,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;2.801,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;2.779,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;2.892,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;3.049,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;3.040,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;3.106,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;3.108,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;3.169,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;3.208,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;3.149,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;3.071,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;3.049,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;3.246,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;3.515,0
De 1 a 5 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;3.645,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2024;2.619,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2023;2.430,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2022;2.241,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2021;1.864,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2020;1.863,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2019;1.527,0
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2018;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2017;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2016;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2015;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2014;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2013;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2012;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2011;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2010;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2009;..
De 1 a 5 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2008;..
De 1 a 5 asalariados;porcentaje;TOTAL;2024;47,7
De 1 a 5 asalariados;porcentaje;TOTAL;2023;47,3
De 1 a 5 asalariados;porcentaje;TOTAL;2022;43,4
De 1 a 5 asalariados;porcentaje;TOTAL;2021;44,9
De 1 a 5 asalariados;porcentaje;TOTAL;2020;43,7
De 1 a 5 asalariados;porcentaje;TOTAL;2019;44,4
De 1 a 5 asalariados;porcentaje;TOTAL;2018;42,5
De 1 a 5 asalariados;porcentaje;TOTAL;2017;43,0
De 1 a 5 asalariados;porcentaje;TOTAL;2016;43,1
De 1 a 5 asalariados;porcentaje;TOTAL;2015;42,6
De 1 a 5 asalariados;porcentaje;TOTAL;2014;43,0
De 1 a 5 asalariados;porcentaje;TOTAL;2013;42,6
De 1 a 5 asalariados;porcentaje;TOTAL;2012;39,4
De 1 a 5 asalariados;porcentaje;TOTAL;2011;39,0
De 1 a 5 asalariados;porcentaje;TOTAL;2010;41,1
De 1 a 5 asalariados;porcentaje;TOTAL;2009;43,4
De 1 a 5 asalariados;porcentaje;TOTAL;2008;44,4
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2024;44,2
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2023;43,7
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2022;39,8
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2021;42,0
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2020;40,6
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2019;41,7
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2018;40,8
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2017;41,7
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2016;42,3
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2015;41,8
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2014;42,2
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2013;42,3
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2012;39,1
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2011;38,6
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2010;40,7
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2009;41,9
De 1 a 5 asalariados;porcentaje;931 Actividades deportivas;2008;43,1
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2024;35,9
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2023;35,2
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2022;29,8
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2021;31,8
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2020;33,1
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2019;32,8
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2018;33,3
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2017;31,8
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2016;34,1
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2015;33,3
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2014;33,3
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2013;39,1
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2012;37,1
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2011;37,7
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2010;43,1
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2009;40,4
De 1 a 5 asalariados;porcentaje;323 Fabricación de artículos de deporte;2008;40,1
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2024;60,2
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2023;59,5
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2022;54,8
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2021;54,1
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2020;53,4
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2019;52,7
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2018;50,8
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2017;49,2
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2016;46,6
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2015;45,7
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2014;45,5
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2013;43,4
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2012;40,0
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2011;39,8
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2010;41,9
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2009;46,5
De 1 a 5 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2008;47,0
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2024;65,2
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2023;64,7
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2022;64,0
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2021;62,4
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2020;60,6
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2019;58,1
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2018;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2017;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2016;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2015;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2014;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2013;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2012;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2011;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2010;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2009;..
De 1 a 5 asalariados;porcentaje;8551 Educación deportiva y recreativa;2008;..
De 6 a 9 asalariados;valores absolutos;TOTAL;2024;2.960,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2023;2.789,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2022;2.720,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2021;2.459,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2020;2.652,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2019;2.524,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2018;2.053,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2017;2.073,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2016;2.053,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2015;1.814,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2014;1.647,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2013;1.430,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2012;1.306,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2011;1.224,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2010;1.153,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2009;1.228,0
De 6 a 9 asalariados;valores absolutos;TOTAL;2008;1.285,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2024;2.361,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2023;2.217,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2022;2.154,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2021;1.935,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2020;2.072,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2019;1.963,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2018;1.847,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2017;1.862,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2016;1.840,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2015;1.622,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2014;1.452,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2013;1.168,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2012;1.044,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2011;947,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2010;885,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2009;892,0
De 6 a 9 asalariados;valores absolutos;931 Actividades deportivas;2008;913,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2024;14,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2023;18,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2022;16,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2021;17,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2020;20,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2019;22,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2018;20,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2017;18,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2016;18,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2015;15,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2014;16,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2013;14,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2012;18,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2011;15,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2010;13,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2009;16,0
De 6 a 9 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2008;19,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;163,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;142,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;165,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;161,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;178,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;199,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;186,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;193,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;195,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;177,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;179,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;248,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;244,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;262,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;255,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;320,0
De 6 a 9 asalariados;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;353,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2024;422,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2023;412,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2022;385,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2021;346,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2020;382,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2019;340,0
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2018;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2017;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2016;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2015;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2014;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2013;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2012;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2011;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2010;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2009;..
De 6 a 9 asalariados;valores absolutos;8551 Educación deportiva y recreativa;2008;..
De 6 a 9 asalariados;porcentaje;TOTAL;2024;6,8
De 6 a 9 asalariados;porcentaje;TOTAL;2023;6,8
De 6 a 9 asalariados;porcentaje;TOTAL;2022;6,2
De 6 a 9 asalariados;porcentaje;TOTAL;2021;6,0
De 6 a 9 asalariados;porcentaje;TOTAL;2020;6,5
De 6 a 9 asalariados;porcentaje;TOTAL;2019;6,4
De 6 a 9 asalariados;porcentaje;TOTAL;2018;5,9
De 6 a 9 asalariados;porcentaje;TOTAL;2017;6,1
De 6 a 9 asalariados;porcentaje;TOTAL;2016;6,2
De 6 a 9 asalariados;porcentaje;TOTAL;2015;5,8
De 6 a 9 asalariados;porcentaje;TOTAL;2014;5,7
De 6 a 9 asalariados;porcentaje;TOTAL;2013;5,4
De 6 a 9 asalariados;porcentaje;TOTAL;2012;5,0
De 6 a 9 asalariados;porcentaje;TOTAL;2011;5,0
De 6 a 9 asalariados;porcentaje;TOTAL;2010;4,8
De 6 a 9 asalariados;porcentaje;TOTAL;2009;5,3
De 6 a 9 asalariados;porcentaje;TOTAL;2008;5,6
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2024;6,7
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2023;6,8
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2022;6,2
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2021;6,0
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2020;6,4
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2019;6,4
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2018;6,5
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2017;6,7
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2016;7,0
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2015;6,8
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2014;6,8
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2013;6,1
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2012;5,7
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2011;5,6
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2010;5,4
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2009;5,9
De 6 a 9 asalariados;porcentaje;931 Actividades deportivas;2008;6,1
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2024;4,9
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2023;6,4
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2022;5,3
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2021;5,8
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2020;7,4
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2019;8,0
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2018;7,7
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2017;8,3
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2016;8,7
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2015;7,4
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2014;9,0
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2013;8,0
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2012;10,3
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2011;8,6
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2010;6,9
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2009;8,3
De 6 a 9 asalariados;porcentaje;323 Fabricación de artículos de deporte;2008;9,6
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2024;3,7
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2023;3,2
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2022;3,2
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2021;3,1
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2020;3,3
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2019;3,4
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2018;3,1
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2017;3,1
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2016;2,9
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2015;2,6
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2014;2,5
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2013;3,4
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2012;3,2
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2011;3,4
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2010;3,3
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2009;4,2
De 6 a 9 asalariados;porcentaje;4764 Comercio al por menor de art. deportivos;2008;4,6
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2024;10,5
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2023;11,0
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2022;11,0
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2021;11,6
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2020;12,4
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2019;12,9
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2018;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2017;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2016;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2015;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2014;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2013;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2012;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2011;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2010;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2009;..
De 6 a 9 asalariados;porcentaje;8551 Educación deportiva y recreativa;2008;..
De 10 a 49 asalariados;valores absolutos;TOTAL;2024;3.167,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2023;2.959,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2022;2.766,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2021;2.460,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2020;2.864,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2019;2.794,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2018;2.550,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2017;2.510,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2016;2.455,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2015;2.236,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2014;2.042,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2013;2.051,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2012;2.053,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2011;1.960,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2010;1.902,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2009;2.010,0
De 10 a 49 asalariados;valores absolutos;TOTAL;2008;1.923,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2024;2.708,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2023;2.539,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2022;2.365,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2021;2.123,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2020;2.439,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2019;2.376,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2018;2.361,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2017;2.314,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2016;2.258,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2015;2.061,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2014;1.871,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2013;1.882,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2012;1.865,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2011;1.757,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2010;1.701,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2009;1.778,0
De 10 a 49 asalariados;valores absolutos;931 Actividades deportivas;2008;1.689,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2024;48,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2023;38,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2022;43,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2021;39,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2020;38,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2019;38,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2018;40,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2017;36,0
De 10 a 49 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2016;35,0
