Número de asalariados;Indicador;Actividad económica;periodo;Total
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2013;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2012;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2011;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2010;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2009;..
TOTAL;valores absolutos;8551 Educación deportiva y recreativa;2008;..
TOTAL;porcentaje;TOTAL;2024;100,0
TOTAL;porcentaje;TOTAL;2023;100,0
TOTAL;porcentaje;TOTAL;2022;100,0
TOTAL;porcentaje;TOTAL;2021;100,0
TOTAL;porcentaje;TOTAL;2020;100,0
TOTAL;porcentaje;TOTAL;2019;100,0
TOTAL;porcentaje;TOTAL;2018;100,0
TOTAL;porcentaje;TOTAL;2017;100,0
TOTAL;porcentaje;TOTAL;2016;100,0
TOTAL;porcentaje;TOTAL;2015;100,0
TOTAL;porcentaje;TOTAL;2014;100,0
TOTAL;porcentaje;TOTAL;2013;100,0
TOTAL;porcentaje;TOTAL;2012;100,0
TOTAL;porcentaje;TOTAL;2011;100,0
TOTAL;porcentaje;TOTAL;2010;100,0
TOTAL;porcentaje;TOTAL;2009;100,0
TOTAL;porcentaje;TOTAL;2008;100,0
TOTAL;porcentaje;931 Actividades deportivas;2024;100,0
TOTAL;porcentaje;931 Actividades deportivas;2023;100,0
TOTAL;porcentaje;931 Actividades deportivas;2022;100,0
TOTAL;porcentaje;931 Actividades deportivas;2021;100,0
TOTAL;porcentaje;931 Actividades deportivas;2020;100,0
TOTAL;porcentaje;931 Actividades deportivas;2019;100,0
TOTAL;porcentaje;931 Actividades deportivas;2018;100,0
TOTAL;porcentaje;931 Actividades deportivas;2017;100,0
TOTAL;porcentaje;931 Actividades deportivas;2016;100,0
TOTAL;porcentaje;931 Actividades deportivas;2015;100,0
TOTAL;porcentaje;931 Actividades deportivas;2014;100,0
TOTAL;porcentaje;931 Actividades deportivas;2013;100,0
TOTAL;porcentaje;931 Actividades deportivas;2012;100,0
TOTAL;porcentaje;931 Actividades deportivas;2011;100,0
TOTAL;porcentaje;931 Actividades deportivas;2010;100,0
TOTAL;porcentaje;931 Actividades deportivas;2009;100,0
TOTAL;porcentaje;931 Actividades deportivas;2008;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2024;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2023;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2022;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2021;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2020;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2019;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2018;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2017;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2016;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2015;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2014;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2013;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2012;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2011;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2010;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2009;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2008;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2024;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2023;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2022;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2021;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2020;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2019;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2018;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2017;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2016;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2015;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2014;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2013;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2012;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2011;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2010;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2009;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2008;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2024;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2023;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2022;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2021;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2020;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2019;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2018;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2017;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2016;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2015;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2014;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2013;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2012;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2011;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2010;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2009;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2008;..
SIN ASALARIADOS;valores absolutos;TOTAL;2024;16.390,0
SIN ASALARIADOS;valores absolutos;TOTAL;2023;15.568,0
SIN ASALARIADOS;valores absolutos;TOTAL;2022;18.729,0
SIN ASALARIADOS;valores absolutos;TOTAL;2021;17.149,0
SIN ASALARIADOS;valores absolutos;TOTAL;2020;17.107,0
SIN ASALARIADOS;valores absolutos;TOTAL;2019;16.167,0
SIN ASALARIADOS;valores absolutos;TOTAL;2018;14.869,0
SIN ASALARIADOS;valores absolutos;TOTAL;2017;14.527,0
SIN ASALARIADOS;valores absolutos;TOTAL;2016;13.954,0
SIN ASALARIADOS;valores absolutos;TOTAL;2015;13.492,0
SIN ASALARIADOS;valores absolutos;TOTAL;2014;12.387,0
SIN ASALARIADOS;valores absolutos;TOTAL;2013;11.517,0
SIN ASALARIADOS;valores absolutos;TOTAL;2012;12.082,0
SIN ASALARIADOS;valores absolutos;TOTAL;2011;11.521,0
SIN ASALARIADOS;valores absolutos;TOTAL;2010;10.889,0
SIN ASALARIADOS;valores absolutos;TOTAL;2009;9.441,0
SIN ASALARIADOS;valores absolutos;TOTAL;2008;9.171,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2024;14.203,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2023;13.302,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2022;15.979,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2021;14.387,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2020;14.260,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2019;13.187,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2018;12.176,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2017;11.618,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2016;10.707,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2015;9.994,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2014;8.828,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2013;7.775,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2012;7.857,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2011;7.320,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2010;6.786,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2009;5.889,0
SIN ASALARIADOS;valores absolutos;931 Actividades deportivas;2008;5.593,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2024;114,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2023;118,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2022;147,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2021;137,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2020;121,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2019;122,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2018;110,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2017;89,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2016;80,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2015;86,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2014;70,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2013;65,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2012;62,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2011;59,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2010;51,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2009;55,0
SIN ASALARIADOS;valores absolutos;323 Fabricación de artículos de deporte;2008;53,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;1.421,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;1.526,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;1.993,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;2.057,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;2.183,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;2.376,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;2.583,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;2.820,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;3.167,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;3.412,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;3.489,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;3.677,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;4.163,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;4.142,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;4.052,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;3.497,0
SIN ASALARIADOS;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;3.525,0
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2024;652,0
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2023;622,0
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2022;610,0
