Indicador;Actividad económica principal;periodo;Total
Cifra de negocio (Miles de euros);9312 Actividades de los clubes deportivos;2016;1.636.414
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2023;1.401.472
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2022;1.245.916
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2021;1.172.339
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2020;1.049.534
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2019;1.157.607
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2018;1.084.904
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2017;1.021.124
Cifra de negocio (Miles de euros);9313 Actividades de los gimnasios;2016;1.050.067
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2023;135.597
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2022;137.116
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2021;105.868
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2020;69.469
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2019;63.090
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2018;81.475
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2017;84.993
Cifra de negocio (Miles de euros);9319 Otras actividades deportivas;2016;58.851
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2023;908.560
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2022;811.226
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2021;755.768
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2020;661.479
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2019;762.371
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2018;712.537
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2017;674.471
Valor de la producción (Miles de euros);3230 Fabricación de artículos de deporte;2016;639.890
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2023;41.992
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2022;37.981
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2021;38.254
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2020;38.551
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2019;40.024
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2018;39.960
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2017;39.020
Valor de la producción (Miles de euros);4764 Comercio al por menor de artículos deportivos;2016;38.160
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2023;6.659
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2022;6.329
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2021;5.980
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2020;5.748
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2019;6.640
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2018;6.639
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2017;5.670
Valor de la producción (Miles de euros);9311 Gestión de instalaciones deportivas;2016;6.582
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2023;3.018.708
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2022;2.662.273
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2021;2.176.867
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2020;1.655.233
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2019;2.466.797
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2018;2.508.482
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2017;2.341.415
Valor de la producción (Miles de euros);9312 Actividades de los clubes deportivos;2016;2.192.218
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2023;3.044.196
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2022;2.705.839
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2021;2.235.990
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2020;1.640.707
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2019;2.292.179
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2018;2.414.329
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2017;2.275.188
Valor de la producción (Miles de euros);9313 Actividades de los gimnasios;2016;2.123.343
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2023;1.678.983
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2022;1.460.722
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2021;1.206.796
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2020;943.435
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2019;1.425.948
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2018;1.434.012
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2017;1.378.752
Valor de la producción (Miles de euros);9319 Otras actividades deportivas;2016;1.361.341
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2023;260.092
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2022;307.718
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2021;234.977
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2020;178.129
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2019;258.030
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2018;503.229
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2017;515.393
Valor añadido a coste de los factores (Miles de euros);3230 Fabricación de artículos de deporte;2016;265.025
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2023;1.211.770
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2022;1.083.057
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2021;1.013.657
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2020;912.674
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2019;1.122.047
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2018;1.038.722
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2017;987.754
Valor añadido a coste de los factores (Miles de euros);4764 Comercio al por menor de artículos deportivos;2016;972.895
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2023;60.733
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2022;59.323
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2021;58.444
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2020;59.252
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2019;65.445
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2018;57.405
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2017;53.573
Valor añadido a coste de los factores (Miles de euros);9311 Gestión de instalaciones deportivas;2016;53.088
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2023;7.536
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2022;6.664
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2021;6.270
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2020;7.565
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2019;5.503
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2018;8.191
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2017;7.185
Valor añadido a coste de los factores (Miles de euros);9312 Actividades de los clubes deportivos;2016;6.792
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2023;6.783.803
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2022;6.432.227
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2021;6.078.761
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2020;6.245.621
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2019;6.368.131
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2018;5.881.106
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2017;5.361.721
Valor añadido a coste de los factores (Miles de euros);9313 Actividades de los gimnasios;2016;4.557.305
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2023;5.356.729
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2022;6.631.035
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2021;4.625.478
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2020;4.600.525
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2019;4.630.354
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2018;4.167.405
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2017;3.865.032
Valor añadido a coste de los factores (Miles de euros);9319 Otras actividades deportivas;2016;3.450.404
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2023;3.603.356
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2022;3.564.249
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2021;3.403.826
