Actividad económica principal;Indicador;periodo;Total
931 Actividades deportivas;Valor de la producción (Miles de euros);2018;8.614.622
931 Actividades deportivas;Valor de la producción (Miles de euros);2017;7.773.279
931 Actividades deportivas;Valor de la producción (Miles de euros);2016;7.049.191
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2023;6.937.498
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2022;6.445.603
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2021;5.945.196
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2020;5.366.092
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2019;6.475.770
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2018;5.715.791
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2017;5.342.552
931 Actividades deportivas;Valor añadido a coste de los factores (Miles de euros);2016;4.881.767
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2023;5.367.399
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2022;1.106.607
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2021;875.523
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2020;678.978
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2019;851.957
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2018;826.561
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2017;957.947
931 Actividades deportivas;Inversión en activos materiales (Miles de euros);2016;588.462
931 Actividades deportivas;Gastos de personal (Miles de euros);2023;1.216.500
931 Actividades deportivas;Gastos de personal (Miles de euros);2022;4.965.588
931 Actividades deportivas;Gastos de personal (Miles de euros);2021;4.803.362
931 Actividades deportivas;Gastos de personal (Miles de euros);2020;4.370.449
931 Actividades deportivas;Gastos de personal (Miles de euros);2019;4.831.717
931 Actividades deportivas;Gastos de personal (Miles de euros);2018;4.236.292
931 Actividades deportivas;Gastos de personal (Miles de euros);2017;3.848.441
931 Actividades deportivas;Gastos de personal (Miles de euros);2016;3.403.001
931 Actividades deportivas;Personal ocupado (Media anual);2023;149.105
931 Actividades deportivas;Personal ocupado (Media anual);2022;145.627
931 Actividades deportivas;Personal ocupado (Media anual);2021;145.881
931 Actividades deportivas;Personal ocupado (Media anual);2020;164.474
931 Actividades deportivas;Personal ocupado (Media anual);2019;169.120
931 Actividades deportivas;Personal ocupado (Media anual);2018;153.451
931 Actividades deportivas;Personal ocupado (Media anual);2017;150.087
931 Actividades deportivas;Personal ocupado (Media anual);2016;138.791
