Condición jurídica;Indicador;Actividad económica;periodo;Total
TOTAL;porcentaje;TOTAL;2024;100,0
TOTAL;porcentaje;TOTAL;2023;100,0
TOTAL;porcentaje;TOTAL;2022;100,0
TOTAL;porcentaje;TOTAL;2021;100,0
TOTAL;porcentaje;TOTAL;2020;100,0
TOTAL;porcentaje;TOTAL;2019;100,0
TOTAL;porcentaje;TOTAL;2018;100,0
TOTAL;porcentaje;TOTAL;2017;100,0
TOTAL;porcentaje;TOTAL;2016;100,0
TOTAL;porcentaje;TOTAL;2015;100,0
TOTAL;porcentaje;TOTAL;2014;100,0
TOTAL;porcentaje;TOTAL;2013;100,0
TOTAL;porcentaje;TOTAL;2012;100,0
TOTAL;porcentaje;TOTAL;2011;100,0
TOTAL;porcentaje;TOTAL;2010;100,0
TOTAL;porcentaje;TOTAL;2009;100,0
TOTAL;porcentaje;TOTAL;2008;100,0
TOTAL;porcentaje;931 Actividades deportivas;2024;100,0
TOTAL;porcentaje;931 Actividades deportivas;2023;100,0
TOTAL;porcentaje;931 Actividades deportivas;2022;100,0
TOTAL;porcentaje;931 Actividades deportivas;2021;100,0
TOTAL;porcentaje;931 Actividades deportivas;2020;100,0
TOTAL;porcentaje;931 Actividades deportivas;2019;100,0
TOTAL;porcentaje;931 Actividades deportivas;2018;100,0
TOTAL;porcentaje;931 Actividades deportivas;2017;100,0
TOTAL;porcentaje;931 Actividades deportivas;2016;100,0
TOTAL;porcentaje;931 Actividades deportivas;2015;100,0
TOTAL;porcentaje;931 Actividades deportivas;2014;100,0
TOTAL;porcentaje;931 Actividades deportivas;2013;100,0
TOTAL;porcentaje;931 Actividades deportivas;2012;100,0
TOTAL;porcentaje;931 Actividades deportivas;2011;100,0
TOTAL;porcentaje;931 Actividades deportivas;2010;100,0
TOTAL;porcentaje;931 Actividades deportivas;2009;100,0
TOTAL;porcentaje;931 Actividades deportivas;2008;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2024;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2023;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2022;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2021;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2020;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2019;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2018;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2017;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2016;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2015;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2014;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2013;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2012;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2011;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2010;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2009;100,0
TOTAL;porcentaje;323 Fabricación de artículos de deporte;2008;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2024;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2023;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2022;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2021;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2020;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2019;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2018;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2017;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2016;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2015;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2014;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2013;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2012;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2011;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2010;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2009;100,0
TOTAL;porcentaje;4764 Comercio al por menor de art. deportivos;2008;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2024;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2023;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2022;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2021;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2020;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2019;100,0
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2018;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2017;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2016;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2015;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2014;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2013;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2012;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2011;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2010;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2009;..
TOTAL;porcentaje;8551 Educación deportiva y recreativa;2008;..
PERSONAS FISICAS;valores absolutos;TOTAL;2024;17.199,0
PERSONAS FISICAS;valores absolutos;TOTAL;2023;15.923,0
PERSONAS FISICAS;valores absolutos;TOTAL;2022;15.125,0
PERSONAS FISICAS;valores absolutos;TOTAL;2021;14.010,0
PERSONAS FISICAS;valores absolutos;TOTAL;2020;14.019,0
PERSONAS FISICAS;valores absolutos;TOTAL;2019;12.990,0
PERSONAS FISICAS;valores absolutos;TOTAL;2018;10.563,0
PERSONAS FISICAS;valores absolutos;TOTAL;2017;10.401,0
PERSONAS FISICAS;valores absolutos;TOTAL;2016;9.729,0
PERSONAS FISICAS;valores absolutos;TOTAL;2015;9.017,0
PERSONAS FISICAS;valores absolutos;TOTAL;2014;8.403,0
PERSONAS FISICAS;valores absolutos;TOTAL;2013;8.021,0
PERSONAS FISICAS;valores absolutos;TOTAL;2012;8.572,0
PERSONAS FISICAS;valores absolutos;TOTAL;2011;8.162,0
PERSONAS FISICAS;valores absolutos;TOTAL;2010;8.175,0
PERSONAS FISICAS;valores absolutos;TOTAL;2009;7.747,0
PERSONAS FISICAS;valores absolutos;TOTAL;2008;7.579,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2024;13.719,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2023;12.426,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2022;11.578,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2021;10.671,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2020;10.495,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2019;9.538,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2018;8.315,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2017;7.987,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2016;7.146,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2015;6.243,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2014;5.399,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2013;4.639,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2012;4.636,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2011;4.250,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2010;4.117,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2009;3.813,0
PERSONAS FISICAS;valores absolutos;931 Actividades deportivas;2008;3.471,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2024;80,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2023;88,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2022;105,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2021;99,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2020;90,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2019;93,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2018;80,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2017;65,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2016;53,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2015;51,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2014;36,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2013;41,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2012;37,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2011;35,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2010;35,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2009;44,0
PERSONAS FISICAS;valores absolutos;323 Fabricación de artículos de deporte;2008;47,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;1.415,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;1.550,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;1.680,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;1.749,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;1.897,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;2.046,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;2.168,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;2.349,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;2.530,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;2.723,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;2.968,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;3.341,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;3.899,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;3.877,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;4.023,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;3.890,0
PERSONAS FISICAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;4.061,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2024;1.985,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2023;1.859,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2022;1.762,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2021;1.491,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2020;1.537,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2019;1.313,0
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2018;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2017;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2016;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2015;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2014;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2013;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2012;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2011;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2010;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2009;..
PERSONAS FISICAS;valores absolutos;8551 Educación deportiva y recreativa;2008;..
PERSONAS FISICAS;porcentaje;TOTAL;2024;100,0
PERSONAS FISICAS;porcentaje;TOTAL;2023;100,0
PERSONAS FISICAS;porcentaje;TOTAL;2022;100,0
PERSONAS FISICAS;porcentaje;TOTAL;2021;100,0
PERSONAS FISICAS;porcentaje;TOTAL;2020;34,2
PERSONAS FISICAS;porcentaje;TOTAL;2019;33,0
PERSONAS FISICAS;porcentaje;TOTAL;2018;30,6
PERSONAS FISICAS;porcentaje;TOTAL;2017;30,4
PERSONAS FISICAS;porcentaje;TOTAL;2016;29,4
PERSONAS FISICAS;porcentaje;TOTAL;2015;29,0
PERSONAS FISICAS;porcentaje;TOTAL;2014;29,2
PERSONAS FISICAS;porcentaje;TOTAL;2013;30,0
PERSONAS FISICAS;porcentaje;TOTAL;2012;33,0
PERSONAS FISICAS;porcentaje;TOTAL;2011;33,1
PERSONAS FISICAS;porcentaje;TOTAL;2010;33,8
PERSONAS FISICAS;porcentaje;TOTAL;2009;33,7
PERSONAS FISICAS;porcentaje;TOTAL;2008;33,1
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2024;100,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2023;100,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2022;100,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2021;100,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2020;32,5
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2019;31,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2018;29,4
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2017;28,9
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2016;27,3
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2015;26,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2014;25,1
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2013;24,1
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2012;25,5
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2011;25,3
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2010;25,3
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2009;25,0
PERSONAS FISICAS;porcentaje;931 Actividades deportivas;2008;23,2
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2024;100,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2023;100,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2022;100,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2021;100,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2020;33,1
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2019;33,9
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2018;30,7
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2017;30,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2016;25,5
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2015;25,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2014;20,3
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2013;23,6
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2012;21,1
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2011;20,0
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2010;18,6
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2009;22,8
PERSONAS FISICAS;porcentaje;323 Fabricación de artículos de deporte;2008;23,9
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2024;100,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2023;100,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2022;100,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2021;100,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2020;35,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2019;35,3
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2018;36,2
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2017;37,2
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2016;38,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2015;39,3
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2014;42,1
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2013;46,1
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2012;50,8
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2011;50,7
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2010;52,0
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2009;51,5
PERSONAS FISICAS;porcentaje;4764 Comercio al por menor de art. deportivos;2008;52,4
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2024;100,0
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2023;100,0
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2022;100,0
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2021;100,0
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2020;50,0
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2019;50,0
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2018;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2017;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2016;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2015;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2014;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2013;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2012;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2011;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2010;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2009;..
PERSONAS FISICAS;porcentaje;8551 Educación deportiva y recreativa;2008;..
HOMBRES;valores absolutos;TOTAL;2024;..
HOMBRES;valores absolutos;TOTAL;2023;..
HOMBRES;valores absolutos;TOTAL;2022;..
HOMBRES;valores absolutos;TOTAL;2021;..
HOMBRES;valores absolutos;TOTAL;2020;..
HOMBRES;valores absolutos;TOTAL;2019;..
HOMBRES;valores absolutos;TOTAL;2018;..
HOMBRES;valores absolutos;TOTAL;2017;..
HOMBRES;valores absolutos;TOTAL;2016;..
HOMBRES;valores absolutos;TOTAL;2015;..
HOMBRES;valores absolutos;TOTAL;2014;..
HOMBRES;valores absolutos;TOTAL;2013;..
HOMBRES;valores absolutos;TOTAL;2012;..
HOMBRES;valores absolutos;TOTAL;2011;..
HOMBRES;valores absolutos;TOTAL;2010;..
HOMBRES;valores absolutos;TOTAL;2009;..
HOMBRES;valores absolutos;TOTAL;2008;..
HOMBRES;valores absolutos;931 Actividades deportivas;2024;9.227,0
HOMBRES;valores absolutos;931 Actividades deportivas;2023;8.400,0
HOMBRES;valores absolutos;931 Actividades deportivas;2022;7.805,0
HOMBRES;valores absolutos;931 Actividades deportivas;2021;7.258,0
HOMBRES;valores absolutos;931 Actividades deportivas;2020;..
HOMBRES;valores absolutos;931 Actividades deportivas;2019;..
HOMBRES;valores absolutos;931 Actividades deportivas;2018;..
HOMBRES;valores absolutos;931 Actividades deportivas;2017;..
HOMBRES;valores absolutos;931 Actividades deportivas;2016;..
HOMBRES;valores absolutos;931 Actividades deportivas;2015;..
HOMBRES;valores absolutos;931 Actividades deportivas;2014;..
HOMBRES;valores absolutos;931 Actividades deportivas;2013;..
HOMBRES;valores absolutos;931 Actividades deportivas;2012;..
HOMBRES;valores absolutos;931 Actividades deportivas;2011;..
HOMBRES;valores absolutos;931 Actividades deportivas;2010;..
HOMBRES;valores absolutos;931 Actividades deportivas;2009;..
HOMBRES;valores absolutos;931 Actividades deportivas;2008;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2024;67,0
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2023;77,0
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2022;91,0
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2021;81,0
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2020;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2019;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2018;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2017;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2016;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2015;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2014;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2013;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2012;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2011;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2010;..
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2009;..
