Indicador;Número de asalariados;periodo;Total
Porcentaje (del total de empresas);De 6 a 9 asalariados;2014;3,6
Porcentaje (del total de empresas);De 6 a 9 asalariados;2013;4,0
Porcentaje (del total de empresas);De 6 a 9 asalariados;2012;4,1
Porcentaje (del total de empresas);De 6 a 9 asalariados;2011;4,2
Porcentaje (del total de empresas);De 6 a 9 asalariados;2010;4,3
Porcentaje (del total de empresas);De 6 a 9 asalariados;2009;4,5
Porcentaje (del total de empresas);De 6 a 9 asalariados;2008;4,7
Porcentaje (del total de empresas);De 10 a 49 asalariados;2024;4,1
Porcentaje (del total de empresas);De 10 a 49 asalariados;2023;4,0
Porcentaje (del total de empresas);De 10 a 49 asalariados;2022;3,6
Porcentaje (del total de empresas);De 10 a 49 asalariados;2021;3,5
Porcentaje (del total de empresas);De 10 a 49 asalariados;2020;3,7
Porcentaje (del total de empresas);De 10 a 49 asalariados;2019;3,7
Porcentaje (del total de empresas);De 10 a 49 asalariados;2018;3,8
Porcentaje (del total de empresas);De 10 a 49 asalariados;2017;3,7
Porcentaje (del total de empresas);De 10 a 49 asalariados;2016;3,6
Porcentaje (del total de empresas);De 10 a 49 asalariados;2015;3,5
Porcentaje (del total de empresas);De 10 a 49 asalariados;2014;3,5
Porcentaje (del total de empresas);De 10 a 49 asalariados;2013;3,6
Porcentaje (del total de empresas);De 10 a 49 asalariados;2012;3,8
Porcentaje (del total de empresas);De 10 a 49 asalariados;2011;4,0
Porcentaje (del total de empresas);De 10 a 49 asalariados;2010;4,2
Porcentaje (del total de empresas);De 10 a 49 asalariados;2009;4,7
Porcentaje (del total de empresas);De 10 a 49 asalariados;2008;5,0
Porcentaje (del total de empresas);De 50 a 99 asalariados;2024;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2023;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2022;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2021;0,4
