Comunidad autónoma y tamaño del municipio;Indicador;periodo;Total
Navarra (Comunidad Foral de);Asistir a espectáculos deportivos;2022;3,8
Navarra (Comunidad Foral de);Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,8
Navarra (Comunidad Foral de);Informarse sobre el  deporte;2022;4,5
Navarra (Comunidad Foral de);Jugar videojuegos vinculados al deporte;2022;1,1
Navarra (Comunidad Foral de);Participar en competiciones de videojuegos de deporte;2022;0,7
País Vasco;Deporte en general;2022;6,5
País Vasco;Practicar deporte;2022;6,0
País Vasco;Asistir a espectáculos deportivos;2022;4,4
País Vasco;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,0
País Vasco;Informarse sobre el  deporte;2022;4,8
País Vasco;Jugar videojuegos vinculados al deporte;2022;1,6
País Vasco;Participar en competiciones de videojuegos de deporte;2022;1,1
Rioja (La);Deporte en general;2022;6,1
Rioja (La);Practicar deporte;2022;5,4
Rioja (La);Asistir a espectáculos deportivos;2022;3,9
Rioja (La);Acceder a  espectáculos deportivos por medios audiovisuales;2022;4,9
Rioja (La);Informarse sobre el  deporte;2022;4,6
Rioja (La);Jugar videojuegos vinculados al deporte;2022;1,4
Rioja (La);Participar en competiciones de videojuegos de deporte;2022;0,8
Ceuta y Melilla;Deporte en general;2022;7,3
Ceuta y Melilla;Practicar deporte;2022;6,6
Ceuta y Melilla;Asistir a espectáculos deportivos;2022;5,1
Ceuta y Melilla;Acceder a  espectáculos deportivos por medios audiovisuales;2022;6,1
Ceuta y Melilla;Informarse sobre el  deporte;2022;5,9
Ceuta y Melilla;Jugar videojuegos vinculados al deporte;2022;2,1
Ceuta y Melilla;Participar en competiciones de videojuegos de deporte;2022;1,3
Capitales de provincia;Deporte en general;2022;6,5
Capitales de provincia;Practicar deporte;2022;5,9
Capitales de provincia;Asistir a espectáculos deportivos;2022;4,1
Capitales de provincia;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,1
Capitales de provincia;Informarse sobre el  deporte;2022;4,9
Capitales de provincia;Jugar videojuegos vinculados al deporte;2022;1,7
Capitales de provincia;Participar en competiciones de videojuegos de deporte;2022;1,1
De más de 50.000 habitantes;Deporte en general;2022;6,4
De más de 50.000 habitantes;Practicar deporte;2022;5,7
De más de 50.000 habitantes;Asistir a espectáculos deportivos;2022;4,1
De más de 50.000 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,1
De más de 50.000 habitantes;Informarse sobre el  deporte;2022;4,7
De más de 50.000 habitantes;Jugar videojuegos vinculados al deporte;2022;1,7
De más de 50.000 habitantes;Participar en competiciones de videojuegos de deporte;2022;1,0
De menos de 50.001 habitantes;Deporte en general;2022;6,3
De menos de 50.001 habitantes;Practicar deporte;2022;5,6
De menos de 50.001 habitantes;Asistir a espectáculos deportivos;2022;4,0
De menos de 50.001 habitantes;Acceder a  espectáculos deportivos por medios audiovisuales;2022;5,0
De menos de 50.001 habitantes;Informarse sobre el  deporte;2022;4,6
De menos de 50.001 habitantes;Jugar videojuegos vinculados al deporte;2022;1,5
De menos de 50.001 habitantes;Participar en competiciones de videojuegos de deporte;2022;0,9
